state,district,year,garlic_whole_year_yield_tonne_per_hectare
,,2021 - 2022,2.68
,Chamoli,2000 - 2001,1.59
,,2001 - 2002,1.7
,,2002 - 2003,1.63
,,2003 - 2004,0.0
,,2006 - 2007,1.81
,,2007 - 2008,1.6
,,2008 - 2009,1.7
,,2009 - 2010,2.21
,,2010 - 2011,1.76
,,2011 - 2012,4.51
,,2012 - 2013,4.25
,,2013 - 2014,1.83
,,2014 - 2015,1.79
,,2015 - 2016,1.78
,,2016 - 2017,2.04
,,2017 - 2018,2.25
,,2018 - 2019,1.21
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.58
,Champawat,2002 - 2003,1.26
,,2003 - 2004,0.0
,,2006 - 2007,1.3
,,2007 - 2008,1.39
,,2008 - 2009,1.5
,,2009 - 2010,2.3
,,2010 - 2011,1.28
,,2011 - 2012,3.3
,,2012 - 2013,3.3
,,2013 - 2014,1.36
,,2014 - 2015,1.39
,,2015 - 2016,1.23
,,2016 - 2017,1.41
,,2017 - 2018,1.55
,,2018 - 2019,4.8
,,2019 - 2020,4.8
,,2020 - 2021,4.8
,,2021 - 2022,3.47
,Dehradun,2000 - 2001,1.82
,,2001 - 2002,1.89
,,2002 - 2003,2.0
,,2003 - 2004,0.0
,,2006 - 2007,2.0
,,2007 - 2008,1.79
,,2008 - 2009,1.63
,,2009 - 2010,2.52
,,2010 - 2011,1.95
,,2011 - 2012,4.79
,,2012 - 2013,4.7
,,2013 - 2014,2.03
,,2014 - 2015,2.0
,,2015 - 2016,1.82
,,2016 - 2017,2.1
,,2017 - 2018,2.31
,,2018 - 2019,1.29
,,2019 - 2020,1.3
,,2020 - 2021,1.31
,,2021 - 2022,1.65
,Haridwar,2002 - 2003,0.0
,,2003 - 2004,0.0
,Nainital,2000 - 2001,1.24
,,2001 - 2002,1.26
,,2002 - 2003,1.34
,,2003 - 2004,0.0
,,2006 - 2007,1.4
,,2007 - 2008,1.5
,,2008 - 2009,1.6
,,2009 - 2010,2.7
,,2010 - 2011,1.38
,,2011 - 2012,3.0
,,2012 - 2013,2.75
,,2013 - 2014,1.41
,,2014 - 2015,1.42
,,2015 - 2016,1.51
,,2016 - 2017,1.74
,,2017 - 2018,1.91
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2020 - 2021,2.51
,,2021 - 2022,2.26
,Pauri garhwal,2000 - 2001,1.4
,,2001 - 2002,1.4
,,2002 - 2003,1.45
,,2003 - 2004,0.0
,,2006 - 2007,1.5
,,2007 - 2008,1.8
,,2008 - 2009,1.64
,,2009 - 2010,2.1
,,2010 - 2011,1.48
,,2011 - 2012,3.2
,,2012 - 2013,2.9
,,2013 - 2014,1.48
,,2014 - 2015,1.48
,,2015 - 2016,1.51
,,2016 - 2017,1.74
,,2017 - 2018,1.91
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.63
,Pithoragarh,2000 - 2001,1.2
,,2001 - 2002,1.24
,,2002 - 2003,1.3
,,2003 - 2004,0.0
,,2006 - 2007,1.3
,,2007 - 2008,1.4
,,2008 - 2009,1.4
,,2009 - 2010,3.0
,,2010 - 2011,1.33
,,2011 - 2012,2.7
,,2012 - 2013,2.65
,,2013 - 2014,1.45
,,2014 - 2015,1.43
,,2015 - 2016,1.36
,,2016 - 2017,1.56
,,2017 - 2018,1.72
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2020 - 2021,2.5
,,2021 - 2022,2.16
,Rudra prayag,2000 - 2001,1.38
,,2001 - 2002,1.36
,,2002 - 2003,1.33
,,2003 - 2004,0.0
,,2006 - 2007,1.43
,,2007 - 2008,1.29
,,2008 - 2009,1.68
,,2009 - 2010,2.11
,,2010 - 2011,1.48
,,2011 - 2012,2.8
,,2012 - 2013,2.7
,,2013 - 2014,1.45
,,2014 - 2015,1.44
,,2015 - 2016,1.41
,,2016 - 2017,1.6
,,2017 - 2018,1.75
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.38
,Tehri garhwal,2000 - 2001,1.5
,,2001 - 2002,1.54
,,2002 - 2003,1.54
,,2003 - 2004,0.0
,,2006 - 2007,1.59
,,2007 - 2008,1.5
,,2008 - 2009,1.56
,,2009 - 2010,2.0
,,2010 - 2011,1.62
,,2011 - 2012,3.0
,,2012 - 2013,2.89
,,2013 - 2014,1.63
,,2014 - 2015,1.63
,,2015 - 2016,1.53
,,2016 - 2017,1.76
,,2017 - 2018,1.94
,,2018 - 2019,2.8
,,2019 - 2020,2.8
,,2020 - 2021,2.8
,,2021 - 2022,2.42
,Udam singh nagar,2002 - 2003,1.0
,,2007 - 2008,1.5
,,2017 - 2018,1.67
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.5
,Uttar kashi,2000 - 2001,1.38
,,2001 - 2002,1.4
,,2002 - 2003,1.42
,,2003 - 2004,0.0
,,2006 - 2007,1.54
,,2007 - 2008,1.7
,,2008 - 2009,1.75
,,2009 - 2010,2.22
,,2010 - 2011,1.56
,,2011 - 2012,3.52
,,2012 - 2013,3.59
,,2013 - 2014,1.59
,,2014 - 2015,1.59
,,2015 - 2016,1.52
,,2016 - 2017,1.74
,,2017 - 2018,1.92
,,2018 - 2019,1.6
,,2019 - 2020,1.59
,,2020 - 2021,1.59
,,2021 - 2022,1.69
West Bengal,paraganas north,2007 - 2008,
,paraganas south,2007 - 2008,
,Bankura,2007 - 2008,
,Birbhum,2007 - 2008,
,Coochbehar,2007 - 2008,
,Darjeeling,2007 - 2008,
,Dinajpur dakshin,2007 - 2008,
,Dinajpur uttar,2007 - 2008,
,Hooghly,2007 - 2008,
,Howrah,2007 - 2008,
,Jalpaiguri,2007 - 2008,
,Maldah,2007 - 2008,
,Medinipur east,2007 - 2008,
,Medinipur west,2007 - 2008,
,Murshidabad,2007 - 2008,
,Nadia,2007 - 2008,
,Purba bardhaman,2007 - 2008,
,Purulia,2007 - 2008,
