state,district,year,barley_rabi_yield_tonne_per_hectare
,Mahoba,2000 - 2001,0.69
,,2001 - 2002,0.92
,,2002 - 2003,0.86
,,2003 - 2004,1.1
,,2004 - 2005,1.6
,,2005 - 2006,1.0
,,2006 - 2007,0.87
,,2007 - 2008,0.48
,,2008 - 2009,0.94
,,2009 - 2010,1.02
,,2010 - 2011,2.31
,,2011 - 2012,2.18
,,2012 - 2013,2.7
,,2013 - 2014,2.97
,,2014 - 2015,1.72
,,2015 - 2016,0.77
,,2016 - 2017,2.63
,,2017 - 2018,2.46
,,2018 - 2019,2.91
,,2019 - 2020,2.58
,,2020 - 2021,1.84
,,2021 - 2022,2.23
,,2022 - 2023,3.04
,Mainpuri,2000 - 2001,2.75
,,2001 - 2002,2.77
,,2002 - 2003,3.09
,,2003 - 2004,2.75
,,2004 - 2005,2.69
,,2005 - 2006,3.01
,,2006 - 2007,2.41
,,2007 - 2008,2.65
,,2008 - 2009,2.95
,,2009 - 2010,3.0
,,2010 - 2011,3.33
,,2011 - 2012,3.31
,,2012 - 2013,3.25
,,2013 - 2014,3.38
,,2014 - 2015,1.84
,,2015 - 2016,2.72
,,2016 - 2017,3.42
,,2017 - 2018,4.48
,,2018 - 2019,3.48
,,2019 - 2020,3.45
,,2020 - 2021,3.71
,,2021 - 2022,3.27
,,2022 - 2023,3.48
,Mathura,2000 - 2001,3.24
,,2001 - 2002,3.0
,,2002 - 2003,2.96
,,2003 - 2004,2.51
,,2004 - 2005,2.69
,,2005 - 2006,3.09
,,2006 - 2007,2.5
,,2007 - 2008,2.65
,,2008 - 2009,2.95
,,2009 - 2010,3.0
,,2010 - 2011,3.33
,,2011 - 2012,3.31
,,2012 - 2013,3.25
,,2013 - 2014,3.38
,,2014 - 2015,1.84
,,2015 - 2016,2.72
,,2016 - 2017,3.42
,,2017 - 2018,3.23
,,2018 - 2019,3.48
,,2019 - 2020,3.27
,,2020 - 2021,3.65
,,2021 - 2022,3.62
,,2022 - 2023,3.5
,Mau,2000 - 2001,1.79
,,2001 - 2002,1.57
,,2002 - 2003,1.35
,,2003 - 2004,1.66
,,2004 - 2005,1.5
,,2005 - 2006,1.67
,,2006 - 2007,1.76
,,2007 - 2008,2.13
,,2008 - 2009,2.35
,,2009 - 2010,2.25
,,2010 - 2011,2.61
,,2011 - 2012,2.38
,,2012 - 2013,2.61
,,2013 - 2014,2.51
,,2014 - 2015,1.34
,,2015 - 2016,2.46
,,2016 - 2017,2.04
,,2017 - 2018,2.54
,,2018 - 2019,2.83
,,2019 - 2020,3.2
,,2020 - 2021,3.46
,,2021 - 2022,2.44
,,2022 - 2023,2.83
,Meerut,2000 - 2001,3.24
,,2001 - 2002,3.2
,,2002 - 2003,2.92
,,2003 - 2004,2.53
,,2004 - 2005,2.78
,,2005 - 2006,2.82
,,2006 - 2007,3.68
,,2007 - 2008,3.01
,,2008 - 2009,3.59
,,2009 - 2010,3.48
,,2010 - 2011,3.39
,,2011 - 2012,3.85
,,2012 - 2013,2.66
,,2013 - 2014,3.6
,,2014 - 2015,3.0
,,2015 - 2016,3.49
,,2016 - 2017,3.48
,,2017 - 2018,3.96
,,2018 - 2019,4.21
,,2019 - 2020,4.0
,,2020 - 2021,3.93
,,2021 - 2022,4.01
,,2022 - 2023,3.25
,Mirzapur,2000 - 2001,1.25
,,2001 - 2002,1.35
,,2002 - 2003,1.02
,,2003 - 2004,1.16
,,2004 - 2005,0.7
,,2005 - 2006,0.68
,,2006 - 2007,1.05
,,2007 - 2008,0.71
,,2008 - 2009,1.07
,,2009 - 2010,0.85
,,2010 - 2011,1.37
,,2011 - 2012,2.08
,,2012 - 2013,1.5
,,2013 - 2014,2.12
,,2014 - 2015,1.56
,,2015 - 2016,0.95
,,2016 - 2017,1.6
,,2017 - 2018,1.14
,,2018 - 2019,2.03
,,2019 - 2020,2.75
,,2020 - 2021,2.7
,,2021 - 2022,2.57
,,2022 - 2023,3.07
,Moradabad,2000 - 2001,2.28
,,2001 - 2002,2.47
,,2002 - 2003,2.45
,,2003 - 2004,2.37
,,2004 - 2005,2.11
,,2005 - 2006,2.03
,,2006 - 2007,2.16
,,2007 - 2008,2.21
,,2008 - 2009,2.32
,,2009 - 2010,2.3
,,2010 - 2011,2.63
,,2011 - 2012,2.72
,,2012 - 2013,2.67
,,2013 - 2014,2.88
,,2014 - 2015,1.71
,,2015 - 2016,2.18
,,2016 - 2017,2.71
,,2017 - 2018,2.8
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,3.17
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Muzaffarnagar,2000 - 2001,2.28
,,2001 - 2002,2.47
,,2002 - 2003,2.45
,,2003 - 2004,2.37
,,2004 - 2005,2.11
,,2005 - 2006,2.04
,,2006 - 2007,2.16
,,2007 - 2008,2.21
,,2008 - 2009,2.33
,,2009 - 2010,2.29
,,2010 - 2011,2.62
,,2011 - 2012,2.72
,,2012 - 2013,2.67
,,2013 - 2014,2.87
,,2014 - 2015,1.72
,,2015 - 2016,2.18
,,2016 - 2017,2.8
,,2017 - 2018,2.84
,,2018 - 2019,3.07
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Pilibhit,2000 - 2001,2.27
,,2001 - 2002,2.48
,,2002 - 2003,1.79
,,2003 - 2004,2.58
,,2004 - 2005,2.14
,,2005 - 2006,2.03
,,2006 - 2007,2.15
,,2007 - 2008,2.19
,,2008 - 2009,2.71
,,2009 - 2010,2.2
,,2010 - 2011,2.6
,,2011 - 2012,3.0
,,2012 - 2013,2.8
,,2013 - 2014,3.0
,,2014 - 2015,1.72
,,2015 - 2016,2.33
,,2016 - 2017,2.5
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2020 - 2021,3.0
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Pratapgarh,2000 - 2001,1.33
,,2001 - 2002,1.63
,,2002 - 2003,1.76
,,2003 - 2004,1.71
,,2004 - 2005,1.22
,,2005 - 2006,1.12
,,2006 - 2007,1.49
,,2007 - 2008,0.98
,,2008 - 2009,0.83
,,2009 - 2010,1.34
,,2010 - 2011,1.84
,,2011 - 2012,1.92
,,2012 - 2013,2.76
,,2013 - 2014,3.35
,,2014 - 2015,1.46
,,2015 - 2016,2.07
,,2016 - 2017,2.53
,,2017 - 2018,2.77
,,2018 - 2019,3.04
,,2019 - 2020,2.42
,,2020 - 2021,3.04
,,2021 - 2022,2.82
,,2022 - 2023,2.06
,Rae bareli,2000 - 2001,1.46
,,2001 - 2002,1.5
,,2002 - 2003,1.74
,,2003 - 2004,1.86
,,2004 - 2005,1.59
,,2005 - 2006,1.57
,,2006 - 2007,1.66
,,2007 - 2008,1.87
,,2008 - 2009,1.89
,,2009 - 2010,1.39
,,2010 - 2011,1.96
,,2011 - 2012,2.31
,,2012 - 2013,2.02
,,2013 - 2014,2.51
,,2014 - 2015,1.36
,,2015 - 2016,0.88
,,2016 - 2017,2.74
,,2017 - 2018,2.28
,,2018 - 2019,2.8
,,2019 - 2020,2.67
,,2020 - 2021,2.68
,,2021 - 2022,2.72
,,2022 - 2023,3.05
,Rampur,2000 - 2001,2.28
,,2001 - 2002,2.46
,,2002 - 2003,2.46
,,2003 - 2004,2.35
,,2004 - 2005,2.11
,,2005 - 2006,2.04
,,2006 - 2007,2.15
,,2007 - 2008,2.21
,,2008 - 2009,2.29
,,2009 - 2010,2.28
,,2010 - 2011,3.0
,,2011 - 2012,2.72
,,2016 - 2017,3.0
,,2017 - 2018,2.89
,Saharanpur,2000 - 2001,2.28
,,2001 - 2002,2.47
,,2002 - 2003,2.45
,,2003 - 2004,2.37
,,2004 - 2005,2.11
,,2005 - 2006,2.04
,,2006 - 2007,2.16
,,2007 - 2008,2.21
,,2008 - 2009,2.33
,,2009 - 2010,2.29
,,2010 - 2011,2.62
,,2011 - 2012,2.72
,,2012 - 2013,2.66
,,2013 - 2014,2.88
,,2014 - 2015,1.71
,,2015 - 2016,2.18
,,2016 - 2017,2.8
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,4.18
,,2020 - 2021,3.14
,,2021 - 2022,3.04
,,2022 - 2023,3.06
,Sambhal,2012 - 2013,2.67
,,2013 - 2014,2.87
,,2014 - 2015,1.71
,,2015 - 2016,2.18
,,2016 - 2017,2.8
,,2017 - 2018,2.85
,,2018 - 2019,3.07
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Sant kabeer nagar,2000 - 2001,2.34
,,2001 - 2002,2.67
,,2002 - 2003,2.48
,,2003 - 2004,2.29
,,2004 - 2005,2.03
,,2005 - 2006,2.0
,,2006 - 2007,2.12
,,2007 - 2008,2.2
,,2008 - 2009,2.2
,,2009 - 2010,2.29
,,2010 - 2011,2.6
,,2011 - 2012,2.69
,,2012 - 2013,2.67
,,2013 - 2014,2.88
,,2014 - 2015,1.72
,,2015 - 2016,2.19
,,2016 - 2017,2.8
,,2017 - 2018,2.85
,,2018 - 2019,3.07
,,2019 - 2020,3.25
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Sant ravidas nagar,2000 - 2001,1.24
,,2001 - 2002,1.35
,,2002 - 2003,0.96
,,2003 - 2004,1.12
,,2004 - 2005,0.7
,,2005 - 2006,0.68
,,2006 - 2007,1.05
,,2007 - 2008,0.71
,,2008 - 2009,1.07
,,2009 - 2010,0.84
,,2010 - 2011,1.37
,,2011 - 2012,2.08
,,2012 - 2013,1.5
,,2013 - 2014,2.12
,,2014 - 2015,1.56
,,2015 - 2016,0.95
,,2016 - 2017,1.6
,,2017 - 2018,1.16
,,2018 - 2019,2.03
,,2019 - 2020,3.23
,,2020 - 2021,3.1
,,2021 - 2022,2.46
,,2022 - 2023,3.07
,Shahjahanpur,2000 - 2001,2.28
,,2001 - 2002,2.47
,,2002 - 2003,1.8
,,2003 - 2004,2.59
,,2004 - 2005,2.11
,,2005 - 2006,2.04
,,2006 - 2007,2.16
,,2007 - 2008,2.21
,,2008 - 2009,2.73
,,2009 - 2010,2.29
,,2010 - 2011,2.62
,,2011 - 2012,2.9
,,2012 - 2013,2.66
,,2013 - 2014,2.76
,,2014 - 2015,1.71
,,2015 - 2016,2.46
,,2016 - 2017,2.52
,,2017 - 2018,2.84
,,2018 - 2019,3.06
,,2019 - 2020,3.28
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Shamli,2012 - 2013,2.66
,,2013 - 2014,2.87
,,2014 - 2015,1.72
,,2015 - 2016,2.18
,,2016 - 2017,2.79
,,2017 - 2018,2.85
,,2018 - 2019,3.07
,,2019 - 2020,3.27
,,2020 - 2021,3.13
,,2021 - 2022,3.04
,,2022 - 2023,3.07
,Shravasti,2000 - 2001,2.14
,,2001 - 2002,2.48
,,2002 - 2003,2.46
,,2003 - 2004,2.24
,,2004 - 2005,2.02
,,2005 - 2006,1.77
,,2006 - 2007,2.0
,,2007 - 2008,2.22
,,2008 - 2009,2.31
,,2009 - 2010,2.24
,,2010 - 2011,2.55
,,2011 - 2012,2.68
,,2012 - 2013,2.66
,,2013 - 2014,2.87
,,2014 - 2015,1.72
,,2015 - 2016,2.18
,,2016 - 2017,2.79
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.27
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.06
,Siddharth nagar,2000 - 2001,2.34
,,2001 - 2002,2.67
,,2002 - 2003,2.48
,,2003 - 2004,2.28
,,2004 - 2005,2.03
,,2005 - 2006,2.0
,,2006 - 2007,2.33
,,2007 - 2008,2.29
,,2008 - 2009,2.14
,,2009 - 2010,2.33
,,2010 - 2011,2.5
,,2011 - 2012,2.6
,,2012 - 2013,2.6
,,2013 - 2014,2.86
,,2014 - 2015,1.67
,,2015 - 2016,2.17
,,2016 - 2017,2.8
,,2017 - 2018,2.86
,,2018 - 2019,3.0
,,2019 - 2020,3.33
,,2020 - 2021,3.17
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Sitapur,2000 - 2001,1.7
,,2001 - 2002,1.64
,,2002 - 2003,1.74
,,2003 - 2004,1.86
,,2004 - 2005,1.59
,,2005 - 2006,1.57
,,2006 - 2007,1.66
,,2007 - 2008,1.87
,,2008 - 2009,1.89
,,2009 - 2010,1.39
,,2010 - 2011,1.96
,,2011 - 2012,2.31
,,2012 - 2013,2.02
,,2013 - 2014,2.51
,,2014 - 2015,1.36
,,2015 - 2016,0.88
,,2016 - 2017,2.74
,,2017 - 2018,2.62
,,2018 - 2019,2.8
,,2019 - 2020,3.14
,,2020 - 2021,2.84
,,2021 - 2022,2.71
,,2022 - 2023,3.05
,Sonbhadra,2000 - 2001,0.88
,,2001 - 2002,1.04
,,2002 - 2003,0.99
,,2003 - 2004,1.05
,,2004 - 2005,0.66
,,2005 - 2006,0.42
,,2006 - 2007,0.86
,,2007 - 2008,0.71
,,2008 - 2009,0.86
,,2009 - 2010,0.85
,,2010 - 2011,0.9
,,2011 - 2012,1.09
,,2012 - 2013,1.5
,,2013 - 2014,2.12
,,2014 - 2015,1.5
,,2015 - 2016,0.95
,,2016 - 2017,1.77
,,2017 - 2018,1.17
,,2018 - 2019,1.94
,,2019 - 2020,2.86
,,2020 - 2021,2.83
,,2021 - 2022,2.38
,,2022 - 2023,3.07
,Sultanpur,2000 - 2001,2.14
,,2001 - 2002,2.38
,,2002 - 2003,2.45
,,2003 - 2004,2.28
,,2004 - 2005,2.04
,,2005 - 2006,1.86
,,2006 - 2007,2.09
,,2007 - 2008,1.84
,,2008 - 2009,2.25
,,2009 - 2010,2.15
,,2010 - 2011,2.24
,,2011 - 2012,2.62
,,2012 - 2013,2.68
,,2013 - 2014,2.9
,,2014 - 2015,1.72
,,2015 - 2016,2.18
,,2016 - 2017,2.77
,,2017 - 2018,2.85
,,2018 - 2019,3.06
,,2019 - 2020,3.19
,,2020 - 2021,3.14
,,2021 - 2022,3.03
,,2022 - 2023,3.07
,Unnao,2000 - 2001,1.7
,,2001 - 2002,1.64
,,2002 - 2003,1.74
,,2003 - 2004,1.86
,,2004 - 2005,1.59
,,2005 - 2006,1.57
,,2006 - 2007,1.66
,,2007 - 2008,1.87
,,2008 - 2009,1.89
,,2009 - 2010,1.39
,,2010 - 2011,1.96
,,2011 - 2012,2.31
,,2012 - 2013,2.02
,,2013 - 2014,2.51
,,2014 - 2015,1.36
,,2015 - 2016,0.88
,,2016 - 2017,2.74
,,2017 - 2018,2.62
,,2018 - 2019,2.8
,,2019 - 2020,2.95
,,2020 - 2021,2.7
,,2021 - 2022,2.72
,,2022 - 2023,3.05
,Varanasi,2000 - 2001,1.28
,,2001 - 2002,1.68
,,2002 - 2003,1.62
,,2003 - 2004,1.37
,,2004 - 2005,1.33
,,2005 - 2006,1.69
,,2006 - 2007,1.59
,,2007 - 2008,1.88
,,2008 - 2009,1.81
,,2009 - 2010,1.72
,,2010 - 2011,1.85
,,2011 - 2012,1.92
,,2012 - 2013,1.75
,,2013 - 2014,1.85
,,2014 - 2015,1.75
,,2015 - 2016,1.71
,,2016 - 2017,2.29
,,2017 - 2018,2.22
,,2018 - 2019,2.47
,,2019 - 2020,2.47
,,2020 - 2021,2.22
,,2021 - 2022,2.94
,,2022 - 2023,3.07
Uttarakhand,Almora,2000 - 2001,0.85
,,2001 - 2002,0.87
,,2002 - 2003,0.82
,,2003 - 2004,0.7
,,2004 - 2005,1.26
,,2005 - 2006,0.41
,,2006 - 2007,0.99
,,2007 - 2008,0.67
,,2008 - 2009,0.71
,,2009 - 2010,0.81
,,2010 - 2011,1.04
,,2011 - 2012,1.06
,,2012 - 2013,1.2
,,2013 - 2014,1.36
,,2014 - 2015,1.03
,,2015 - 2016,0.53
,,2016 - 2017,0.92
,,2017 - 2018,0.99
,,2018 - 2019,1.09
,,2019 - 2020,1.25
,,2020 - 2021,0.75
,,2021 - 2022,1.06
,,2022 - 2023,1.02
,Bageshwar,2000 - 2001,1.51
,,2001 - 2002,1.26
,,2002 - 2003,1.45
,,2003 - 2004,1.11
,,2004 - 2005,1.37
,,2005 - 2006,0.59
,,2006 - 2007,1.17
,,2007 - 2008,1.17
,,2008 - 2009,1.04
,,2009 - 2010,1.21
,,2010 - 2011,1.29
,,2011 - 2012,1.66
,,2012 - 2013,1.26
,,2013 - 2014,1.29
,,2014 - 2015,0.98
,,2015 - 2016,1.59
,,2016 - 2017,1.46
,,2017 - 2018,1.2
,,2018 - 2019,1.35
,,2019 - 2020,1.49
,,2020 - 2021,1.21
,,2021 - 2022,1.57
,,2022 - 2023,1.34
,Chamoli,2000 - 2001,1.04
,,2001 - 2002,1.47
,,2002 - 2003,1.4
,,2003 - 2004,1.24
,,2004 - 2005,1.41
,,2005 - 2006,1.7
,,2006 - 2007,1.5
,,2007 - 2008,1.39
,,2008 - 2009,0.96
,,2009 - 2010,1.32
,,2010 - 2011,1.5
,,2011 - 2012,1.4
,,2012 - 2013,1.39
,,2013 - 2014,1.39
,,2014 - 2015,1.31
,,2015 - 2016,1.16
,,2016 - 2017,1.28
,,2017 - 2018,1.3
,,2018 - 2019,1.44
,,2019 - 2020,1.45
,,2020 - 2021,1.49
,,2021 - 2022,1.47
,,2022 - 2023,1.6
,Champawat,2000 - 2001,1.47
,,2001 - 2002,1.29
,,2002 - 2003,1.44
,,2003 - 2004,1.44
,,2004 - 2005,1.86
,,2005 - 2006,1.02
,,2006 - 2007,1.02
,,2007 - 2008,1.0
,,2008 - 2009,0.93
,,2009 - 2010,1.23
,,2010 - 2011,1.19
,,2011 - 2012,1.27
,,2012 - 2013,1.37
,,2013 - 2014,1.31
,,2014 - 2015,1.32
,,2015 - 2016,0.66
,,2016 - 2017,1.36
,,2017 - 2018,1.73
,,2018 - 2019,1.7
,,2019 - 2020,1.88
,,2020 - 2021,1.21
,,2021 - 2022,1.57
,,2022 - 2023,1.64
,Dehradun,2000 - 2001,0.22
,,2001 - 2002,1.53
,,2002 - 2003,1.58
,,2003 - 2004,0.96
,,2004 - 2005,1.72
,,2005 - 2006,0.7
,,2006 - 2007,1.56
,,2007 - 2008,1.63
,,2008 - 2009,0.43
,,2009 - 2010,1.7
,,2010 - 2011,2.0
,,2011 - 2012,1.91
,,2012 - 2013,2.04
,,2013 - 2014,2.27
,,2014 - 2015,1.13
,,2015 - 2016,1.46
,,2016 - 2017,1.58
,,2017 - 2018,1.55
,,2018 - 2019,1.63
,,2019 - 2020,2.04
,,2020 - 2021,1.92
,,2021 - 2022,1.89
,,2022 - 2023,2.31
,Haridwar,2000 - 2001,1.18
,,2001 - 2002,1.15
,,2002 - 2003,1.06
,,2003 - 2004,1.0
,,2004 - 2005,1.39
,,2005 - 2006,0.7
,,2006 - 2007,1.1
,,2007 - 2008,1.06
,,2008 - 2009,1.69
,,2009 - 2010,1.31
,,2010 - 2011,2.0
,,2011 - 2012,1.9
,,2012 - 2013,1.23
,,2013 - 2014,1.83
,,2014 - 2015,1.07
,,2015 - 2016,1.17
,,2016 - 2017,1.5
,,2017 - 2018,1.71
,,2018 - 2019,1.29
,,2019 - 2020,2.0
,,2020 - 2021,1.6
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Nainital,2000 - 2001,0.43
,,2001 - 2002,1.19
,,2002 - 2003,1.08
,,2003 - 2004,1.04
,,2004 - 2005,1.53
,,2005 - 2006,0.89
,,2006 - 2007,1.26
,,2007 - 2008,1.16
,,2008 - 2009,1.2
,,2009 - 2010,1.42
,,2010 - 2011,1.51
,,2011 - 2012,1.32
,,2012 - 2013,1.83
,,2013 - 2014,1.39
,,2014 - 2015,1.17
,,2015 - 2016,0.97
,,2016 - 2017,1.38
,,2017 - 2018,1.46
,,2018 - 2019,1.41
,,2019 - 2020,1.74
,,2020 - 2021,1.28
,,2021 - 2022,1.71
,,2022 - 2023,1.39
,Pauri garhwal,2000 - 2001,0.75
,,2001 - 2002,0.95
,,2002 - 2003,1.04
,,2003 - 2004,0.91
,,2004 - 2005,1.15
,,2005 - 2006,0.3
,,2006 - 2007,0.95
,,2007 - 2008,0.84
,,2008 - 2009,0.69
,,2009 - 2010,0.94
,,2010 - 2011,1.08
,,2011 - 2012,1.06
,,2012 - 2013,1.24
,,2013 - 2014,1.23
,,2014 - 2015,1.13
,,2015 - 2016,0.99
,,2016 - 2017,1.15
,,2017 - 2018,1.48
,,2018 - 2019,1.58
,,2019 - 2020,1.46
,,2020 - 2021,1.28
,,2021 - 2022,1.48
,,2022 - 2023,1.34
,Pithoragarh,2000 - 2001,1.43
,,2001 - 2002,1.19
,,2002 - 2003,1.57
,,2003 - 2004,1.19
,,2004 - 2005,1.55
,,2005 - 2006,1.19
,,2006 - 2007,1.38
,,2007 - 2008,1.26
,,2008 - 2009,1.04
,,2009 - 2010,1.37
,,2010 - 2011,1.36
,,2011 - 2012,1.32
,,2012 - 2013,1.43
,,2013 - 2014,1.37
,,2014 - 2015,1.31
,,2015 - 2016,0.96
,,2016 - 2017,1.4
,,2017 - 2018,1.37
,,2018 - 2019,1.42
,,2019 - 2020,1.17
,,2020 - 2021,1.63
,,2021 - 2022,1.67
,,2022 - 2023,1.53
,Rudra prayag,2000 - 2001,1.02
,,2001 - 2002,1.28
,,2002 - 2003,1.52
,,2003 - 2004,1.04
,,2004 - 2005,1.29
,,2005 - 2006,1.1
,,2006 - 2007,1.33
,,2007 - 2008,1.33
,,2008 - 2009,1.18
,,2009 - 2010,1.33
,,2010 - 2011,1.48
,,2011 - 2012,1.63
,,2012 - 2013,1.43
,,2013 - 2014,1.45
,,2014 - 2015,1.18
,,2015 - 2016,1.04
,,2016 - 2017,1.21
,,2017 - 2018,1.24
,,2018 - 2019,1.23
,,2019 - 2020,1.31
,,2020 - 2021,1.19
,,2021 - 2022,1.09
,,2022 - 2023,1.22
,Tehri garhwal,2000 - 2001,0.66
,,2001 - 2002,1.12
,,2002 - 2003,1.19
,,2003 - 2004,1.0
,,2004 - 2005,1.47
,,2005 - 2006,0.62
,,2006 - 2007,1.1
,,2007 - 2008,0.99
,,2008 - 2009,0.77
,,2009 - 2010,0.84
,,2010 - 2011,1.2
,,2011 - 2012,1.24
,,2012 - 2013,1.36
,,2013 - 2014,1.38
,,2014 - 2015,1.22
,,2015 - 2016,1.08
,,2016 - 2017,1.5
,,2017 - 2018,1.27
,,2018 - 2019,1.7
,,2019 - 2020,1.55
,,2020 - 2021,1.23
,,2021 - 2022,1.48
,,2022 - 2023,1.49
,Udam singh nagar,2000 - 2001,1.18
,,2001 - 2002,1.21
,,2002 - 2003,1.1
,,2003 - 2004,1.0
,,2004 - 2005,1.37
,,2005 - 2006,0.88
,,2006 - 2007,1.2
,,2007 - 2008,0.71
,,2008 - 2009,1.21
,,2009 - 2010,1.36
,,2010 - 2011,1.65
,,2011 - 2012,1.16
,,2012 - 2013,0.28
,,2013 - 2014,1.62
,,2014 - 2015,1.14
,,2015 - 2016,1.11
,,2016 - 2017,1.33
,,2017 - 2018,1.57
,,2018 - 2019,1.33
,,2019 - 2020,2.0
,,2020 - 2021,1.6
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Uttar kashi,2000 - 2001,0.98
,,2001 - 2002,1.29
,,2002 - 2003,1.42
,,2003 - 2004,1.16
,,2004 - 2005,1.37
,,2005 - 2006,0.89
,,2006 - 2007,1.48
,,2007 - 2008,1.42
,,2008 - 2009,0.92
,,2009 - 2010,1.1
,,2010 - 2011,1.38
,,2011 - 2012,1.41
,,2012 - 2013,1.57
,,2013 - 2014,1.5
,,2014 - 2015,1.23
,,2015 - 2016,1.39
,,2016 - 2017,1.49
,,2017 - 2018,2.05
,,2018 - 2019,1.49
,,2019 - 2020,1.52
,,2020 - 2021,1.38
,,2021 - 2022,1.43
,,2022 - 2023,1.44
West Bengal,paraganas south,2005 - 2006,0.93
,,2007 - 2008,0.88
,Bankura,2011 - 2012,1.2
,Birbhum,2001 - 2002,1.19
,,2002 - 2003,0.99
,,2003 - 2004,1.31
,,2004 - 2005,1.63
,,2005 - 2006,1.25
,,2006 - 2007,1.01
,,2008 - 2009,1.62
,,2009 - 2010,1.3
,,2010 - 2011,1.38
,,2011 - 2012,1.0
,,2012 - 2013,1.19
,,2013 - 2014,1.29
,,2014 - 2015,1.29
,,2015 - 2016,1.33
,,2016 - 2017,1.37
,,2017 - 2018,1.27
,,2018 - 2019,2.0
,,2019 - 2020,1.7
,,2020 - 2021,1.67
,,2021 - 2022,1.6
,Coochbehar,2008 - 2009,2.0
,,2011 - 2012,1.9
,Darjeeling,2004 - 2005,1.91
,,2011 - 2012,1.5
,,2012 - 2013,1.38
,,2013 - 2014,1.44
,,2014 - 2015,1.4
,,2015 - 2016,1.42
,,2016 - 2017,1.42
,Dinajpur dakshin,2000 - 2001,1.07
,,2001 - 2002,0.81
,,2002 - 2003,0.62
,,2003 - 2004,1.23
,Dinajpur uttar,2000 - 2001,0.5
,,2001 - 2002,0.38
,,2002 - 2003,1.0
,,2003 - 2004,1.23
,,2004 - 2005,1.89
,,2005 - 2006,1.41
,,2006 - 2007,1.29
,,2007 - 2008,1.56
,,2008 - 2009,1.94
,,2009 - 2010,1.2
,,2010 - 2011,1.36
,,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2013 - 2014,1.67
,,2014 - 2015,1.53
,,2015 - 2016,1.59
,,2016 - 2017,1.61
,Jalpaiguri,2001 - 2002,1.04
,,2003 - 2004,1.25
,,2004 - 2005,1.9
,,2006 - 2007,1.25
,,2007 - 2008,1.5
,,2009 - 2010,1.15
,,2010 - 2011,1.33
,,2011 - 2012,1.4
,,2012 - 2013,1.27
,,2013 - 2014,1.38
,,2014 - 2015,1.4
,,2015 - 2016,1.27
,,2016 - 2017,1.3
,,2022 - 2023,1.86
,Kalimpong,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2019 - 2020,2.6
,,2020 - 2021,2.6
,,2021 - 2022,2.5
,Maldah,2000 - 2001,0.54
,,2001 - 2002,1.04
,,2002 - 2003,1.01
,,2003 - 2004,1.23
,,2004 - 2005,2.04
,,2005 - 2006,1.41
,,2006 - 2007,1.43
,,2007 - 2008,1.61
,,2008 - 2009,1.97
,,2009 - 2010,1.13
,,2010 - 2011,1.38
,,2011 - 2012,1.47
,,2012 - 2013,1.42
,,2013 - 2014,1.42
,,2014 - 2015,1.39
,,2015 - 2016,1.4
,,2016 - 2017,1.41
,,2017 - 2018,1.42
,Murshidabad,2000 - 2001,0.49
,,2001 - 2002,1.17
,,2002 - 2003,0.89
,,2003 - 2004,1.65
,,2004 - 2005,0.87
,,2005 - 2006,0.83
,,2006 - 2007,0.43
,,2007 - 2008,0.85
,,2008 - 2009,1.13
,,2009 - 2010,1.96
,,2010 - 2011,1.38
,,2011 - 2012,1.33
,,2012 - 2013,1.84
,,2013 - 2014,1.5
,,2014 - 2015,1.43
,,2015 - 2016,1.41
,,2016 - 2017,1.42
,,2017 - 2018,1.43
,,2018 - 2019,1.9
,,2019 - 2020,1.92
,,2020 - 2021,1.89
,,2021 - 2022,1.33
,Nadia,2000 - 2001,0.5
,,2001 - 2002,1.72
,,2002 - 2003,0.55
,,2003 - 2004,1.39
,,2004 - 2005,0.78
,,2005 - 2006,0.9
,,2006 - 2007,0.55
,,2007 - 2008,0.88
,,2008 - 2009,1.19
,,2009 - 2010,1.96
,,2010 - 2011,1.38
,,2011 - 2012,1.6
,,2012 - 2013,1.67
,,2013 - 2014,1.51
,,2014 - 2015,1.5
,,2015 - 2016,1.44
,,2016 - 2017,1.47
,Purba bardhaman,2001 - 2002,1.19
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2018 - 2019,0.67
