state,district,year,masoor_rabi_yield_tonne_per_hectare
,,2015 - 2016,0.73
,,2016 - 2017,0.83
,,2017 - 2018,1.11
,,2018 - 2019,1.2
,,2019 - 2020,0.73
,,2020 - 2021,0.69
,,2021 - 2022,0.94
,,2022 - 2023,0.82
,Jalpaiguri,2000 - 2001,0.63
,,2001 - 2002,0.49
,,2002 - 2003,0.53
,,2003 - 2004,0.46
,,2004 - 2005,0.37
,,2005 - 2006,0.35
,,2006 - 2007,0.39
,,2007 - 2008,0.45
,,2008 - 2009,0.39
,,2009 - 2010,0.36
,,2010 - 2011,0.39
,,2011 - 2012,0.38
,,2012 - 2013,0.51
,,2013 - 2014,0.57
,,2014 - 2015,0.64
,,2015 - 2016,0.66
,,2016 - 2017,0.43
,,2017 - 2018,0.55
,,2018 - 2019,0.37
,,2019 - 2020,0.41
,,2020 - 2021,0.51
,,2021 - 2022,0.44
,,2022 - 2023,0.56
,Jhargram,2016 - 2017,0.91
,,2017 - 2018,0.66
,,2018 - 2019,1.62
,,2019 - 2020,0.69
,,2020 - 2021,1.47
,,2021 - 2022,1.57
,,2022 - 2023,1.83
,Maldah,2000 - 2001,1.07
,,2001 - 2002,0.84
,,2002 - 2003,0.49
,,2003 - 2004,1.0
,,2004 - 2005,0.74
,,2005 - 2006,0.82
,,2006 - 2007,0.74
,,2007 - 2008,0.99
,,2008 - 2009,0.8
,,2009 - 2010,0.95
,,2010 - 2011,0.91
,,2011 - 2012,0.92
,,2012 - 2013,1.02
,,2013 - 2014,1.0
,,2014 - 2015,0.69
,,2015 - 2016,0.97
,,2016 - 2017,1.01
,,2017 - 2018,0.92
,,2018 - 2019,1.15
,,2019 - 2020,0.92
,,2020 - 2021,0.96
,,2021 - 2022,1.25
,,2022 - 2023,1.23
,Medinipur east,2000 - 2001,1.36
,,2001 - 2002,0.4
,,2002 - 2003,0.67
,,2005 - 2006,0.59
,,2013 - 2014,1.12
,,2014 - 2015,1.25
,,2015 - 2016,0.72
,,2016 - 2017,1.0
,,2017 - 2018,0.87
,,2018 - 2019,0.84
,,2019 - 2020,0.78
,,2020 - 2021,1.36
,,2021 - 2022,0.84
,,2022 - 2023,1.35
,Medinipur west,2000 - 2001,1.34
,,2001 - 2002,0.0
,,2002 - 2003,0.68
,,2003 - 2004,0.6
,,2004 - 2005,0.33
,,2005 - 2006,0.59
,,2006 - 2007,0.59
,,2007 - 2008,0.87
,,2008 - 2009,1.17
,,2009 - 2010,0.72
,,2010 - 2011,0.69
,,2011 - 2012,1.03
,,2012 - 2013,1.24
,,2013 - 2014,1.35
,,2014 - 2015,1.82
,,2015 - 2016,1.15
,,2016 - 2017,1.02
,,2017 - 2018,1.36
,,2018 - 2019,1.57
,,2019 - 2020,1.24
,,2020 - 2021,1.63
,,2021 - 2022,1.26
,,2022 - 2023,1.44
,Murshidabad,2000 - 2001,0.94
,,2001 - 2002,0.58
,,2002 - 2003,0.6
,,2003 - 2004,0.77
,,2004 - 2005,0.56
,,2005 - 2006,0.89
,,2006 - 2007,0.79
,,2007 - 2008,0.78
,,2008 - 2009,0.65
,,2009 - 2010,1.07
,,2010 - 2011,0.93
,,2011 - 2012,0.83
,,2012 - 2013,0.98
,,2013 - 2014,1.03
,,2014 - 2015,1.14
,,2015 - 2016,0.46
,,2016 - 2017,1.04
,,2017 - 2018,1.2
,,2018 - 2019,0.83
,,2019 - 2020,0.89
,,2020 - 2021,1.04
,,2021 - 2022,0.67
,,2022 - 2023,0.82
,Nadia,2000 - 2001,0.86
,,2001 - 2002,0.37
,,2002 - 2003,0.76
,,2003 - 2004,0.78
,,2004 - 2005,0.66
,,2005 - 2006,0.77
,,2006 - 2007,0.68
,,2007 - 2008,0.73
,,2008 - 2009,0.76
,,2009 - 2010,0.95
,,2010 - 2011,1.09
,,2011 - 2012,0.58
,,2012 - 2013,1.04
,,2013 - 2014,0.96
,,2014 - 2015,0.93
,,2015 - 2016,0.66
,,2016 - 2017,0.84
,,2017 - 2018,0.97
,,2018 - 2019,0.61
,,2019 - 2020,0.73
,,2020 - 2021,0.79
,,2021 - 2022,0.56
,,2022 - 2023,1.18
,Paschim bardhaman,2016 - 2017,0.58
,,2017 - 2018,0.91
,,2018 - 2019,0.71
,,2019 - 2020,0.76
,,2020 - 2021,0.74
,,2021 - 2022,0.72
,,2022 - 2023,0.94
,Purba bardhaman,2000 - 2001,1.4
,,2001 - 2002,0.59
,,2002 - 2003,1.07
,,2003 - 2004,0.67
,,2004 - 2005,0.83
,,2005 - 2006,0.94
,,2006 - 2007,0.3
,,2007 - 2008,0.47
,,2008 - 2009,0.57
,,2009 - 2010,0.72
,,2010 - 2011,1.07
,,2011 - 2012,0.77
,,2012 - 2013,0.97
,,2013 - 2014,0.92
,,2014 - 2015,0.81
,,2015 - 2016,0.5
,,2016 - 2017,0.75
,,2017 - 2018,1.15
,,2018 - 2019,0.98
,,2019 - 2020,0.89
,,2020 - 2021,0.96
,,2021 - 2022,0.9
,,2022 - 2023,0.93
,Purulia,2001 - 2002,0.68
,,2002 - 2003,0.42
,,2003 - 2004,0.71
,,2004 - 2005,0.63
,,2005 - 2006,0.21
,,2006 - 2007,0.61
,,2007 - 2008,0.88
,,2008 - 2009,0.53
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2012 - 2013,0.9
,,2013 - 2014,0.29
,,2014 - 2015,0.61
,,2015 - 2016,0.63
,,2016 - 2017,0.8
,,2017 - 2018,0.25
,,2018 - 2019,0.37
,,2019 - 2020,0.26
,,2020 - 2021,0.45
,,2021 - 2022,0.59
,,2022 - 2023,0.4
