State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,,,,95,79,0.83,,,,,,
,37. Ratlam,2005 - 2006,,,,"1,067.00",763,0.72,,,,,,
,,2006 - 2007,,,,"1,097.00",951,0.87,,,,,,
,,2007 - 2008,,,,"1,171.00","1,016.00",0.87,,,,,,
,,2008 - 2009,,,,"1,035.00",730,0.71,,,,,,
,,2009 - 2010,,,,,,,"1,029.00",893,0.87,,,
,,2010 - 2011,,,,"1,200.00",703,0.59,,,,,,
,,2011 - 2012,,,,"1,166.00",854,0.73,,,,,,
,,2012 - 2013,,,,"1,355.00","1,560.00",1.15,,,,,,
,,2013 - 2014,,,,"1,607.00","1,762.00",1.1,,,,,,
,,2014 - 2015,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2015 - 2016,,,,"5,000.00","4,000.00",0.8,,,,,,
,,2016 - 2017,,,,"3,000.00","3,000.00",1,,,,,,
,,2017 - 2018,,,,"5,400.00","7,280.00",1.35,,,,,,
,,2018 - 2019,,,,"3,334.00","3,473.00",1.04,,,,,,
,,2019 - 2020,,,,"2,142.00","1,476.00",0.69,,,,,,
,,2020 - 2021,,,,"3,117.00","4,114.00",1.32,,,,,,
,,2021 - 2022,,,,"2,633.00","2,054.00",0.78,,,,,,
,,2022 - 2023,,,,"1,863.00","1,993.00",1.07,,,,,,
,38. Rewa,2005 - 2006,,,,636,310,0.49,,,,,,
,,2006 - 2007,,,,712,288,0.4,,,,,,
,,2007 - 2008,,,,772,320,0.41,,,,,,
,,2008 - 2009,,,,725,398,0.55,,,,,,
,,2009 - 2010,,,,,,,697,383,0.55,,,
,,2010 - 2011,,,,824,258,0.31,,,,,,
,,2011 - 2012,,,,967,331,0.34,,,,,,
,,2012 - 2013,,,,802,355,0.44,,,,,,
,,2013 - 2014,,,,757,451,0.6,,,,,,
,,2015 - 2016,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2017 - 2018,,,,"1,080.00","1,430.00",1.32,,,,,,
,,2018 - 2019,,,,639,589,0.92,,,,,,
,,2019 - 2020,,,,216,176,0.81,,,,,,
,,2020 - 2021,,,,286,259,0.91,,,,,,
,,2021 - 2022,,,,291,237,0.81,,,,,,
,,2022 - 2023,,,,304,254,0.84,,,,,,
,39. Sagar,2005 - 2006,,,,"8,694.00","4,090.00",0.47,,,,,,
,,2006 - 2007,,,,"8,110.00","3,885.00",0.48,,,,,,
,,2007 - 2008,,,,"8,004.00","3,629.00",0.45,,,,,,
,,2008 - 2009,,,,"10,826.00","5,556.00",0.51,,,,,,
,,2009 - 2010,,,,,,,"12,194.00","6,258.00",0.51,,,
,,2010 - 2011,,,,"13,750.00","4,221.00",0.31,,,,,,
,,2011 - 2012,,,,"13,600.00","4,817.00",0.35,,,,,,
,,2012 - 2013,,,,"14,252.00","10,584.00",0.74,,,,,,
,,2013 - 2014,,,,"15,442.00","8,901.00",0.58,,,,,,
,,2014 - 2015,,,,"11,000.00","8,000.00",0.73,,,,,,
,,2015 - 2016,,,,"26,000.00","28,000.00",1.08,,,,,,
,,2016 - 2017,,,,"55,000.00","23,000.00",0.42,,,,,,
,,2017 - 2018,,,,"3,630.00","4,090.00",1.13,,,,,,
,,2018 - 2019,,,,960,"1,171.00",1.22,,,,,,
,,2019 - 2020,,,,772,821,1.06,,,,,,
,,2020 - 2021,,,,495,494,1,,,,,,
,,2021 - 2022,,,,954,878,0.92,,,,,,
,,2022 - 2023,,,,"1,615.00","1,562.00",0.97,,,,,,
,40. Satna,2005 - 2006,,,,"1,545.00",781,0.51,,,,,,
,,2006 - 2007,,,,"1,373.00",533,0.39,,,,,,
,,2007 - 2008,,,,"1,419.00",443,0.31,,,,,,
,,2008 - 2009,,,,"1,505.00",698,0.46,,,,,,
,,2009 - 2010,,,,,,,"1,530.00",839,0.55,,,
,,2010 - 2011,,,,"4,511.00","1,247.00",0.28,,,,,,
,,2011 - 2012,,,,"3,839.00","1,207.00",0.31,,,,,,
,,2012 - 2013,,,,"3,228.00","1,400.00",0.43,,,,,,
,,2013 - 2014,,,,"2,787.00",967,0.35,,,,,,
,,2014 - 2015,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2015 - 2016,,,,"6,000.00","6,000.00",1,,,,,,
,,2016 - 2017,,,,"7,000.00","7,000.00",1,,,,,,
,,2017 - 2018,,,,"11,500.00","12,220.00",1.06,,,,,,
,,2018 - 2019,,,,917,338,0.37,,,,,,
,,2019 - 2020,,,,352,175,0.5,,,,,,
,,2020 - 2021,,,,450,498,1.11,,,,,,
,,2021 - 2022,,,,358,296,0.83,,,,,,
,,2022 - 2023,,,,511,422,0.83,,,,,,
,41. Sehore,2005 - 2006,,,,34,22,0.65,,,,,,
,,2006 - 2007,,,,"1,245.00",540,0.43,,,,,,
,,2007 - 2008,,,,"1,019.00",442,0.43,,,,,,
,,2008 - 2009,,,,"1,036.00",450,0.43,,,,,,
,,2009 - 2010,,,,,,,"1,170.00",676,0.58,,,
,,2010 - 2011,,,,"1,512.00",436,0.29,,,,,,
,,2011 - 2012,,,,"1,238.00",582,0.47,,,,,,
,,2012 - 2013,,,,"1,222.00",533,0.44,,,,,,
,,2013 - 2014,,,,"1,414.00",665,0.47,,,,,,
,,2014 - 2015,,,,"1,000.00","3,000.00",3,,,,,,
,,2015 - 2016,,,,"4,000.00","4,000.00",1,,,,,,
,,2017 - 2018,,,,"8,700.00","5,260.00",0.6,,,,,,
,,2018 - 2019,,,,234,117,0.5,,,,,,
,,2019 - 2020,,,,143,84,0.59,,,,,,
,,2020 - 2021,,,,107,143,1.34,,,,,,
,,2021 - 2022,,,,14,9,0.64,,,,,,
,,2022 - 2023,,,,51,44,0.86,,,,,,
,42. Seoni,2005 - 2006,,,,"7,948.00","2,873.00",0.36,,,,,,
,,2006 - 2007,,,,"7,926.00","3,104.00",0.39,,,,,,
,,2007 - 2008,,,,"7,825.00","2,828.00",0.36,,,,,,
,,2008 - 2009,,,,"7,818.00","2,826.00",0.36,,,,,,
,,2009 - 2010,,,,,,,"7,966.00","2,879.00",0.36,,,
,,2010 - 2011,,,,"11,407.00","3,050.00",0.27,,,,,,
,,2011 - 2012,,,,"10,586.00","2,832.00",0.27,,,,,,
,,2012 - 2013,,,,"9,180.00","5,325.00",0.58,,,,,,
,,2013 - 2014,,,,"8,759.00","6,332.00",0.72,,,,,,
,,2014 - 2015,,,,"7,000.00","8,000.00",1.14,,,,,,
,,2015 - 2016,,,,"28,000.00","16,000.00",0.57,,,,,,
,,2016 - 2017,,,,"42,000.00","27,000.00",0.64,,,,,,
,,2017 - 2018,,,,"10,340.00","8,500.00",0.82,,,,,,
,,2018 - 2019,,,,"2,514.00","1,272.00",0.51,,,,,,
,,2019 - 2020,,,,"2,723.00","1,673.00",0.61,,,,,,
,,2020 - 2021,,,,"2,088.00","1,207.00",0.58,,,,,,
,,2021 - 2022,,,,"2,129.00","1,277.00",0.6,,,,,,
,,2022 - 2023,,,,"1,961.00","1,243.00",0.63,,,,,,
,43. Shahdol,2005 - 2006,,,,619,212,0.34,,,,,,
,,2006 - 2007,,,,587,193,0.33,,,,,,
,,2007 - 2008,,,,431,163,0.38,,,,,,
,,2008 - 2009,,,,549,189,0.34,,,,,,
,,2009 - 2010,,,,,,,509,175,0.34,,,
,,2010 - 2011,,,,582,147,0.25,,,,,,
,,2011 - 2012,,,,604,140,0.23,,,,,,
,,2012 - 2013,,,,640,412,0.64,,,,,,
,,2013 - 2014,,,,"1,860.00","1,815.00",0.98,,,,,,
,,2014 - 2015,,,,"2,000.00","2,000.00",1,,,,,,
,,2015 - 2016,,,,"2,000.00","2,000.00",1,,,,,,
,,2017 - 2018,,,,"6,400.00","4,100.00",0.64,,,,,,
,,2018 - 2019,,,,306,189,0.62,,,,,,
,,2019 - 2020,,,,488,360,0.74,,,,,,
,,2020 - 2021,,,,838,761,0.91,,,,,,
,,2021 - 2022,,,,717,528,0.74,,,,,,
,,2022 - 2023,,,,824,625,0.76,,,,,,
,44. Shajapur,2005 - 2006,,,,358,112,0.31,,,,,,
,,2006 - 2007,,,,847,372,0.44,,,,,,
,,2007 - 2008,,,,538,162,0.3,,,,,,
,,2008 - 2009,,,,391,118,0.3,,,,,,
,,2009 - 2010,,,,,,,473,210,0.44,,,
,,2010 - 2011,,,,514,107,0.21,,,,,,
,,2011 - 2012,,,,577,150,0.26,,,,,,
,,2012 - 2013,,,,573,258,0.45,,,,,,
,,2013 - 2014,,,,367,212,0.58,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2017 - 2018,,,,380,220,0.58,,,,,,
,,2018 - 2019,,,,79,30,0.38,,,,,,
,,2019 - 2020,,,,77,40,0.52,,,,,,
,,2020 - 2021,,,,111,84,0.76,,,,,,
,,2021 - 2022,,,,26,11,0.42,,,,,,
,,2022 - 2023,,,,37,23,0.62,,,,,,
,45. Sheopur,2005 - 2006,,,,"1,115.00",483,0.43,,,,,,
,,2006 - 2007,,,,11,7,0.64,,,,,,
,,2007 - 2008,,,,13,8,0.62,,,,,,
,,2008 - 2009,,,,28,18,0.64,,,,,,
,,2009 - 2010,,,,,,,18,13,0.72,,,
,,2010 - 2011,,,,6,2,0.33,,,,,,
,,2011 - 2012,,,,17,6,0.35,,,,,,
,,2012 - 2013,,,,10,10,1,,,,,,
,,2013 - 2014,,,,23,31,1.35,,,,,,
,,2017 - 2018,,,,140,130,0.93,,,,,,
,,2018 - 2019,,,,11,17,1.55,,,,,,
,,2019 - 2020,,,,9,12,1.33,,,,,,
,,2020 - 2021,,,,26,31,1.19,,,,,,
,,2021 - 2022,,,,5,4,0.8,,,,,,
,,2022 - 2023,,,,21,24,1.14,,,,,,
,46. Shivpuri,2005 - 2006,,,,"1,452.00",833,0.57,,,,,,
,,2006 - 2007,,,,"1,122.00",568,0.51,,,,,,
,,2007 - 2008,,,,"1,033.00",435,0.42,,,,,,
,,2008 - 2009,,,,"1,343.00",691,0.51,,,,,,
,,2009 - 2010,,,,,,,"1,559.00",868,0.56,,,
,,2010 - 2011,,,,"1,425.00",580,0.41,,,,,,
,,2011 - 2012,,,,"1,411.00",566,0.4,,,,,,
,,2012 - 2013,,,,"1,797.00",732,0.41,,,,,,
,,2013 - 2014,,,,"1,398.00",837,0.6,,,,,,
,,2014 - 2015,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2015 - 2016,,,,"7,000.00","4,000.00",0.57,,,,,,
,,2018 - 2019,,,,394,273,0.69,,,,,,
,,2019 - 2020,,,,477,310,0.65,,,,,,
,,2020 - 2021,,,,"1,239.00","1,759.00",1.42,,,,,,
,,2021 - 2022,,,,"1,140.00",857,0.75,,,,,,
,,2022 - 2023,,,,"1,189.00","1,023.00",0.86,,,,,,
,47. Sidhi,2005 - 2006,,,,"1,432.00",730,0.51,,,,,,
,,2006 - 2007,,,,"1,506.00",768,0.51,,,,,,
,,2007 - 2008,,,,"1,501.00",683,0.46,,,,,,
,,2008 - 2009,,,,590,320,0.54,,,,,,
,,2009 - 2010,,,,,,,587,356,0.61,,,
,,2010 - 2011,,,,600,211,0.35,,,,,,
,,2011 - 2012,,,,650,241,0.37,,,,,,
,,2012 - 2013,,,,653,281,0.43,,,,,,
,,2013 - 2014,,,,677,314,0.46,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"3,000.00","2,000.00",0.67,,,,,,
,,2017 - 2018,,,,700,360,0.51,,,,,,
,,2018 - 2019,,,,546,271,0.5,,,,,,
,,2019 - 2020,,,,468,233,0.5,,,,,,
,,2020 - 2021,,,,557,585,1.05,,,,,,
,,2021 - 2022,,,,418,291,0.7,,,,,,
,,2022 - 2023,,,,454,316,0.7,,,,,,
,48. Singrauli,2008 - 2009,,,,883,479,0.54,,,,,,
,,2009 - 2010,,,,,,,889,675,0.76,,,
,,2010 - 2011,,,,833,456,0.55,,,,,,
,,2011 - 2012,,,,880,448,0.51,,,,,,
,,2012 - 2013,,,,827,774,0.94,,,,,,
,,2013 - 2014,,,,919,"1,350.00",1.47,,,,,,
,,2015 - 2016,,,,"2,000.00","2,000.00",1,,,,,,
,,2018 - 2019,,,,"1,053.00","1,316.00",1.25,,,,,,
,,2019 - 2020,,,,952,"1,259.00",1.32,,,,,,
,,2020 - 2021,,,,"2,089.00","2,214.00",1.06,,,,,,
,,2021 - 2022,,,,"3,427.00","3,050.00",0.89,,,,,,
,,2022 - 2023,,,,"4,236.00","4,558.00",1.08,,,,,,
,49. Tikamgarh,2005 - 2006,,,,"17,786.00","8,679.00",0.49,,,,,,
,,2006 - 2007,,,,"10,865.00","4,948.00",0.46,,,,,,
,,2007 - 2008,,,,"3,383.00","1,211.00",0.36,,,,,,
,,2008 - 2009,,,,"19,482.00","10,774.00",0.55,,,,,,
,,2009 - 2010,,,,,,,"16,233.00","8,801.00",0.54,,,
,,2010 - 2011,,,,"11,495.00","2,659.00",0.23,,,,,,
,,2011 - 2012,,,,"7,867.00","2,957.00",0.38,,,,,,
,,2012 - 2013,,,,"8,658.00","3,756.00",0.43,,,,,,
,,2013 - 2014,,,,"8,877.00","6,470.00",0.73,,,,,,
,,2014 - 2015,,,,"7,000.00","6,000.00",0.86,,,,,,
,,2015 - 2016,,,,"4,000.00","3,000.00",0.75,,,,,,
,,2016 - 2017,,,,"13,000.00","16,000.00",1.23,,,,,,
,,2017 - 2018,,,,"14,100.00","16,780.00",1.19,,,,,,
,,2018 - 2019,,,,"2,399.00","2,028.00",0.85,,,,,,
,,2019 - 2020,,,,"1,718.00","2,129.00",1.24,,,,,,
,,2020 - 2021,,,,"4,062.00","5,281.00",1.3,,,,,,
,,2021 - 2022,,,,"7,962.00","7,245.00",0.91,,,,,,
,,2022 - 2023,,,,"3,518.00","3,905.00",1.11,,,,,,
,50. Ujjain,2005 - 2006,,,,87,37,0.43,,,,,,
,,2006 - 2007,,,,142,67,0.47,,,,,,
,,2007 - 2008,,,,"1,543.00",497,0.32,,,,,,
,,2008 - 2009,,,,273,103,0.38,,,,,,
,,2009 - 2010,,,,,,,387,159,0.41,,,
,,2010 - 2011,,,,507,142,0.28,,,,,,
,,2011 - 2012,,,,549,181,0.33,,,,,,
,,2012 - 2013,,,,668,247,0.37,,,,,,
,,2013 - 2014,,,,762,480,0.63,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"7,000.00","4,000.00",0.57,,,,,,
,,2017 - 2018,,,,"16,890.00","7,970.00",0.47,,,,,,
,,2018 - 2019,,,,"8,208.00","3,155.00",0.38,,,,,,
,,2019 - 2020,,,,"5,305.00","3,329.00",0.63,,,,,,
,,2020 - 2021,,,,"5,455.00","5,509.00",1.01,,,,,,
,,2021 - 2022,,,,"4,091.00","2,250.00",0.55,,,,,,
,,2022 - 2023,,,,"2,715.00","2,036.00",0.75,,,,,,
,51. Umaria,2005 - 2006,,,,"1,433.00",570,0.4,,,,,,
,,2006 - 2007,,,,"1,705.00",587,0.34,,,,,,
,,2007 - 2008,,,,"1,760.00",641,0.36,,,,,,
,,2008 - 2009,,,,"1,892.00",752,0.4,,,,,,
,,2009 - 2010,,,,,,,"2,191.00","1,016.00",0.46,,,
,,2010 - 2011,,,,"2,800.00",405,0.14,,,,,,
,,2011 - 2012,,,,"2,551.00",737,0.29,,,,,,
,,2012 - 2013,,,,"2,333.00",928,0.4,,,,,,
,,2013 - 2014,,,,"2,581.00","1,884.00",0.73,,,,,,
,,2014 - 2015,,,,"3,000.00","3,000.00",1,,,,,,
,,2015 - 2016,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2016 - 2017,,,,"3,000.00","2,000.00",0.67,,,,,,
,,2017 - 2018,,,,"4,400.00","2,520.00",0.57,,,,,,
,,2018 - 2019,,,,"1,032.00",597,0.58,,,,,,
,,2019 - 2020,,,,628,369,0.59,,,,,,
,,2020 - 2021,,,,"1,162.00",790,0.68,,,,,,
,,2021 - 2022,,,,"1,037.00",615,0.59,,,,,,
,,2022 - 2023,,,,"1,985.00","1,211.00",0.61,,,,,,
,52. Vidisha,2005 - 2006,,,,"2,711.00","1,713.00",0.63,,,,,,
,,2006 - 2007,,,,"2,685.00","1,745.00",0.65,,,,,,
,,2007 - 2008,,,,"4,024.00","2,101.00",0.52,,,,,,
,,2008 - 2009,,,,"4,260.00","2,496.00",0.59,,,,,,
,,2009 - 2010,,,,,,,"3,529.00","2,262.00",0.64,,,
,,2010 - 2011,,,,"4,105.00","1,810.00",0.44,,,,,,
,,2011 - 2012,,,,"4,912.00","2,528.00",0.51,,,,,,
,,2012 - 2013,,,,"5,121.00","3,455.00",0.67,,,,,,
,,2013 - 2014,,,,"6,918.00","4,001.00",0.58,,,,,,
,,2014 - 2015,,,,"5,000.00","8,000.00",1.6,,,,,,
,,2015 - 2016,,,,"6,000.00","3,000.00",0.5,,,,,,
,,2016 - 2017,,,,"14,000.00","15,000.00",1.07,,,,,,
,,2017 - 2018,,,,"20,500.00","21,220.00",1.04,,,,,,
,,2018 - 2019,,,,341,230,0.67,,,,,,
,,2019 - 2020,,,,144,97,0.67,,,,,,
,,2020 - 2021,,,,303,194,0.64,,,,,,
,,2021 - 2022,,,,170,123,0.72,,,,,,
,,2022 - 2023,,,,212,171,0.81,,,,,,
12. Manipur,1. Bishnupur,2000 - 2001,160,80,0.5,,,,,,,,,
,,2001 - 2002,170,80,0.47,,,,,,,,,
,,2002 - 2003,50,30,0.6,,,,,,,,,
,,2003 - 2004,50,30,0.6,,,,,,,,,
,,2004 - 2005,110,50,0.45,,,,,,,,,
,,2005 - 2006,100,60,0.6,,,,,,,,,
,,2006 - 2007,260,130,0.5,,,,,,,,,
,,2007 - 2008,210,110,0.52,,,,,,,,,
,,2008 - 2009,,,,"2,450.00","1,953.00",0.8,,,,,,
,,2009 - 2010,,,,"6,130.00","5,836.00",0.95,,,,,,
,,2010 - 2011,,,,"2,500.00","2,142.50",0.86,,,,,,
,,2011 - 2012,,,,"2,674.00","2,647.00",0.99,,,,,,
,,2012 - 2013,,,,"2,735.00","2,694.00",0.99,,,,,,
,,2013 - 2014,,,,"2,715.00","2,482.00",0.91,,,,,,
,,2014 - 2015,,,,"2,715.00","2,647.00",0.97,,,,,,
,,2015 - 2016,,,,"2,730.00","2,580.00",0.95,,,,,,
,,2016 - 2017,,,,"2,735.00","2,601.00",0.95,,,,,,
,,2017 - 2018,,,,"2,724.00","2,607.00",0.96,,,,,,
,,2018 - 2019,,,,"2,441.00","2,336.00",0.96,,,,,,
,2. Chandel,2000 - 2001,450,290,0.64,,,,,,,,,
,,2001 - 2002,200,100,0.5,,,,,,,,,
,,2002 - 2003,360,190,0.53,,,,,,,,,
,,2003 - 2004,560,290,0.52,,,,,,,,,
,,2004 - 2005,560,290,0.52,,,,,,,,,
,,2005 - 2006,970,490,0.51,,,,,,,,,
,,2006 - 2007,820,420,0.51,,,,,,,,,
,,2007 - 2008,680,340,0.5,,,,,,,,,
,,2008 - 2009,,,,"1,093.00","1,127.00",1.03,,,,,,
,,2009 - 2010,,,,"2,200.00","1,626.00",0.74,,,,,,
,,2010 - 2011,,,,"1,180.00","1,158.80",0.98,,,,,,
,,2011 - 2012,,,,"1,280.00","1,283.00",1,,,,,,
,,2012 - 2013,,,,"1,308.00","1,214.00",0.93,,,,,,
,,2013 - 2014,,,,"1,288.00","1,181.00",0.92,,,,,,
,,2014 - 2015,,,,"1,288.00","1,202.00",0.93,,,,,,
,,2015 - 2016,,,,"1,310.00","1,205.00",0.92,,,,,,
,,2016 - 2017,,,,"1,311.00","1,219.20",0.93,,,,,,
,,2017 - 2018,,,,"1,314.00","1,233.00",0.94,,,,,,
,,2018 - 2019,,,,"1,490.00","1,259.00",0.84,,,,,,
,3. Churachandpur,2000 - 2001,440,220,0.5,,,,,,,,,
,,2001 - 2002,710,360,0.51,,,,,,,,,
,,2002 - 2003,430,220,0.51,,,,,,,,,
,,2003 - 2004,180,90,0.5,,,,,,,,,
,,2004 - 2005,"1,130.00",580,0.51,,,,,,,,,
,,2005 - 2006,70,40,0.57,,,,,,,,,
,,2006 - 2007,"1,460.00",740,0.51,,,,,,,,,
,,2007 - 2008,"1,720.00",880,0.51,,,,,,,,,
,,2008 - 2009,,,,"1,139.00",934,0.82,,,,,,
,,2009 - 2010,,,,"2,100.00","1,544.00",0.74,,,,,,
,,2010 - 2011,,,,"1,230.00","1,082.40",0.88,,,,,,
,,2011 - 2012,,,,"1,330.00","1,284.00",0.97,,,,,,
,,2012 - 2013,,,,"1,324.00","1,245.00",0.94,,,,,,
,,2013 - 2014,,,,"1,284.00","1,183.00",0.92,,,,,,
,,2014 - 2015,,,,"1,294.00","1,235.00",0.95,,,,,,
,,2015 - 2016,,,,"1,320.00","1,241.00",0.94,,,,,,
,,2016 - 2017,,,,"1,322.00","1,253.00",0.95,,,,,,
,,2017 - 2018,,,,"1,330.00","1,282.00",0.96,,,,,,
,,2018 - 2019,,,,"1,410.00","1,327.00",0.94,,,,,,
,4. Imphal east,2000 - 2001,990,510,0.52,,,,,,,,,
,,2001 - 2002,"1,060.00",540,0.51,,,,,,,,,
,,2002 - 2003,640,320,0.5,,,,,,,,,
,,2003 - 2004,670,340,0.51,,,,,,,,,
,,2004 - 2005,730,380,0.52,,,,,,,,,
,,2005 - 2006,900,460,0.51,,,,,,,,,
,,2006 - 2007,"1,160.00",600,0.52,,,,,,,,,
,,2007 - 2008,650,330,0.51,,,,,,,,,
,,2008 - 2009,,,,"1,930.00","1,405.00",0.73,,,,,,
,,2009 - 2010,,,,"5,560.00","5,171.00",0.93,,,,,,
,,2010 - 2011,,,,"2,000.00","1,780.00",0.89,,,,,,
,,2011 - 2012,,,,"2,260.00","2,083.70",0.92,,,,,,
,,2012 - 2013,,,,"2,510.00","2,372.00",0.95,,,,,,
,,2013 - 2014,,,,"2,460.00","2,374.00",0.97,,,,,,
,,2014 - 2015,,,,"2,470.00","2,373.70",0.96,,,,,,
,,2015 - 2016,,,,"2,495.00","2,370.00",0.95,,,,,,
,,2016 - 2017,,,,"2,497.00","2,407.10",0.96,,,,,,
,,2017 - 2018,,,,"2,500.00","2,425.00",0.97,,,,,,
,,2018 - 2019,,,,"2,505.00","2,410.00",0.96,,,,,,
,5. Imphal west,2000 - 2001,380,190,0.5,,,,,,,,,
,,2001 - 2002,140,80,0.57,,,,,,,,,
,,2002 - 2003,520,260,0.5,,,,,,,,,
,,2003 - 2004,170,90,0.53,,,,,,,,,
,,2004 - 2005,340,170,0.5,,,,,,,,,
,,2005 - 2006,340,170,0.5,,,,,,,,,
,,2006 - 2007,250,130,0.52,,,,,,,,,
,,2007 - 2008,140,70,0.5,,,,,,,,,
,,2008 - 2009,,,,"1,850.00","1,428.00",0.77,,,,,,
,,2009 - 2010,,,,"5,830.00","5,673.00",0.97,,,,,,
,,2010 - 2011,,,,"1,900.00","1,748.00",0.92,,,,,,
,,2011 - 2012,,,,"2,260.00","2,084.00",0.92,,,,,,
,,2012 - 2013,,,,"2,465.00","2,277.00",0.92,,,,,,
,,2013 - 2014,,,,"2,436.00","2,287.00",0.94,,,,,,
,,2014 - 2015,,,,"2,437.00","2,318.00",0.95,,,,,,
,,2015 - 2016,,,,"2,460.00","2,312.00",0.94,,,,,,
,,2016 - 2017,,,,"2,463.00","2,298.00",0.93,,,,,,
,,2017 - 2018,,,,"2,467.00","2,344.00",0.95,,,,,,
,,2018 - 2019,,,,"2,468.00","2,325.00",0.94,,,,,,
,6. Senapati,2000 - 2001,950,480,0.51,,,,,,,,,
,,2001 - 2002,"1,110.00",560,0.5,,,,,,,,,
,,2002 - 2003,840,430,0.51,,,,,,,,,
,,2003 - 2004,960,490,0.51,,,,,,,,,
,,2004 - 2005,"1,170.00",590,0.5,,,,,,,,,
,,2005 - 2006,"1,720.00",880,0.51,,,,,,,,,
,,2006 - 2007,940,480,0.51,,,,,,,,,
,,2007 - 2008,950,480,0.51,,,,,,,,,
,,2008 - 2009,,,,"1,400.00",979,0.7,,,,,,
,,2009 - 2010,,,,"2,500.00","1,858.00",0.74,,,,,,
,,2010 - 2011,,,,"1,500.00","1,167.00",0.78,,,,,,
,,2011 - 2012,,,,"1,600.00","1,491.00",0.93,,,,,,
,,2012 - 2013,,,,"1,594.00","1,435.00",0.9,,,,,,
,,2013 - 2014,,,,"1,544.00","1,326.00",0.86,,,,,,
,,2014 - 2015,,,,"1,544.00","1,356.00",0.88,,,,,,
,,2015 - 2016,,,,"1,560.00","1,342.00",0.86,,,,,,
,,2016 - 2017,,,,"1,565.00","1,354.00",0.87,,,,,,
,,2017 - 2018,,,,"1,570.00","1,361.00",0.87,,,,,,
,,2018 - 2019,,,,"1,577.00","1,419.00",0.9,,,,,,
,7. Tamenglong,2000 - 2001,40,30,0.75,,,,,,,,,
,,2001 - 2002,30,20,0.67,,,,,,,,,
,,2002 - 2003,100,50,0.5,,,,,,,,,
,,2003 - 2004,80,40,0.5,,,,,,,,,
,,2004 - 2005,70,40,0.57,,,,,,,,,
,,2005 - 2006,210,110,0.52,,,,,,,,,
,,2006 - 2007,190,100,0.53,,,,,,,,,
,,2007 - 2008,840,430,0.51,,,,,,,,,
,,2008 - 2009,,,,"1,550.00","1,124.00",0.73,,,,,,
,,2009 - 2010,,,,"3,116.00","1,979.00",0.64,,,,,,
,,2010 - 2011,,,,"1,650.00","1,204.50",0.73,,,,,,
,,2011 - 2012,,,,"1,750.00","1,519.00",0.87,,,,,,
,,2012 - 2013,,,,"1,784.00","1,606.00",0.9,,,,,,
,,2013 - 2014,,,,"1,744.00","1,561.00",0.9,,,,,,
,,2014 - 2015,,,,"1,754.00","1,621.00",0.92,,,,,,
,,2015 - 2016,,,,"1,775.00","1,748.00",0.98,,,,,,
,,2016 - 2017,,,,"1,780.00","1,584.00",0.89,,,,,,
,,2017 - 2018,,,,"1,782.00","1,584.00",0.89,,,,,,
,,2018 - 2019,,,,"1,789.00","1,700.00",0.95,,,,,,
,8. Thoubal,2000 - 2001,650,330,0.51,,,,,,,,,
,,2001 - 2002,670,340,0.51,,,,,,,,,
,,2002 - 2003,740,380,0.51,,,,,,,,,
,,2003 - 2004,730,370,0.51,,,,,,,,,
,,2004 - 2005,300,150,0.5,,,,,,,,,
,,2005 - 2006,570,280,0.49,,,,,,,,,
,,2006 - 2007,260,130,0.5,,,,,,,,,
,,2007 - 2008,350,180,0.51,,,,,,,,,
,,2008 - 2009,,,,"2,310.00","1,652.00",0.72,,,,,,
,,2009 - 2010,,,,"5,760.00","5,184.00",0.9,,,,,,
,,2010 - 2011,,,,"2,350.00","2,098.60",0.89,,,,,,
,,2011 - 2012,,,,"2,470.00","2,312.00",0.94,,,,,,
,,2012 - 2013,,,,"2,687.00","2,636.00",0.98,,,,,,
,,2013 - 2014,,,,"2,647.00","2,438.00",0.92,,,,,,
,,2014 - 2015,,,,"2,667.00","2,552.00",0.96,,,,,,
,,2015 - 2016,,,,"2,700.00","2,619.00",0.97,,,,,,
,,2016 - 2017,,,,"2,702.00","2,545.30",0.94,,,,,,
,,2017 - 2018,,,,"2,702.00","2,570.00",0.95,,,,,,
,,2018 - 2019,,,,"2,710.00","2,610.00",0.96,,,,,,
,9. Ukhrul,2002 - 2003,430,220,0.51,,,,,,,,,
,,2003 - 2004,580,290,0.5,,,,,,,,,
,,2004 - 2005,"1,020.00",520,0.51,,,,,,,,,
