State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,29,77,2.66,,,,,,,,,
,,2013 - 2014,74,213,2.88,,,,,,,,,
,,2014 - 2015,14,24,1.71,,,,,,,,,
,,2015 - 2016,22,48,2.18,,,,,,,,,
,,2016 - 2017,84,235,2.8,,,,,,,,,
,,2017 - 2018,40,114,2.85,,,,,,,,,
,,2018 - 2019,48,147,3.06,,,,,,,,,
,,2019 - 2020,22,92,4.18,,,,,,,,,
,,2020 - 2021,63,198,3.14,,,,,,,,,
,,2021 - 2022,47,143,3.04,,,,,,,,,
,,2022 - 2023,47,144,3.06,,,,,,,,,
,64. Sambhal,2012 - 2013,738,"1,967.00",2.67,,,,,,,,,
,,2013 - 2014,747,"2,147.00",2.87,,,,,,,,,
,,2014 - 2015,650,"1,114.00",1.71,,,,,,,,,
,,2015 - 2016,669,"1,458.00",2.18,,,,,,,,,
,,2016 - 2017,821,"2,295.00",2.8,,,,,,,,,
,,2017 - 2018,482,"1,372.00",2.85,,,,,,,,,
,,2018 - 2019,455,"1,396.00",3.07,,,,,,,,,
,,2019 - 2020,631,"2,068.00",3.28,,,,,,,,,
,,2020 - 2021,726,"2,277.00",3.14,,,,,,,,,
,,2021 - 2022,757,"2,297.00",3.03,,,,,,,,,
,,2022 - 2023,757,"2,322.00",3.07,,,,,,,,,
,65. Sant kabeer nagar,2000 - 2001,523,"1,225.00",2.34,,,,,,,,,
,,2001 - 2002,493,"1,315.00",2.67,,,,,,,,,
,,2002 - 2003,554,"1,375.00",2.48,,,,,,,,,
,,2003 - 2004,563,"1,289.00",2.29,,,,,,,,,
,,2004 - 2005,565,"1,146.00",2.03,,,,,,,,,
,,2005 - 2006,451,900,2,,,,,,,,,
,,2006 - 2007,608,"1,287.00",2.12,,,,,,,,,
,,2007 - 2008,496,"1,091.00",2.2,,,,,,,,,
,,2008 - 2009,45,99,2.2,,,,,,,,,
,,2009 - 2010,470,"1,078.00",2.29,,,,,,,,,
,,2010 - 2011,535,"1,389.00",2.6,,,,,,,,,
,,2011 - 2012,536,"1,441.00",2.69,,,,,,,,,
,,2012 - 2013,48,128,2.67,,,,,,,,,
,,2013 - 2014,477,"1,375.00",2.88,,,,,,,,,
,,2014 - 2015,324,556,1.72,,,,,,,,,
,,2015 - 2016,380,832,2.19,,,,,,,,,
,,2016 - 2017,445,"1,244.00",2.8,,,,,,,,,
,,2017 - 2018,465,"1,323.00",2.85,,,,,,,,,
,,2018 - 2019,427,"1,309.00",3.07,,,,,,,,,
,,2019 - 2020,674,"2,189.00",3.25,,,,,,,,,
,,2020 - 2021,549,"1,722.00",3.14,,,,,,,,,
,,2021 - 2022,683,"2,072.00",3.03,,,,,,,,,
,,2022 - 2023,683,"2,095.00",3.07,,,,,,,,,
,66. Sant ravidas nagar,2000 - 2001,422,525,1.24,,,,,,,,,
,,2001 - 2002,530,715,1.35,,,,,,,,,
,,2002 - 2003,266,256,0.96,,,,,,,,,
,,2003 - 2004,260,292,1.12,,,,,,,,,
,,2004 - 2005,247,174,0.7,,,,,,,,,
,,2005 - 2006,393,269,0.68,,,,,,,,,
,,2006 - 2007,"1,759.00","1,848.00",1.05,,,,,,,,,
,,2007 - 2008,222,157,0.71,,,,,,,,,
,,2008 - 2009,190,203,1.07,,,,,,,,,
,,2009 - 2010,206,174,0.84,,,,,,,,,
,,2010 - 2011,143,196,1.37,,,,,,,,,
,,2011 - 2012,205,426,2.08,,,,,,,,,
,,2012 - 2013,323,484,1.5,,,,,,,,,
,,2013 - 2014,361,767,2.12,,,,,,,,,
,,2014 - 2015,261,406,1.56,,,,,,,,,
,,2015 - 2016,257,243,0.95,,,,,,,,,
,,2016 - 2017,386,619,1.6,,,,,,,,,
,,2017 - 2018,265,307,1.16,,,,,,,,,
,,2018 - 2019,257,521,2.03,,,,,,,,,
,,2019 - 2020,394,"1,274.00",3.23,,,,,,,,,
,,2020 - 2021,344,"1,067.00",3.1,,,,,,,,,
,,2021 - 2022,309,759,2.46,,,,,,,,,
,,2022 - 2023,309,948,3.07,,,,,,,,,
,67. Shahjahanpur,2000 - 2001,628,"1,431.00",2.28,,,,,,,,,
,,2001 - 2002,552,"1,363.00",2.47,,,,,,,,,
,,2002 - 2003,517,933,1.8,,,,,,,,,
,,2003 - 2004,760,"1,970.00",2.59,,,,,,,,,
,,2004 - 2005,680,"1,437.00",2.11,,,,,,,,,
,,2005 - 2006,574,"1,169.00",2.04,,,,,,,,,
,,2006 - 2007,680,"1,469.00",2.16,,,,,,,,,
,,2007 - 2008,"1,052.00","2,326.00",2.21,,,,,,,,,
,,2008 - 2009,"3,295.00","9,004.00",2.73,,,,,,,,,
,,2009 - 2010,"1,806.00","4,143.00",2.29,,,,,,,,,
,,2010 - 2011,"1,043.00","2,736.00",2.62,,,,,,,,,
,,2011 - 2012,417,"1,211.00",2.9,,,,,,,,,
,,2012 - 2013,107,285,2.66,,,,,,,,,
,,2013 - 2014,63,174,2.76,,,,,,,,,
,,2014 - 2015,"2,166.00","3,714.00",1.71,,,,,,,,,
,,2015 - 2016,226,557,2.46,,,,,,,,,
,,2016 - 2017,215,541,2.52,,,,,,,,,
,,2017 - 2018,258,734,2.84,,,,,,,,,
,,2018 - 2019,155,475,3.06,,,,,,,,,
,,2019 - 2020,255,836,3.28,,,,,,,,,
,,2020 - 2021,250,785,3.14,,,,,,,,,
,,2021 - 2022,235,713,3.03,,,,,,,,,
,,2022 - 2023,235,721,3.07,,,,,,,,,
,68. Shamli,2012 - 2013,161,429,2.66,,,,,,,,,
,,2013 - 2014,175,503,2.87,,,,,,,,,
,,2014 - 2015,103,177,1.72,,,,,,,,,
,,2015 - 2016,97,211,2.18,,,,,,,,,
,,2016 - 2017,105,293,2.79,,,,,,,,,
,,2017 - 2018,59,168,2.85,,,,,,,,,
,,2018 - 2019,86,264,3.07,,,,,,,,,
,,2019 - 2020,73,239,3.27,,,,,,,,,
,,2020 - 2021,83,260,3.13,,,,,,,,,
,,2021 - 2022,137,416,3.04,,,,,,,,,
,,2022 - 2023,137,420,3.07,,,,,,,,,
,69. Shravasti,2000 - 2001,337,721,2.14,,,,,,,,,
,,2001 - 2002,137,340,2.48,,,,,,,,,
,,2002 - 2003,84,207,2.46,,,,,,,,,
,,2003 - 2004,91,204,2.24,,,,,,,,,
,,2004 - 2005,61,123,2.02,,,,,,,,,
,,2005 - 2006,111,197,1.77,,,,,,,,,
,,2006 - 2007,50,100,2,,,,,,,,,
,,2007 - 2008,78,173,2.22,,,,,,,,,
,,2008 - 2009,198,458,2.31,,,,,,,,,
,,2009 - 2010,234,525,2.24,,,,,,,,,
,,2010 - 2011,42,107,2.55,,,,,,,,,
,,2011 - 2012,149,400,2.68,,,,,,,,,
,,2012 - 2013,159,423,2.66,,,,,,,,,
,,2013 - 2014,38,109,2.87,,,,,,,,,
,,2014 - 2015,163,280,1.72,,,,,,,,,
,,2015 - 2016,98,214,2.18,,,,,,,,,
,,2016 - 2017,62,173,2.79,,,,,,,,,
,,2017 - 2018,54,154,2.85,,,,,,,,,
,,2018 - 2019,151,462,3.06,,,,,,,,,
,,2019 - 2020,11,36,3.27,,,,,,,,,
,,2020 - 2021,51,160,3.14,,,,,,,,,
,,2021 - 2022,63,191,3.03,,,,,,,,,
,,2022 - 2023,63,193,3.06,,,,,,,,,
,70. Siddharth nagar,2000 - 2001,187,438,2.34,,,,,,,,,
,,2001 - 2002,517,"1,379.00",2.67,,,,,,,,,
,,2002 - 2003,122,303,2.48,,,,,,,,,
,,2003 - 2004,64,146,2.28,,,,,,,,,
,,2004 - 2005,77,156,2.03,,,,,,,,,
,,2005 - 2006,93,186,2,,,,,,,,,
,,2006 - 2007,3,7,2.33,,,,,,,,,
,,2007 - 2008,7,16,2.29,,,,,,,,,
,,2008 - 2009,7,15,2.14,,,,,,,,,
,,2009 - 2010,6,14,2.33,,,,,,,,,
,,2010 - 2011,6,15,2.5,,,,,,,,,
,,2011 - 2012,5,13,2.6,,,,,,,,,
,,2012 - 2013,5,13,2.6,,,,,,,,,
,,2013 - 2014,7,20,2.86,,,,,,,,,
,,2014 - 2015,6,10,1.67,,,,,,,,,
,,2015 - 2016,6,13,2.17,,,,,,,,,
,,2016 - 2017,5,14,2.8,,,,,,,,,
,,2017 - 2018,7,20,2.86,,,,,,,,,
,,2018 - 2019,7,21,3,,,,,,,,,
,,2019 - 2020,6,20,3.33,,,,,,,,,
,,2020 - 2021,6,19,3.17,,,,,,,,,
,,2021 - 2022,7,21,3,,,,,,,,,
,,2022 - 2023,7,21,3,,,,,,,,,
,71. Sitapur,2000 - 2001,"5,186.00","8,814.00",1.7,,,,,,,,,
,,2001 - 2002,"3,825.00","6,267.00",1.64,,,,,,,,,
,,2002 - 2003,"3,714.00","6,451.00",1.74,,,,,,,,,
,,2003 - 2004,"3,127.00","5,825.00",1.86,,,,,,,,,
,,2004 - 2005,"2,802.00","4,466.00",1.59,,,,,,,,,
,,2005 - 2006,"5,441.00","8,547.00",1.57,,,,,,,,,
,,2006 - 2007,"1,784.00","2,964.00",1.66,,,,,,,,,
,,2007 - 2008,"1,719.00","3,211.00",1.87,,,,,,,,,
,,2008 - 2009,"1,719.00","3,252.00",1.89,,,,,,,,,
,,2009 - 2010,"1,173.00","1,626.00",1.39,,,,,,,,,
,,2010 - 2011,"1,189.00","2,326.00",1.96,,,,,,,,,
,,2011 - 2012,"1,019.00","2,357.00",2.31,,,,,,,,,
,,2012 - 2013,709,"1,431.00",2.02,,,,,,,,,
,,2013 - 2014,565,"1,419.00",2.51,,,,,,,,,
,,2014 - 2015,568,771,1.36,,,,,,,,,
,,2015 - 2016,430,377,0.88,,,,,,,,,
,,2016 - 2017,608,"1,665.00",2.74,,,,,,,,,
,,2017 - 2018,638,"1,673.00",2.62,,,,,,,,,
,,2018 - 2019,651,"1,821.00",2.8,,,,,,,,,
,,2019 - 2020,631,"1,980.00",3.14,,,,,,,,,
,,2020 - 2021,648,"1,841.00",2.84,,,,,,,,,
,,2021 - 2022,750,"2,036.00",2.71,,,,,,,,,
,,2022 - 2023,750,"2,288.00",3.05,,,,,,,,,
,72. Sonbhadra,2000 - 2001,"17,143.00","15,121.00",0.88,,,,,,,,,
,,2001 - 2002,"14,964.00","15,628.00",1.04,,,,,,,,,
,,2002 - 2003,"14,901.00","14,755.00",0.99,,,,,,,,,
,,2003 - 2004,"14,071.00","14,741.00",1.05,,,,,,,,,
,,2004 - 2005,"11,179.00","7,328.00",0.66,,,,,,,,,
,,2005 - 2006,"14,395.00","5,980.00",0.42,,,,,,,,,
,,2006 - 2007,"11,360.00","9,720.00",0.86,,,,,,,,,
,,2007 - 2008,"4,923.00","3,475.00",0.71,,,,,,,,,
,,2008 - 2009,"11,248.00","9,623.00",0.86,,,,,,,,,
,,2009 - 2010,"7,130.00","6,045.00",0.85,,,,,,,,,
,,2010 - 2011,"12,043.00","10,856.00",0.9,,,,,,,,,
,,2011 - 2012,"9,717.00","10,609.00",1.09,,,,,,,,,
,,2012 - 2013,"9,449.00","14,164.00",1.5,,,,,,,,,
,,2013 - 2014,"6,457.00","13,719.00",2.12,,,,,,,,,
,,2014 - 2015,"8,624.00","12,930.00",1.5,,,,,,,,,
,,2015 - 2016,"4,726.00","4,467.00",0.95,,,,,,,,,
,,2016 - 2017,"8,523.00","15,122.00",1.77,,,,,,,,,
,,2017 - 2018,"7,218.00","8,468.00",1.17,,,,,,,,,
,,2018 - 2019,"5,360.00","10,402.00",1.94,,,,,,,,,
,,2019 - 2020,"7,295.00","20,885.00",2.86,,,,,,,,,
,,2020 - 2021,"7,803.00","22,049.00",2.83,,,,,,,,,
,,2021 - 2022,"8,532.00","20,323.00",2.38,,,,,,,,,
,,2022 - 2023,"8,532.00","26,176.00",3.07,,,,,,,,,
,73. Sultanpur,2000 - 2001,"2,561.00","5,488.00",2.14,,,,,,,,,
,,2001 - 2002,"2,239.00","5,321.00",2.38,,,,,,,,,
,,2002 - 2003,"1,995.00","4,878.00",2.45,,,,,,,,,
,,2003 - 2004,"2,198.00","5,021.00",2.28,,,,,,,,,
,,2004 - 2005,"2,064.00","4,212.00",2.04,,,,,,,,,
,,2005 - 2006,"2,185.00","4,059.00",1.86,,,,,,,,,
,,2006 - 2007,"1,712.00","3,585.00",2.09,,,,,,,,,
,,2007 - 2008,"1,902.00","3,496.00",1.84,,,,,,,,,
,,2008 - 2009,"2,084.00","4,690.00",2.25,,,,,,,,,
,,2009 - 2010,840,"1,810.00",2.15,,,,,,,,,
,,2010 - 2011,"1,048.00","2,347.00",2.24,,,,,,,,,
,,2011 - 2012,"1,091.00","2,858.00",2.62,,,,,,,,,
,,2012 - 2013,"1,035.00","2,769.00",2.68,,,,,,,,,
,,2013 - 2014,"1,052.00","3,046.00",2.9,,,,,,,,,
,,2014 - 2015,"1,200.00","2,062.00",1.72,,,,,,,,,
,,2015 - 2016,909,"1,985.00",2.18,,,,,,,,,
,,2016 - 2017,897,"2,486.00",2.77,,,,,,,,,
,,2017 - 2018,766,"2,180.00",2.85,,,,,,,,,
,,2018 - 2019,"1,202.00","3,674.00",3.06,,,,,,,,,
,,2019 - 2020,"1,128.00","3,593.00",3.19,,,,,,,,,
,,2020 - 2021,"1,104.00","3,468.00",3.14,,,,,,,,,
,,2021 - 2022,"1,391.00","4,220.00",3.03,,,,,,,,,
,,2022 - 2023,"1,391.00","4,268.00",3.07,,,,,,,,,
,74. Unnao,2000 - 2001,"4,249.00","7,222.00",1.7,,,,,,,,,
,,2001 - 2002,"3,952.00","6,475.00",1.64,,,,,,,,,
,,2002 - 2003,"3,784.00","6,572.00",1.74,,,,,,,,,
,,2003 - 2004,"3,499.00","6,518.00",1.86,,,,,,,,,
,,2004 - 2005,"3,065.00","4,885.00",1.59,,,,,,,,,
,,2005 - 2006,"3,500.00","5,498.00",1.57,,,,,,,,,
,,2006 - 2007,"2,006.00","3,332.00",1.66,,,,,,,,,
,,2007 - 2008,"2,157.00","4,029.00",1.87,,,,,,,,,
,,2008 - 2009,"2,494.00","4,718.00",1.89,,,,,,,,,
,,2009 - 2010,"1,590.00","2,204.00",1.39,,,,,,,,,
,,2010 - 2011,"1,484.00","2,903.00",1.96,,,,,,,,,
,,2011 - 2012,"1,311.00","3,033.00",2.31,,,,,,,,,
,,2012 - 2013,"1,231.00","2,485.00",2.02,,,,,,,,,
,,2013 - 2014,"1,191.00","2,992.00",2.51,,,,,,,,,
,,2014 - 2015,"1,316.00","1,787.00",1.36,,,,,,,,,
,,2015 - 2016,"1,158.00","1,015.00",0.88,,,,,,,,,
,,2016 - 2017,996,"2,727.00",2.74,,,,,,,,,
,,2017 - 2018,"1,195.00","3,134.00",2.62,,,,,,,,,
,,2018 - 2019,"1,175.00","3,287.00",2.8,,,,,,,,,
,,2019 - 2020,"1,279.00","3,773.00",2.95,,,,,,,,,
,,2020 - 2021,"1,245.00","3,361.00",2.7,,,,,,,,,
,,2021 - 2022,"1,478.00","4,013.00",2.72,,,,,,,,,
,,2022 - 2023,"1,478.00","4,508.00",3.05,,,,,,,,,
,75. Varanasi,2000 - 2001,298,380,1.28,,,,,,,,,
,,2001 - 2002,300,503,1.68,,,,,,,,,
,,2002 - 2003,421,682,1.62,,,,,,,,,
,,2003 - 2004,590,808,1.37,,,,,,,,,
,,2004 - 2005,615,817,1.33,,,,,,,,,
,,2005 - 2006,581,984,1.69,,,,,,,,,
,,2006 - 2007,267,425,1.59,,,,,,,,,
,,2007 - 2008,219,412,1.88,,,,,,,,,
,,2008 - 2009,212,384,1.81,,,,,,,,,
,,2009 - 2010,568,978,1.72,,,,,,,,,
,,2010 - 2011,245,453,1.85,,,,,,,,,
,,2011 - 2012,362,694,1.92,,,,,,,,,
,,2012 - 2013,826,"1,442.00",1.75,,,,,,,,,
,,2013 - 2014,149,275,1.85,,,,,,,,,
,,2014 - 2015,162,283,1.75,,,,,,,,,
,,2015 - 2016,374,640,1.71,,,,,,,,,
,,2016 - 2017,334,766,2.29,,,,,,,,,
,,2017 - 2018,331,735,2.22,,,,,,,,,
,,2018 - 2019,131,323,2.47,,,,,,,,,
,,2019 - 2020,407,"1,007.00",2.47,,,,,,,,,
,,2020 - 2021,268,596,2.22,,,,,,,,,
,,2021 - 2022,468,"1,376.00",2.94,,,,,,,,,
,,2022 - 2023,468,"1,436.00",3.07,,,,,,,,,
16. Uttarakhand,1. Almora,2000 - 2001,"3,436.00","2,934.00",0.85,,,,,,,,,
,,2001 - 2002,"2,976.00","2,580.00",0.87,,,,,,,,,
,,2002 - 2003,"3,402.00","2,779.00",0.82,,,,,,,,,
,,2003 - 2004,"3,698.00","2,600.00",0.7,,,,,,,,,
,,2004 - 2005,"2,888.00","3,645.00",1.26,,,,,,,,,
,,2005 - 2006,"2,837.00","1,171.00",0.41,,,,,,,,,
,,2006 - 2007,"2,818.00","2,792.00",0.99,,,,,,,,,
,,2007 - 2008,"3,335.00","2,220.00",0.67,,,,,,,,,
,,2008 - 2009,"2,755.00","1,954.00",0.71,,,,,,,,,
,,2009 - 2010,"2,964.00","2,413.00",0.81,,,,,,,,,
,,2010 - 2011,"3,297.00","3,433.00",1.04,,,,,,,,,
,,2011 - 2012,"2,705.00","2,859.00",1.06,,,,,,,,,
,,2012 - 2013,"2,447.00","2,927.00",1.2,,,,,,,,,
,,2013 - 2014,"2,490.00","3,398.00",1.36,,,,,,,,,
,,2014 - 2015,"2,692.00","2,778.00",1.03,,,,,,,,,
,,2015 - 2016,"2,790.00","1,478.00",0.53,,,,,,,,,
,,2016 - 2017,"3,201.00","2,960.00",0.92,,,,,,,,,
,,2017 - 2018,"3,276.00","3,230.00",0.99,,,,,,,,,
,,2018 - 2019,"2,885.00","3,133.00",1.09,,,,,,,,,
,,2019 - 2020,"3,324.00","4,162.00",1.25,,,,,,,,,
,,2020 - 2021,"3,540.00","2,645.00",0.75,,,,,,,,,
,,2021 - 2022,"2,705.00","2,858.00",1.06,,,,,,,,,
,,2022 - 2023,"2,910.00","2,975.00",1.02,,,,,,,,,
,2. Bageshwar,2000 - 2001,"2,867.00","4,341.00",1.51,,,,,,,,,
,,2001 - 2002,"1,301.00","1,644.00",1.26,,,,,,,,,
,,2002 - 2003,"2,070.00","3,005.00",1.45,,,,,,,,,
,,2003 - 2004,"1,913.00","2,130.00",1.11,,,,,,,,,
,,2004 - 2005,"1,923.00","2,638.00",1.37,,,,,,,,,
,,2005 - 2006,"1,786.00","1,050.00",0.59,,,,,,,,,
,,2006 - 2007,"2,124.00","2,487.00",1.17,,,,,,,,,
,,2007 - 2008,"2,739.00","3,206.00",1.17,,,,,,,,,
,,2008 - 2009,"1,480.00","1,546.00",1.04,,,,,,,,,
,,2009 - 2010,"1,507.00","1,824.00",1.21,,,,,,,,,
,,2010 - 2011,"1,237.00","1,596.00",1.29,,,,,,,,,
,,2011 - 2012,983,"1,628.00",1.66,,,,,,,,,
,,2012 - 2013,"1,290.00","1,621.00",1.26,,,,,,,,,
,,2013 - 2014,"1,485.00","1,913.00",1.29,,,,,,,,,
,,2014 - 2015,922,903,0.98,,,,,,,,,
,,2015 - 2016,"1,131.00","1,802.00",1.59,,,,,,,,,
,,2016 - 2017,927,"1,353.00",1.46,,,,,,,,,
,,2017 - 2018,767,924,1.2,,,,,,,,,
,,2018 - 2019,"1,061.00","1,436.00",1.35,,,,,,,,,
,,2019 - 2020,"1,000.00","1,491.00",1.49,,,,,,,,,
,,2020 - 2021,851,"1,028.00",1.21,,,,,,,,,
,,2021 - 2022,"1,077.00","1,691.00",1.57,,,,,,,,,
,,2022 - 2023,"1,219.00","1,629.00",1.34,,,,,,,,,
,3. Chamoli,2000 - 2001,"1,702.00","1,771.00",1.04,,,,,,,,,
,,2001 - 2002,"1,205.00","1,766.00",1.47,,,,,,,,,
,,2002 - 2003,"1,467.00","2,056.00",1.4,,,,,,,,,
,,2003 - 2004,"1,712.00","2,120.00",1.24,,,,,,,,,
,,2004 - 2005,"1,291.00","1,818.00",1.41,,,,,,,,,
,,2005 - 2006,"1,547.00","2,627.00",1.7,,,,,,,,,
,,2006 - 2007,"1,357.00","2,035.00",1.5,,,,,,,,,
,,2007 - 2008,"1,849.00","2,576.00",1.39,,,,,,,,,
,,2008 - 2009,"1,438.00","1,375.00",0.96,,,,,,,,,
,,2009 - 2010,"1,628.00","2,157.00",1.32,,,,,,,,,
,,2010 - 2011,"1,925.00","2,889.00",1.5,,,,,,,,,
,,2011 - 2012,"1,951.00","2,737.00",1.4,,,,,,,,,
,,2012 - 2013,"2,030.00","2,818.00",1.39,,,,,,,,,
,,2013 - 2014,"1,506.00","2,095.00",1.39,,,,,,,,,
,,2014 - 2015,"1,650.00","2,164.00",1.31,,,,,,,,,
,,2015 - 2016,"1,234.00","1,428.00",1.16,,,,,,,,,
,,2016 - 2017,"1,877.00","2,397.00",1.28,,,,,,,,,
,,2017 - 2018,"1,896.00","2,469.00",1.3,,,,,,,,,
,,2018 - 2019,"1,872.00","2,698.00",1.44,,,,,,,,,
,,2019 - 2020,"1,819.00","2,629.00",1.45,,,,,,,,,
,,2020 - 2021,"1,839.00","2,732.00",1.49,,,,,,,,,
,,2021 - 2022,"1,829.00","2,686.00",1.47,,,,,,,,,
,,2022 - 2023,"1,890.00","3,029.00",1.6,,,,,,,,,
,4. Champawat,2000 - 2001,"1,316.00","1,941.00",1.47,,,,,,,,,
,,2001 - 2002,"1,555.00","2,000.00",1.29,,,,,,,,,
,,2002 - 2003,"1,372.00","1,981.00",1.44,,,,,,,,,
,,2003 - 2004,"1,140.00","1,646.00",1.44,,,,,,,,,
,,2004 - 2005,"1,432.00","2,657.00",1.86,,,,,,,,,
,,2005 - 2006,"1,393.00","1,421.00",1.02,,,,,,,,,
,,2006 - 2007,"1,474.00","1,507.00",1.02,,,,,,,,,
,,2007 - 2008,956,955,1,,,,,,,,,
,,2008 - 2009,"1,080.00","1,005.00",0.93,,,,,,,,,
,,2009 - 2010,750,920,1.23,,,,,,,,,
,,2010 - 2011,929,"1,102.00",1.19,,,,,,,,,
,,2011 - 2012,"1,240.00","1,577.00",1.27,,,,,,,,,
,,2012 - 2013,"1,016.00","1,394.00",1.37,,,,,,,,,
,,2013 - 2014,"1,087.00","1,426.00",1.31,,,,,,,,,
,,2014 - 2015,900,"1,192.00",1.32,,,,,,,,,
,,2015 - 2016,697,462,0.66,,,,,,,,,
,,2016 - 2017,798,"1,082.00",1.36,,,,,,,,,
,,2017 - 2018,788,"1,362.00",1.73,,,,,,,,,
,,2018 - 2019,720,"1,223.00",1.7,,,,,,,,,
,,2019 - 2020,857,"1,613.00",1.88,,,,,,,,,
,,2020 - 2021,699,845,1.21,,,,,,,,,
,,2021 - 2022,715,"1,124.00",1.57,,,,,,,,,
,,2022 - 2023,771,"1,267.00",1.64,,,,,,,,,
,5. Dehradun,2000 - 2001,"1,050.00",227,0.22,,,,,,,,,
,,2001 - 2002,999,"1,530.00",1.53,,,,,,,,,
,,2002 - 2003,"1,256.00","1,988.00",1.58,,,,,,,,,
,,2003 - 2004,"1,301.00","1,250.00",0.96,,,,,,,,,
,,2004 - 2005,846,"1,456.00",1.72,,,,,,,,,
,,2005 - 2006,"1,052.00",734,0.7,,,,,,,,,
,,2006 - 2007,867,"1,349.00",1.56,,,,,,,,,
,,2007 - 2008,842,"1,371.00",1.63,,,,,,,,,
,,2008 - 2009,695,301,0.43,,,,,,,,,
,,2009 - 2010,823,"1,403.00",1.7,,,,,,,,,
,,2010 - 2011,746,"1,491.00",2,,,,,,,,,
,,2011 - 2012,742,"1,418.00",1.91,,,,,,,,,
,,2012 - 2013,688,"1,406.00",2.04,,,,,,,,,
,,2013 - 2014,763,"1,731.00",2.27,,,,,,,,,
,,2014 - 2015,623,706,1.13,,,,,,,,,
,,2015 - 2016,657,957,1.46,,,,,,,,,
,,2016 - 2017,530,835,1.58,,,,,,,,,
,,2017 - 2018,577,896,1.55,,,,,,,,,
,,2018 - 2019,583,951,1.63,,,,,,,,,
,,2019 - 2020,645,"1,318.00",2.04,,,,,,,,,
,,2020 - 2021,690,"1,322.00",1.92,,,,,,,,,
,,2021 - 2022,480,909,1.89,,,,,,,,,
,,2022 - 2023,966,"2,234.00",2.31,,,,,,,,,
,6. Haridwar,2000 - 2001,72,85,1.18,,,,,,,,,
,,2001 - 2002,52,60,1.15,,,,,,,,,
,,2002 - 2003,31,33,1.06,,,,,,,,,
,,2003 - 2004,24,24,1,,,,,,,,,
,,2004 - 2005,33,46,1.39,,,,,,,,,
,,2005 - 2006,23,16,0.7,,,,,,,,,
,,2006 - 2007,20,22,1.1,,,,,,,,,
,,2007 - 2008,16,17,1.06,,,,,,,,,
,,2008 - 2009,13,22,1.69,,,,,,,,,
,,2009 - 2010,13,17,1.31,,,,,,,,,
,,2010 - 2011,17,34,2,,,,,,,,,
,,2011 - 2012,20,38,1.9,,,,,,,,,
,,2012 - 2013,13,16,1.23,,,,,,,,,
,,2013 - 2014,12,22,1.83,,,,,,,,,
,,2014 - 2015,14,15,1.07,,,,,,,,,
,,2015 - 2016,6,7,1.17,,,,,,,,,
,,2016 - 2017,8,12,1.5,,,,,,,,,
,,2017 - 2018,7,12,1.71,,,,,,,,,
,,2018 - 2019,7,9,1.29,,,,,,,,,
,,2019 - 2020,6,12,2,,,,,,,,,
,,2020 - 2021,5,8,1.6,,,,,,,,,
,,2021 - 2022,2,4,2,,,,,,,,,
,,2022 - 2023,2,4,2,,,,,,,,,
,7. Nainital,2000 - 2001,810,352,0.43,,,,,,,,,
,,2001 - 2002,948,"1,132.00",1.19,,,,,,,,,
,,2002 - 2003,"1,149.00","1,237.00",1.08,,,,,,,,,
,,2003 - 2004,928,963,1.04,,,,,,,,,
,,2004 - 2005,931,"1,421.00",1.53,,,,,,,,,
,,2005 - 2006,940,834,0.89,,,,,,,,,
,,2006 - 2007,989,"1,249.00",1.26,,,,,,,,,
,,2007 - 2008,981,"1,134.00",1.16,,,,,,,,,
,,2008 - 2009,"1,147.00","1,372.00",1.2,,,,,,,,,
,,2009 - 2010,903,"1,284.00",1.42,,,,,,,,,
,,2010 - 2011,912,"1,380.00",1.51,,,,,,,,,
,,2011 - 2012,899,"1,187.00",1.32,,,,,,,,,
,,2012 - 2013,917,"1,682.00",1.83,,,,,,,,,
,,2013 - 2014,"1,137.00","1,582.00",1.39,,,,,,,,,
,,2014 - 2015,"1,006.00","1,175.00",1.17,,,,,,,,,
,,2015 - 2016,783,763,0.97,,,,,,,,,
,,2016 - 2017,814,"1,125.00",1.38,,,,,,,,,
,,2017 - 2018,706,"1,032.00",1.46,,,,,,,,,
,,2018 - 2019,712,"1,001.00",1.41,,,,,,,,,
,,2019 - 2020,847,"1,473.00",1.74,,,,,,,,,
,,2020 - 2021,708,908,1.28,,,,,,,,,
,,2021 - 2022,664,"1,134.00",1.71,,,,,,,,,
,,2022 - 2023,980,"1,358.00",1.39,,,,,,,,,
,8. Pauri garhwal,2000 - 2001,"6,110.00","4,586.00",0.75,,,,,,,,,
,,2001 - 2002,"6,379.00","6,054.00",0.95,,,,,,,,,
,,2002 - 2003,"7,233.00","7,524.00",1.04,,,,,,,,,
,,2003 - 2004,"6,721.00","6,106.00",0.91,,,,,,,,,
,,2004 - 2005,"6,491.00","7,442.00",1.15,,,,,,,,,
,,2005 - 2006,"6,777.00","2,001.00",0.3,,,,,,,,,
,,2006 - 2007,"6,704.00","6,381.00",0.95,,,,,,,,,
