State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,70. Siddharth nagar,2000 - 2001,"2,962.00","3,450.00",1.16,,,,,,,,,
,,2001 - 2002,"3,350.00","2,844.00",0.85,,,,,,,,,
,,2002 - 2003,"1,283.00",717,0.56,,,,,,,,,
,,2003 - 2004,155,33,0.21,,,,,,,,,
,,2004 - 2005,121,110,0.91,,,,,,,,,
,,2005 - 2006,974,869,0.89,,,,,,,,,
,,2006 - 2007,64,47,0.73,,,,,,,,,
,,2007 - 2008,50,37,0.74,,,,,,,,,
,,2008 - 2009,305,301,0.99,,,,,,,,,
,,2009 - 2010,212,175,0.83,,,,,,,,,
,,2010 - 2011,14,13,0.93,,,,,,,,,
,,2011 - 2012,15,18,1.2,,,,,,,,,
,,2012 - 2013,14,15,1.07,,,,,,,,,
,,2013 - 2014,12,5,0.42,,,,,,,,,
,,2016 - 2017,9,10,1.11,,,,,,,,,
,,2017 - 2018,21,22,1.05,,,,,,,,,
,,2018 - 2019,14,17,1.21,,,,,,,,,
,,2019 - 2020,15,20,1.33,,,,,,,,,
,,2020 - 2021,13,16,1.23,,,,,,,,,
,,2021 - 2022,18,24,1.33,,,,,,,,,
,,2022 - 2023,16,22,1.38,,,,,,,,,
,71. Sitapur,2000 - 2001,"2,184.00","2,070.00",0.95,,,,,,,,,
,,2001 - 2002,"1,317.00","1,236.00",0.94,,,,,,,,,
,,2002 - 2003,"1,358.00","1,244.00",0.92,,,,,,,,,
,,2003 - 2004,"1,237.00","1,076.00",0.87,,,,,,,,,
,,2004 - 2005,"1,596.00","1,498.00",0.94,,,,,,,,,
,,2005 - 2006,"1,138.00","1,299.00",1.14,,,,,,,,,
,,2006 - 2007,"1,349.00","1,057.00",0.78,,,,,,,,,
,,2007 - 2008,"1,231.00","1,215.00",0.99,,,,,,,,,
,,2008 - 2009,830,953,1.15,,,,,,,,,
,,2009 - 2010,794,695,0.88,,,,,,,,,
,,2010 - 2011,898,533,0.59,,,,,,,,,
,,2011 - 2012,579,745,1.29,,,,,,,,,
,,2012 - 2013,248,294,1.19,,,,,,,,,
,,2013 - 2014,587,279,0.48,,,,,,,,,
,,2014 - 2015,483,259,0.54,,,,,,,,,
,,2015 - 2016,343,172,0.5,,,,,,,,,
,,2016 - 2017,575,431,0.75,,,,,,,,,
,,2017 - 2018,504,475,0.94,,,,,,,,,
,,2018 - 2019,545,619,1.14,,,,,,,,,
,,2019 - 2020,482,338,0.7,,,,,,,,,
,,2020 - 2021,520,554,1.07,,,,,,,,,
,,2021 - 2022,556,470,0.85,,,,,,,,,
,,2022 - 2023,532,550,1.03,,,,,,,,,
,72. Sonbhadra,2000 - 2001,"13,355.00","8,607.00",0.64,,,,,,,,,
,,2001 - 2002,"11,767.00","11,064.00",0.94,,,,,,,,,
,,2002 - 2003,"12,709.00","12,118.00",0.95,,,,,,,,,
,,2003 - 2004,"12,633.00","12,176.00",0.96,,,,,,,,,
,,2004 - 2005,"10,435.00","7,972.00",0.76,,,,,,,,,
,,2005 - 2006,"13,474.00","9,566.00",0.71,,,,,,,,,
,,2006 - 2007,"8,903.00","7,355.00",0.83,,,,,,,,,
,,2007 - 2008,"6,683.00","6,949.00",1.04,,,,,,,,,
,,2008 - 2009,"6,770.00","7,212.00",1.07,,,,,,,,,
,,2009 - 2010,"8,806.00","8,640.00",0.98,,,,,,,,,
,,2010 - 2011,"11,881.00","13,163.00",1.11,,,,,,,,,
,,2011 - 2012,"10,806.00","11,410.00",1.06,,,,,,,,,
,,2012 - 2013,"11,139.00","13,482.00",1.21,,,,,,,,,
,,2013 - 2014,"10,741.00","11,063.00",1.03,,,,,,,,,
,,2014 - 2015,"10,941.00","10,424.00",0.95,,,,,,,,,
,,2015 - 2016,"9,679.00","7,093.00",0.73,,,,,,,,,
,,2016 - 2017,"11,772.00","14,305.00",1.22,,,,,,,,,
,,2017 - 2018,"11,298.00","15,574.00",1.38,,,,,,,,,
,,2018 - 2019,"10,846.00","11,614.00",1.07,,,,,,,,,
,,2019 - 2020,"11,171.00","13,451.00",1.2,,,,,,,,,
,,2020 - 2021,"11,262.00","15,967.00",1.42,,,,,,,,,
,,2021 - 2022,"12,764.00","15,355.00",1.2,,,,,,,,,
,,2022 - 2023,"12,253.00","18,392.00",1.5,,,,,,,,,
,73. Sultanpur,2000 - 2001,"10,400.00","12,251.00",1.18,,,,,,,,,
,,2001 - 2002,"7,530.00","9,674.00",1.28,,,,,,,,,
,,2002 - 2003,"7,166.00","7,175.00",1,,,,,,,,,
,,2003 - 2004,"7,053.00","7,438.00",1.05,,,,,,,,,
,,2004 - 2005,"6,878.00","4,888.00",0.71,,,,,,,,,
,,2005 - 2006,"11,236.00","10,021.00",0.89,,,,,,,,,
,,2006 - 2007,"6,057.00","4,458.00",0.74,,,,,,,,,
,,2007 - 2008,"5,886.00","6,052.00",1.03,,,,,,,,,
,,2008 - 2009,"2,836.00","2,961.00",1.04,,,,,,,,,
,,2009 - 2010,"7,861.00","7,890.00",1,,,,,,,,,
,,2010 - 2011,"3,728.00","4,014.00",1.08,,,,,,,,,
,,2011 - 2012,"2,448.00","3,235.00",1.32,,,,,,,,,
,,2012 - 2013,"3,484.00","2,153.00",0.62,,,,,,,,,
,,2013 - 2014,"3,898.00","1,467.00",0.38,,,,,,,,,
,,2014 - 2015,"2,699.00",852,0.32,,,,,,,,,
,,2015 - 2016,"1,306.00",788,0.6,,,,,,,,,
,,2016 - 2017,"2,200.00","3,942.00",1.79,,,,,,,,,
,,2017 - 2018,"1,967.00","1,483.00",0.75,,,,,,,,,
,,2018 - 2019,"4,097.00","6,369.00",1.55,,,,,,,,,
,,2019 - 2020,"3,882.00","2,947.00",0.76,,,,,,,,,
,,2020 - 2021,"3,790.00","6,035.00",1.59,,,,,,,,,
,,2021 - 2022,"4,989.00","11,709.00",2.35,,,,,,,,,
,,2022 - 2023,"4,989.00","6,755.00",1.35,,,,,,,,,
,74. Unnao,2000 - 2001,"4,773.00","4,525.00",0.95,,,,,,,,,
,,2001 - 2002,"4,708.00","4,418.00",0.94,,,,,,,,,
,,2002 - 2003,"5,120.00","4,690.00",0.92,,,,,,,,,
,,2003 - 2004,"4,996.00","4,332.00",0.87,,,,,,,,,
,,2004 - 2005,"4,826.00","4,154.00",0.86,,,,,,,,,
,,2005 - 2006,"4,997.00","5,704.00",1.14,,,,,,,,,
,,2006 - 2007,"4,822.00","3,778.00",0.78,,,,,,,,,
,,2007 - 2008,"3,642.00","3,594.00",0.99,,,,,,,,,
,,2008 - 2009,"4,055.00","4,656.00",1.15,,,,,,,,,
,,2009 - 2010,"4,307.00","3,772.00",0.88,,,,,,,,,
,,2010 - 2011,"3,589.00","2,131.00",0.59,,,,,,,,,
,,2011 - 2012,"3,069.00","4,788.00",1.56,,,,,,,,,
,,2012 - 2013,"3,073.00","3,638.00",1.18,,,,,,,,,
,,2013 - 2014,"3,039.00","1,442.00",0.47,,,,,,,,,
,,2014 - 2015,"3,037.00","1,541.00",0.51,,,,,,,,,
,,2015 - 2016,"1,850.00","1,439.00",0.78,,,,,,,,,
,,2016 - 2017,"2,590.00","2,311.00",0.89,,,,,,,,,
,,2017 - 2018,"2,973.00","3,850.00",1.29,,,,,,,,,
,,2018 - 2019,"2,898.00","4,740.00",1.64,,,,,,,,,
,,2019 - 2020,"2,957.00","3,620.00",1.22,,,,,,,,,
,,2020 - 2021,"3,090.00","3,578.00",1.16,,,,,,,,,
,,2021 - 2022,"3,501.00","3,907.00",1.12,,,,,,,,,
,,2022 - 2023,"3,337.00","4,668.00",1.4,,,,,,,,,
,75. Varanasi,2000 - 2001,"3,104.00","2,988.00",0.96,,,,,,,,,
,,2001 - 2002,"2,892.00","3,314.00",1.15,,,,,,,,,
,,2002 - 2003,"2,799.00","2,444.00",0.87,,,,,,,,,
,,2003 - 2004,"2,710.00","4,208.00",1.55,,,,,,,,,
,,2004 - 2005,"2,382.00","2,155.00",0.9,,,,,,,,,
,,2005 - 2006,"2,722.00","2,514.00",0.92,,,,,,,,,
,,2006 - 2007,"2,210.00","1,908.00",0.86,,,,,,,,,
,,2007 - 2008,"2,819.00","2,369.00",0.84,,,,,,,,,
,,2008 - 2009,"2,154.00","2,325.00",1.08,,,,,,,,,
,,2009 - 2010,"2,229.00","1,967.00",0.88,,,,,,,,,
,,2010 - 2011,"2,236.00","2,160.00",0.97,,,,,,,,,
,,2011 - 2012,"2,251.00","2,782.00",1.24,,,,,,,,,
,,2012 - 2013,"2,330.00","2,675.00",1.15,,,,,,,,,
,,2013 - 2014,"1,919.00","1,834.00",0.96,,,,,,,,,
,,2014 - 2015,"2,078.00","1,261.00",0.61,,,,,,,,,
,,2015 - 2016,"2,070.00","2,210.00",1.07,,,,,,,,,
,,2016 - 2017,"2,516.00","4,238.00",1.68,,,,,,,,,
,,2017 - 2018,"1,926.00","2,876.00",1.49,,,,,,,,,
,,2018 - 2019,"1,477.00","1,670.00",1.13,,,,,,,,,
,,2019 - 2020,"2,042.00","4,043.00",1.98,,,,,,,,,
,,2020 - 2021,487,615,1.26,,,,,,,,,
,,2021 - 2022,"2,412.00","1,611.00",0.67,,,,,,,,,
,,2022 - 2023,"2,412.00","3,025.00",1.25,,,,,,,,,
28. Uttarakhand,1. Almora,2001 - 2002,46,24,0.52,,,,,,,,,
,,2002 - 2003,31,16,0.52,,,,,,,,,
,,2004 - 2005,12,7,0.58,,,,,,,,,
,,2005 - 2006,18,11,0.61,,,,,,,,,
,,2006 - 2007,3,2,0.67,,,,,,,,,
,,2007 - 2008,21,9,0.43,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2010 - 2011,97,55,0.57,,,,,,,,,
,,2011 - 2012,109,63,0.58,,,,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2013 - 2014,21,12,0.57,,,,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,,,,
,,2015 - 2016,35,20,0.57,,,,,,,,,
,,2016 - 2017,87,48,0.55,,,,,,,,,
,,2017 - 2018,64,39,0.61,,,,,,,,,
,,2018 - 2019,41,23,0.56,,,,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,,,,
,,2020 - 2021,26,12,0.46,,,,,,,,,
,,2021 - 2022,11,6,0.55,,,,,,,,,
,2. Bageshwar,2000 - 2001,5,3,0.6,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,11,9,0.82,,,,,,,,,
,,2005 - 2006,12,7,0.58,,,,,,,,,
,,2006 - 2007,14,7,0.5,,,,,,,,,
,,2007 - 2008,6,3,0.5,,,,,,,,,
,,2008 - 2009,10,3,0.3,,,,,,,,,
,,2009 - 2010,10,7,0.7,,,,,,,,,
,,2010 - 2011,5,3,0.6,,,,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,,,,
,,2012 - 2013,7,4,0.57,,,,,,,,,
,,2013 - 2014,13,7,0.54,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2022 - 2023,8,4,0.5,,,,,,,,,
,3. Chamoli,2001 - 2002,1,,0,,,,,,,,,
,,2006 - 2007,1,,0,,,,,,,,,
,,2007 - 2008,1,,0,,,,,,,,,
,,2012 - 2013,3,2,0.67,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,4. Champawat,2000 - 2001,39,22,0.56,,,,,,,,,
,,2001 - 2002,26,15,0.58,,,,,,,,,
,,2002 - 2003,63,32,0.51,,,,,,,,,
,,2003 - 2004,38,19,0.5,,,,,,,,,
,,2004 - 2005,50,35,0.7,,,,,,,,,
,,2005 - 2006,10,6,0.6,,,,,,,,,
,,2006 - 2007,43,17,0.4,,,,,,,,,
,,2007 - 2008,12,5,0.42,,,,,,,,,
,,2008 - 2009,17,6,0.35,,,,,,,,,
,,2009 - 2010,11,8,0.73,,,,,,,,,
,,2010 - 2011,6,4,0.67,,,,,,,,,
,,2011 - 2012,36,22,0.61,,,,,,,,,
,,2012 - 2013,16,10,0.63,,,,,,,,,
,,2013 - 2014,6,4,0.67,,,,,,,,,
,,2014 - 2015,32,20,0.63,,,,,,,,,
,,2015 - 2016,17,11,0.65,,,,,,,,,
,,2016 - 2017,11,7,0.64,,,,,,,,,
,,2017 - 2018,12,8,0.67,,,,,,,,,
,,2018 - 2019,22,14,0.64,,,,,,,,,
,,2019 - 2020,17,10,0.59,,,,,,,,,
,,2020 - 2021,21,13,0.62,,,,,,,,,
,,2021 - 2022,69,42,0.61,,,,,,,,,
,,2022 - 2023,89,54,0.61,,,,,,,,,
,5. Dehradun,2000 - 2001,103,77,0.75,,,,,,,,,
,,2001 - 2002,216,167,0.77,,,,,,,,,
,,2002 - 2003,109,82,0.75,,,,,,,,,
,,2003 - 2004,65,52,0.8,,,,,,,,,
,,2004 - 2005,42,38,0.9,,,,,,,,,
,,2005 - 2006,37,28,0.76,,,,,,,,,
,,2006 - 2007,43,34,0.79,,,,,,,,,
,,2007 - 2008,30,25,0.83,,,,,,,,,
,,2008 - 2009,34,19,0.56,,,,,,,,,
,,2009 - 2010,23,20,0.87,,,,,,,,,
,,2010 - 2011,30,22,0.73,,,,,,,,,
,,2011 - 2012,18,15,0.83,,,,,,,,,
,,2012 - 2013,22,18,0.82,,,,,,,,,
,,2013 - 2014,8,7,0.88,,,,,,,,,
,,2014 - 2015,20,17,0.85,,,,,,,,,
,,2015 - 2016,17,14,0.82,,,,,,,,,
,,2016 - 2017,21,17,0.81,,,,,,,,,
,,2017 - 2018,18,15,0.83,,,,,,,,,
,,2018 - 2019,16,14,0.88,,,,,,,,,
,,2019 - 2020,9,8,0.89,,,,,,,,,
,,2020 - 2021,18,16,0.89,,,,,,,,,
,,2021 - 2022,17,14,0.82,,,,,,,,,
,,2022 - 2023,17,15,0.88,,,,,,,,,
,6. Haridwar,2000 - 2001,91,73,0.8,,,,,,,,,
,,2001 - 2002,68,54,0.79,,,,,,,,,
,,2002 - 2003,78,59,0.76,,,,,,,,,
,,2003 - 2004,28,22,0.79,,,,,,,,,
,,2004 - 2005,22,18,0.82,,,,,,,,,
,,2005 - 2006,15,11,0.73,,,,,,,,,
,,2006 - 2007,12,9,0.75,,,,,,,,,
,,2007 - 2008,9,7,0.78,,,,,,,,,
,,2008 - 2009,11,6,0.55,,,,,,,,,
,,2009 - 2010,7,5,0.71,,,,,,,,,
,,2010 - 2011,3,2,0.67,,,,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,,,,
,,2012 - 2013,5,3,0.6,,,,,,,,,
,,2013 - 2014,3,2,0.67,,,,,,,,,
,,2015 - 2016,2,2,1,,,,,,,,,
,,2016 - 2017,3,2,0.67,,,,,,,,,
,,2017 - 2018,6,5,0.83,,,,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,3,2,0.67,,,,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,,,,
,7. Nainital,2000 - 2001,458,297,0.65,,,,,,,,,
,,2001 - 2002,569,369,0.65,,,,,,,,,
,,2002 - 2003,431,237,0.55,,,,,,,,,
,,2003 - 2004,531,423,0.8,,,,,,,,,
,,2004 - 2005,530,423,0.8,,,,,,,,,
,,2005 - 2006,665,485,0.73,,,,,,,,,
,,2006 - 2007,636,526,0.83,,,,,,,,,
,,2007 - 2008,415,348,0.84,,,,,,,,,
,,2008 - 2009,494,262,0.53,,,,,,,,,
,,2009 - 2010,314,283,0.9,,,,,,,,,
,,2010 - 2011,425,370,0.87,,,,,,,,,
,,2011 - 2012,435,386,0.89,,,,,,,,,
,,2012 - 2013,476,423,0.89,,,,,,,,,
,,2013 - 2014,461,408,0.89,,,,,,,,,
,,2014 - 2015,509,450,0.88,,,,,,,,,
,,2015 - 2016,493,437,0.89,,,,,,,,,
,,2016 - 2017,491,436,0.89,,,,,,,,,
,,2017 - 2018,380,338,0.89,,,,,,,,,
,,2018 - 2019,476,422,0.89,,,,,,,,,
,,2019 - 2020,460,368,0.8,,,,,,,,,
,,2020 - 2021,530,424,0.8,,,,,,,,,
,,2021 - 2022,535,457,0.85,,,,,,,,,
,,2022 - 2023,611,517,0.85,,,,,,,,,
,8. Pauri garhwal,2000 - 2001,41,23,0.56,,,,,,,,,
,,2001 - 2002,73,41,0.56,,,,,,,,,
,,2002 - 2003,66,33,0.5,,,,,,,,,
,,2003 - 2004,46,35,0.76,,,,,,,,,
,,2004 - 2005,87,52,0.6,,,,,,,,,
,,2005 - 2006,80,40,0.5,,,,,,,,,
,,2006 - 2007,78,55,0.71,,,,,,,,,
,,2007 - 2008,199,85,0.43,,,,,,,,,
,,2008 - 2009,75,17,0.23,,,,,,,,,
,,2009 - 2010,145,50,0.34,,,,,,,,,
,,2010 - 2011,93,71,0.76,,,,,,,,,
,,2011 - 2012,87,66,0.76,,,,,,,,,
,,2012 - 2013,23,17,0.74,,,,,,,,,
,,2013 - 2014,23,17,0.74,,,,,,,,,
,,2014 - 2015,20,13,0.65,,,,,,,,,
,,2015 - 2016,39,25,0.64,,,,,,,,,
,,2016 - 2017,66,43,0.65,,,,,,,,,
,,2017 - 2018,29,19,0.66,,,,,,,,,
,,2018 - 2019,79,52,0.66,,,,,,,,,
,,2019 - 2020,77,50,0.65,,,,,,,,,
,,2020 - 2021,29,19,0.66,,,,,,,,,
,,2021 - 2022,27,18,0.67,,,,,,,,,
,,2022 - 2023,21,14,0.67,,,,,,,,,
,9. Pithoragarh,2000 - 2001,28,18,0.64,,,,,,,,,
,,2001 - 2002,21,16,0.76,,,,,,,,,
,,2002 - 2003,70,43,0.61,,,,,,,,,
,,2003 - 2004,5,3,0.6,,,,,,,,,
,,2004 - 2005,18,13,0.72,,,,,,,,,
,,2005 - 2006,29,16,0.55,,,,,,,,,
,,2006 - 2007,26,12,0.46,,,,,,,,,
,,2007 - 2008,18,8,0.44,,,,,,,,,
,,2008 - 2009,4,1,0.25,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,36,21,0.58,,,,,,,,,
,,2011 - 2012,4,2,0.5,,,,,,,,,
,,2012 - 2013,7,5,0.71,,,,,,,,,
,,2013 - 2014,5,4,0.8,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,33,23,0.7,,,,,,,,,
,,2016 - 2017,43,31,0.72,,,,,,,,,
,,2018 - 2019,137,104,0.76,,,,,,,,,
,,2019 - 2020,118,83,0.7,,,,,,,,,
,,2020 - 2021,61,43,0.7,,,,,,,,,
,,2021 - 2022,31,22,0.71,,,,,,,,,
,,2022 - 2023,22,16,0.73,,,,,,,,,
,10. Rudra prayag,2001 - 2002,19,10,0.53,,,,,,,,,
,11. Tehri garhwal,2000 - 2001,46,24,0.52,,,,,,,,,
,,2001 - 2002,5,3,0.6,,,,,,,,,
,,2002 - 2003,26,13,0.5,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2004 - 2005,10,5,0.5,,,,,,,,,
,,2006 - 2007,11,4,0.36,,,,,,,,,
,,2007 - 2008,7,2,0.29,,,,,,,,,
,,2009 - 2010,10,3,0.3,,,,,,,,,
,,2010 - 2011,24,14,0.58,,,,,,,,,
,,2011 - 2012,17,11,0.65,,,,,,,,,
,,2012 - 2013,10,6,0.6,,,,,,,,,
,,2013 - 2014,16,10,0.63,,,,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,,,,
,,2015 - 2016,6,4,0.67,,,,,,,,,
,,2016 - 2017,14,9,0.64,,,,,,,,,
,,2017 - 2018,5,3,0.6,,,,,,,,,
,,2018 - 2019,14,9,0.64,,,,,,,,,
,,2019 - 2020,4,3,0.75,,,,,,,,,
,,2020 - 2021,27,19,0.7,,,,,,,,,
,,2021 - 2022,9,6,0.67,,,,,,,,,
,,2022 - 2023,11,7,0.64,,,,,,,,,
,12. Udam singh nagar,2000 - 2001,181,145,0.8,,,,,,,,,
,,2001 - 2002,201,161,0.8,,,,,,,,,
,,2002 - 2003,76,60,0.79,,,,,,,,,
,,2003 - 2004,50,45,0.9,,,,,,,,,
,,2004 - 2005,35,35,1,,,,,,,,,
,,2005 - 2006,36,26,0.72,,,,,,,,,
,,2006 - 2007,5,5,1,,,,,,,,,
,,2007 - 2008,30,23,0.77,,,,,,,,,
,,2008 - 2009,36,12,0.33,,,,,,,,,
,,2009 - 2010,5,3,0.6,,,,,,,,,
,,2010 - 2011,9,6,0.67,,,,,,,,,
,,2011 - 2012,8,5,0.63,,,,,,,,,
,,2012 - 2013,28,17,0.61,,,,,,,,,
,,2013 - 2014,8,5,0.63,,,,,,,,,
,,2014 - 2015,3,3,1,,,,,,,,,
,,2015 - 2016,3,3,1,,,,,,,,,
,,2016 - 2017,5,4,0.8,,,,,,,,,
,,2017 - 2018,11,10,0.91,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,12,10,0.83,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,10,9,0.9,,,,,,,,,
,,2022 - 2023,10,8,0.8,,,,,,,,,
,13. Uttar kashi,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,14,8,0.57,,,,,,,,,
,,2002 - 2003,4,2,0.5,,,,,,,,,
,,2004 - 2005,6,4,0.67,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,5,3,0.6,,,,,,,,,
,,2007 - 2008,8,4,0.5,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2013 - 2014,5,5,1,,,,,,,,,
,,2014 - 2015,2,2,1,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,
,,2017 - 2018,5,3,0.6,,,,,,,,,
,,2018 - 2019,6,5,0.83,,,,,,,,,
,,2019 - 2020,9,6,0.67,,,,,,,,,
,,2020 - 2021,11,8,0.73,,,,,,,,,
,,2021 - 2022,25,18,0.72,,,,,,,,,
,,2022 - 2023,41,29,0.71,,,,,,,,,
29. West Bengal,1. 24 paraganas north,2000 - 2001,"1,123.00",780,0.69,,,,,,,,,
,,2001 - 2002,818,665,0.81,,,,,,,,,
,,2002 - 2003,951,709,0.75,,,,,,,,,
,,2003 - 2004,235,240,1.02,,,,,,,,,
,,2004 - 2005,648,626,0.97,,,,,,,,,
,,2005 - 2006,819,811,0.99,,,,,,,,,
,,2006 - 2007,713,481,0.67,,,,,,,,,
,,2007 - 2008,510,432,0.85,,,,,,,,,
,,2008 - 2009,407,378,0.93,,,,,,,,,
,,2009 - 2010,569,583,1.02,,,,,,,,,
,,2010 - 2011,69,63,0.91,,,,,,,,,
,,2011 - 2012,337,358,1.06,,,,,,,,,
,,2012 - 2013,852,899,1.06,,,,,,,,,
,,2013 - 2014,856,953,1.11,,,,,,,,,
,,2014 - 2015,440,495,1.13,,,,,,,,,
,,2015 - 2016,"1,027.00",623,0.61,,,,,,,,,
,,2016 - 2017,"1,108.00",965,0.87,,,,,,,,,
,,2017 - 2018,210,261,1.24,,,,,,,,,
,,2018 - 2019,777,531,0.68,,,,,,,,,
,,2019 - 2020,461,198,0.43,,,,,,,,,
,,2020 - 2021,378,328,0.87,,,,,,,,,
,,2021 - 2022,397,307,0.77,,,,,,,,,
,,2022 - 2023,211,219,1.04,,,,,,,,,
,2. 24 paraganas south,2000 - 2001,140,120,0.86,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,
,,2005 - 2006,291,288,0.99,,,,,,,,,
,,2006 - 2007,12,8,0.67,,,,,,,,,
,,2007 - 2008,34,29,0.85,,,,,,,,,
,,2008 - 2009,217,202,0.93,,,,,,,,,
,,2009 - 2010,239,245,1.03,,,,,,,,,
,,2010 - 2011,462,424,0.92,,,,,,,,,
,,2011 - 2012,594,632,1.06,,,,,,,,,
,,2012 - 2013,597,630,1.06,,,,,,,,,
,,2013 - 2014,646,719,1.11,,,,,,,,,
,,2014 - 2015,676,761,1.13,,,,,,,,,
,,2015 - 2016,766,465,0.61,,,,,,,,,
,,2016 - 2017,418,364,0.87,,,,,,,,,
,,2017 - 2018,30,37,1.23,,,,,,,,,
,,2018 - 2019,425,291,0.68,,,,,,,,,
,,2019 - 2020,100,43,0.43,,,,,,,,,
,,2020 - 2021,86,75,0.87,,,,,,,,,
,,2021 - 2022,88,68,0.77,,,,,,,,,
,,2022 - 2023,48,50,1.04,,,,,,,,,
,3. Alipurduar,2016 - 2017,62,63,1.02,,,,,,,,,
,,2017 - 2018,31,44,1.42,,,,,,,,,
,,2018 - 2019,60,67,1.12,,,,,,,,,
,,2019 - 2020,70,92,1.31,,,,,,,,,
,,2020 - 2021,169,212,1.25,,,,,,,,,
,,2021 - 2022,181,215,1.19,,,,,,,,,
,,2022 - 2023,204,257,1.26,,,,,,,,,
,4. Bankura,2000 - 2001,13,10,0.77,,,,,,,,,
,,2001 - 2002,15,15,1,,,,,,,,,
,,2002 - 2003,24,15,0.63,,,,,,,,,
,,2003 - 2004,20,23,1.15,,,,,,,,,
,,2004 - 2005,92,148,1.61,,,,,,,,,
,,2005 - 2006,35,25,0.71,,,,,,,,,
,,2006 - 2007,43,17,0.4,,,,,,,,,
,,2007 - 2008,55,50,0.91,,,,,,,,,
,,2008 - 2009,15,18,1.2,,,,,,,,,
,,2009 - 2010,27,19,0.7,,,,,,,,,
,,2010 - 2011,9,4,0.44,,,,,,,,,
,,2011 - 2012,17,12,0.71,,,,,,,,,
,,2012 - 2013,13,19,1.46,,,,,,,,,
,,2013 - 2014,13,10,0.77,,,,,,,,,
,,2014 - 2015,26,36,1.38,,,,,,,,,
,,2015 - 2016,31,37,1.19,,,,,,,,,
,,2016 - 2017,69,74,1.07,,,,,,,,,
,,2017 - 2018,691,913,1.32,,,,,,,,,
,,2018 - 2019,"1,158.00","1,463.00",1.26,,,,,,,,,
,,2019 - 2020,"1,226.00","1,794.00",1.46,,,,,,,,,
,,2020 - 2021,"1,251.00","1,497.00",1.2,,,,,,,,,
,,2021 - 2022,"1,382.00","1,608.00",1.16,,,,,,,,,
,,2022 - 2023,"1,134.00","1,574.00",1.39,,,,,,,,,
,5. Birbhum,2001 - 2002,"12,134.00","12,666.00",1.04,,,,,,,,,
,,2002 - 2003,"9,916.00","9,694.00",0.98,,,,,,,,,
,,2003 - 2004,"9,136.00","11,526.00",1.26,,,,,,,,,
,,2004 - 2005,"8,366.00","6,625.00",0.79,,,,,,,,,
,,2005 - 2006,"11,557.00","9,549.00",0.83,,,,,,,,,
,,2006 - 2007,"12,426.00","9,843.00",0.79,,,,,,,,,
,,2007 - 2008,"9,501.00","11,083.00",1.17,,,,,,,,,
,,2008 - 2009,"9,426.00","11,282.00",1.2,,,,,,,,,
,,2009 - 2010,"8,536.00","9,235.00",1.08,,,,,,,,,
,,2010 - 2011,"8,163.00","10,541.00",1.29,,,,,,,,,
,,2011 - 2012,"7,147.00","7,687.00",1.08,,,,,,,,,
,,2012 - 2013,"7,131.00","9,239.00",1.3,,,,,,,,,
,,2013 - 2014,"7,155.00","9,486.00",1.33,,,,,,,,,
,,2014 - 2015,"6,781.00","9,423.00",1.39,,,,,,,,,
