State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,,2015 - 2016,152,"22,96,500.00","15,108.55",,,
,,2016 - 2017,155,"23,10,600.00","14,907.10",,,
,,2017 - 2018,90,"10,28,900.00","11,432.22",,,
,,2018 - 2019,95,"10,77,200.00","11,338.95",,,
,,2019 - 2020,97,"10,92,000.00","11,257.73",,,
,8. Dinajpur dakshin,2000 - 2001,160,"28,47,000.00","17,793.75",,,
,,2001 - 2002,163,"28,55,600.00","17,519.02",,,
,,2002 - 2003,165,"27,48,600.00","16,658.18",,,
,,2003 - 2004,166,"27,65,700.00","16,660.84",,,
,,2004 - 2005,168,"27,21,800.00","16,201.19",,,
,,2005 - 2006,186,"30,05,200.00","16,156.99",,,
,,2006 - 2007,192,"2,40,000.00","1,250.00",,,
,,2007 - 2008,197,"24,13,800.00","12,252.79",,,
,,2008 - 2009,197,"23,13,000.00","11,741.12",,,
,,2009 - 2010,197,"23,13,000.00","11,741.12",,,
,,2010 - 2011,198,"23,22,300.00","11,728.79",,,
,,2011 - 2012,197,"23,50,000.00","11,928.93",,,
,,2012 - 2013,194,"24,03,800.00","12,390.72",,,
,,2013 - 2014,195,"24,03,300.00","12,324.62",,,
,,2014 - 2015,198,"24,40,000.00","12,323.23",,,
,,2015 - 2016,200,"24,55,000.00","12,275.00",,,
,,2016 - 2017,205,"25,95,500.00","12,660.98",,,
,,2017 - 2018,225,"26,10,500.00","11,602.22",,,
,,2018 - 2019,252,"28,54,400.00","11,326.98",,,
,,2019 - 2020,275,"30,85,700.00","11,220.73",,,
,9. Dinajpur uttar,2000 - 2001,323,"51,16,300.00","15,839.94",,,
,,2001 - 2002,330,"37,62,000.00","11,400.00",,,
,,2002 - 2003,195,"17,47,200.00","8,960.00",,,
,,2003 - 2004,199,"16,87,500.00","8,479.90",,,
,,2004 - 2005,202,"13,78,600.00","6,824.75",,,
,,2005 - 2006,208,"11,50,200.00","5,529.81",,,
,,2006 - 2007,208,"11,02,400.00","5,300.00",,,
,,2007 - 2008,236,"23,17,500.00","9,819.92",,,
,,2008 - 2009,218,"21,35,300.00","9,794.95",,,
,,2009 - 2010,218,"21,35,500.00","9,795.87",,,
,,2010 - 2011,219,"21,44,000.00","9,789.95",,,
,,2011 - 2012,222,"22,98,300.00","10,352.70",,,
,,2012 - 2013,225,"25,88,300.00","11,503.56",,,
,,2013 - 2014,232,"26,33,300.00","11,350.43",,,
,,2014 - 2015,234,"26,57,000.00","11,354.70",,,
,,2015 - 2016,245,"27,05,000.00","11,040.82",,,
,,2016 - 2017,248,"28,20,500.00","11,372.98",,,
,,2017 - 2018,265,"28,65,800.00","10,814.34",,,
,,2018 - 2019,298,"32,22,600.00","10,814.09",,,
,,2019 - 2020,320,"34,98,300.00","10,932.19",,,
,10. Hooghly,2000 - 2001,"1,200.00","2,49,72,000.00","20,810.00",,,
,,2001 - 2002,"1,200.00","2,49,72,000.00","20,810.00",,,
,,2002 - 2003,"1,210.00","2,51,98,300.00","20,825.04",,,
,,2003 - 2004,"1,150.00","2,16,77,500.00","18,850.00",,,
,,2004 - 2005,"1,100.00","1,62,41,500.00","14,765.00",,,
,,2005 - 2006,"1,175.00","1,75,19,300.00","14,910.04",,,
,,2006 - 2007,"1,189.00","1,72,64,300.00","14,520.02",,,
,,2007 - 2008,995,"1,19,40,000.00","12,000.00",,,
,,2008 - 2009,997,"1,19,40,000.00","11,975.93",,,
,,2009 - 2010,997,"1,19,50,000.00","11,985.96",,,
,,2010 - 2011,"1,000.00","1,19,97,800.00","11,997.80",,,
,,2011 - 2012,"1,010.00","1,20,00,000.00","11,881.19",,,
,,2012 - 2013,"1,008.00","1,20,10,000.00","11,914.68",,,
,,2013 - 2014,"1,018.00","1,25,10,500.00","12,289.29",,,
,,2014 - 2015,"1,023.00","1,25,60,000.00","12,277.61",,,
,,2015 - 2016,"1,024.00","1,26,20,000.00","12,324.22",,,
,,2016 - 2017,"1,030.00","1,26,90,500.00","12,320.87",,,
,,2017 - 2018,"1,068.00","1,28,74,600.00","12,054.87",,,
,,2018 - 2019,"1,088.00","1,31,26,500.00","12,064.80",,,
,,2019 - 2020,"1,125.00","1,32,68,200.00","11,793.96",,,
,11. Howrah,2000 - 2001,"2,558.00","4,52,76,600.00","17,700.00",,,
,,2001 - 2002,"2,593.00","2,76,15,500.00","10,650.02",,,
,,2002 - 2003,"2,626.00","3,22,36,800.00","12,276.01",,,
,,2003 - 2004,"2,811.00","3,14,86,000.00","11,201.00",,,
,,2004 - 2005,"2,854.00","3,18,16,400.00","11,148.00",,,
,,2005 - 2006,"2,865.00","2,85,52,600.00","9,966.00",,,
,,2006 - 2007,"2,877.00","2,89,51,300.00","10,063.02",,,
,,2007 - 2008,"2,895.00","3,06,87,000.00","10,600.00",,,
,,2008 - 2009,"2,900.00","3,06,87,000.00","10,581.72",,,
,,2009 - 2010,"2,902.00","3,06,89,000.00","10,575.12",,,
,,2010 - 2011,"2,911.00","3,08,11,800.00","10,584.61",,,
,,2011 - 2012,"2,937.00","3,10,77,000.00","10,581.21",,,
,,2012 - 2013,"2,945.00","3,13,26,000.00","10,637.01",,,
,,2013 - 2014,"2,960.00","3,15,90,000.00","10,672.30",,,
,,2014 - 2015,"2,968.00","3,16,75,400.00","10,672.30",,,
,,2015 - 2016,"2,985.00","3,19,20,000.00","10,693.47",,,
,,2016 - 2017,"2,994.00","3,20,55,000.00","10,706.41",,,
,,2017 - 2018,"3,075.00","3,25,00,000.00","10,569.11",,,
,,2018 - 2019,"3,122.00","3,30,78,500.00","10,595.29",,,
,,2019 - 2020,"3,155.00","3,42,82,600.00","10,866.12",,,
,12. Jalpaiguri,2000 - 2001,"1,145.00","1,37,62,900.00","12,020.00",,,
,,2001 - 2002,"1,148.00","1,38,54,100.00","12,068.03",,,
,,2002 - 2003,790,"1,04,83,300.00","13,270.00",,,
,,2003 - 2004,790,"1,04,75,400.00","13,260.00",,,
,,2004 - 2005,785,"1,09,43,700.00","13,941.02",,,
,,2005 - 2006,785,"1,09,43,700.00","13,941.02",,,
,,2006 - 2007,792,"1,11,67,200.00","14,100.00",,,
,,2007 - 2008,798,"1,15,38,800.00","14,459.65",,,
,,2008 - 2009,798,"1,15,38,800.00","14,459.65",,,
,,2009 - 2010,798,"1,15,39,000.00","14,459.90",,,
,,2010 - 2011,800,"1,15,85,200.00","14,481.50",,,
,,2011 - 2012,795,"1,16,62,900.00","14,670.31",,,
,,2012 - 2013,794,"1,16,25,000.00","14,641.06",,,
,,2013 - 2014,796,"1,16,27,000.00","14,606.78",,,
,,2014 - 2015,361,"52,71,800.00","14,603.32",,,
,,2015 - 2016,363,"53,10,000.00","14,628.10",,,
,,2016 - 2017,365,"53,90,100.00","14,767.40",,,
,,2017 - 2018,375,"55,37,600.00","14,766.93",,,
,,2018 - 2019,415,"58,28,300.00","14,044.10",,,
,,2019 - 2020,434,"59,12,800.00","13,623.96",,,
,13. Jhargram,2017 - 2018,172,"18,21,000.00","10,587.21",,,
,,2018 - 2019,178,"18,84,500.00","10,587.08",,,
,,2019 - 2020,184,"19,32,000.00","10,500.00",,,
,14. Kalimpong,2017 - 2018,70,"8,96,500.00","12,807.14",,,
,,2018 - 2019,71,"8,96,800.00","12,630.99",,,
,,2019 - 2020,71,"8,98,200.00","12,650.70",,,
,15. Maldah,2000 - 2001,225,"13,05,000.00","5,800.00",,,
,,2001 - 2002,"12,995.00","12,99,500.00",100,,,
,,2002 - 2003,227,"13,13,200.00","5,785.02",,,
,,2003 - 2004,230,"13,31,700.00","5,790.00",,,
,,2004 - 2005,235,"13,63,000.00","5,800.00",,,
,,2005 - 2006,240,"14,04,000.00","5,850.00",,,
,,2006 - 2007,250,"14,50,000.00","5,800.00",,,
,,2007 - 2008,482,"66,60,000.00","13,817.43",,,
,,2008 - 2009,506,"69,93,000.00","13,820.16",,,
,,2009 - 2010,506,"69,93,000.00","13,820.16",,,
,,2010 - 2011,508,"70,21,000.00","13,820.87",,,
,,2011 - 2012,519,"72,50,000.00","13,969.17",,,
,,2012 - 2013,520,"72,60,000.00","13,961.54",,,
,,2013 - 2014,525,"74,00,000.00","14,095.24",,,
,,2014 - 2015,532,"74,99,600.00","14,096.99",,,
,,2015 - 2016,552,"75,87,200.00","13,744.93",,,
,,2016 - 2017,558,"77,87,200.00","13,955.56",,,
,,2017 - 2018,578,"78,68,500.00","13,613.32",,,
,,2018 - 2019,595,"80,99,500.00","13,612.61",,,
,,2019 - 2020,618,"82,83,600.00","13,403.88",,,
,16. Medinipur east,2000 - 2001,"3,519.00","3,72,90,800.00","10,596.99",,,
,,2001 - 2002,"3,670.00","3,88,87,300.00","10,595.99",,,
,,2002 - 2003,"3,410.00","3,65,07,500.00","10,706.01",,,
,,2003 - 2004,"3,500.00","3,76,46,000.00","10,756.00",,,
,,2004 - 2005,"3,528.00","3,81,94,100.00","10,825.99",,,
,,2005 - 2006,"3,580.00","3,89,07,400.00","10,867.99",,,
,,2006 - 2007,"3,662.00","4,08,24,000.00","11,148.01",,,
,,2007 - 2008,"3,692.00","4,69,05,000.00","12,704.50",,,
,,2008 - 2009,"3,707.00","4,18,38,000.00","11,286.22",,,
,,2009 - 2010,"3,710.00","4,18,38,000.00","11,277.09",,,
,,2010 - 2011,"3,721.00","4,20,05,400.00","11,288.74",,,
,,2011 - 2012,"3,730.00","4,22,00,000.00","11,313.67",,,
,,2012 - 2013,"3,738.00","4,23,00,000.00","11,316.21",,,
,,2013 - 2014,"3,744.00","4,24,00,000.00","11,324.79",,,
,,2014 - 2015,"3,759.00","4,25,70,000.00","11,324.82",,,
,,2015 - 2016,"3,768.00","4,26,91,000.00","11,329.88",,,
,,2016 - 2017,"3,775.00","4,27,99,500.00","11,337.62",,,
,,2017 - 2018,"3,834.00","4,34,98,600.00","11,345.49",,,
,,2018 - 2019,"3,890.00","4,42,35,200.00","11,371.52",,,
,,2019 - 2020,"3,925.00","4,48,81,200.00","11,434.70",,,
,17. Medinipur west,2000 - 2001,"1,070.00","1,81,90,000.00","17,000.00",,,
,,2001 - 2002,"1,100.00","1,91,40,000.00","17,400.00",,,
,,2002 - 2003,"1,014.00","1,58,36,700.00","15,618.05",,,
,,2003 - 2004,"1,146.00","1,84,54,000.00","16,102.97",,,
,,2004 - 2005,"1,150.00","1,84,33,400.00","16,029.04",,,
,,2005 - 2006,"1,170.00","1,94,86,400.00","16,655.04",,,
,,2006 - 2007,"1,180.00","1,80,35,100.00","15,283.98",,,
,,2007 - 2008,"1,450.00","2,00,36,400.00","13,818.21",,,
,,2008 - 2009,"1,455.00","2,01,30,000.00","13,835.05",,,
,,2009 - 2010,"1,457.00","2,02,50,000.00","13,898.42",,,
,,2010 - 2011,"1,461.00","2,03,31,000.00","13,915.81",,,
,,2011 - 2012,"1,460.00","2,03,35,000.00","13,928.08",,,
,,2012 - 2013,"1,472.00","2,05,70,500.00","13,974.52",,,
,,2013 - 2014,"1,475.00","2,07,00,000.00","14,033.90",,,
,,2014 - 2015,"1,487.00","2,08,68,500.00","14,033.96",,,
,,2015 - 2016,"1,480.00","2,07,80,000.00","14,040.54",,,
,,2016 - 2017,"1,493.00","2,08,59,000.00","13,971.20",,,
,,2017 - 2018,"1,352.00","1,92,15,000.00","14,212.28",,,
,,2018 - 2019,"1,375.00","1,93,71,500.00","14,088.36",,,
,,2019 - 2020,"1,405.00","1,94,55,100.00","13,847.05",,,
,18. Murshidabad,2000 - 2001,"4,008.00","3,55,87,000.00","8,878.99",,,
,,2001 - 2002,"4,110.00","3,06,31,800.00","7,452.99",,,
,,2002 - 2003,"4,239.00","3,55,94,900.00","8,397.00",,,
,,2003 - 2004,"4,225.00","3,03,81,900.00","7,190.98",,,
,,2004 - 2005,"4,314.00","3,32,17,800.00","7,700.00",,,
,,2005 - 2006,"4,327.00","5,27,72,100.00","12,196.00",,,
,,2006 - 2007,"4,202.00","5,93,61,700.00","14,127.01",,,
,,2007 - 2008,"4,610.00","5,93,50,000.00","12,874.19",,,
,,2008 - 2009,"4,620.00","5,95,00,000.00","12,878.79",,,
,,2009 - 2010,"4,650.00","6,41,64,000.00","13,798.71",,,
,,2010 - 2011,"4,664.00","6,44,20,700.00","13,812.33",,,
,,2011 - 2012,"4,670.00","6,45,30,000.00","13,817.99",,,
,,2012 - 2013,"4,678.00","6,47,38,000.00","13,838.82",,,
,,2013 - 2014,"4,670.00","6,44,00,000.00","13,790.15",,,
,,2014 - 2015,"4,682.00","6,45,60,000.00","13,788.98",,,
,,2015 - 2016,"4,700.00","6,47,50,000.00","13,776.60",,,
,,2016 - 2017,"4,708.00","6,48,12,000.00","13,766.36",,,
,,2017 - 2018,"4,740.00","6,48,41,200.00","13,679.58",,,
,,2018 - 2019,"4,768.00","6,52,27,300.00","13,680.22",,,
,,2019 - 2020,"4,785.00","6,53,22,000.00","13,651.41",,,
,19. Nadia,2000 - 2001,772,"1,16,11,700.00","15,041.06",,,
,,2001 - 2002,798,"1,20,05,100.00","15,043.98",,,
,,2002 - 2003,829,"1,26,00,800.00","15,200.00",,,
,,2003 - 2004,857,"1,29,98,100.00","15,166.98",,,
,,2004 - 2005,860,"1,30,46,200.00","15,170.00",,,
,,2005 - 2006,983,"1,22,34,400.00","12,445.98",,,
,,2006 - 2007,"1,002.00","1,33,78,700.00","13,352.00",,,
,,2007 - 2008,988,"1,25,27,800.00","12,679.96",,,
,,2008 - 2009,991,"1,25,27,800.00","12,641.57",,,
,,2009 - 2010,991,"1,25,30,000.00","12,643.79",,,
,,2010 - 2011,994,"1,25,80,100.00","12,656.04",,,
,,2011 - 2012,995,"1,26,90,000.00","12,753.77",,,
,,2012 - 2013,997,"1,27,50,000.00","12,788.37",,,
,,2013 - 2014,"1,014.00","1,28,75,000.00","12,697.24",,,
,,2014 - 2015,"1,016.00","1,29,00,500.00","12,697.34",,,
,,2015 - 2016,"1,025.00","1,29,52,200.00","12,636.29",,,
,,2016 - 2017,"1,028.00","1,30,75,500.00","12,719.36",,,
,,2017 - 2018,"1,065.00","1,31,78,500.00","12,374.18",,,
,,2018 - 2019,"1,110.00","1,35,54,500.00","12,211.26",,,
,,2019 - 2020,"1,150.00","1,41,82,800.00","12,332.87",,,
,20. Paschim bardhaman,2017 - 2018,342,"32,21,800.00","9,420.47",,,
,,2018 - 2019,348,"32,79,400.00","9,423.56",,,
,,2019 - 2020,355,"33,24,500.00","9,364.79",,,
,21. Purba bardhaman,2000 - 2001,"1,952.00","2,84,60,200.00","14,580.02",,,
,,2001 - 2002,"1,960.00","2,86,16,000.00","14,600.00",,,
,,2002 - 2003,"2,125.00","3,61,25,000.00","17,000.00",,,
,,2003 - 2004,"1,657.00","3,18,14,400.00","19,200.00",,,
,,2004 - 2005,"1,270.00","2,05,10,500.00","16,150.00",,,
,,2005 - 2006,"1,270.00","1,90,18,300.00","14,975.04",,,
,,2006 - 2007,"1,173.00","1,48,42,000.00","12,653.03",,,
,,2007 - 2008,"2,678.00","3,09,22,000.00","11,546.68",,,
,,2008 - 2009,"2,683.00","3,09,22,000.00","11,525.16",,,
,,2009 - 2010,"2,683.00","3,09,25,000.00","11,526.28",,,
,,2010 - 2011,"2,691.00","3,10,48,700.00","11,537.98",,,
,,2011 - 2012,"2,693.00","3,10,71,800.00","11,537.99",,,
,,2012 - 2013,"2,690.00","3,10,80,000.00","11,553.90",,,
,,2013 - 2014,"2,689.00","3,09,61,400.00","11,514.09",,,
,,2014 - 2015,"2,964.00","3,10,10,200.00","10,462.28",,,
,,2015 - 2016,"2,678.00","3,08,02,400.00","11,502.02",,,
,,2016 - 2017,"2,682.00","3,08,70,300.00","11,510.18",,,
,,2017 - 2018,"2,392.00","2,84,64,500.00","11,899.87",,,
,,2018 - 2019,"2,405.00","2,86,19,500.00","11,900.00",,,
,,2019 - 2020,"2,425.00","2,86,72,500.00","11,823.71",,,
,22. Purulia,2000 - 2001,27,"3,64,500.00","13,500.00",,,
,,2001 - 2002,25,"3,00,000.00","12,000.00",,,
,,2002 - 2003,18,"1,23,300.00","6,850.00",,,
,,2003 - 2004,55,"1,86,600.00","3,392.73",,,
,,2004 - 2005,66,"2,96,100.00","4,486.36",,,
,,2005 - 2006,74,"3,11,200.00","4,205.41",,,
,,2006 - 2007,73,"3,65,000.00","5,000.00",,,
,,2007 - 2008,58,"8,98,000.00","15,482.76",,,
,,2008 - 2009,58,"5,98,000.00","10,310.34",,,
,,2009 - 2010,58,"6,00,000.00","10,344.83",,,
,,2010 - 2011,58,"6,02,400.00","10,386.21",,,
,,2011 - 2012,58,"6,00,000.00","10,344.83",,,
,,2012 - 2013,60,"6,80,000.00","11,333.33",,,
,,2013 - 2014,64,"7,11,000.00","11,109.38",,,
,,2014 - 2015,65,"7,21,000.00","11,092.31",,,
,,2015 - 2016,65,"7,23,000.00","11,123.08",,,
,,2016 - 2017,65,"7,54,900.00","11,613.85",,,
,,2017 - 2018,68,"7,85,500.00","11,551.47",,,
,,2018 - 2019,75,"8,57,500.00","11,433.33",,,
,,2019 - 2020,78,"8,58,100.00","11,001.28",,,
