State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,,,,,,,45,40,0.89,,,,,,
,,2021 - 2022,,,,,,,45,40,0.89,,,,,,
,,2022 - 2023,,,,,,,55,51,0.93,,,,,,
,7. Auraiya,2004 - 2005,44,41,0.93,,,,,,,,,,,,
,,2005 - 2006,36,33,0.92,,,,,,,,,,,,
,,2006 - 2007,30,28,0.93,,,,,,,,,,,,
,,2007 - 2008,,,,,,,8,8,1,,,,,,
,,2008 - 2009,,,,,,,31,31,1,,,,,,
,,2009 - 2010,,,,,,,78,69,0.88,,,,,,
,,2010 - 2011,,,,,,,27,24,0.89,,,,,,
,,2011 - 2012,,,,,,,21,17,0.81,,,,,,
,,2012 - 2013,,,,,,,12,10,0.83,,,,,,
,,2013 - 2014,,,,,,,68,55,0.81,,,,,,
,,2014 - 2015,,,,,,,279,230,0.82,,,,,,
,,2015 - 2016,,,,,,,30,23,0.77,,,,,,
,,2016 - 2017,,,,,,,12,11,0.92,,,,,,
,,2017 - 2018,,,,,,,26,24,0.92,,,,,,
,,2018 - 2019,,,,,,,13,12,0.92,,,,,,
,,2019 - 2020,,,,,,,29,25,0.86,,,,,,
,,2020 - 2021,,,,,,,28,25,0.89,,,,,,
,,2021 - 2022,,,,,,,20,18,0.9,,,,,,
,,2022 - 2023,,,,,,,28,26,0.93,,,,,,
,8. Azamgarh,2004 - 2005,38,36,0.95,,,,,,,,,,,,
,,2005 - 2006,25,23,0.92,,,,,,,,,,,,
,,2006 - 2007,24,23,0.96,,,,,,,,,,,,
,,2007 - 2008,,,,,,,25,24,0.96,,,,,,
,,2008 - 2009,,,,,,,21,21,1,,,,,,
,,2009 - 2010,,,,,,,21,19,0.9,,,,,,
,,2010 - 2011,,,,,,,18,16,0.89,,,,,,
,,2011 - 2012,,,,,,,35,29,0.83,,,,,,
,,2012 - 2013,,,,,,,49,39,0.8,,,,,,
,,2013 - 2014,,,,,,,7,6,0.86,,,,,,
,,2014 - 2015,,,,,,,17,14,0.82,,,,,,
,,2015 - 2016,,,,,,,17,13,0.76,,,,,,
,,2016 - 2017,,,,,,,7,6,0.86,,,,,,
,,2017 - 2018,,,,,,,19,17,0.89,,,,,,
,,2018 - 2019,,,,,,,13,12,0.92,,,,,,
,,2019 - 2020,,,,,,,15,13,0.87,,,,,,
,,2020 - 2021,,,,,,,14,12,0.86,,,,,,
,,2021 - 2022,,,,,,,14,12,0.86,,,,,,
,,2022 - 2023,,,,,,,15,14,0.93,,,,,,
,9. Baghpat,2004 - 2005,40,38,0.95,,,,,,,,,,,,
,,2005 - 2006,24,22,0.92,,,,,,,,,,,,
,,2006 - 2007,35,33,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,32,31,0.97,,,,,,
,,2008 - 2009,,,,,,,33,33,1,,,,,,
,,2009 - 2010,,,,,,,13,12,0.92,,,,,,
,,2010 - 2011,,,,,,,27,24,0.89,,,,,,
,,2011 - 2012,,,,,,,35,29,0.83,,,,,,
,,2012 - 2013,,,,,,,11,9,0.82,,,,,,
,,2013 - 2014,,,,,,,13,10,0.77,,,,,,
,,2014 - 2015,,,,,,,19,16,0.84,,,,,,
,,2015 - 2016,,,,,,,20,15,0.75,,,,,,
,,2016 - 2017,,,,,,,20,18,0.9,,,,,,
,,2017 - 2018,,,,,,,17,15,0.88,,,,,,
,,2018 - 2019,,,,,,,12,11,0.92,,,,,,
,,2019 - 2020,,,,,,,12,11,0.92,,,,,,
,,2020 - 2021,,,,,,,12,11,0.92,,,,,,
,,2021 - 2022,,,,,,,15,13,0.87,,,,,,
,,2022 - 2023,,,,,,,14,13,0.93,,,,,,
,10. Bahraich,2004 - 2005,158,148,0.94,,,,,,,,,,,,
,,2005 - 2006,235,215,0.91,,,,,,,,,,,,
,,2006 - 2007,340,323,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,246,237,0.96,,,,,,
,,2008 - 2009,,,,,,,49,49,1,,,,,,
,,2009 - 2010,,,,,,,206,181,0.88,,,,,,
,,2010 - 2011,,,,,,,238,208,0.87,,,,,,
,,2011 - 2012,,,,,,,176,146,0.83,,,,,,
,,2012 - 2013,,,,,,,190,152,0.8,,,,,,
,,2013 - 2014,,,,,,,264,213,0.81,,,,,,
,,2014 - 2015,,,,,,,139,114,0.82,,,,,,
,,2015 - 2016,,,,,,,58,44,0.76,,,,,,
,,2016 - 2017,,,,,,,165,152,0.92,,,,,,
,,2017 - 2018,,,,,,,163,150,0.92,,,,,,
,,2018 - 2019,,,,,,,158,146,0.92,,,,,,
,,2019 - 2020,,,,,,,137,119,0.87,,,,,,
,,2020 - 2021,,,,,,,136,121,0.89,,,,,,
,,2021 - 2022,,,,,,,152,134,0.88,,,,,,
,,2022 - 2023,,,,,,,149,139,0.93,,,,,,
,11. Ballia,2004 - 2005,144,135,0.94,,,,,,,,,,,,
,,2005 - 2006,138,126,0.91,,,,,,,,,,,,
,,2006 - 2007,109,103,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,134,129,0.96,,,,,,
,,2008 - 2009,,,,,,,84,84,1,,,,,,
,,2009 - 2010,,,,,,,122,107,0.88,,,,,,
,,2010 - 2011,,,,,,,102,89,0.87,,,,,,
,,2011 - 2012,,,,,,,118,98,0.83,,,,,,
,,2012 - 2013,,,,,,,119,96,0.81,,,,,,
,,2013 - 2014,,,,,,,98,79,0.81,,,,,,
,,2014 - 2015,,,,,,,49,40,0.82,,,,,,
,,2015 - 2016,,,,,,,60,45,0.75,,,,,,
,,2016 - 2017,,,,,,,89,82,0.92,,,,,,
,,2017 - 2018,,,,,,,83,77,0.93,,,,,,
,,2018 - 2019,,,,,,,76,70,0.92,,,,,,
,,2019 - 2020,,,,,,,71,62,0.87,,,,,,
,,2020 - 2021,,,,,,,76,67,0.88,,,,,,
,,2021 - 2022,,,,,,,79,70,0.89,,,,,,
,,2022 - 2023,,,,,,,77,72,0.94,,,,,,
,12. Balrampur,2004 - 2005,18,17,0.94,,,,,,,,,,,,
,,2005 - 2006,20,18,0.9,,,,,,,,,,,,
,,2006 - 2007,35,33,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,20,19,0.95,,,,,,
,,2008 - 2009,,,,,,,20,20,1,,,,,,
,,2009 - 2010,,,,,,,21,19,0.9,,,,,,
,,2010 - 2011,,,,,,,12,11,0.92,,,,,,
,,2011 - 2012,,,,,,,22,19,0.86,,,,,,
,,2012 - 2013,,,,,,,11,9,0.82,,,,,,
,,2014 - 2015,,,,,,,7,6,0.86,,,,,,
,,2015 - 2016,,,,,,,4,3,0.75,,,,,,
,,2016 - 2017,,,,,,,9,8,0.89,,,,,,
,,2017 - 2018,,,,,,,6,6,1,,,,,,
,,2018 - 2019,,,,,,,5,5,1,,,,,,
,,2019 - 2020,,,,,,,6,5,0.83,,,,,,
,,2020 - 2021,,,,,,,6,5,0.83,,,,,,
,,2021 - 2022,,,,,,,3,3,1,,,,,,
,,2022 - 2023,,,,,,,5,5,1,,,,,,
,13. Banda,2004 - 2005,6,6,1,,,,,,,,,,,,
,,2005 - 2006,9,8,0.89,,,,,,,,,,,,
,,2006 - 2007,12,11,0.92,,,,,,,,,,,,
,,2007 - 2008,,,,,,,5,5,1,,,,,,
,,2008 - 2009,,,,,,,8,8,1,,,,,,
,,2009 - 2010,,,,,,,3,3,1,,,,,,
,,2010 - 2011,,,,,,,14,12,0.86,,,,,,
,,2011 - 2012,,,,,,,10,8,0.8,,,,,,
,,2012 - 2013,,,,,,,16,13,0.81,,,,,,
,,2013 - 2014,,,,,,,10,8,0.8,,,,,,
,,2014 - 2015,,,,,,,282,233,0.83,,,,,,
,,2015 - 2016,,,,,,,22,17,0.77,,,,,,
,,2016 - 2017,,,,,,,68,63,0.93,,,,,,
,,2017 - 2018,,,,,,,80,74,0.93,,,,,,
,,2018 - 2019,,,,,,,92,85,0.92,,,,,,
,,2019 - 2020,,,,,,,109,95,0.87,,,,,,
,,2020 - 2021,,,,,,,74,66,0.89,,,,,,
,,2021 - 2022,,,,,,,85,75,0.88,,,,,,
,,2022 - 2023,,,,,,,88,82,0.93,,,,,,
,14. Barabanki,2004 - 2005,477,447,0.94,,,,,,,,,,,,
,,2005 - 2006,427,390,0.91,,,,,,,,,,,,
,,2006 - 2007,455,431,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,449,433,0.96,,,,,,
,,2008 - 2009,,,,,,,445,444,1,,,,,,
,,2009 - 2010,,,,,,,451,397,0.88,,,,,,
,,2010 - 2011,,,,,,,395,345,0.87,,,,,,
,,2011 - 2012,,,,,,,74,62,0.84,,,,,,
,,2012 - 2013,,,,,,,307,247,0.8,,,,,,
,,2013 - 2014,,,,,,,336,271,0.81,,,,,,
,,2014 - 2015,,,,,,,283,233,0.82,,,,,,
,,2015 - 2016,,,,,,,311,236,0.76,,,,,,
,,2016 - 2017,,,,,,,262,242,0.92,,,,,,
,,2017 - 2018,,,,,,,300,277,0.92,,,,,,
,,2018 - 2019,,,,,,,298,275,0.92,,,,,,
,,2019 - 2020,,,,,,,291,254,0.87,,,,,,
,,2020 - 2021,,,,,,,292,259,0.89,,,,,,
,,2021 - 2022,,,,,,,289,255,0.88,,,,,,
,,2022 - 2023,,,,,,,318,296,0.93,,,,,,
,15. Bareilly,2004 - 2005,78,73,0.94,,,,,,,,,,,,
,,2005 - 2006,97,88,0.91,,,,,,,,,,,,
,,2006 - 2007,86,81,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,50,48,0.96,,,,,,
,,2008 - 2009,,,,,,,79,79,1,,,,,,
,,2009 - 2010,,,,,,,88,77,0.88,,,,,,
,,2010 - 2011,,,,,,,157,137,0.87,,,,,,
,,2011 - 2012,,,,,,,251,208,0.83,,,,,,
,,2012 - 2013,,,,,,,202,162,0.8,,,,,,
,,2013 - 2014,,,,,,,54,44,0.81,,,,,,
,,2014 - 2015,,,,,,,97,80,0.82,,,,,,
,,2015 - 2016,,,,,,,315,239,0.76,,,,,,
,,2016 - 2017,,,,,,,118,109,0.92,,,,,,
,,2017 - 2018,,,,,,,157,145,0.92,,,,,,
,,2018 - 2019,,,,,,,148,136,0.92,,,,,,
,,2019 - 2020,,,,,,,167,146,0.87,,,,,,
,,2020 - 2021,,,,,,,112,99,0.88,,,,,,
,,2021 - 2022,,,,,,,109,96,0.88,,,,,,
,,2022 - 2023,,,,,,,139,129,0.93,,,,,,
,16. Bijnor,2004 - 2005,48,45,0.94,,,,,,,,,,,,
,,2005 - 2006,24,22,0.92,,,,,,,,,,,,
,,2006 - 2007,60,57,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,26,25,0.96,,,,,,
,,2008 - 2009,,,,,,,47,47,1,,,,,,
,,2009 - 2010,,,,,,,1,1,1,,,,,,
,,2010 - 2011,,,,,,,6,5,0.83,,,,,,
,,2011 - 2012,,,,,,,1,1,1,,,,,,
,,2012 - 2013,,,,,,,2,2,1,,,,,,
,,2013 - 2014,,,,,,,5,4,0.8,,,,,,
,,2014 - 2015,,,,,,,15,13,0.87,,,,,,
,,2015 - 2016,,,,,,,5,4,0.8,,,,,,
,,2016 - 2017,,,,,,,6,6,1,,,,,,
,,2017 - 2018,,,,,,,7,6,0.86,,,,,,
,,2018 - 2019,,,,,,,8,7,0.88,,,,,,
,,2019 - 2020,,,,,,,5,4,0.8,,,,,,
,,2020 - 2021,,,,,,,5,4,0.8,,,,,,
,,2021 - 2022,,,,,,,6,5,0.83,,,,,,
,,2022 - 2023,,,,,,,6,6,1,,,,,,
,17. Budaun,2004 - 2005,68,64,0.94,,,,,,,,,,,,
,,2005 - 2006,50,46,0.92,,,,,,,,,,,,
,,2006 - 2007,83,79,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,90,87,0.97,,,,,,
,,2008 - 2009,,,,,,,79,79,1,,,,,,
,,2009 - 2010,,,,,,,62,55,0.89,,,,,,
,,2010 - 2011,,,,,,,73,64,0.88,,,,,,
,,2011 - 2012,,,,,,,1,1,1,,,,,,
,,2012 - 2013,,,,,,,193,155,0.8,,,,,,
,,2013 - 2014,,,,,,,249,201,0.81,,,,,,
,,2014 - 2015,,,,,,,116,95,0.82,,,,,,
,,2015 - 2016,,,,,,,126,95,0.75,,,,,,
,,2016 - 2017,,,,,,,137,126,0.92,,,,,,
,,2017 - 2018,,,,,,,164,151,0.92,,,,,,
,,2018 - 2019,,,,,,,158,146,0.92,,,,,,
,,2019 - 2020,,,,,,,140,122,0.87,,,,,,
,,2020 - 2021,,,,,,,145,129,0.89,,,,,,
,,2021 - 2022,,,,,,,149,132,0.89,,,,,,
,,2022 - 2023,,,,,,,151,140,0.93,,,,,,
,18. Bulandshahr,2004 - 2005,821,770,0.94,,,,,,,,,,,,
,,2005 - 2006,589,538,0.91,,,,,,,,,,,,
,,2006 - 2007,709,672,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,723,697,0.96,,,,,,
,,2008 - 2009,,,,,,,716,714,1,,,,,,
,,2009 - 2010,,,,,,,712,627,0.88,,,,,,
,,2010 - 2011,,,,,,,168,147,0.88,,,,,,
,,2011 - 2012,,,,,,,490,407,0.83,,,,,,
,,2012 - 2013,,,,,,,347,279,0.8,,,,,,
,,2013 - 2014,,,,,,,293,237,0.81,,,,,,
,,2014 - 2015,,,,,,,329,271,0.82,,,,,,
,,2015 - 2016,,,,,,,415,314,0.76,,,,,,
,,2016 - 2017,,,,,,,375,345,0.92,,,,,,
,,2017 - 2018,,,,,,,352,324,0.92,,,,,,
,,2018 - 2019,,,,,,,353,184,0.52,,,,,,
,,2019 - 2020,,,,,,,365,318,0.87,,,,,,
,,2020 - 2021,,,,,,,334,296,0.89,,,,,,
,,2021 - 2022,,,,,,,356,315,0.88,,,,,,
,,2022 - 2023,,,,,,,352,328,0.93,,,,,,
,19. Chandauli,2004 - 2005,3,3,1,,,,,,,,,,,,
,,2005 - 2006,1,1,1,,,,,,,,,,,,
,,2006 - 2007,31,29,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,8,7,0.88,,,,,,
,,2008 - 2009,,,,,,,1,1,1,,,,,,
,,2009 - 2010,,,,,,,9,8,0.89,,,,,,
,,2010 - 2011,,,,,,,2,2,1,,,,,,
,,2011 - 2012,,,,,,,2,2,1,,,,,,
,,2014 - 2015,,,,,,,2,2,1,,,,,,
,,2015 - 2016,,,,,,,2,2,1,,,,,,
,,2016 - 2017,,,,,,,1,1,1,,,,,,
,,2017 - 2018,,,,,,,1,1,1,,,,,,
,,2018 - 2019,,,,,,,1,1,1,,,,,,
,,2019 - 2020,,,,,,,1,1,1,,,,,,
,,2020 - 2021,,,,,,,1,1,1,,,,,,
,,2021 - 2022,,,,,,,1,1,1,,,,,,
,,2022 - 2023,,,,,,,2,2,1,,,,,,
,20. Chitrakoot,2004 - 2005,42,39,0.93,,,,,,,,,,,,
,,2005 - 2006,36,33,0.92,,,,,,,,,,,,
,,2006 - 2007,34,32,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,26,25,0.96,,,,,,
,,2008 - 2009,,,,,,,34,34,1,,,,,,
,,2009 - 2010,,,,,,,30,26,0.87,,,,,,
,,2010 - 2011,,,,,,,32,28,0.88,,,,,,
,,2011 - 2012,,,,,,,32,27,0.84,,,,,,
,,2012 - 2013,,,,,,,21,17,0.81,,,,,,
,,2013 - 2014,,,,,,,46,37,0.8,,,,,,
,,2014 - 2015,,,,,,,16,13,0.81,,,,,,
,,2015 - 2016,,,,,,,40,30,0.75,,,,,,
,,2016 - 2017,,,,,,,31,29,0.94,,,,,,
,,2017 - 2018,,,,,,,31,29,0.94,,,,,,
,,2018 - 2019,,,,,,,33,30,0.91,,,,,,
,,2019 - 2020,,,,,,,30,26,0.87,,,,,,
,,2020 - 2021,,,,,,,33,29,0.88,,,,,,
,,2021 - 2022,,,,,,,32,28,0.88,,,,,,
,,2022 - 2023,,,,,,,54,50,0.93,,,,,,
,21. Deoria,2004 - 2005,8,8,1,,,,,,,,,,,,
,,2005 - 2006,5,5,1,,,,,,,,,,,,
,,2006 - 2007,4,4,1,,,,,,,,,,,,
,,2007 - 2008,,,,,,,5,5,1,,,,,,
,,2008 - 2009,,,,,,,5,5,1,,,,,,
,,2009 - 2010,,,,,,,5,4,0.8,,,,,,
,,2010 - 2011,,,,,,,5,4,0.8,,,,,,
,,2011 - 2012,,,,,,,5,4,0.8,,,,,,
,,2015 - 2016,,,,,,,2,2,1,,,,,,
,,2016 - 2017,,,,,,,1,1,1,,,,,,
,,2017 - 2018,,,,,,,1,1,1,,,,,,
,,2018 - 2019,,,,,,,2,2,1,,,,,,
,,2019 - 2020,,,,,,,1,1,1,,,,,,
,,2021 - 2022,,,,,,,1,1,1,,,,,,
,,2022 - 2023,,,,,,,1,1,1,,,,,,
,22. Etah,2004 - 2005,284,267,0.94,,,,,,,,,,,,
,,2005 - 2006,238,217,0.91,,,,,,,,,,,,
,,2006 - 2007,228,216,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,245,236,0.96,,,,,,
,,2008 - 2009,,,,,,,242,241,1,,,,,,
,,2009 - 2010,,,,,,,192,169,0.88,,,,,,
,,2010 - 2011,,,,,,,81,71,0.88,,,,,,
,,2011 - 2012,,,,,,,198,164,0.83,,,,,,
,,2012 - 2013,,,,,,,63,50,0.79,,,,,,
,,2013 - 2014,,,,,,,155,125,0.81,,,,,,
,,2014 - 2015,,,,,,,138,114,0.83,,,,,,
,,2015 - 2016,,,,,,,166,126,0.76,,,,,,
,,2016 - 2017,,,,,,,144,133,0.92,,,,,,
,,2017 - 2018,,,,,,,133,123,0.92,,,,,,
,,2018 - 2019,,,,,,,198,183,0.92,,,,,,
,,2019 - 2020,,,,,,,156,136,0.87,,,,,,
,,2020 - 2021,,,,,,,159,141,0.89,,,,,,
,,2021 - 2022,,,,,,,158,140,0.89,,,,,,
,,2022 - 2023,,,,,,,161,150,0.93,,,,,,
,23. Etawah,2004 - 2005,188,177,0.94,,,,,,,,,,,,
,,2005 - 2006,218,199,0.91,,,,,,,,,,,,
,,2006 - 2007,207,196,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,194,187,0.96,,,,,,
,,2008 - 2009,,,,,,,314,313,1,,,,,,
,,2009 - 2010,,,,,,,224,197,0.88,,,,,,
,,2010 - 2011,,,,,,,195,171,0.88,,,,,,
,,2011 - 2012,,,,,,,227,188,0.83,,,,,,
,,2012 - 2013,,,,,,,161,129,0.8,,,,,,
,,2013 - 2014,,,,,,,121,98,0.81,,,,,,
,,2014 - 2015,,,,,,,144,119,0.83,,,,,,
,,2016 - 2017,,,,,,,131,121,0.92,,,,,,
,,2017 - 2018,,,,,,,111,102,0.92,,,,,,
,,2018 - 2019,,,,,,,101,93,0.92,,,,,,
,,2019 - 2020,,,,,,,131,114,0.87,,,,,,
,,2020 - 2021,,,,,,,178,158,0.89,,,,,,
,,2021 - 2022,,,,,,,125,110,0.88,,,,,,
,,2022 - 2023,,,,,,,129,120,0.93,,,,,,
,24. Faizabad,2004 - 2005,39,37,0.95,,,,,,,,,,,,
,,2005 - 2006,44,40,0.91,,,,,,,,,,,,
,,2006 - 2007,34,32,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,57,55,0.96,,,,,,
,,2008 - 2009,,,,,,,44,44,1,,,,,,
,,2009 - 2010,,,,,,,44,39,0.89,,,,,,
,,2010 - 2011,,,,,,,10,9,0.9,,,,,,
,,2011 - 2012,,,,,,,52,43,0.83,,,,,,
,,2012 - 2013,,,,,,,8,7,0.88,,,,,,
,,2013 - 2014,,,,,,,3,2,0.67,,,,,,
,,2014 - 2015,,,,,,,24,20,0.83,,,,,,
,,2015 - 2016,,,,,,,23,17,0.74,,,,,,
,,2016 - 2017,,,,,,,22,20,0.91,,,,,,
,,2017 - 2018,,,,,,,16,15,0.94,,,,,,
,,2018 - 2019,,,,,,,18,17,0.94,,,,,,
,,2019 - 2020,,,,,,,21,18,0.86,,,,,,
,,2020 - 2021,,,,,,,20,18,0.9,,,,,,
,,2021 - 2022,,,,,,,16,14,0.88,,,,,,
,,2022 - 2023,,,,,,,26,24,0.92,,,,,,
,25. Farrukhabad,2004 - 2005,194,182,0.94,,,,,,,,,,,,
,,2005 - 2006,238,218,0.92,,,,,,,,,,,,
,,2006 - 2007,204,194,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,203,195,0.96,,,,,,
,,2008 - 2009,,,,,,,207,206,1,,,,,,
,,2009 - 2010,,,,,,,209,184,0.88,,,,,,
,,2010 - 2011,,,,,,,26,23,0.88,,,,,,
,,2011 - 2012,,,,,,,111,92,0.83,,,,,,
,,2012 - 2013,,,,,,,137,110,0.8,,,,,,
,,2013 - 2014,,,,,,,197,159,0.81,,,,,,
,,2014 - 2015,,,,,,,192,158,0.82,,,,,,
,,2015 - 2016,,,,,,,153,116,0.76,,,,,,
,,2016 - 2017,,,,,,,158,146,0.92,,,,,,
,,2017 - 2018,,,,,,,156,144,0.92,,,,,,
,,2018 - 2019,,,,,,,171,158,0.92,,,,,,
,,2019 - 2020,,,,,,,197,172,0.87,,,,,,
,,2020 - 2021,,,,,,,167,148,0.89,,,,,,
,,2021 - 2022,,,,,,,196,173,0.88,,,,,,
,,2022 - 2023,,,,,,,177,165,0.93,,,,,,
,26. Fatehpur,2004 - 2005,"2,249.00","2,111.00",0.94,,,,,,,,,,,,
,,2005 - 2006,"2,272.00","2,075.00",0.91,,,,,,,,,,,,
,,2006 - 2007,"1,891.00","1,793.00",0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,"1,866.00","1,799.00",0.96,,,,,,
,,2008 - 2009,,,,,,,"2,211.00","2,204.00",1,,,,,,
,,2009 - 2010,,,,,,,"2,098.00","1,848.00",0.88,,,,,,
,,2010 - 2011,,,,,,,"2,052.00","1,795.00",0.87,,,,,,
,,2011 - 2012,,,,,,,"2,301.00","1,910.00",0.83,,,,,,
,,2012 - 2013,,,,,,,"2,401.00","1,929.00",0.8,,,,,,
,,2013 - 2014,,,,,,,"2,402.00","1,939.00",0.81,,,,,,
,,2014 - 2015,,,,,,,"2,405.00","1,983.00",0.82,,,,,,
,,2015 - 2016,,,,,,,"2,636.00","1,997.00",0.76,,,,,,
,,2016 - 2017,,,,,,,"2,344.00","2,162.00",0.92,,,,,,
,,2017 - 2018,,,,,,,"2,438.00","2,249.00",0.92,,,,,,
,,2018 - 2019,,,,,,,"2,445.00","2,259.00",0.92,,,,,,
,,2019 - 2020,,,,,,,"2,319.00","2,021.00",0.87,,,,,,
,,2020 - 2021,,,,,,,"2,403.00","2,132.00",0.89,,,,,,
,,2021 - 2022,,,,,,,"2,390.00","2,112.00",0.88,,,,,,
,,2022 - 2023,,,,,,,"2,399.00","2,232.00",0.93,,,,,,
,27. Firozabad,2004 - 2005,"3,753.00","2,584.00",0.69,,,,,,,,,,,,
,,2005 - 2006,"1,227.00","1,121.00",0.91,,,,,,,,,,,,
,,2006 - 2007,"1,118.00","1,060.00",0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,"1,753.00","1,690.00",0.96,,,,,,
,,2008 - 2009,,,,,,,849,846,1,,,,,,
,,2009 - 2010,,,,,,,"1,538.00","1,355.00",0.88,,,,,,
,,2010 - 2011,,,,,,,"1,295.00","1,133.00",0.87,,,,,,
,,2011 - 2012,,,,,,,"1,512.00","1,255.00",0.83,,,,,,
,,2012 - 2013,,,,,,,"1,389.00","1,116.00",0.8,,,,,,
,,2013 - 2014,,,,,,,"1,746.00","1,410.00",0.81,,,,,,
,,2014 - 2015,,,,,,,"1,393.00","1,148.00",0.82,,,,,,
,,2015 - 2016,,,,,,,"1,462.00","1,107.00",0.76,,,,,,
,,2016 - 2017,,,,,,,"1,500.00","1,383.00",0.92,,,,,,
,,2017 - 2018,,,,,,,"1,498.00","1,382.00",0.92,,,,,,
,,2018 - 2019,,,,,,,"1,520.00","1,404.00",0.92,,,,,,
,,2019 - 2020,,,,,,,"1,475.00","1,286.00",0.87,,,,,,
,,2020 - 2021,,,,,,,"1,491.00","1,323.00",0.89,,,,,,
,,2021 - 2022,,,,,,,"1,497.00","1,323.00",0.88,,,,,,
,,2022 - 2023,,,,,,,"1,496.00","1,392.00",0.93,,,,,,
,28. Gautam buddha nagar,2009 - 2010,,,,,,,6,5,0.83,,,,,,
,,2011 - 2012,,,,,,,1,1,1,,,,,,
,,2014 - 2015,,,,,,,2,2,1,,,,,,
,,2015 - 2016,,,,,,,1,1,1,,,,,,
,,2016 - 2017,,,,,,,1,1,1,,,,,,
,,2018 - 2019,,,,,,,1,1,1,,,,,,
,29. Ghaziabad,2004 - 2005,155,145,0.94,,,,,,,,,,,,
,,2005 - 2006,66,60,0.91,,,,,,,,,,,,
,,2006 - 2007,182,173,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,144,139,0.97,,,,,,
,,2008 - 2009,,,,,,,134,133,0.99,,,,,,
,,2009 - 2010,,,,,,,136,120,0.88,,,,,,
,,2010 - 2011,,,,,,,20,17,0.85,,,,,,
,,2011 - 2012,,,,,,,74,61,0.82,,,,,,
,,2012 - 2013,,,,,,,102,82,0.8,,,,,,
,,2013 - 2014,,,,,,,93,75,0.81,,,,,,
,,2014 - 2015,,,,,,,85,70,0.82,,,,,,
,,2015 - 2016,,,,,,,75,57,0.76,,,,,,
,,2016 - 2017,,,,,,,86,79,0.92,,,,,,
,,2017 - 2018,,,,,,,88,81,0.92,,,,,,
,,2018 - 2019,,,,,,,85,78,0.92,,,,,,
,,2019 - 2020,,,,,,,84,73,0.87,,,,,,
,,2020 - 2021,,,,,,,84,75,0.89,,,,,,
,,2021 - 2022,,,,,,,85,75,0.88,,,,,,
,,2022 - 2023,,,,,,,85,79,0.93,,,,,,
,30. Ghazipur,2004 - 2005,622,584,0.94,,,,,,,,,,,,
,,2005 - 2006,668,610,0.91,,,,,,,,,,,,
,,2006 - 2007,606,575,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,662,638,0.96,,,,,,
,,2008 - 2009,,,,,,,591,589,1,,,,,,
,,2009 - 2010,,,,,,,630,555,0.88,,,,,,
,,2010 - 2011,,,,,,,587,513,0.87,,,,,,
,,2011 - 2012,,,,,,,615,510,0.83,,,,,,
,,2012 - 2013,,,,,,,331,266,0.8,,,,,,
,,2013 - 2014,,,,,,,269,217,0.81,,,,,,
,,2014 - 2015,,,,,,,248,205,0.83,,,,,,
,,2015 - 2016,,,,,,,348,264,0.76,,,,,,
,,2016 - 2017,,,,,,,362,334,0.92,,,,,,
,,2017 - 2018,,,,,,,312,288,0.92,,,,,,
,,2018 - 2019,,,,,,,308,678,2.2,,,,,,
,,2019 - 2020,,,,,,,316,276,0.87,,,,,,
,,2020 - 2021,,,,,,,329,292,0.89,,,,,,
,,2021 - 2022,,,,,,,300,265,0.88,,,,,,
,,2022 - 2023,,,,,,,313,291,0.93,,,,,,
,31. Gonda,2004 - 2005,18,17,0.94,,,,,,,,,,,,
,,2005 - 2006,24,22,0.92,,,,,,,,,,,,
,,2006 - 2007,18,17,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,36,35,0.97,,,,,,
,,2008 - 2009,,,,,,,116,116,1,,,,,,
,,2009 - 2010,,,,,,,42,37,0.88,,,,,,
,,2010 - 2011,,,,,,,47,41,0.87,,,,,,
,,2011 - 2012,,,,,,,52,43,0.83,,,,,,
