State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,3. Jagitial,2017 - 2018,,,,86,"5,540.00",64.42,,,,,,
,,2018 - 2019,,,,26,"1,601.00",61.58,,,,,,
,,2019 - 2020,,,,36,"2,128.00",59.11,,,,,,
,,2020 - 2021,,,,22,"1,027.00",46.68,,,,,,
,,2021 - 2022,,,,23,784,34.09,,,,,,
,,2022 - 2023,,,,23,970,42.17,,,,,,
,4. Jangoan,2018 - 2019,,,,2,123,61.5,,,,,,
,,2020 - 2021,,,,2,93,46.5,,,,,,
,,2021 - 2022,,,,5,171,34.2,,,,,,
,,2022 - 2023,,,,5,211,42.2,,,,,,
,5. Jayashankar,2016 - 2017,,,,94,"4,349.00",46.27,,,,,,
,,2017 - 2018,,,,148,"9,534.00",64.42,,,,,,
,,2018 - 2019,,,,41,"2,524.00",61.56,,,,,,
,,2019 - 2020,,,,57,"3,369.00",59.11,,,,,,
,,2020 - 2021,,,,81,"3,780.00",46.67,,,,,,
,,2021 - 2022,,,,52,"1,773.00",34.1,,,,,,
,,2022 - 2023,,,,52,"2,194.00",42.19,,,,,,
,6. Jogulamba,2016 - 2017,,,,24,"1,110.00",46.25,,,,,,
,,2017 - 2018,,,,28,"1,804.00",64.43,,,,,,
,,2018 - 2019,,,,20,"1,231.00",61.55,,,,,,
,,2021 - 2022,,,,3,102,34,,,,,,
,,2022 - 2023,,,,3,127,42.33,,,,,,
,7. Kamareddy,2016 - 2017,,,,17,787,46.29,,,,,,
,,2017 - 2018,,,,21,"1,353.00",64.43,,,,,,
,,2018 - 2019,,,,21,"1,293.00",61.57,,,,,,
,,2019 - 2020,,,,24,"1,419.00",59.13,,,,,,
,,2020 - 2021,,,,11,513,46.64,,,,,,
,,2021 - 2022,,,,8,273,34.13,,,,,,
,,2022 - 2023,,,,8,337,42.13,,,,,,
,8. Karimnagar,2000 - 2001,1,,0,,,,,,,,,
,,2001 - 2002,1,,0,,,,,,,,,
,,2002 - 2003,9,220,24.44,,,,,,,,,
,,2004 - 2005,12,297,24.75,,,,,,,,,
,,2005 - 2006,33,690,20.91,,,,,,,,,
,,2006 - 2007,16,389,24.31,,,,,,,,,
,,2013 - 2014,14,436,31.14,,,,,,,,,
,,2014 - 2015,,,,31,"1,307.00",42.16,,,,,,
,,2015 - 2016,,,,50,"2,392.00",47.84,,,,,,
,,2016 - 2017,,,,4,185,46.25,,,,,,
,,2017 - 2018,,,,9,580,64.44,,,,,,
,,2018 - 2019,,,,8,493,61.63,,,,,,
,,2019 - 2020,,,,23,"1,359.00",59.09,,,,,,
,,2020 - 2021,,,,19,887,46.68,,,,,,
,,2021 - 2022,,,,26,887,34.12,,,,,,
,,2022 - 2023,,,,26,"1,097.00",42.19,,,,,,
,9. Khammam,2000 - 2001,754,"18,152.00",24.07,,,,,,,,,
,,2001 - 2002,673,"13,682.00",20.33,,,,,,,,,
,,2002 - 2003,735,"17,937.00",24.4,,,,,,,,,
,,2003 - 2004,859,"12,028.00",14,,,,,,,,,
,,2004 - 2005,935,"23,134.00",24.74,,,,,,,,,
,,2005 - 2006,497,,0,,,,,,,,,
,,2006 - 2007,983,"23,929.00",24.34,,,,,,,,,
,,2008 - 2009,517,"13,166.00",25.47,,,,,,,,,
,,2009 - 2010,538,"16,220.00",30.15,,,,,,,,,
,,2010 - 2011,"1,020.00","33,270.00",32.62,,,,,,,,,
,,2011 - 2012,991,"36,834.00",37.17,,,,,,,,,
,,2013 - 2014,668,"20,804.00",31.14,,,,,,,,,
,,2014 - 2015,,,,358,"15,518.00",43.35,,,,,,
,,2015 - 2016,,,,386,"23,093.00",59.83,,,,,,
,,2016 - 2017,,,,37,"2,110.00",57.03,,,,,,
,,2017 - 2018,,,,31,"1,997.00",64.42,,,,,,
,,2018 - 2019,,,,41,"2,524.00",61.56,,,,,,
,,2019 - 2020,,,,27,"1,596.00",59.11,,,,,,
,,2020 - 2021,,,,100,"4,667.00",46.67,,,,,,
,,2021 - 2022,,,,138,"4,706.00",34.1,,,,,,
,,2022 - 2023,,,,138,"5,821.00",42.18,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,,,,8,370,46.25,,,,,,
,,2017 - 2018,,,,8,515,64.38,,,,,,
,,2018 - 2019,,,,11,677,61.55,,,,,,
,,2019 - 2020,,,,18,"1,064.00",59.11,,,,,,
,,2020 - 2021,,,,12,560,46.67,,,,,,
,,2021 - 2022,,,,12,409,34.08,,,,,,
,,2022 - 2023,,,,12,506,42.17,,,,,,
,11. Mahabubabad,2017 - 2018,,,,6,387,64.5,,,,,,
,,2018 - 2019,,,,4,246,61.5,,,,,,
,,2019 - 2020,,,,8,473,59.13,,,,,,
,,2020 - 2021,,,,1,47,47,,,,,,
,,2021 - 2022,,,,3,102,34,,,,,,
,,2022 - 2023,,,,3,127,42.33,,,,,,
,12. Mahbubnagar,2000 - 2001,5,128,25.6,,,,,,,,,
,,2001 - 2002,12,,0,,,,,,,,,
,,2015 - 2016,,,,2,96,48,,,,,,
,,2017 - 2018,,,,2,129,64.5,,,,,,
,13. Medak,2000 - 2001,333,"6,068.00",18.22,,,,,,,,,
,,2001 - 2002,527,"2,160.00",4.1,,,,,,,,,
,,2002 - 2003,297,"7,248.00",24.4,,,,,,,,,
,,2003 - 2004,121,"1,694.00",14,,,,,,,,,
,,2004 - 2005,48,"1,188.00",24.75,,,,,,,,,
,,2005 - 2006,4,84,21,,,,,,,,,
,,2006 - 2007,525,"12,780.00",24.34,,,,,,,,,
,,2008 - 2009,552,"14,057.00",25.47,,,,,,,,,
,,2009 - 2010,798,"24,058.00",30.15,,,,,,,,,
,,2010 - 2011,727,"23,713.00",32.62,,,,,,,,,
,,2011 - 2012,381,"14,161.00",37.17,,,,,,,,,
,,2013 - 2014,545,"16,973.00",31.14,,,,,,,,,
,,2014 - 2015,,,,904,"37,703.00",41.71,,,,,,
,,2015 - 2016,,,,660,"26,948.00",40.83,,,,,,
,,2016 - 2017,,,,5,184,36.8,,,,,,
,,2017 - 2018,,,,3,193,64.33,,,,,,
,,2018 - 2019,,,,6,369,61.5,,,,,,
,,2019 - 2020,,,,4,236,59,,,,,,
,,2020 - 2021,,,,3,140,46.67,,,,,,
,,2021 - 2022,,,,19,648,34.11,,,,,,
,,2022 - 2023,,,,19,801,42.16,,,,,,
,14. Medchal,2016 - 2017,,,,3,139,46.33,,,,,,
,,2017 - 2018,,,,3,193,64.33,,,,,,
,,2018 - 2019,,,,3,185,61.67,,,,,,
,,2019 - 2020,,,,8,473,59.13,,,,,,
,,2020 - 2021,,,,10,467,46.7,,,,,,
,,2021 - 2022,,,,15,512,34.13,,,,,,
,,2022 - 2023,,,,15,633,42.2,,,,,,
,15. Mulugu,2018 - 2019,,,,118,"7,266.00",61.58,,,,,,
,,2019 - 2020,,,,164,"9,693.00",59.1,,,,,,
,,2020 - 2021,,,,177,"8,261.00",46.67,,,,,,
,,2021 - 2022,,,,226,"8,311.00",36.77,,,,,,
,,2022 - 2023,,,,226,"7,877.00",34.85,,,,,,
,16. Nagarkurnool,2018 - 2019,,,,3,185,61.67,,,,,,
,,2019 - 2020,,,,15,887,59.13,,,,,,
,,2020 - 2021,,,,24,"1,120.00",46.67,,,,,,
,,2021 - 2022,,,,35,"1,194.00",34.11,,,,,,
,,2022 - 2023,,,,35,"1,476.00",42.17,,,,,,
,17. Nalgonda,2000 - 2001,13,333,25.62,,,,,,,,,
,,2001 - 2002,9,,0,,,,,,,,,
,,2002 - 2003,3,73,24.33,,,,,,,,,
,,2004 - 2005,1,25,25,,,,,,,,,
,,2005 - 2006,1,21,21,,,,,,,,,
,,2006 - 2007,1,24,24,,,,,,,,,
,,2009 - 2010,3,90,30,,,,,,,,,
,,2011 - 2012,5,186,37.2,,,,,,,,,
,,2013 - 2014,11,343,31.18,,,,,,,,,
,,2014 - 2015,,,,39,"1,645.00",42.18,,,,,,
,,2015 - 2016,,,,33,"1,579.00",47.85,,,,,,
,,2016 - 2017,,,,4,185,46.25,,,,,,
,,2021 - 2022,,,,11,375,34.09,,,,,,
,,2022 - 2023,,,,11,464,42.18,,,,,,
,18. Narayanapet,2018 - 2019,,,,8,493,61.63,,,,,,
,,2019 - 2020,,,,3,177,59,,,,,,
,,2020 - 2021,,,,6,280,46.67,,,,,,
,,2021 - 2022,,,,9,307,34.11,,,,,,
,,2022 - 2023,,,,9,380,42.22,,,,,,
,19. Nirmal,2016 - 2017,,,,44,"2,036.00",46.27,,,,,,
,,2017 - 2018,,,,18,"1,160.00",64.44,,,,,,
,,2018 - 2019,,,,32,"1,970.00",61.56,,,,,,
,,2019 - 2020,,,,20,"1,182.00",59.1,,,,,,
,,2020 - 2021,,,,16,747,46.69,,,,,,
,,2021 - 2022,,,,22,750,34.09,,,,,,
,,2022 - 2023,,,,22,928,42.18,,,,,,
,20. Nizamabad,2000 - 2001,478,"4,890.00",10.23,,,,,,,,,
,,2001 - 2002,398,"2,070.00",5.2,,,,,,,,,
,,2002 - 2003,405,"9,884.00",24.4,,,,,,,,,
,,2003 - 2004,360,"5,041.00",14,,,,,,,,,
,,2004 - 2005,392,"9,699.00",24.74,,,,,,,,,
,,2005 - 2006,83,"1,735.00",20.9,,,,,,,,,
,,2006 - 2007,109,"2,653.00",24.34,,,,,,,,,
,,2008 - 2009,241,"6,137.00",25.46,,,,,,,,,
,,2009 - 2010,150,"4,522.00",30.15,,,,,,,,,
,,2010 - 2011,138,"4,501.00",32.62,,,,,,,,,
,,2011 - 2012,178,"6,616.00",37.17,,,,,,,,,
,,2013 - 2014,46,"1,433.00",31.15,,,,,,,,,
,,2014 - 2015,,,,44,"1,856.00",42.18,,,,,,
,,2015 - 2016,,,,98,"4,688.00",47.84,,,,,,
,,2016 - 2017,,,,63,"2,915.00",46.27,,,,,,
,,2017 - 2018,,,,51,"3,285.00",64.41,,,,,,
,,2018 - 2019,,,,58,"3,571.00",61.57,,,,,,
,,2019 - 2020,,,,64,"3,783.00",59.11,,,,,,
,,2020 - 2021,,,,73,"3,407.00",46.67,,,,,,
,,2021 - 2022,,,,64,"2,182.00",34.09,,,,,,
,,2022 - 2023,,,,64,"2,700.00",42.19,,,,,,
,21. Peddapalli,2016 - 2017,,,,12,555,46.25,,,,,,
,,2017 - 2018,,,,36,"2,319.00",64.42,,,,,,
,,2018 - 2019,,,,38,"2,340.00",61.58,,,,,,
,,2019 - 2020,,,,12,709,59.08,,,,,,
,,2020 - 2021,,,,26,"1,213.00",46.65,,,,,,
,,2021 - 2022,,,,21,716,34.1,,,,,,
,,2022 - 2023,,,,21,886,42.19,,,,,,
,22. Rajanna,2021 - 2022,,,,1,34,34,,,,,,
,,2022 - 2023,,,,1,42,42,,,,,,
,23. Rangareddi,2000 - 2001,246,"6,042.00",24.56,,,,,,,,,
,,2001 - 2002,249,"3,533.00",14.19,,,,,,,,,
,,2002 - 2003,204,"4,978.00",24.4,,,,,,,,,
,,2003 - 2004,86,"1,204.00",14,,,,,,,,,
,,2004 - 2005,271,"6,705.00",24.74,,,,,,,,,
,,2005 - 2006,40,836,20.9,,,,,,,,,
,,2006 - 2007,83,"2,020.00",24.34,,,,,,,,,
,,2008 - 2009,34,866,25.47,,,,,,,,,
,,2009 - 2010,4,121,30.25,,,,,,,,,
,,2010 - 2011,45,"1,468.00",32.62,,,,,,,,,
,,2011 - 2012,49,"1,821.00",37.16,,,,,,,,,
,,2013 - 2014,63,"1,962.00",31.14,,,,,,,,,
,,2014 - 2015,,,,56,"2,362.00",42.18,,,,,,
,,2015 - 2016,,,,99,"4,736.00",47.84,,,,,,
,,2016 - 2017,,,,10,463,46.3,,,,,,
,,2017 - 2018,,,,9,580,64.44,,,,,,
,,2018 - 2019,,,,2,123,61.5,,,,,,
,,2019 - 2020,,,,4,236,59,,,,,,
,,2020 - 2021,,,,13,607,46.69,,,,,,
,,2021 - 2022,,,,16,546,34.13,,,,,,
,,2022 - 2023,,,,16,675,42.19,,,,,,
,24. Sangareddy,2016 - 2017,,,,531,"19,582.00",36.88,,,,,,
,,2017 - 2018,,,,332,"19,037.00",57.34,,,,,,
,,2018 - 2019,,,,250,"11,496.00",45.98,,,,,,
,,2019 - 2020,,,,259,"16,251.00",62.75,,,,,,
,,2020 - 2021,,,,138,"9,151.00",66.31,,,,,,
,,2021 - 2022,,,,227,"7,741.00",34.1,,,,,,
,,2022 - 2023,,,,227,"14,994.00",66.05,,,,,,
,25. Siddipet,2016 - 2017,,,,6,221,36.83,,,,,,
,,2017 - 2018,,,,5,322,64.4,,,,,,
,,2018 - 2019,,,,5,308,61.6,,,,,,
,,2019 - 2020,,,,1,59,59,,,,,,
,,2021 - 2022,,,,5,171,34.2,,,,,,
,,2022 - 2023,,,,5,211,42.2,,,,,,
,26. Suryapet,2017 - 2018,,,,14,902,64.43,,,,,,
,,2018 - 2019,,,,6,369,61.5,,,,,,
,,2019 - 2020,,,,5,296,59.2,,,,,,
,,2020 - 2021,,,,7,327,46.71,,,,,,
,,2021 - 2022,,,,6,205,34.17,,,,,,
,,2022 - 2023,,,,6,253,42.17,,,,,,
,27. Vikarabad,2016 - 2017,,,,94,"4,349.00",46.27,,,,,,
,,2017 - 2018,,,,75,"4,831.00",64.41,,,,,,
,,2018 - 2019,,,,129,"7,943.00",61.57,,,,,,
,,2019 - 2020,,,,158,"9,339.00",59.11,,,,,,
,,2020 - 2021,,,,148,"6,907.00",46.67,,,,,,
,,2021 - 2022,,,,177,"7,801.00",44.07,,,,,,
,,2022 - 2023,,,,177,"7,467.00",42.19,,,,,,
,28. Wanaparthy,2019 - 2020,,,,4,236,59,,,,,,
,,2020 - 2021,,,,2,93,46.5,,,,,,
,,2021 - 2022,,,,5,171,34.2,,,,,,
,,2022 - 2023,,,,5,211,42.2,,,,,,
,29. Warangal,2000 - 2001,154,"3,943.00",25.6,,,,,,,,,
,,2001 - 2002,277,"6,233.00",22.5,,,,,,,,,
,,2002 - 2003,609,"14,862.00",24.4,,,,,,,,,
,,2003 - 2004,436,"6,105.00",14,,,,,,,,,
,,2004 - 2005,299,"4,478.00",14.98,,,,,,,,,
,,2005 - 2006,111,"2,320.00",20.9,,,,,,,,,
,,2006 - 2007,115,"2,799.00",24.34,,,,,,,,,
,,2008 - 2009,174,"4,431.00",25.47,,,,,,,,,
,,2009 - 2010,190,"5,728.00",30.15,,,,,,,,,
,,2010 - 2011,150,"4,893.00",32.62,,,,,,,,,
,,2011 - 2012,174,"6,467.00",37.17,,,,,,,,,
,,2013 - 2014,175,"5,450.00",31.14,,,,,,,,,
,,2014 - 2015,,,,264,"11,133.00",42.17,,,,,,
,,2015 - 2016,,,,408,"19,519.00",47.84,,,,,,
,,2016 - 2017,,,,161,"7,449.00",46.27,,,,,,
,,2017 - 2018,,,,220,"15,992.00",72.69,,,,,,
,,2018 - 2019,,,,312,"24,280.00",77.82,,,,,,
,,2019 - 2020,,,,362,"24,724.00",68.3,,,,,,
,,2020 - 2021,,,,257,"17,543.00",68.26,,,,,,
,,2021 - 2022,,,,235,"5,644.00",24.02,,,,,,
,,2022 - 2023,,,,235,"17,867.00",76.03,,,,,,
,30. Warangal urban,2017 - 2018,,,,9,580,64.44,,,,,,
,,2018 - 2019,,,,9,554,61.56,,,,,,
,,2019 - 2020,,,,15,887,59.13,,,,,,
,,2020 - 2021,,,,1,47,47,,,,,,
,,2021 - 2022,,,,177,"6,036.00",34.1,,,,,,
,,2022 - 2023,,,,177,"7,467.00",42.19,,,,,,
,31. Yadadri,2016 - 2017,,,,4,185,46.25,,,,,,
,,2017 - 2018,,,,2,129,64.5,,,,,,
,,2018 - 2019,,,,3,185,61.67,,,,,,
,,2019 - 2020,,,,4,236,59,,,,,,
,,2020 - 2021,,,,3,140,46.67,,,,,,
,,2021 - 2022,,,,2,68,34,,,,,,
,,2022 - 2023,,,,2,84,42,,,,,,
20. Uttar Pradesh,1. Agra,2017 - 2018,,,,,,,,,,4,178,44.5
,,2018 - 2019,,,,,,,,,,8,362,45.25
,,2019 - 2020,,,,,,,,,,8,374,46.75
,2. Aligarh,2005 - 2006,2,77,38.5,,,,,,,,,
,,2008 - 2009,,,,,,,,,,2,77,38.5
,,2009 - 2010,,,,,,,,,,1,41,41
,,2012 - 2013,,,,,,,,,,1,45,45
,,2013 - 2014,,,,,,,,,,1,44,44
,,2014 - 2015,,,,,,,,,,1,45,45
,,2015 - 2016,,,,,,,,,,1,45,45
,,2016 - 2017,,,,,,,,,,1,55,55
,,2017 - 2018,,,,,,,,,,29,"1,446.00",49.86
,,2018 - 2019,,,,,,,,,,29,"1,467.00",50.59
,,2019 - 2020,,,,,,,,,,30,"1,517.00",50.57
,,2020 - 2021,,,,,,,,,,1,55,55
,,2021 - 2022,,,,,,,,,,2,108,54
,,2022 - 2023,,,,,,,,,,1,54,54
,3. Allahabad,2004 - 2005,7,255,36.43,,,,,,,,,
,,2005 - 2006,9,343,38.11,,,,,,,,,
,,2006 - 2007,10,388,38.8,,,,,,,,,
,,2008 - 2009,,,,,,,,,,9,343,38.11
,,2009 - 2010,,,,,,,,,,14,576,41.14
,,2011 - 2012,,,,,,,,,,2,87,43.5
,,2013 - 2014,,,,,,,,,,6,261,43.5
,,2014 - 2015,,,,,,,,,,5,226,45.2
,,2015 - 2016,,,,,,,,,,4,178,44.5
,,2016 - 2017,,,,,,,,,,5,276,55.2
,,2017 - 2018,,,,,,,,,,123,"5,876.00",47.77
,,2018 - 2019,,,,,,,,,,125,"5,965.00",47.72
,,2019 - 2020,,,,,,,,,,129,"6,168.00",47.81
,,2020 - 2021,,,,,,,,,,6,328,54.67
,,2021 - 2022,,,,,,,,,,5,271,54.2
,,2022 - 2023,,,,,,,,,,5,272,54.4
,4. Ambedkar nagar,2009 - 2010,,,,,,,,,,6,246,41
,,2014 - 2015,,,,,,,,,,17,767,45.12
,,2015 - 2016,,,,,,,,,,12,533,44.42
,,2016 - 2017,,,,,,,,,,6,331,55.17
,,2017 - 2018,,,,,,,,,,109,"4,738.00",43.47
,,2018 - 2019,,,,,,,,,,111,"4,810.00",43.33
,,2019 - 2020,,,,,,,,,,114,"4,974.00",43.63
,,2020 - 2021,,,,,,,,,,9,493,54.78
,,2021 - 2022,,,,,,,,,,8,434,54.25
,,2022 - 2023,,,,,,,,,,8,434,54.25
,5. Amethi,2011 - 2012,,,,,,,,,,1,43,43
,,2021 - 2022,,,,,,,,,,3,162,54
,6. Amroha,2017 - 2018,,,,,,,,,,6,274,45.67
,,2018 - 2019,,,,,,,,,,7,324,46.29
,,2019 - 2020,,,,,,,,,,7,335,47.86
,7. Auraiya,2005 - 2006,1,38,38,,,,,,,,,
,,2008 - 2009,,,,,,,,,,1,38,38
,,2009 - 2010,,,,,,,,,,12,493,41.08
,,2012 - 2013,,,,,,,,,,3,134,44.67
,,2013 - 2014,,,,,,,,,,4,174,43.5
,,2014 - 2015,,,,,,,,,,6,271,45.17
,,2015 - 2016,,,,,,,,,,2,89,44.5
,,2016 - 2017,,,,,,,,,,3,166,55.33
,,2017 - 2018,,,,,,,,,,11,239,21.73
,,2018 - 2019,,,,,,,,,,12,404,33.67
,,2019 - 2020,,,,,,,,,,12,418,34.83
,,2020 - 2021,,,,,,,,,,3,164,54.67
,,2021 - 2022,,,,,,,,,,4,217,54.25
,,2022 - 2023,,,,,,,,,,4,217,54.25
,8. Azamgarh,2004 - 2005,8,291,36.38,,,,,,,,,
,,2005 - 2006,1,38,38,,,,,,,,,
,,2008 - 2009,,,,,,,,,,1,38,38
,,2009 - 2010,,,,,,,,,,2,82,41
,,2017 - 2018,,,,,,,,,,8,356,44.5
,,2018 - 2019,,,,,,,,,,11,496,45.09
,,2019 - 2020,,,,,,,,,,11,513,46.64
,9. Baghpat,2012 - 2013,,,,,,,,,,1,45,45
,,2015 - 2016,,,,,,,,,,1,45,45
,,2017 - 2018,,,,,,,,,,27,"1,285.00",47.59
,,2018 - 2019,,,,,,,,,,27,"1,305.00",48.33
,,2019 - 2020,,,,,,,,,,28,"1,349.00",48.18
,10. Bahraich,2004 - 2005,26,946,36.38,,,,,,,,,
,,2005 - 2006,38,"1,448.00",38.11,,,,,,,,,
,,2006 - 2007,36,"1,397.00",38.81,,,,,,,,,
,,2008 - 2009,,,,,,,,,,38,"1,448.00",38.11
,,2009 - 2010,,,,,,,,,,72,"2,961.00",41.13
,,2011 - 2012,,,,,,,,,,128,"5,592.00",43.69
,,2012 - 2013,,,,,,,,,,82,"3,661.00",44.65
,,2013 - 2014,,,,,,,,,,96,"4,180.00",43.54
,,2014 - 2015,,,,,,,,,,100,"4,511.00",45.11
,,2015 - 2016,,,,,,,,,,412,"18,290.00",44.39
,,2016 - 2017,,,,,,,,,,164,"9,056.00",55.22
,,2017 - 2018,,,,,,,,,,"3,208.00","1,44,307.00",44.98
,,2018 - 2019,,,,,,,,,,"3,256.00","1,46,498.00",44.99
,,2019 - 2020,,,,,,,,,,"3,354.00","1,51,479.00",45.16
,,2020 - 2021,,,,,,,,,,229,"12,533.00",54.73
,,2021 - 2022,,,,,,,,,,192,"10,411.00",54.22
,,2022 - 2023,,,,,,,,,,198,"10,747.00",54.28
,11. Ballia,2009 - 2010,,,,,,,,,,4,165,41.25
,,2011 - 2012,,,,,,,,,,18,786,43.67
,,2012 - 2013,,,,,,,,,,18,804,44.67
,,2013 - 2014,,,,,,,,,,5,218,43.6
,,2014 - 2015,,,,,,,,,,7,316,45.14
,,2015 - 2016,,,,,,,,,,17,755,44.41
,,2017 - 2018,,,,,,,,,,395,"17,976.00",45.51
,,2018 - 2019,,,,,,,,,,401,"18,249.00",45.51
,,2019 - 2020,,,,,,,,,,413,"18,869.00",45.69
,,2020 - 2021,,,,,,,,,,9,493,54.78
,,2021 - 2022,,,,,,,,,,22,"1,193.00",54.23
,,2022 - 2023,,,,,,,,,,12,651,54.25
,12. Balrampur,2006 - 2007,2,78,39,,,,,,,,,
,,2015 - 2016,,,,,,,,,,3,133,44.33
,,2016 - 2017,,,,,,,,,,1,55,55
,,2017 - 2018,,,,,,,,,,333,"14,960.00",44.92
,,2018 - 2019,,,,,,,,,,338,"15,187.00",44.93
,,2019 - 2020,,,,,,,,,,348,"15,703.00",45.12
,,2020 - 2021,,,,,,,,,,1,55,55
,13. Banda,2017 - 2018,,,,,,,,,,25,"1,190.00",47.6
,,2018 - 2019,,,,,,,,,,25,"1,208.00",48.32
,,2019 - 2020,,,,,,,,,,26,"1,249.00",48.04
,14. Barabanki,2004 - 2005,3,109,36.33,,,,,,,,,
,,2006 - 2007,4,155,38.75,,,,,,,,,
,,2011 - 2012,,,,,,,,,,27,"1,180.00",43.7
,,2012 - 2013,,,,,,,,,,29,"1,295.00",44.66
,,2013 - 2014,,,,,,,,,,163,"7,097.00",43.54
,,2014 - 2015,,,,,,,,,,120,"5,413.00",45.11
,,2015 - 2016,,,,,,,,,,164,"7,280.00",44.39
,,2016 - 2017,,,,,,,,,,244,"13,473.00",55.22
,,2017 - 2018,,,,,,,,,,516,"23,012.00",44.6
,,2018 - 2019,,,,,,,,,,524,"23,366.00",44.59
,,2019 - 2020,,,,,,,,,,540,"24,160.00",44.74
,,2020 - 2021,,,,,,,,,,172,"9,413.00",54.73
,,2021 - 2022,,,,,,,,,,191,"10,357.00",54.23
,,2022 - 2023,,,,,,,,,,172,"9,336.00",54.28
,15. Bareilly,2011 - 2012,,,,,,,,,,1,44,44
,,2017 - 2018,,,,,,,,,,25,"1,012.00",40.48
,,2018 - 2019,,,,,,,,,,25,"1,027.00",41.08
,,2019 - 2020,,,,,,,,,,26,"1,062.00",40.85
,,2021 - 2022,,,,,,,,,,1,54,54
,16. Basti,2004 - 2005,8,291,36.38,,,,,,,,,
,,2005 - 2006,7,267,38.14,,,,,,,,,
,,2006 - 2007,8,311,38.88,,,,,,,,,
,,2008 - 2009,,,,,,,,,,7,267,38.14
,,2009 - 2010,,,,,,,,,,7,288,41.14
,,2011 - 2012,,,,,,,,,,6,262,43.67
,,2015 - 2016,,,,,,,,,,6,266,44.33
,,2016 - 2017,,,,,,,,,,2,110,55
,,2017 - 2018,,,,,,,,,,160,"7,562.00",47.26
,,2018 - 2019,,,,,,,,,,162,"7,677.00",47.39
,,2019 - 2020,,,,,,,,,,167,"7,938.00",47.53
,,2020 - 2021,,,,,,,,,,6,328,54.67
,,2021 - 2022,,,,,,,,,,6,325,54.17
,,2022 - 2023,,,,,,,,,,5,271,54.2
,17. Budaun,2004 - 2005,4,146,36.5,,,,,,,,,
,,2006 - 2007,4,155,38.75,,,,,,,,,
,,2011 - 2012,,,,,,,,,,3,131,43.67
,,2012 - 2013,,,,,,,,,,5,223,44.6
,,2014 - 2015,,,,,,,,,,6,271,45.17
,,2015 - 2016,,,,,,,,,,4,178,44.5
,,2016 - 2017,,,,,,,,,,4,221,55.25
,,2017 - 2018,,,,,,,,,,79,"3,332.00",42.18
,,2018 - 2019,,,,,,,,,,80,"3,383.00",42.29
,,2019 - 2020,,,,,,,,,,82,"3,498.00",42.66
,,2020 - 2021,,,,,,,,,,4,219,54.75
,,2021 - 2022,,,,,,,,,,4,217,54.25
,,2022 - 2023,,,,,,,,,,4,217,54.25
,18. Bulandshahr,2013 - 2014,,,,,,,,,,4,174,43.5
,,2014 - 2015,,,,,,,,,,6,271,45.17
,,2015 - 2016,,,,,,,,,,3,133,44.33
,,2016 - 2017,,,,,,,,,,3,166,55.33
,,2017 - 2018,,,,,,,,,,11,519,47.18
,,2018 - 2019,,,,,,,,,,11,527,47.91
,,2019 - 2020,,,,,,,,,,11,545,49.55
,,2020 - 2021,,,,,,,,,,3,164,54.67
,,2021 - 2022,,,,,,,,,,3,163,54.33
,,2022 - 2023,,,,,,,,,,2,109,54.5
,19. Chitrakoot,2017 - 2018,,,,,,,,,,4,177,44.25
,,2018 - 2019,,,,,,,,,,5,225,45
,,2019 - 2020,,,,,,,,,,5,233,46.6
,20. Deoria,2009 - 2010,,,,,,,,,,5,206,41.2
,,2017 - 2018,,,,,,,,,,33,"1,394.00",42.24
,,2018 - 2019,,,,,,,,,,34,"1,415.00",41.62
,,2019 - 2020,,,,,,,,,,35,"1,463.00",41.8
,21. Etah,2004 - 2005,9,328,36.44,,,,,,,,,
,,2005 - 2006,10,381,38.1,,,,,,,,,
,,2006 - 2007,8,310,38.75,,,,,,,,,
,,2008 - 2009,,,,,,,,,,10,381,38.1
,,2009 - 2010,,,,,,,,,,9,370,41.11
,,2011 - 2012,,,,,,,,,,2,87,43.5
,,2012 - 2013,,,,,,,,,,8,356,44.5
,,2013 - 2014,,,,,,,,,,7,304,43.43
,,2014 - 2015,,,,,,,,,,7,316,45.14
,,2015 - 2016,,,,,,,,,,5,222,44.4
,,2016 - 2017,,,,,,,,,,6,331,55.17
,,2017 - 2018,,,,,,,,,,14,719,51.36
,,2018 - 2019,,,,,,,,,,15,782,52.13
,,2019 - 2020,,,,,,,,,,15,809,53.93
,,2020 - 2021,,,,,,,,,,4,219,54.75
,,2021 - 2022,,,,,,,,,,4,217,54.25
,,2022 - 2023,,,,,,,,,,4,217,54.25
,22. Etawah,2017 - 2018,,,,,,,,,,5,215,43
,,2018 - 2019,,,,,,,,,,11,349,31.73
,,2019 - 2020,,,,,,,,,,11,361,32.82
,23. Faizabad,2004 - 2005,1,36,36,,,,,,,,,
,,2005 - 2006,2,76,38,,,,,,,,,
,,2006 - 2007,1,39,39,,,,,,,,,
,,2008 - 2009,,,,,,,,,,2,76,38
,,2009 - 2010,,,,,,,,,,15,617,41.13
