State,District,Year,Sannhamp,,,,,,,,,,,
,,2020 - 2021,,,,24,7,0.29,,,,,,
,,2021 - 2022,,,,11,6,0.55,,,,,,
,,2022 - 2023,,,,16,9,0.56,,,,,,
,36. Kasganj,2010 - 2011,,,,6,1,0.17,,,,,,
,37. Kaushambi,2002 - 2003,9,3,0.33,,,,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,,,,
,,2004 - 2005,,,,15,4,0.27,,,,,,
,,2006 - 2007,,,,3,1,0.33,,,,,,
,,2007 - 2008,,,,7,1,0.14,,,,,,
,,2009 - 2010,,,,74,14,0.19,,,,,,
,,2010 - 2011,,,,13,4,0.31,,,,,,
,,2011 - 2012,,,,11,3,0.27,,,,,,
,,2012 - 2013,,,,20,8,0.4,,,,,,
,,2013 - 2014,,,,19,5,0.26,,,,,,
,,2014 - 2015,,,,18,7,0.39,,,,,,
,,2016 - 2017,,,,10,2,0.2,,,,,,
,,2017 - 2018,,,,10,2,0.2,,,,,,
,,2018 - 2019,,,,10,2,0.2,,,,,,
,,2019 - 2020,,,,10,3,0.3,,,,,,
,,2020 - 2021,,,,10,3,0.3,,,,,,
,,2021 - 2022,,,,8,5,0.63,,,,,,
,,2022 - 2023,,,,10,6,0.6,,,,,,
,38. Kheri,2002 - 2003,7,2,0.29,,,,,,,,,
,,2003 - 2004,7,2,0.29,,,,,,,,,
,,2004 - 2005,,,,24,7,0.29,,,,,,
,,2006 - 2007,,,,31,9,0.29,,,,,,
,,2007 - 2008,,,,5,1,0.2,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,
,39. Kushi nagar,2002 - 2003,190,60,0.32,,,,,,,,,
,,2003 - 2004,118,35,0.3,,,,,,,,,
,,2004 - 2005,,,,176,49,0.28,,,,,,
,,2005 - 2006,,,,101,35,0.35,,,,,,
,,2006 - 2007,,,,244,68,0.28,,,,,,
,,2007 - 2008,,,,188,36,0.19,,,,,,
,,2008 - 2009,,,,307,98,0.32,,,,,,
,,2009 - 2010,,,,98,18,0.18,,,,,,
,,2010 - 2011,,,,87,28,0.32,,,,,,
,,2011 - 2012,,,,105,29,0.28,,,,,,
,,2012 - 2013,,,,146,54,0.37,,,,,,
,,2013 - 2014,,,,125,35,0.28,,,,,,
,,2014 - 2015,,,,88,34,0.39,,,,,,
,,2015 - 2016,,,,95,27,0.28,,,,,,
,,2016 - 2017,,,,98,23,0.23,,,,,,
,,2017 - 2018,,,,98,19,0.19,,,,,,
,,2018 - 2019,,,,98,19,0.19,,,,,,
,,2019 - 2020,,,,98,28,0.29,,,,,,
,,2020 - 2021,,,,44,12,0.27,,,,,,
,,2022 - 2023,,,,98,57,0.58,,,,,,
,40. Lalitpur,2003 - 2004,14,4,0.29,,,,,,,,,
,,2004 - 2005,,,,30,8,0.27,,,,,,
,,2005 - 2006,,,,7,2,0.29,,,,,,
,,2006 - 2007,,,,10,3,0.3,,,,,,
,,2007 - 2008,,,,11,2,0.18,,,,,,
,,2010 - 2011,,,,15,5,0.33,,,,,,
,,2013 - 2014,,,,14,4,0.29,,,,,,
,,2016 - 2017,,,,14,3,0.21,,,,,,
,,2018 - 2019,,,,14,3,0.21,,,,,,
,,2021 - 2022,,,,14,8,0.57,,,,,,
,,2022 - 2023,,,,14,8,0.57,,,,,,
,41. Lucknow,2003 - 2004,1,,0,,,,,,,,,
,42. Maharajganj,2003 - 2004,6,2,0.33,,,,,,,,,
,,2004 - 2005,,,,15,4,0.27,,,,,,
,,2005 - 2006,,,,6,2,0.33,,,,,,
,,2006 - 2007,,,,15,4,0.27,,,,,,
,,2007 - 2008,,,,5,1,0.2,,,,,,
,43. Mahoba,2002 - 2003,225,71,0.32,,,,,,,,,
,,2003 - 2004,307,92,0.3,,,,,,,,,
,,2004 - 2005,,,,222,62,0.28,,,,,,
,,2005 - 2006,,,,218,75,0.34,,,,,,
,,2006 - 2007,,,,210,58,0.28,,,,,,
,,2007 - 2008,,,,87,17,0.2,,,,,,
,,2008 - 2009,,,,190,61,0.32,,,,,,
,,2009 - 2010,,,,99,18,0.18,,,,,,
,,2010 - 2011,,,,55,18,0.33,,,,,,
,,2011 - 2012,,,,62,17,0.27,,,,,,
,,2012 - 2013,,,,99,37,0.37,,,,,,
,,2013 - 2014,,,,89,25,0.28,,,,,,
,,2014 - 2015,,,,58,22,0.38,,,,,,
,,2015 - 2016,,,,77,22,0.29,,,,,,
,,2016 - 2017,,,,69,16,0.23,,,,,,
,,2017 - 2018,,,,372,72,0.19,,,,,,
,,2018 - 2019,,,,67,13,0.19,,,,,,
,,2019 - 2020,,,,34,10,0.29,,,,,,
,,2020 - 2021,,,,34,9,0.26,,,,,,
,,2021 - 2022,,,,19,11,0.58,,,,,,
,,2022 - 2023,,,,85,50,0.59,,,,,,
,44. Mainpuri,2012 - 2013,,,,18,7,0.39,,,,,,
,,2013 - 2014,,,,17,5,0.29,,,,,,
,,2016 - 2017,,,,16,4,0.25,,,,,,
,,2017 - 2018,,,,14,3,0.21,,,,,,
,,2018 - 2019,,,,11,2,0.18,,,,,,
,,2019 - 2020,,,,16,4,0.25,,,,,,
,,2020 - 2021,,,,5,1,0.2,,,,,,
,,2021 - 2022,,,,17,10,0.59,,,,,,
,,2022 - 2023,,,,15,9,0.6,,,,,,
,45. Mathura,2002 - 2003,19,6,0.32,,,,,,,,,
,,2003 - 2004,15,4,0.27,,,,,,,,,
,,2004 - 2005,,,,4,1,0.25,,,,,,
,,2005 - 2006,,,,10,4,0.4,,,,,,
,,2006 - 2007,,,,4,1,0.25,,,,,,
,,2010 - 2011,,,,2,1,0.5,,,,,,
,46. Mau,2002 - 2003,4,1,0.25,,,,,,,,,
,,2003 - 2004,2,,0,,,,,,,,,
,,2005 - 2006,,,,2,1,0.5,,,,,,
,47. Meerut,2002 - 2003,7,2,0.29,,,,,,,,,
,,2004 - 2005,,,,4,1,0.25,,,,,,
,,2007 - 2008,,,,6,1,0.17,,,,,,
,48. Mirzapur,2002 - 2003,88,28,0.32,,,,,,,,,
,,2003 - 2004,94,28,0.3,,,,,,,,,
,,2004 - 2005,,,,96,27,0.28,,,,,,
,,2005 - 2006,,,,133,46,0.35,,,,,,
,,2006 - 2007,,,,82,23,0.28,,,,,,
,,2007 - 2008,,,,105,20,0.19,,,,,,
,,2008 - 2009,,,,116,37,0.32,,,,,,
,,2009 - 2010,,,,66,12,0.18,,,,,,
,,2010 - 2011,,,,55,18,0.33,,,,,,
,,2011 - 2012,,,,76,21,0.28,,,,,,
,,2012 - 2013,,,,91,34,0.37,,,,,,
,,2013 - 2014,,,,66,19,0.29,,,,,,
,,2014 - 2015,,,,84,32,0.38,,,,,,
,,2015 - 2016,,,,83,24,0.29,,,,,,
,,2016 - 2017,,,,76,18,0.24,,,,,,
,,2017 - 2018,,,,19,4,0.21,,,,,,
,,2018 - 2019,,,,95,18,0.19,,,,,,
,,2019 - 2020,,,,79,23,0.29,,,,,,
,,2020 - 2021,,,,59,16,0.27,,,,,,
,,2022 - 2023,,,,79,46,0.58,,,,,,
,49. Moradabad,2003 - 2004,3,1,0.33,,,,,,,,,
,,2004 - 2005,,,,14,4,0.29,,,,,,
,,2006 - 2007,,,,67,19,0.28,,,,,,
,,2007 - 2008,,,,1,,0,,,,,,
,50. Muzaffarnagar,2003 - 2004,1,,0,,,,,,,,,
,,2004 - 2005,,,,1,,0,,,,,,
,,2008 - 2009,,,,2,1,0.5,,,,,,
,,2010 - 2011,,,,1,,0,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,
,,2016 - 2017,,,,3,1,0.33,,,,,,
,,2017 - 2018,,,,8,2,0.25,,,,,,
,,2018 - 2019,,,,6,1,0.17,,,,,,
,,2019 - 2020,,,,6,2,0.33,,,,,,
,,2020 - 2021,,,,6,2,0.33,,,,,,
,,2021 - 2022,,,,6,4,0.67,,,,,,
,,2022 - 2023,,,,6,4,0.67,,,,,,
,51. Pilibhit,2004 - 2005,,,,116,32,0.28,,,,,,
,,2006 - 2007,,,,116,32,0.28,,,,,,
,,2007 - 2008,,,,1,,0,,,,,,
,52. Pratapgarh,2002 - 2003,94,30,0.32,,,,,,,,,
,,2003 - 2004,60,18,0.3,,,,,,,,,
,,2004 - 2005,,,,69,19,0.28,,,,,,
,,2005 - 2006,,,,50,17,0.34,,,,,,
,,2006 - 2007,,,,43,12,0.28,,,,,,
,,2008 - 2009,,,,59,19,0.32,,,,,,
,,2009 - 2010,,,,37,7,0.19,,,,,,
,,2010 - 2011,,,,24,8,0.33,,,,,,
,,2011 - 2012,,,,26,7,0.27,,,,,,
,,2012 - 2013,,,,3,1,0.33,,,,,,
,,2013 - 2014,,,,14,4,0.29,,,,,,
,,2014 - 2015,,,,17,6,0.35,,,,,,
,,2015 - 2016,,,,4,1,0.25,,,,,,
,,2016 - 2017,,,,14,3,0.21,,,,,,
,,2017 - 2018,,,,16,3,0.19,,,,,,
,,2018 - 2019,,,,11,2,0.18,,,,,,
,,2019 - 2020,,,,11,3,0.27,,,,,,
,,2020 - 2021,,,,46,13,0.28,,,,,,
,,2021 - 2022,,,,14,8,0.57,,,,,,
,,2022 - 2023,,,,14,8,0.57,,,,,,
,53. Rae bareli,2002 - 2003,12,4,0.33,,,,,,,,,
,,2003 - 2004,15,5,0.33,,,,,,,,,
,,2004 - 2005,,,,32,9,0.28,,,,,,
,,2005 - 2006,,,,13,5,0.38,,,,,,
,,2006 - 2007,,,,34,9,0.26,,,,,,
,,2007 - 2008,,,,30,5,0.17,,,,,,
,,2008 - 2009,,,,17,6,0.35,,,,,,
,,2009 - 2010,,,,6,1,0.17,,,,,,
,,2010 - 2011,,,,33,11,0.33,,,,,,
,,2011 - 2012,,,,37,10,0.27,,,,,,
,,2012 - 2013,,,,22,8,0.36,,,,,,
,,2013 - 2014,,,,28,8,0.29,,,,,,
,,2014 - 2015,,,,31,11,0.35,,,,,,
,,2015 - 2016,,,,4,1,0.25,,,,,,
,,2016 - 2017,,,,31,7,0.23,,,,,,
,,2017 - 2018,,,,74,14,0.19,,,,,,
,,2018 - 2019,,,,28,6,0.21,,,,,,
,,2019 - 2020,,,,15,4,0.27,,,,,,
,,2020 - 2021,,,,27,7,0.26,,,,,,
,,2021 - 2022,,,,17,10,0.59,,,,,,
,,2022 - 2023,,,,28,16,0.57,,,,,,
,54. Rampur,2004 - 2005,,,,1,,0,,,,,,
,,2006 - 2007,,,,1,,0,,,,,,
,55. Saharanpur,2002 - 2003,6,2,0.33,,,,,,,,,
,,2004 - 2005,,,,7,2,0.29,,,,,,
,,2006 - 2007,,,,7,2,0.29,,,,,,
,,2015 - 2016,,,,4,1,0.25,,,,,,
,56. Sant kabeer nagar,2004 - 2005,,,,3,1,0.33,,,,,,
,,2006 - 2007,,,,3,1,0.33,,,,,,
,,2007 - 2008,,,,2,1,0.5,,,,,,
,,2008 - 2009,,,,1,1,1,,,,,,
,,2009 - 2010,,,,13,2,0.15,,,,,,
,57. Sant ravidas nagar,2002 - 2003,81,25,0.31,,,,,,,,,
,,2003 - 2004,55,17,0.31,,,,,,,,,
,,2004 - 2005,,,,41,11,0.27,,,,,,
,,2005 - 2006,,,,60,21,0.35,,,,,,
,,2006 - 2007,,,,35,10,0.29,,,,,,
,,2007 - 2008,,,,41,8,0.2,,,,,,
,,2008 - 2009,,,,29,9,0.31,,,,,,
,,2009 - 2010,,,,33,6,0.18,,,,,,
,,2010 - 2011,,,,28,9,0.32,,,,,,
,,2011 - 2012,,,,19,5,0.26,,,,,,
,,2012 - 2013,,,,30,11,0.37,,,,,,
,,2013 - 2014,,,,23,6,0.26,,,,,,
,,2014 - 2015,,,,58,22,0.38,,,,,,
,,2015 - 2016,,,,26,7,0.27,,,,,,
,,2016 - 2017,,,,42,10,0.24,,,,,,
,,2017 - 2018,,,,32,6,0.19,,,,,,
,,2018 - 2019,,,,31,6,0.19,,,,,,
,,2019 - 2020,,,,31,9,0.29,,,,,,
,,2020 - 2021,,,,211,58,0.27,,,,,,
,,2021 - 2022,,,,33,19,0.58,,,,,,
,,2022 - 2023,,,,32,19,0.59,,,,,,
,58. Shahjahanpur,2003 - 2004,5,2,0.4,,,,,,,,,
,,2004 - 2005,,,,2,1,0.5,,,,,,
,,2005 - 2006,,,,4,1,0.25,,,,,,
,,2006 - 2007,,,,2,1,0.5,,,,,,
,,2007 - 2008,,,,3,1,0.33,,,,,,
,,2008 - 2009,,,,20,6,0.3,,,,,,
,59. Shamli,2016 - 2017,,,,1,,0,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,60. Sitapur,2002 - 2003,2,1,0.5,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2004 - 2005,,,,19,5,0.26,,,,,,
,,2005 - 2006,,,,1,,0,,,,,,
,,2006 - 2007,,,,6,2,0.33,,,,,,
,,2010 - 2011,,,,12,4,0.33,,,,,,
,,2012 - 2013,,,,5,2,0.4,,,,,,
,,2013 - 2014,,,,1,,0,,,,,,
,,2015 - 2016,,,,109,31,0.28,,,,,,
,,2016 - 2017,,,,1,,0,,,,,,
,,2017 - 2018,,,,1,0,0,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,1,1,1,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,61. Sonbhadra,2002 - 2003,485,153,0.32,,,,,,,,,
,,2003 - 2004,325,98,0.3,,,,,,,,,
,,2004 - 2005,,,,153,42,0.27,,,,,,
,,2005 - 2006,,,,618,213,0.34,,,,,,
,,2006 - 2007,,,,218,60,0.28,,,,,,
,,2007 - 2008,,,,139,27,0.19,,,,,,
,,2009 - 2010,,,,78,15,0.19,,,,,,
,,2010 - 2011,,,,134,44,0.33,,,,,,
,,2011 - 2012,,,,164,45,0.27,,,,,,
,,2012 - 2013,,,,136,50,0.37,,,,,,
,,2013 - 2014,,,,141,40,0.28,,,,,,
,,2014 - 2015,,,,157,61,0.39,,,,,,
,,2015 - 2016,,,,140,40,0.29,,,,,,
,,2016 - 2017,,,,146,34,0.23,,,,,,
,,2017 - 2018,,,,131,25,0.19,,,,,,
,,2018 - 2019,,,,154,30,0.19,,,,,,
,,2019 - 2020,,,,155,44,0.28,,,,,,
,,2020 - 2021,,,,148,40,0.27,,,,,,
,,2021 - 2022,,,,162,95,0.59,,,,,,
,,2022 - 2023,,,,152,89,0.59,,,,,,
,62. Sultanpur,2002 - 2003,2,1,0.5,,,,,,,,,
,,2003 - 2004,12,4,0.33,,,,,,,,,
,,2004 - 2005,,,,4,1,0.25,,,,,,
,,2005 - 2006,,,,7,2,0.29,,,,,,
,,2006 - 2007,,,,8,2,0.25,,,,,,
,,2007 - 2008,,,,5,1,0.2,,,,,,
,,2008 - 2009,,,,2,1,0.5,,,,,,
,,2010 - 2011,,,,2,1,0.5,,,,,,
,,2011 - 2012,,,,239,65,0.27,,,,,,
,,2012 - 2013,,,,2,1,0.5,,,,,,
,,2013 - 2014,,,,2,1,0.5,,,,,,
,,2015 - 2016,,,,2,1,0.5,,,,,,
,,2016 - 2017,,,,3,1,0.33,,,,,,
,,2017 - 2018,,,,2,,0,,,,,,
,,2018 - 2019,,,,2,,0,,,,,,
,,2019 - 2020,,,,2,1,0.5,,,,,,
,,2022 - 2023,,,,2,1,0.5,,,,,,
,63. Unnao,2002 - 2003,4,1,0.25,,,,,,,,,
,,2003 - 2004,7,2,0.29,,,,,,,,,
,,2004 - 2005,,,,13,4,0.31,,,,,,
,,2005 - 2006,,,,8,3,0.38,,,,,,
,,2006 - 2007,,,,9,2,0.22,,,,,,
,,2007 - 2008,,,,3,1,0.33,,,,,,
,,2008 - 2009,,,,479,153,0.32,,,,,,
,,2010 - 2011,,,,4,1,0.25,,,,,,
,,2011 - 2012,,,,1,,0,,,,,,
,,2012 - 2013,,,,2,1,0.5,,,,,,
,,2015 - 2016,,,,1,,0,,,,,,
,64. Varanasi,2002 - 2003,500,158,0.32,,,,,,,,,
,,2003 - 2004,543,163,0.3,,,,,,,,,
,,2004 - 2005,,,,437,121,0.28,,,,,,
,,2005 - 2006,,,,653,225,0.34,,,,,,
,,2006 - 2007,,,,444,123,0.28,,,,,,
,,2007 - 2008,,,,432,84,0.19,,,,,,
,,2008 - 2009,,,,349,112,0.32,,,,,,
,,2009 - 2010,,,,329,60,0.18,,,,,,
,,2010 - 2011,,,,361,118,0.33,,,,,,
,,2011 - 2012,,,,276,76,0.28,,,,,,
,,2012 - 2013,,,,366,135,0.37,,,,,,
,,2013 - 2014,,,,349,99,0.28,,,,,,
,,2014 - 2015,,,,357,137,0.38,,,,,,
,,2015 - 2016,,,,322,92,0.29,,,,,,
,,2016 - 2017,,,,383,90,0.23,,,,,,
,,2017 - 2018,,,,368,71,0.19,,,,,,
,,2018 - 2019,,,,442,85,0.19,,,,,,
,,2019 - 2020,,,,236,67,0.28,,,,,,
,,2020 - 2021,,,,361,98,0.27,,,,,,
,,2021 - 2022,,,,429,251,0.59,,,,,,
,,2022 - 2023,,,,377,221,0.59,,,,,,
14. Uttarakhand,1. Udam singh nagar,2002 - 2003,"4,007.00","1,262.00",0.31,,,,,,,,,
15. West Bengal,1. Bankura,2000 - 2001,282,"1,590.00",5.64,,,,,,,,,
,,2001 - 2002,434,"2,205.00",5.08,,,,,,,,,
,,2002 - 2003,337,"1,618.00",4.8,,,,,,,,,
,,2003 - 2004,230,"1,194.00",5.19,,,,,,,,,
,,2004 - 2005,230,"1,127.00",4.9,,,,,,,,,
,,2005 - 2006,189,"1,004.00",5.31,,,,,,,,,
,,2006 - 2007,207,"1,002.00",4.84,,,,,,,,,
,,2007 - 2008,,,,197,999,5.07,,,,,,
,,2008 - 2009,,,,216,"1,158.00",5.36,,,,,,
,,2009 - 2010,,,,143,738,5.16,,,,,,
,,2010 - 2011,,,,138,403,2.92,,,,,,
,,2011 - 2012,,,,109,327,3,,,,,,
,,2012 - 2013,,,,135,589,4.36,,,,,,
,,2013 - 2014,,,,122,458,3.75,,,,,,
,,2014 - 2015,,,,109,456,4.18,,,,,,
,,2015 - 2016,,,,122,501,4.11,,,,,,
,,2016 - 2017,,,,128,549,4.29,,,,,,
,,2017 - 2018,,,,72,311,4.32,,,,,,
,,2018 - 2019,,,,75,315,4.2,,,,,,
,,2019 - 2020,,,,38,190,5,,,,,,
,,2020 - 2021,,,,42,197,4.69,,,,,,
,,2021 - 2022,,,,45,216,4.8,,,,,,
,,2022 - 2023,,,,38,179,4.71,,,,,,
,2. Birbhum,2000 - 2001,258,"1,213.00",4.7,,,,,,,,,
,,2001 - 2002,255,"1,198.00",4.7,,,,,,,,,
,,2002 - 2003,249,"1,245.00",5,,,,,,,,,
,,2003 - 2004,189,945,5,,,,,,,,,
,,2004 - 2005,186,558,3,,,,,,,,,
,,2005 - 2006,156,780,5,,,,,,,,,
,,2006 - 2007,147,735,5,,,,,,,,,
,,2007 - 2008,,,,105,494,4.7,,,,,,
,,2008 - 2009,,,,105,504,4.8,,,,,,
,,2009 - 2010,,,,125,688,5.5,,,,,,
,,2010 - 2011,,,,112,392,3.5,,,,,,
,,2011 - 2012,,,,114,388,3.4,,,,,,
,,2012 - 2013,,,,117,550,4.7,,,,,,
,,2013 - 2014,,,,116,469,4.04,,,,,,
,,2014 - 2015,,,,115,506,4.4,,,,,,
,,2015 - 2016,,,,116,508,4.38,,,,,,
,,2016 - 2017,,,,117,527,4.5,,,,,,
,,2017 - 2018,,,,85,595,7,,,,,,
,,2018 - 2019,,,,60,120,2,,,,,,
,,2019 - 2020,,,,64,192,3,,,,,,
,,2020 - 2021,,,,62,186,3,,,,,,
,,2021 - 2022,,,,33,106,3.21,,,,,,
,,2022 - 2023,,,,30,105,3.5,,,,,,
,3. Coochbehar,2004 - 2005,150,975,6.5,,,,,,,,,
,,2005 - 2006,150,900,6,,,,,,,,,
,,2006 - 2007,170,"1,105.00",6.5,,,,,,,,,
,,2007 - 2008,,,,180,"1,170.00",6.5,,,,,,
,,2008 - 2009,,,,190,"1,254.00",6.6,,,,,,
,,2009 - 2010,,,,200,"1,360.00",6.8,,,,,,
,,2010 - 2011,,,,205,"1,000.00",4.88,,,,,,
,,2011 - 2012,,,,55,165,3,,,,,,
,,2012 - 2013,,,,153,459,3,,,,,,
,,2013 - 2014,,,,138,359,2.6,,,,,,
,,2014 - 2015,,,,115,328,2.85,,,,,,
,,2015 - 2016,,,,135,382,2.83,,,,,,
,,2016 - 2017,,,,137,397,2.9,,,,,,
,,2017 - 2018,,,,53,485,9.15,,,,,,
,,2018 - 2019,,,,50,425,8.5,,,,,,
,,2019 - 2020,,,,45,360,8,,,,,,
,,2020 - 2021,,,,42,336,8,,,,,,
,,2021 - 2022,,,,25,200,8,,,,,,
,,2022 - 2023,,,,12,96,8,,,,,,
,4. Hooghly,2000 - 2001,5,19,3.8,,,,,,,,,
,,2001 - 2002,4,15,3.75,,,,,,,,,
,,2002 - 2003,4,16,4,,,,,,,,,
,,2003 - 2004,23,92,4,,,,,,,,,
,,2004 - 2005,22,88,4,,,,,,,,,
,,2005 - 2006,22,88,4,,,,,,,,,
,,2006 - 2007,22,88,4,,,,,,,,,
,,2007 - 2008,,,,10,38,3.8,,,,,,
,,2008 - 2009,,,,7,27,3.86,,,,,,
,,2009 - 2010,,,,7,26,3.71,,,,,,
,,2010 - 2011,,,,3,19,6.33,,,,,,
,,2011 - 2012,,,,6,27,4.5,,,,,,
,,2012 - 2013,,,,1,5,5,,,,,,
,,2014 - 2015,,,,4,16,4,,,,,,
,,2015 - 2016,,,,5,22,4.4,,,,,,
,,2016 - 2017,,,,6,25,4.17,,,,,,
,5. Jhargram,2018 - 2019,,,,145,421,2.9,,,,,,
,,2019 - 2020,,,,115,311,2.7,,,,,,
,,2020 - 2021,,,,90,180,2,,,,,,
,,2021 - 2022,,,,72,162,2.25,,,,,,
,,2022 - 2023,,,,35,67,1.91,,,,,,
,6. Medinipur east,2000 - 2001,257,"1,452.00",5.65,,,,,,,,,
,,2001 - 2002,248,"1,389.00",5.6,,,,,,,,,
,,2002 - 2003,168,"1,008.00",6,,,,,,,,,
,,2003 - 2004,200,"1,100.00",5.5,,,,,,,,,
,,2004 - 2005,206,"1,133.00",5.5,,,,,,,,,
,,2005 - 2006,204,"1,224.00",6,,,,,,,,,
,,2006 - 2007,200,"1,200.00",6,,,,,,,,,
,,2007 - 2008,,,,200,"1,200.00",6,,,,,,
,,2008 - 2009,,,,74,296,4,,,,,,
,,2009 - 2010,,,,98,392,4,,,,,,
,,2010 - 2011,,,,35,98,2.8,,,,,,
,,2011 - 2012,,,,60,240,4,,,,,,
,,2012 - 2013,,,,80,320,4,,,,,,
,,2013 - 2014,,,,54,216,4,,,,,,
,,2014 - 2015,,,,65,259,3.98,,,,,,
,,2015 - 2016,,,,45,203,4.51,,,,,,
,,2016 - 2017,,,,49,211,4.31,,,,,,
,7. Medinipur west,2000 - 2001,500,"1,900.00",3.8,,,,,,,,,
,,2001 - 2002,435,"1,696.00",3.9,,,,,,,,,
,,2002 - 2003,438,"1,897.00",4.33,,,,,,,,,
,,2003 - 2004,418,"2,169.00",5.19,,,,,,,,,
,,2004 - 2005,418,"2,169.00",5.19,,,,,,,,,
,,2005 - 2006,277,"1,496.00",5.4,,,,,,,,,
,,2006 - 2007,341,"1,876.00",5.5,,,,,,,,,
,,2007 - 2008,,,,260,"1,482.00",5.7,,,,,,
,,2008 - 2009,,,,226,"1,277.00",5.65,,,,,,
,,2009 - 2010,,,,155,884,5.7,,,,,,
,,2010 - 2011,,,,180,727,4.04,,,,,,
,,2011 - 2012,,,,230,920,4,,,,,,
,,2012 - 2013,,,,188,949,5.05,,,,,,
,,2013 - 2014,,,,199,971,4.88,,,,,,
,,2014 - 2015,,,,206,948,4.6,,,,,,
,,2015 - 2016,,,,212,954,4.5,,,,,,
,,2016 - 2017,,,,221,970,4.39,,,,,,
,,2017 - 2018,,,,125,574,4.59,,,,,,
,8. Purba bardhaman,2000 - 2001,112,638,5.7,,,,,,,,,
,,2001 - 2002,95,732,7.71,,,,,,,,,
,,2002 - 2003,104,749,7.2,,,,,,,,,
,,2003 - 2004,100,676,6.76,,,,,,,,,
,,2004 - 2005,103,734,7.13,,,,,,,,,
,,2005 - 2006,48,359,7.48,,,,,,,,,
,,2006 - 2007,47,334,7.11,,,,,,,,,
,,2007 - 2008,,,,37,275,7.43,,,,,,
,,2008 - 2009,,,,40,297,7.43,,,,,,
,,2009 - 2010,,,,39,309,7.92,,,,,,
,,2010 - 2011,,,,31,169,5.45,,,,,,
,,2011 - 2012,,,,38,194,5.11,,,,,,
,,2012 - 2013,,,,33,168,5.09,,,,,,
,,2013 - 2014,,,,36,181,5.03,,,,,,
,,2014 - 2015,,,,24,121,5.04,,,,,,
,,2015 - 2016,,,,31,157,5.06,,,,,,
,,2016 - 2017,,,,32,163,5.09,,,,,,
,9. Purulia,2000 - 2001,105,252,2.4,,,,,,,,,
,,2001 - 2002,44,130,2.95,,,,,,,,,
,,2002 - 2003,74,385,5.2,,,,,,,,,
,,2003 - 2004,113,493,4.36,,,,,,,,,
,,2004 - 2005,211,874,4.14,,,,,,,,,
,,2005 - 2006,211,874,4.14,,,,,,,,,
,,2006 - 2007,160,912,5.7,,,,,,,,,
,,2007 - 2008,,,,145,624,4.3,,,,,,
,,2008 - 2009,,,,110,594,5.4,,,,,,
,,2009 - 2010,,,,68,291,4.28,,,,,,
,,2010 - 2011,,,,10,40,4,,,,,,
,,2011 - 2012,,,,91,364,4,,,,,,
,,2012 - 2013,,,,56,238,4.25,,,,,,
,,2013 - 2014,,,,117,706,6.03,,,,,,
,,2014 - 2015,,,,171,727,4.25,,,,,,
,,2015 - 2016,,,,144,716,4.97,,,,,,
,,2016 - 2017,,,,157,721,4.59,,,,,,
,,2017 - 2018,,,,410,"1,673.00",4.08,,,,,,
,,2018 - 2019,,,,104,424,4.08,,,,,,
,,2019 - 2020,,,,108,486,4.5,,,,,,
,,2020 - 2021,,,,112,515,4.6,,,,,,
,,2021 - 2022,,,,122,567,4.65,,,,,,
,,2022 - 2023,,,,125,590,4.72,,,,,,
