State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,,,,"2,059.00","1,077.00",0.52,"1,345.00",441,0.33,,,,,,,,,
,,2015 - 2016,,,,"1,920.00",315,0.16,"1,908.00",553,0.29,,,,,,,,,
,,2016 - 2017,,,,"2,741.00","1,217.00",0.44,"2,022.00",742,0.37,,,,,,,,,
,,2017 - 2018,,,,"2,874.00","1,173.00",0.41,"1,742.00",451,0.26,,,,,,,,,
,,2018 - 2019,,,,"2,799.00","1,083.00",0.39,"1,833.00",735,0.4,,,,,,,,,
,,2019 - 2020,,,,"3,142.00","1,373.00",0.44,"1,854.00",830,0.45,,,,,,,,,
,,2020 - 2021,,,,"2,832.00","1,340.00",0.47,"1,805.00",525,0.29,,,,,,,,,
,,2021 - 2022,,,,"3,123.00","1,446.00",0.46,"1,803.00",526,0.29,,,,,,,,,
,,2022 - 2023,,,,"2,892.00",934,0.32,"2,549.00",935,0.37,,,,,,,,,
,26. Farrukhabad,2000 - 2001,"1,466.00",730,0.5,855,472,0.55,,,,,,,,,,,,
,,2001 - 2002,"1,348.00",847,0.63,792,395,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,717,475,0.66,"1,315.00","1,105.00",0.84,,,,,,,,,
,,2003 - 2004,,,,973,567,0.58,"1,451.00","1,273.00",0.88,,,,,,,,,
,,2007 - 2008,,,,996,416,0.42,"1,286.00",840,0.65,,,,,,,,,
,,2008 - 2009,,,,"1,045.00",520,0.5,"1,221.00","1,193.00",0.98,,,,,,,,,
,,2009 - 2010,,,,"1,251.00",579,0.46,"1,140.00",912,0.8,,,,,,,,,
,,2010 - 2011,,,,"1,165.00",838,0.72,"1,413.00","1,458.00",1.03,,,,,,,,,
,,2011 - 2012,,,,785,545,0.69,"1,304.00","1,108.00",0.85,,,,,,,,,
,,2012 - 2013,,,,"1,174.00",812,0.69,"1,268.00","1,026.00",0.81,,,,,,,,,
,,2013 - 2014,,,,"1,005.00",575,0.57,"1,434.00","1,017.00",0.71,,,,,,,,,
,,2014 - 2015,,,,"1,059.00",556,0.53,"1,035.00",723,0.7,,,,,,,,,
,,2015 - 2016,,,,851,296,0.35,"1,956.00","1,436.00",0.73,,,,,,,,,
,,2016 - 2017,,,,"1,378.00",867,0.63,"1,801.00","1,682.00",0.93,,,,,,,,,
,,2017 - 2018,,,,"1,202.00",975,0.81,"3,927.00","3,145.00",0.8,,,,,,,,,
,,2018 - 2019,,,,"1,537.00","1,702.00",1.11,"1,309.00",933,0.71,,,,,,,,,
,,2019 - 2020,,,,"1,613.00","1,118.00",0.69,"1,382.00","1,296.00",0.94,,,,,,,,,
,,2020 - 2021,,,,"1,152.00",764,0.66,"1,397.00","1,289.00",0.92,,,,,,,,,
,,2021 - 2022,,,,"1,237.00",878,0.71,"1,510.00","1,404.00",0.93,,,,,,,,,
,,2022 - 2023,,,,"1,145.00",335,0.29,"1,048.00","1,303.00",1.24,,,,,,,,,
,27. Fatehpur,2000 - 2001,654,714,1.09,"8,226.00","3,899.00",0.47,,,,,,,,,,,,
,,2001 - 2002,663,345,0.52,"8,892.00","4,473.00",0.5,,,,,,,,,,,,
,,2002 - 2003,,,,"8,612.00","5,029.00",0.58,491,195,0.4,,,,,,,,,
,,2003 - 2004,,,,"9,161.00","4,324.00",0.47,521,214,0.41,,,,,,,,,
,,2007 - 2008,,,,"9,921.00","5,387.00",0.54,179,88,0.49,,,,,,,,,
,,2008 - 2009,,,,"6,752.00","3,207.00",0.47,484,290,0.6,,,,,,,,,
,,2009 - 2010,,,,"5,271.00","1,866.00",0.35,514,290,0.56,,,,,,,,,
,,2010 - 2011,,,,"7,586.00","4,794.00",0.63,461,419,0.91,,,,,,,,,
,,2011 - 2012,,,,"7,103.00","4,525.00",0.64,477,459,0.96,,,,,,,,,
,,2012 - 2013,,,,"6,970.00","4,614.00",0.66,546,423,0.77,,,,,,,,,
,,2013 - 2014,,,,"6,340.00","3,620.00",0.57,555,323,0.58,,,,,,,,,
,,2014 - 2015,,,,"10,863.00","3,943.00",0.36,561,125,0.22,,,,,,,,,
,,2015 - 2016,,,,"6,231.00","2,056.00",0.33,703,375,0.53,,,,,,,,,
,,2016 - 2017,,,,"6,784.00","2,259.00",0.33,796,496,0.62,,,,,,,,,
,,2017 - 2018,,,,"6,629.00","5,681.00",0.86,631,385,0.61,,,,,,,,,
,,2018 - 2019,,,,"6,724.00","3,544.00",0.53,528,403,0.76,,,,,,,,,
,,2019 - 2020,,,,"6,784.00","4,138.00",0.61,555,396,0.71,,,,,,,,,
,,2020 - 2021,,,,"7,181.00","5,659.00",0.79,622,664,1.07,,,,,,,,,
,,2021 - 2022,,,,"7,738.00","6,059.00",0.78,719,485,0.67,,,,,,,,,
,,2022 - 2023,,,,"7,165.00","3,926.00",0.55,822,585,0.71,,,,,,,,,
,28. Firozabad,2000 - 2001,573,255,0.45,584,243,0.42,,,,,,,,,,,,
,,2001 - 2002,607,189,0.31,792,323,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,447,178,0.4,747,312,0.42,,,,,,,,,
,,2003 - 2004,,,,450,107,0.24,739,406,0.55,,,,,,,,,
,,2007 - 2008,,,,390,171,0.44,"1,079.00",730,0.68,,,,,,,,,
,,2008 - 2009,,,,51,28,0.55,"1,238.00","1,168.00",0.94,,,,,,,,,
,,2009 - 2010,,,,366,140,0.38,"1,199.00","1,255.00",1.05,,,,,,,,,
,,2010 - 2011,,,,386,260,0.67,"1,022.00",805,0.79,,,,,,,,,
,,2011 - 2012,,,,409,274,0.67,907,"1,281.00",1.41,,,,,,,,,
,,2012 - 2013,,,,476,316,0.66,"1,038.00",966,0.93,,,,,,,,,
,,2013 - 2014,,,,438,195,0.45,898,739,0.82,,,,,,,,,
,,2014 - 2015,,,,307,136,0.44,666,732,1.1,,,,,,,,,
,,2015 - 2016,,,,451,131,0.29,553,533,0.96,,,,,,,,,
,,2016 - 2017,,,,449,243,0.54,"2,239.00","1,361.00",0.61,,,,,,,,,
,,2017 - 2018,,,,254,128,0.5,837,752,0.9,,,,,,,,,
,,2018 - 2019,,,,414,230,0.56,810,607,0.75,,,,,,,,,
,,2019 - 2020,,,,346,142,0.41,"1,129.00","1,584.00",1.4,,,,,,,,,
,,2020 - 2021,,,,453,252,0.56,"1,426.00","1,078.00",0.76,,,,,,,,,
,,2021 - 2022,,,,444,221,0.5,"1,029.00",938,0.91,,,,,,,,,
,,2022 - 2023,,,,411,206,0.5,"1,019.00","1,303.00",1.28,,,,,,,,,
,29. Gautam buddha nagar,2000 - 2001,31,17,0.55,90,38,0.42,,,,,,,,,,,,
,,2001 - 2002,29,14,0.48,59,24,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,44,18,0.41,10,4,0.4,,,,,,,,,
,,2003 - 2004,,,,47,11,0.23,84,41,0.49,,,,,,,,,
,,2007 - 2008,,,,8,4,0.5,68,38,0.56,,,,,,,,,
,,2008 - 2009,,,,66,36,0.55,66,41,0.62,,,,,,,,,
,,2009 - 2010,,,,15,6,0.4,,,,,,,,,,,,
,,2010 - 2011,,,,20,14,0.7,82,51,0.62,,,,,,,,,
,,2011 - 2012,,,,5,3,0.6,82,54,0.66,,,,,,,,,
,,2012 - 2013,,,,1,1,1,82,57,0.7,,,,,,,,,
,,2013 - 2014,,,,23,10,0.43,73,42,0.58,,,,,,,,,
,,2014 - 2015,,,,12,6,0.5,78,42,0.54,,,,,,,,,
,,2015 - 2016,,,,31,9,0.29,,,,,,,,,,,,
,,2016 - 2017,,,,1,1,1,73,48,0.66,,,,,,,,,
,,2017 - 2018,,,,2,2,1,73,46,0.63,,,,,,,,,
,,2018 - 2019,,,,1,1,1,73,57,0.78,,,,,,,,,
,,2019 - 2020,,,,3,3,1,,,,,,,,,,,,
,,2020 - 2021,,,,2,2,1,73,55,0.75,,,,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,,,,,,,
,,2022 - 2023,,,,29,38,1.31,,,,,,,,,,,,
,30. Ghaziabad,2000 - 2001,74,40,0.54,206,86,0.42,,,,,,,,,,,,
,,2001 - 2002,88,42,0.48,437,178,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,504,201,0.4,81,33,0.41,,,,,,,,,
,,2003 - 2004,,,,525,124,0.24,83,41,0.49,,,,,,,,,
,,2007 - 2008,,,,371,162,0.44,66,37,0.56,,,,,,,,,
,,2008 - 2009,,,,456,245,0.54,125,78,0.62,,,,,,,,,
,,2009 - 2010,,,,248,95,0.38,124,77,0.62,,,,,,,,,
,,2010 - 2011,,,,714,482,0.68,147,92,0.63,,,,,,,,,
,,2011 - 2012,,,,829,555,0.67,84,56,0.67,,,,,,,,,
,,2012 - 2013,,,,24,16,0.67,13,9,0.69,,,,,,,,,
,,2013 - 2014,,,,86,38,0.44,6,3,0.5,,,,,,,,,
,,2014 - 2015,,,,19,10,0.53,22,12,0.55,,,,,,,,,
,,2015 - 2016,,,,45,13,0.29,5,3,0.6,,,,,,,,,
,,2016 - 2017,,,,166,97,0.58,,,,,,,,,,,,
,,2017 - 2018,,,,57,51,0.89,,,,,,,,,,,,
,,2018 - 2019,,,,28,25,0.89,6,5,0.83,,,,,,,,,
,,2019 - 2020,,,,46,50,1.09,,,,,,,,,,,,
,,2020 - 2021,,,,57,70,1.23,6,5,0.83,,,,,,,,,
,,2021 - 2022,,,,61,69,1.13,,,,,,,,,,,,
,,2022 - 2023,,,,89,117,1.31,,,,,,,,,,,,
,31. Ghazipur,2000 - 2001,465,208,0.45,921,643,0.7,,,,,,,,,,,,
,,2001 - 2002,667,351,0.53,690,456,0.66,,,,,,,,,,,,
,,2002 - 2003,,,,619,375,0.61,701,334,0.48,,,,,,,,,
,,2003 - 2004,,,,537,224,0.42,728,438,0.6,,,,,,,,,
,,2007 - 2008,,,,616,530,0.86,745,396,0.53,,,,,,,,,
,,2008 - 2009,,,,586,270,0.46,810,490,0.6,,,,,,,,,
,,2009 - 2010,,,,690,264,0.38,814,659,0.81,,,,,,,,,
,,2010 - 2011,,,,690,466,0.68,652,481,0.74,,,,,,,,,
,,2011 - 2012,,,,590,395,0.67,687,583,0.85,,,,,,,,,
,,2012 - 2013,,,,700,249,0.36,667,506,0.76,,,,,,,,,
,,2013 - 2014,,,,735,331,0.45,585,476,0.81,,,,,,,,,
,,2014 - 2015,,,,502,333,0.66,645,361,0.56,,,,,,,,,
,,2015 - 2016,,,,375,289,0.77,533,349,0.65,,,,,,,,,
,,2016 - 2017,,,,385,296,0.77,626,438,0.7,,,,,,,,,
,,2017 - 2018,,,,600,328,0.55,623,483,0.78,,,,,,,,,
,,2018 - 2019,,,,708,533,0.75,626,568,0.91,,,,,,,,,
,,2019 - 2020,,,,625,27,0.04,812,739,0.91,,,,,,,,,
,,2020 - 2021,,,,620,564,0.91,626,518,0.83,,,,,,,,,
,,2021 - 2022,,,,689,623,0.9,607,484,0.8,,,,,,,,,
,,2022 - 2023,,,,913,624,0.68,"1,767.00","1,772.00",1,,,,,,,,,
,32. Gonda,2000 - 2001,42,19,0.45,677,159,0.23,,,,,,,,,,,,
,,2001 - 2002,50,25,0.5,658,237,0.36,,,,,,,,,,,,
,,2002 - 2003,,,,447,96,0.21,83,44,0.53,,,,,,,,,
,,2003 - 2004,,,,407,119,0.29,55,27,0.49,,,,,,,,,
,,2007 - 2008,,,,403,176,0.44,484,271,0.56,,,,,,,,,
,,2008 - 2009,,,,382,206,0.54,304,189,0.62,,,,,,,,,
,,2009 - 2010,,,,294,112,0.38,286,177,0.62,,,,,,,,,
,,2010 - 2011,,,,406,274,0.67,338,211,0.62,,,,,,,,,
,,2011 - 2012,,,,321,215,0.67,386,256,0.66,,,,,,,,,
,,2012 - 2013,,,,633,420,0.66,352,244,0.69,,,,,,,,,
,,2013 - 2014,,,,"1,240.00",553,0.45,568,329,0.58,,,,,,,,,
,,2014 - 2015,,,,722,387,0.54,671,362,0.54,,,,,,,,,
,,2015 - 2016,,,,554,161,0.29,367,212,0.58,,,,,,,,,
,,2016 - 2017,,,,757,409,0.54,717,467,0.65,,,,,,,,,
,,2017 - 2018,,,,671,336,0.5,564,357,0.63,,,,,,,,,
,,2018 - 2019,,,,674,374,0.55,551,433,0.79,,,,,,,,,
,,2019 - 2020,,,,961,394,0.41,548,392,0.72,,,,,,,,,
,,2020 - 2021,,,,666,370,0.56,622,472,0.76,,,,,,,,,
,,2021 - 2022,,,,"1,084.00",540,0.5,676,496,0.73,,,,,,,,,
,,2022 - 2023,,,,"1,003.00",504,0.5,100,90,0.9,,,,,,,,,
,33. Gorakhpur,2000 - 2001,16,7,0.44,70,29,0.41,,,,,,,,,,,,
,,2001 - 2002,12,6,0.5,50,21,0.42,,,,,,,,,,,,
,,2002 - 2003,,,,16,6,0.38,7,4,0.57,,,,,,,,,
,,2003 - 2004,,,,27,7,0.26,3,2,0.67,,,,,,,,,
,,2007 - 2008,,,,7,3,0.43,5,3,0.6,,,,,,,,,
,,2008 - 2009,,,,3,2,0.67,11,7,0.64,,,,,,,,,
,,2009 - 2010,,,,114,44,0.39,8,5,0.63,,,,,,,,,
,,2010 - 2011,,,,37,25,0.68,9,6,0.67,,,,,,,,,
,,2011 - 2012,,,,45,30,0.67,8,5,0.63,,,,,,,,,
,,2012 - 2013,,,,33,22,0.67,9,6,0.67,,,,,,,,,
,,2013 - 2014,,,,12,5,0.42,69,40,0.58,,,,,,,,,
,,2014 - 2015,,,,2,1,0.5,26,14,0.54,,,,,,,,,
,,2015 - 2016,,,,7,2,0.29,,,,,,,,,,,,
,,2016 - 2017,,,,7,4,0.57,16,10,0.63,,,,,,,,,
,,2017 - 2018,,,,5,2,0.4,16,10,0.63,,,,,,,,,
,,2018 - 2019,,,,16,9,0.56,76,60,0.79,,,,,,,,,
,,2019 - 2020,,,,8,3,0.38,14,10,0.71,,,,,,,,,
,,2020 - 2021,,,,8,4,0.5,16,12,0.75,,,,,,,,,
,,2021 - 2022,,,,5,2,0.4,16,12,0.75,,,,,,,,,
,,2022 - 2023,,,,7,4,0.57,,,,,,,,,,,,
,34. Hamirpur,2000 - 2001,1,0.1,0.1,"23,317.00","11,262.00",0.48,,,,,,,,,,,,
,,2001 - 2002,,,,"20,958.00","6,245.00",0.3,,,,,,,,,,,,
,,2002 - 2003,,,,"24,019.00","8,479.00",0.35,,,,,,,,,,,,
,,2003 - 2004,,,,"38,341.00","6,595.00",0.17,,,,,,,,,,,,
,,2007 - 2008,,,,"13,550.00","1,938.00",0.14,,,,,,,,,,,,
,,2008 - 2009,,,,"4,619.00",822,0.18,,,,,,,,,,,,
,,2009 - 2010,,,,"17,358.00","2,118.00",0.12,,,,,,,,,,,,
,,2010 - 2011,,,,"26,934.00","10,423.00",0.39,,,,,,,,,,,,
,,2011 - 2012,,,,"15,542.00","5,486.00",0.35,,,,,,,,,,,,
,,2012 - 2013,,,,"13,304.00","5,641.00",0.42,,,,,,,,,,,,
,,2013 - 2014,,,,"16,168.00","6,500.00",0.4,,,,,,,,,,,,
,,2014 - 2015,,,,"17,064.00","5,051.00",0.3,,,,,,,,,,,,
,,2015 - 2016,,,,"18,384.00","5,993.00",0.33,,,,,,,,,,,,
,,2016 - 2017,,,,"21,194.00","10,152.00",0.48,,,,,,,,,,,,
,,2017 - 2018,,,,"25,383.00","13,681.00",0.54,,,,,,,,,,,,
,,2018 - 2019,,,,"15,090.00","7,409.00",0.49,,,,,,,,,,,,
,,2019 - 2020,,,,"15,688.00","2,636.00",0.17,,,,,,,,,,,,
,,2020 - 2021,,,,"15,295.00","6,256.00",0.41,,,,,,,,,,,,
,,2021 - 2022,,,,"15,035.00","6,179.00",0.41,,,,,,,,,,,,
,,2022 - 2023,,,,"13,921.00","5,777.00",0.41,131,117,0.89,,,,,,,,,
,35. Hapur,2012 - 2013,,,,878,582,0.66,94,65,0.69,,,,,,,,,
,,2013 - 2014,,,,876,391,0.45,162,94,0.58,,,,,,,,,
,,2014 - 2015,,,,867,465,0.54,72,39,0.54,,,,,,,,,
,,2015 - 2016,,,,829,241,0.29,115,66,0.57,,,,,,,,,
,,2016 - 2017,,,,"1,122.00",659,0.59,171,112,0.65,,,,,,,,,
,,2017 - 2018,,,,605,538,0.89,76,48,0.63,,,,,,,,,
,,2018 - 2019,,,,844,756,0.9,122,96,0.79,,,,,,,,,
,,2019 - 2020,,,,586,642,1.1,60,43,0.72,,,,,,,,,
,,2020 - 2021,,,,883,"1,080.00",1.22,89,68,0.76,,,,,,,,,
,,2021 - 2022,,,,"1,038.00","1,166.00",1.12,77,57,0.74,,,,,,,,,
,,2022 - 2023,,,,"1,357.00","1,782.00",1.31,108,97,0.9,,,,,,,,,
,36. Hardoi,2000 - 2001,"1,884.00","1,075.00",0.57,"21,665.00","6,608.00",0.31,,,,,,,,,,,,
,,2001 - 2002,"4,011.00","1,957.00",0.49,"15,650.00","7,966.00",0.51,,,,,,,,,,,,
,,2002 - 2003,,,,"18,192.00","8,459.00",0.46,"3,811.00","2,395.00",0.63,,,,,,,,,
,,2003 - 2004,,,,"19,220.00","5,747.00",0.3,"4,038.00","2,245.00",0.56,,,,,,,,,
,,2007 - 2008,,,,"18,306.00","8,402.00",0.46,"2,567.00","1,140.00",0.44,,,,,,,,,
,,2008 - 2009,,,,"19,171.00","9,125.00",0.48,"4,545.00","3,150.00",0.69,,,,,,,,,
,,2009 - 2010,,,,"21,954.00","11,745.00",0.53,"3,783.00","2,697.00",0.71,,,,,,,,,
,,2010 - 2011,,,,"24,022.00","11,002.00",0.46,"4,064.00","3,068.00",0.75,,,,,,,,,
,,2011 - 2012,,,,"22,854.00","12,935.00",0.57,"3,274.00","2,213.00",0.68,,,,,,,,,
,,2012 - 2013,,,,"23,664.00","13,938.00",0.59,"3,435.00","2,161.00",0.63,,,,,,,,,
,,2013 - 2014,,,,"18,225.00","10,953.00",0.6,"3,117.00","2,101.00",0.67,,,,,,,,,
,,2014 - 2015,,,,"18,511.00","10,699.00",0.58,"2,686.00","1,891.00",0.7,,,,,,,,,
,,2015 - 2016,,,,"22,746.00","11,418.00",0.5,"2,601.00",960,0.37,,,,,,,,,
,,2016 - 2017,,,,"26,977.00","14,999.00",0.56,"3,516.00","2,029.00",0.58,,,,,,,,,
,,2017 - 2018,,,,"20,510.00","10,583.00",0.52,"2,523.00","1,531.00",0.61,,,,,,,,,
,,2018 - 2019,,,,"20,085.00","12,051.00",0.6,"2,959.00","2,128.00",0.72,,,,,,,,,
,,2019 - 2020,,,,"18,273.00","10,763.00",0.59,"3,146.00","2,457.00",0.78,,,,,,,,,
,,2020 - 2021,,,,"15,804.00","9,309.00",0.59,"3,121.00","1,851.00",0.59,,,,,,,,,
,,2021 - 2022,,,,"19,627.00","11,305.00",0.58,"3,362.00","2,404.00",0.72,,,,,,,,,
,,2022 - 2023,,,,"18,173.00","9,377.00",0.52,"1,737.00","1,440.00",0.83,,,,,,,,,
,37. Hathras,2000 - 2001,15,7,0.47,155,64,0.41,,,,,,,,,,,,
,,2001 - 2002,22,7,0.32,233,95,0.41,,,,,,,,,,,,
,,2002 - 2003,,,,191,76,0.4,28,12,0.43,,,,,,,,,
,,2003 - 2004,,,,200,47,0.24,31,17,0.55,,,,,,,,,
,,2007 - 2008,,,,172,75,0.44,28,19,0.68,,,,,,,,,
,,2008 - 2009,,,,167,90,0.54,17,16,0.94,,,,,,,,,
,,2009 - 2010,,,,54,21,0.39,76,54,0.71,,,,,,,,,
,,2010 - 2011,,,,136,92,0.68,25,20,0.8,,,,,,,,,
,,2011 - 2012,,,,135,90,0.67,35,31,0.89,,,,,,,,,
,,2012 - 2013,,,,375,248,0.66,12,12,1,,,,,,,,,
,,2013 - 2014,,,,124,55,0.44,35,32,0.91,,,,,,,,,
,,2014 - 2015,,,,61,33,0.54,125,104,0.83,,,,,,,,,
,,2015 - 2016,,,,136,40,0.29,106,35,0.33,,,,,,,,,
,,2016 - 2017,,,,120,65,0.54,42,27,0.64,,,,,,,,,
,,2017 - 2018,,,,141,71,0.5,53,33,0.62,,,,,,,,,
,,2018 - 2019,,,,100,56,0.56,34,34,1,,,,,,,,,
,,2019 - 2020,,,,93,38,0.41,60,69,1.15,,,,,,,,,
,,2020 - 2021,,,,192,107,0.56,235,272,1.16,,,,,,,,,
,,2021 - 2022,,,,24,12,0.5,51,54,1.06,,,,,,,,,
,,2022 - 2023,,,,31,16,0.52,73,65,0.89,,,,,,,,,
,38. Jalaun,2000 - 2001,,,,"16,530.00","5,736.00",0.35,,,,,,,,,,,,
,,2001 - 2002,,,,"25,164.00","9,638.00",0.38,,,,,,,,,,,,
,,2002 - 2003,,,,"18,299.00","6,039.00",0.33,,,,,,,,,,,,
,,2003 - 2004,,,,"61,468.00","4,549.00",0.07,,,,,,,,,,,,
,,2007 - 2008,,,,"17,300.00","4,187.00",0.24,,,,,,,,,,,,
,,2008 - 2009,,,,"12,976.00","5,022.00",0.39,,,,,,,,,,,,
,,2009 - 2010,,,,"15,628.00","6,689.00",0.43,,,,,,,,,,,,
,,2010 - 2011,,,,"7,000.00","3,661.00",0.52,,,,,,,,,,,,
,,2011 - 2012,,,,"7,956.00","3,532.00",0.44,,,,,,,,,,,,
,,2012 - 2013,,,,"6,519.00","3,442.00",0.53,,,,,,,,,,,,
,,2013 - 2014,,,,"8,991.00","3,884.00",0.43,,,,,,,,,,,,
,,2014 - 2015,,,,"8,779.00","3,801.00",0.43,,,,,,,,,,,,
,,2015 - 2016,,,,"10,993.00","2,924.00",0.27,,,,,,,,,,,,
,,2016 - 2017,,,,"7,906.00","3,431.00",0.43,,,,,,,,,,,,
,,2017 - 2018,,,,"7,906.00","5,811.00",0.74,,,,,,,,,,,,
,,2018 - 2019,,,,"5,983.00","3,578.00",0.6,,,,,,,,,,,,
,,2019 - 2020,,,,"9,576.00","4,855.00",0.51,,,,,,,,,,,,
,,2020 - 2021,,,,"9,606.00","5,331.00",0.55,,,,,,,,,,,,
,,2021 - 2022,,,,"9,648.00","15,003.00",1.56,19,14,0.74,,,,,,,,,
,,2022 - 2023,,,,"10,852.00","3,277.00",0.3,,,,,,,,,,,,
,39. Jaunpur,2000 - 2001,"1,086.00",486,0.45,"5,240.00","3,657.00",0.7,,,,,,,,,,,,
,,2001 - 2002,"1,109.00",584,0.53,"5,211.00","3,439.00",0.66,,,,,,,,,,,,
,,2002 - 2003,,,,"4,966.00","3,461.00",0.7,707,336,0.48,,,,,,,,,
,,2003 - 2004,,,,"5,121.00","2,135.00",0.42,957,576,0.6,,,,,,,,,
,,2007 - 2008,,,,"4,572.00","3,932.00",0.86,"1,077.00",573,0.53,,,,,,,,,
,,2008 - 2009,,,,"5,021.00","2,315.00",0.46,"1,023.00",619,0.61,,,,,,,,,
,,2009 - 2010,,,,"5,913.00","2,258.00",0.38,988,799,0.81,,,,,,,,,
,,2010 - 2011,,,,"5,017.00","3,386.00",0.67,"1,162.00",858,0.74,,,,,,,,,
,,2011 - 2012,,,,"5,658.00","3,785.00",0.67,"1,090.00",924,0.85,,,,,,,,,
,,2012 - 2013,,,,"6,107.00","2,174.00",0.36,"1,046.00",794,0.76,,,,,,,,,
,,2013 - 2014,,,,"6,220.00","2,799.00",0.45,961,781,0.81,,,,,,,,,
,,2014 - 2015,,,,"6,124.00","4,054.00",0.66,922,516,0.56,,,,,,,,,
,,2015 - 2016,,,,"6,306.00","6,331.00",1,509,334,0.66,,,,,,,,,
,,2016 - 2017,,,,"6,308.00","6,592.00",1.05,923,645,0.7,,,,,,,,,
,,2017 - 2018,,,,"4,748.00","2,592.00",0.55,915,709,0.77,,,,,,,,,
,,2018 - 2019,,,,"6,059.00","6,519.00",1.08,839,686,0.82,,,,,,,,,
,,2019 - 2020,,,,"8,395.00","7,824.00",0.93,316,287,0.91,,,,,,,,,
,,2020 - 2021,,,,"6,160.00","8,544.00",1.39,957,"1,527.00",1.6,,,,,,,,,
,,2021 - 2022,,,,"6,163.00","5,331.00",0.87,902,647,0.72,,,,,,,,,
,,2022 - 2023,,,,"5,707.00","4,120.00",0.72,394,300,0.76,,,,,,,,,
,40. Jhansi,2000 - 2001,2,1,0.5,"56,677.00","21,764.00",0.38,,,,,,,,,,,,
,,2001 - 2002,1,0.1,0.1,"53,906.00","18,921.00",0.35,,,,,,,,,,,,
,,2002 - 2003,,,,"47,386.00","8,056.00",0.17,5,3,0.6,,,,,,,,,
,,2003 - 2004,,,,"1,13,106.00","9,388.00",0.08,2,1,0.5,,,,,,,,,
,,2007 - 2008,,,,"53,158.00","8,239.00",0.15,1,1,1,,,,,,,,,
,,2008 - 2009,,,,"27,424.00","9,900.00",0.36,2,1,0.5,,,,,,,,,
,,2009 - 2010,,,,"64,819.00","5,056.00",0.08,5,3,0.6,,,,,,,,,
,,2010 - 2011,,,,"33,623.00","17,551.00",0.52,11,7,0.64,,,,,,,,,
,,2011 - 2012,,,,"47,241.00","27,825.00",0.59,4,2,0.5,,,,,,,,,
,,2012 - 2013,,,,"49,841.00","27,462.00",0.55,8,6,0.75,,,,,,,,,
,,2013 - 2014,,,,"67,237.00","22,995.00",0.34,2,1,0.5,,,,,,,,,
,,2014 - 2015,,,,"76,089.00","23,131.00",0.3,2,1,0.5,,,,,,,,,
,,2015 - 2016,,,,"66,104.00","12,097.00",0.18,,,,,,,,,,,,
,,2016 - 2017,,,,"85,555.00","33,281.00",0.39,5,3,0.6,,,,,,,,,
,,2017 - 2018,,,,"74,053.00","24,067.00",0.32,,,,,,,,,,,,
,,2018 - 2019,,,,"50,016.00","8,153.00",0.16,,,,,,,,,,,,
,,2019 - 2020,,,,"48,255.00","3,426.00",0.07,2,2,1,,,,,,,,,
,,2020 - 2021,,,,"55,713.00","16,658.00",0.3,2,2,1,,,,,,,,,
,,2021 - 2022,,,,"60,170.00","13,358.00",0.22,,,,,,,,,,,,
,,2022 - 2023,,,,"55,713.00","13,538.00",0.24,38,34,0.89,,,,,,,,,
,41. Kannauj,2000 - 2001,"1,931.00",962,0.5,302,167,0.55,,,,,,,,,,,,
,,2001 - 2002,"1,907.00","1,198.00",0.63,363,181,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,273,181,0.66,"1,680.00","1,411.00",0.84,,,,,,,,,
,,2003 - 2004,,,,351,204,0.58,"1,599.00","1,403.00",0.88,,,,,,,,,
,,2007 - 2008,,,,399,167,0.42,"1,859.00","1,214.00",0.65,,,,,,,,,
,,2008 - 2009,,,,349,174,0.5,"1,423.00","1,390.00",0.98,,,,,,,,,
,,2009 - 2010,,,,228,105,0.46,"1,445.00","1,156.00",0.8,,,,,,,,,
,,2010 - 2011,,,,329,236,0.72,"1,476.00","1,523.00",1.03,,,,,,,,,
,,2011 - 2012,,,,349,242,0.69,"1,111.00",944,0.85,,,,,,,,,
,,2012 - 2013,,,,328,227,0.69,"1,349.00","1,091.00",0.81,,,,,,,,,
,,2013 - 2014,,,,399,229,0.57,"1,976.00","1,401.00",0.71,,,,,,,,,
,,2014 - 2015,,,,297,156,0.53,"1,656.00","1,158.00",0.7,,,,,,,,,
,,2015 - 2016,,,,238,83,0.35,"1,073.00",787,0.73,,,,,,,,,
,,2016 - 2017,,,,284,179,0.63,"1,380.00","1,289.00",0.93,,,,,,,,,
,,2017 - 2018,,,,293,238,0.81,333,267,0.8,,,,,,,,,
,,2018 - 2019,,,,349,386,1.11,"1,418.00","1,469.00",1.04,,,,,,,,,
