State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,"30,600.00","36,800.00",1.2,,,,,,,,,
,,2007 - 2008,"34,700.00","45,200.00",1.3,,,,,,,,,
,,2008 - 2009,"37,400.00","23,000.00",0.61,,,,,,,,,
,,2009 - 2010,"39,300.00","45,600.00",1.16,,,,,,,,,
,,2010 - 2011,"49,300.00","80,000.00",1.62,,,,,,,,,
,,2011 - 2012,"60,300.00","90,000.00",1.49,,,,,,,,,
,,2012 - 2013,"62,400.00","43,600.00",0.7,,,,,,,,,
,,2013 - 2014,"74,600.00","1,23,600.00",1.66,,,,,,,,,
,,2014 - 2015,"1,09,300.00","40,300.00",0.37,,,,,,,,,
,,2015 - 2016,"1,20,200.00","57,400.00",0.48,,,,,,,,,
,,2016 - 2017,"1,12,800.00","1,71,500.00",1.52,,,,,,,,,
,,2017 - 2018,"1,15,400.00","80,500.00",0.7,,,,,,,,,
,,2018 - 2019,"1,35,760.00","1,22,115.00",0.9,,,,,,,,,
,,2019 - 2020,"1,44,771.00","2,48,095.00",1.71,,,,,,,,,
,,2020 - 2021,"1,59,698.65","3,19,306.36",2,,,,,,,,,
,,2021 - 2022,"1,80,552.44","2,41,326.39",1.34,,,,,,,"4,601.00","4,601.00",1
,,2022 - 2023,"2,05,362.00","3,53,593.00",1.72,,,,,,,"2,287.90","2,287.90",1
,16. Kolhapur,2000 - 2001,"62,900.00","1,21,900.00",1.94,,,,,,,,,
,,2001 - 2002,"62,200.00","1,08,900.00",1.75,,,,,,,,,
,,2002 - 2003,"61,500.00","1,19,200.00",1.94,,,,,,,,,
,,2003 - 2004,"68,200.00","1,33,800.00",1.96,,,,,,,,,
,,2004 - 2005,"74,700.00","1,15,900.00",1.55,,,,,,,,,
,,2005 - 2006,"70,100.00","67,100.00",0.96,,,,,,,,,
,,2006 - 2007,"57,900.00","82,900.00",1.43,,,,,,,,,
,,2007 - 2008,"57,300.00","1,26,000.00",2.2,,,,,,,,,
,,2008 - 2009,"58,700.00","1,28,300.00",2.19,,,,,,,,,
,,2009 - 2010,"59,100.00","1,14,500.00",1.94,,,,,,,,,
,,2010 - 2011,"49,200.00","1,37,100.00",2.79,,,,,,,,,
,,2011 - 2012,"48,500.00","1,23,400.00",2.54,,,,,,,,,
,,2012 - 2013,"49,000.00","1,27,500.00",2.6,,,,,,,,,
,,2013 - 2014,"55,400.00","1,32,530.00",2.39,,,,,,,,,
,,2014 - 2015,"56,000.00","1,21,200.00",2.16,,,,,,,,,
,,2015 - 2016,"53,900.00","1,02,390.00",1.9,,,,,,,,,
,,2016 - 2017,"52,700.00","1,24,300.00",2.36,,,,,,,,,
,,2017 - 2018,"51,300.00","1,09,700.00",2.14,,,,,,,,,
,,2018 - 2019,"47,645.00","1,05,099.00",2.21,,,,,,,,,
,,2019 - 2020,"51,583.00","1,02,952.00",2,,,,,,,,,
,,2020 - 2021,"45,217.65","1,05,950.03",2.34,,,,,,,,,
,,2021 - 2022,"41,711.31","93,324.89",2.24,,,,,,,"1,961.00","3,725.90",1.9
,,2022 - 2023,"43,601.00","92,957.00",2.13,,,,,,,414,683.1,1.65
,17. Latur,2000 - 2001,"7,000.00","8,400.00",1.2,,,,,,,,,
,,2001 - 2002,"14,100.00","10,300.00",0.73,,,,,,,,,
,,2002 - 2003,"21,600.00","24,900.00",1.15,,,,,,,,,
,,2003 - 2004,"1,12,200.00","1,21,300.00",1.08,,,,,,,,,
,,2004 - 2005,"1,52,800.00","88,900.00",0.58,,,,,,,,,
,,2005 - 2006,"1,73,100.00","2,49,800.00",1.44,,,,,,,,,
,,2006 - 2007,"1,55,400.00","43,300.00",0.28,,,,,,,,,
,,2007 - 2008,"1,83,000.00","2,13,500.00",1.17,,,,,,,,,
,,2008 - 2009,"2,11,100.00","91,000.00",0.43,,,,,,,,,
,,2009 - 2010,"2,17,700.00","1,42,600.00",0.66,,,,,,,,,
,,2010 - 2011,"1,94,500.00","4,31,800.00",2.22,,,,,,,,,
,,2011 - 2012,"2,65,400.00","4,37,200.00",1.65,,,,,,,,,
,,2012 - 2013,"2,65,400.00","6,25,400.00",2.36,,,,,,,,,
,,2013 - 2014,"3,08,400.00","6,70,400.00",2.17,,,,,,,,,
,,2014 - 2015,"3,36,800.00","2,10,000.00",0.62,,,,,,,,,
,,2015 - 2016,"3,40,800.00","1,09,000.00",0.32,,,,,,,,,
,,2016 - 2017,"3,70,300.00","2,97,900.00",0.8,,,,,,,,,
,,2017 - 2018,"3,92,800.00","4,65,000.00",1.18,,,,,,,,,
,,2018 - 2019,"4,35,969.00","4,45,480.00",1.02,,,,,,,,,
,,2019 - 2020,"4,13,012.00","4,55,564.00",1.1,,,,,,,,,
,,2020 - 2021,"4,42,391.19","7,74,232.16",1.75,,,,,,,,,
,,2021 - 2022,"4,75,381.11","5,83,720.46",1.23,,,,,,,"2,349.70","1,221.80",0.52
,,2022 - 2023,"4,86,702.00","5,34,398.00",1.1,,,,,,,174.6,90.79,0.52
,18. Nagpur,2000 - 2001,"2,21,800.00","1,73,900.00",0.78,,,,,,,,,
,,2001 - 2002,"1,93,300.00","1,93,300.00",1,,,,,,,,,
,,2002 - 2003,"2,06,900.00","2,22,900.00",1.08,,,,,,,,,
,,2003 - 2004,"2,18,500.00","2,77,500.00",1.27,,,,,,,,,
,,2004 - 2005,"2,34,800.00","1,72,100.00",0.73,,,,,,,,,
,,2005 - 2006,"2,44,800.00","2,57,500.00",1.05,,,,,,,,,
,,2006 - 2007,"2,63,500.00","3,46,600.00",1.32,,,,,,,,,
,,2007 - 2008,"2,77,500.00","3,79,200.00",1.37,,,,,,,,,
,,2008 - 2009,"3,03,200.00","2,57,200.00",0.85,,,,,,,,,
,,2009 - 2010,"2,85,100.00","2,19,800.00",0.77,,,,,,,,,
,,2010 - 2011,"2,42,400.00","2,87,100.00",1.18,,,,,,,,,
,,2011 - 2012,"2,41,200.00","1,57,300.00",0.65,,,,,,,,,
,,2012 - 2013,"2,37,100.00","2,38,600.00",1.01,,,,,,,,,
,,2013 - 2014,"2,32,800.00","99,900.00",0.43,,,,,,,,,
,,2014 - 2015,"2,20,400.00","79,500.00",0.36,,,,,,,,,
,,2015 - 2016,"1,99,700.00","77,200.00",0.39,,,,,,,,,
,,2016 - 2017,"1,72,400.00","2,03,900.00",1.18,,,,,,,,,
,,2017 - 2018,"1,51,100.00","1,72,400.00",1.14,,,,,,,,,
,,2018 - 2019,"1,33,267.00","1,08,020.00",0.81,,,,,,,,,
,,2019 - 2020,"1,33,784.00","2,23,698.00",1.67,,,,,,,,,
,,2020 - 2021,"1,55,650.43","62,589.84",0.4,,,,,,,,,
,,2021 - 2022,"1,45,228.46","1,10,881.93",0.76,,,,,,,703.1,421.86,0.6
,,2022 - 2023,"83,212.00","1,00,054.00",1.2,,,,,,,451.7,271.02,0.6
,19. Nanded,2000 - 2001,"10,100.00","9,100.00",0.9,,,,,,,,,
,,2001 - 2002,"21,300.00","34,300.00",1.61,,,,,,,,,
,,2002 - 2003,"39,700.00","54,700.00",1.38,,,,,,,,,
,,2003 - 2004,"68,500.00","87,300.00",1.27,,,,,,,,,
,,2004 - 2005,"1,10,300.00","1,03,500.00",0.94,,,,,,,,,
,,2005 - 2006,"1,56,400.00","1,44,400.00",0.92,,,,,,,,,
,,2006 - 2007,"1,69,100.00","1,18,700.00",0.7,,,,,,,,,
,,2007 - 2008,"1,59,100.00","1,72,300.00",1.08,,,,,,,,,
,,2008 - 2009,"1,63,200.00","1,29,900.00",0.8,,,,,,,,,
,,2009 - 2010,"1,88,300.00","86,100.00",0.46,,,,,,,,,
,,2010 - 2011,"1,81,200.00","2,68,400.00",1.48,,,,,,,,,
,,2011 - 2012,"1,83,000.00","2,33,800.00",1.28,,,,,,,,,
,,2012 - 2013,"1,85,000.00","2,83,400.00",1.53,,,,,,,,,
,,2013 - 2014,"2,13,200.00","2,74,400.00",1.29,,,,,,,,,
,,2014 - 2015,"2,18,900.00","64,500.00",0.29,,,,,,,,,
,,2015 - 2016,"2,76,100.00","87,200.00",0.32,,,,,,,,,
,,2016 - 2017,"3,04,300.00","1,01,600.00",0.33,,,,,,,,,
,,2017 - 2018,"2,73,500.00","1,90,400.00",0.7,,,,,,,,,
,,2018 - 2019,"3,54,966.00","4,93,296.00",1.39,,,,,,,,,
,,2019 - 2020,"3,83,707.00","5,20,543.00",1.36,,,,,,,,,
,,2020 - 2021,"3,83,707.18","5,27,781.30",1.38,,,,,,,,,
,,2021 - 2022,"4,16,826.63","3,37,796.30",0.81,,,,,,,"7,908.00","4,112.00",0.52
,,2022 - 2023,"4,26,825.00","5,28,324.00",1.24,,,,,,,"3,550.00","1,845.93",0.52
,20. Nandurbar,2000 - 2001,"2,000.00","2,200.00",1.1,,,,,,,,,
,,2001 - 2002,"2,100.00","1,900.00",0.9,,,,,,,,,
,,2002 - 2003,"1,600.00","2,500.00",1.56,,,,,,,,,
,,2003 - 2004,"1,400.00","2,100.00",1.5,,,,,,,,,
,,2004 - 2005,"4,000.00","5,100.00",1.28,,,,,,,,,
,,2005 - 2006,"6,300.00","8,800.00",1.4,,,,,,,,,
,,2006 - 2007,"9,300.00","8,600.00",0.92,,,,,,,,,
,,2007 - 2008,"16,200.00","22,400.00",1.38,,,,,,,,,
,,2008 - 2009,"27,100.00","34,500.00",1.27,,,,,,,,,
,,2009 - 2010,"30,000.00","39,800.00",1.33,,,,,,,,,
,,2010 - 2011,"33,100.00","53,600.00",1.62,,,,,,,,,
,,2011 - 2012,"32,300.00","57,500.00",1.78,,,,,,,,,
,,2012 - 2013,"24,400.00","49,200.00",2.02,,,,,,,,,
,,2013 - 2014,"28,000.00","33,300.00",1.19,,,,,,,,,
,,2014 - 2015,"27,500.00","26,700.00",0.97,,,,,,,,,
,,2015 - 2016,"27,600.00","26,200.00",0.95,,,,,,,,,
,,2016 - 2017,"28,000.00","45,900.00",1.64,,,,,,,,,
,,2017 - 2018,"27,174.00","39,100.00",1.44,,,,,,,,,
,,2018 - 2019,"26,046.00","32,808.00",1.26,,,,,,,,,
,,2019 - 2020,"26,670.00","38,953.00",1.46,,,,,,,,,
,,2020 - 2021,"28,383.82","41,637.30",1.47,,,,,,,,,
,,2021 - 2022,"29,297.75","37,055.80",1.26,,,,,,,681.3,"1,021.95",1.5
,,2022 - 2023,"30,946.00","47,455.00",1.53,,,,,,,15,22.5,1.5
,21. Nashik,2000 - 2001,"7,500.00","8,800.00",1.17,,,,,,,,,
,,2001 - 2002,"5,500.00","10,000.00",1.82,,,,,,,,,
,,2002 - 2003,"7,500.00","7,900.00",1.05,,,,,,,,,
,,2003 - 2004,"8,900.00","20,000.00",2.25,,,,,,,,,
,,2004 - 2005,"20,300.00","37,400.00",1.84,,,,,,,,,
,,2005 - 2006,"23,300.00","46,600.00",2,,,,,,,,,
,,2006 - 2007,"31,500.00","47,300.00",1.5,,,,,,,,,
,,2007 - 2008,"36,200.00","55,200.00",1.52,,,,,,,,,
,,2008 - 2009,"39,700.00","51,100.00",1.29,,,,,,,,,
,,2009 - 2010,"55,100.00","65,400.00",1.19,,,,,,,,,
,,2010 - 2011,"56,900.00","80,900.00",1.42,,,,,,,,,
,,2011 - 2012,"58,600.00","81,500.00",1.39,,,,,,,,,
,,2012 - 2013,"56,000.00","87,300.00",1.56,,,,,,,,,
,,2013 - 2014,"52,400.00","82,700.00",1.58,,,,,,,,,
,,2014 - 2015,"59,800.00","85,000.00",1.42,,,,,,,,,
,,2015 - 2016,"59,800.00","69,600.00",1.16,,,,,,,,,
,,2016 - 2017,"68,700.00","1,03,000.00",1.5,,,,,,,,,
,,2017 - 2018,"67,497.00","1,37,600.00",2.04,,,,,,,,,
,,2018 - 2019,"71,168.00","65,160.00",0.92,,,,,,,,,
,,2019 - 2020,"74,792.00","75,225.00",1.01,,,,,,,,,
,,2020 - 2021,"79,572.68","1,55,655.88",1.96,,,,,,,,,
,,2021 - 2022,"86,434.52","1,56,385.97",1.81,,,,,,,351.65,527.48,1.5
,,2022 - 2023,"1,03,459.00","1,78,436.00",1.72,,,,,,,29.7,44.55,1.5
,22. Parbhani,2000 - 2001,"11,400.00","12,200.00",1.07,,,,,,,,,
,,2001 - 2002,"16,100.00","19,900.00",1.24,,,,,,,,,
,,2002 - 2003,"26,900.00","46,700.00",1.74,,,,,,,,,
,,2003 - 2004,"41,900.00","63,900.00",1.53,,,,,,,,,
,,2004 - 2005,"48,500.00","30,300.00",0.62,,,,,,,,,
,,2005 - 2006,"68,600.00","69,800.00",1.02,,,,,,,,,
,,2006 - 2007,"78,400.00","91,900.00",1.17,,,,,,,,,
,,2007 - 2008,"79,600.00","1,11,500.00",1.4,,,,,,,,,
,,2008 - 2009,"74,000.00","64,600.00",0.87,,,,,,,,,
,,2009 - 2010,"1,03,500.00","82,000.00",0.79,,,,,,,,,
,,2010 - 2011,"1,07,900.00","1,65,200.00",1.53,,,,,,,,,
,,2011 - 2012,"1,29,800.00","1,54,500.00",1.19,,,,,,,,,
,,2012 - 2013,"1,35,300.00","1,86,900.00",1.38,,,,,,,,,
,,2013 - 2014,"1,39,000.00","1,74,500.00",1.26,,,,,,,,,
,,2014 - 2015,"1,54,600.00","49,100.00",0.32,,,,,,,,,
,,2015 - 2016,"1,55,700.00","36,000.00",0.23,,,,,,,,,
,,2016 - 2017,"2,37,230.00","2,40,095.00",1.01,,,,,,,,,
,,2017 - 2018,"2,29,670.00","2,01,684.00",0.88,,,,,,,,,
,,2018 - 2019,"2,45,041.00","2,72,191.00",1.11,,,,,,,,,
,,2019 - 2020,"2,57,885.00","2,64,903.00",1.03,,,,,,,,,
,,2020 - 2021,"2,57,885.43","3,54,828.88",1.38,,,,,,,,,
,,2021 - 2022,"2,57,236.21","1,07,138.88",0.42,,,,,,,"9,274.94","4,822.78",0.52
,,2022 - 2023,"2,63,396.00","4,10,318.00",1.56,,,,,,,"4,655.50","2,420.77",0.52
,23. Pune,2000 - 2001,700,600,0.86,,,,,,,,,
,,2001 - 2002,400,500,1.25,,,,,,,,,
,,2002 - 2003,400,700,1.75,,,,,,,,,
,,2003 - 2004,600,"2,000.00",3.33,,,,,,,,,
,,2004 - 2005,"1,200.00","3,600.00",3,,,,,,,,,
,,2005 - 2006,"1,800.00","3,800.00",2.11,,,,,,,,,
,,2006 - 2007,"1,900.00","3,600.00",1.89,,,,,,,,,
,,2007 - 2008,"3,000.00","5,200.00",1.73,,,,,,,,,
,,2008 - 2009,"2,400.00","3,700.00",1.54,,,,,,,,,
,,2009 - 2010,"3,300.00","4,700.00",1.42,,,,,,,,,
,,2010 - 2011,"2,900.00","5,800.00",2,,,,,,,,,
,,2011 - 2012,"3,900.00","8,200.00",2.1,,,,,,,,,
,,2012 - 2013,"4,200.00","8,100.00",1.93,,,,,,,,,
,,2013 - 2014,"6,900.00","26,800.00",3.88,,,,,,,,,
,,2014 - 2015,"7,100.00","11,700.00",1.65,,,,,,,,,
,,2015 - 2016,"16,100.00","47,000.00",2.92,,,,,,,,,
,,2016 - 2017,"18,000.00","38,300.00",2.13,,,,,,,,,
,,2017 - 2018,"20,231.00","40,900.00",2.02,,,,,,,,,
,,2018 - 2019,"20,329.00","32,523.00",1.6,,,,,,,,,
,,2019 - 2020,"22,295.00","18,128.00",0.81,,,,,,,,,
,,2020 - 2021,"24,704.71","69,710.55",2.82,,,,,,,,,
,,2021 - 2022,"28,335.30","73,850.29",2.61,,,,,,,"1,539.45","2,309.18",1.5
,,2022 - 2023,"44,340.00","1,15,638.00",2.61,,,,,,,163.05,244.58,1.5
,24. Sangli,2000 - 2001,"58,700.00","1,54,900.00",2.64,,,,,,,,,
,,2001 - 2002,"60,100.00","92,600.00",1.54,,,,,,,,,
,,2002 - 2003,"61,900.00","1,03,600.00",1.67,,,,,,,,,
,,2003 - 2004,"40,800.00","80,100.00",1.96,,,,,,,,,
,,2004 - 2005,"82,600.00","1,50,100.00",1.82,,,,,,,,,
,,2005 - 2006,"72,400.00","98,000.00",1.35,,,,,,,,,
,,2006 - 2007,"60,800.00","89,900.00",1.48,,,,,,,,,
,,2007 - 2008,"59,500.00","1,27,900.00",2.15,,,,,,,,,
,,2008 - 2009,"55,700.00","1,19,900.00",2.15,,,,,,,,,
,,2009 - 2010,"56,000.00","84,900.00",1.52,,,,,,,,,
,,2010 - 2011,"57,300.00","1,19,600.00",2.09,,,,,,,,,
,,2011 - 2012,"59,800.00","99,900.00",1.67,,,,,,,,,
,,2012 - 2013,"63,000.00","1,00,600.00",1.6,,,,,,,,,
,,2013 - 2014,"77,100.00","1,59,600.00",2.07,,,,,,,,,
,,2014 - 2015,"36,600.00","47,700.00",1.3,,,,,,,,,
,,2015 - 2016,"51,700.00","79,800.00",1.54,,,,,,,,,
,,2016 - 2017,"57,300.00","1,27,000.00",2.22,,,,,,,,,
,,2017 - 2018,"47,300.00","78,800.00",1.67,,,,,,,,,
,,2018 - 2019,"42,534.00","92,010.00",2.16,,,,,,,,,
,,2019 - 2020,"42,708.00","36,583.00",0.86,,,,,,,,,
,,2020 - 2021,"41,781.57","98,117.81",2.35,,,,,,,,,
,,2021 - 2022,"51,917.63","87,595.43",1.69,,,,,,,"1,315.25","1,972.88",1.5
,,2022 - 2023,"44,271.00","66,579.00",1.5,,,,,,,24,35.88,1.5
,25. Satara,2000 - 2001,"13,600.00","33,600.00",2.47,,,,,,,,,
,,2001 - 2002,"14,000.00","26,700.00",1.91,,,,,,,,,
,,2002 - 2003,"15,600.00","30,800.00",1.97,,,,,,,,,
,,2003 - 2004,"15,100.00","24,900.00",1.65,,,,,,,,,
,,2004 - 2005,"26,400.00","48,500.00",1.84,,,,,,,,,
,,2005 - 2006,"31,300.00","38,700.00",1.24,,,,,,,,,
,,2006 - 2007,"28,700.00","31,100.00",1.08,,,,,,,,,
,,2007 - 2008,"27,200.00","48,000.00",1.76,,,,,,,,,
,,2008 - 2009,"29,200.00","62,900.00",2.15,,,,,,,,,
,,2009 - 2010,"32,500.00","65,000.00",2,,,,,,,,,
,,2010 - 2011,"40,100.00","65,400.00",1.63,,,,,,,,,
,,2011 - 2012,"46,100.00","75,000.00",1.63,,,,,,,,,
,,2012 - 2013,"38,800.00","69,300.00",1.79,,,,,,,,,
,,2013 - 2014,"46,700.00","95,560.00",2.05,,,,,,,,,
,,2014 - 2015,"53,300.00","90,800.00",1.7,,,,,,,,,
,,2015 - 2016,"62,800.00","1,00,900.00",1.61,,,,,,,,,
,,2016 - 2017,"67,200.00","1,21,800.00",1.81,,,,,,,,,
,,2017 - 2018,"69,700.00","1,28,500.00",1.84,,,,,,,,,
,,2018 - 2019,"65,692.00","1,12,215.00",1.71,,,,,,,,,
,,2019 - 2020,"70,605.00","1,01,747.00",1.44,,,,,,,,,
,,2020 - 2021,"74,250.34","1,67,956.63",2.26,,,,,,,,,
,,2021 - 2022,"74,839.00","1,77,450.75",2.37,,,,,,,"1,637.00","2,864.75",1.75
,,2022 - 2023,"85,795.00","1,84,186.00",2.15,,,,,,,80,117.6,1.47
,26. Solapur,2000 - 2001,600,"1,000.00",1.67,,,,,,,,,
,,2001 - 2002,400,500,1.25,,,,,,,,,
,,2002 - 2003,700,500,0.71,,,,,,,,,
,,2003 - 2004,600,700,1.17,,,,,,,,,
,,2004 - 2005,"2,100.00","4,700.00",2.24,,,,,,,,,
,,2005 - 2006,"1,100.00",800,0.73,,,,,,,,,
,,2006 - 2007,"2,100.00","3,300.00",1.57,,,,,,,,,
,,2007 - 2008,"2,800.00","3,900.00",1.39,,,,,,,,,
,,2008 - 2009,"2,500.00","2,300.00",0.92,,,,,,,,,
,,2009 - 2010,"3,200.00","2,800.00",0.88,,,,,,,,,
,,2010 - 2011,"4,300.00","5,300.00",1.23,,,,,,,,,
,,2011 - 2012,"5,100.00","12,200.00",2.39,,,,,,,,,
,,2012 - 2013,"5,500.00","11,500.00",2.09,,,,,,,,,
,,2013 - 2014,"5,500.00","9,900.00",1.8,,,,,,,,,
,,2014 - 2015,"6,300.00","7,400.00",1.17,,,,,,,,,
,,2015 - 2016,"14,200.00","2,400.00",0.17,,,,,,,,,
,,2016 - 2017,"27,700.00","10,170.00",0.37,,,,,,,,,
,,2017 - 2018,"33,588.00","38,560.00",1.15,,,,,,,,,
,,2018 - 2019,"35,037.00","11,569.00",0.33,,,,,,,,,
,,2019 - 2020,"34,910.00","22,193.00",0.64,,,,,,,,,
,,2020 - 2021,"39,088.70","48,707.78",1.25,,,,,,,,,
,,2021 - 2022,"50,475.36","59,061.22",1.17,,,,,,,"1,017.90","1,526.85",1.5
,,2022 - 2023,"86,495.00","80,432.00",0.93,,,,,,,342.5,513.75,1.5
,27. Wardha,2000 - 2001,"1,35,400.00","1,60,000.00",1.18,,,,,,,,,
,,2001 - 2002,"1,28,600.00","1,66,800.00",1.3,,,,,,,,,
,,2002 - 2003,"1,59,800.00","1,69,200.00",1.06,,,,,,,,,
,,2003 - 2004,"1,73,800.00","2,53,900.00",1.46,,,,,,,,,
,,2004 - 2005,"1,95,500.00","2,02,000.00",1.03,,,,,,,,,
,,2005 - 2006,"2,14,700.00","2,33,900.00",1.09,,,,,,,,,
,,2006 - 2007,"2,30,500.00","2,77,800.00",1.21,,,,,,,,,
,,2007 - 2008,"2,29,200.00","3,05,300.00",1.33,,,,,,,,,
,,2008 - 2009,"2,49,900.00","1,46,100.00",0.58,,,,,,,,,
,,2009 - 2010,"1,78,900.00","1,04,000.00",0.58,,,,,,,,,
,,2010 - 2011,"1,37,800.00","1,51,600.00",1.1,,,,,,,,,
,,2011 - 2012,"1,73,000.00","1,50,600.00",0.87,,,,,,,,,
,,2012 - 2013,"1,76,700.00","1,88,700.00",1.07,,,,,,,,,
,,2013 - 2014,"1,85,600.00","1,21,700.00",0.66,,,,,,,,,
,,2014 - 2015,"1,54,200.00","67,100.00",0.44,,,,,,,,,
,,2015 - 2016,"1,39,800.00","61,500.00",0.44,,,,,,,,,
,,2016 - 2017,"1,27,200.00","1,50,400.00",1.18,,,,,,,,,
,,2017 - 2018,"1,16,100.00","1,77,400.00",1.53,,,,,,,,,
,,2018 - 2019,"1,18,508.00","1,55,169.00",1.31,,,,,,,,,
,,2019 - 2020,"1,13,028.00","1,47,410.00",1.3,,,,,,,,,
,,2020 - 2021,"1,25,726.64","68,049.59",0.54,,,,,,,,,
,,2021 - 2022,"1,22,286.73","1,97,872.16",1.62,,,,,,,753.1,451.86,0.6
,,2022 - 2023,"1,38,520.00","1,65,005.00",1.19,,,,,,,483.8,290.28,0.6
,28. Washim,2000 - 2001,"81,900.00","86,900.00",1.06,,,,,,,,,
,,2001 - 2002,"83,300.00","1,24,200.00",1.49,,,,,,,,,
,,2002 - 2003,"91,100.00","1,17,700.00",1.29,,,,,,,,,
,,2003 - 2004,"1,13,300.00","1,53,900.00",1.36,,,,,,,,,
,,2004 - 2005,"1,85,100.00","1,64,700.00",0.89,,,,,,,,,
,,2005 - 2006,"1,96,600.00","1,86,700.00",0.95,,,,,,,,,
,,2006 - 2007,"2,04,800.00","2,52,900.00",1.23,,,,,,,,,
,,2007 - 2008,"2,06,900.00","3,32,200.00",1.61,,,,,,,,,
,,2008 - 2009,"2,26,400.00","77,300.00",0.34,,,,,,,,,
,,2009 - 2010,"2,22,600.00","80,200.00",0.36,,,,,,,,,
,,2010 - 2011,"2,09,200.00","2,98,700.00",1.43,,,,,,,,,
,,2011 - 2012,"2,19,100.00","2,90,600.00",1.33,,,,,,,,,
,,2012 - 2013,"2,00,300.00","3,38,200.00",1.69,,,,,,,,,
,,2013 - 2014,"2,76,300.00","2,32,300.00",0.84,,,,,,,,,
,,2014 - 2015,"2,96,500.00","1,21,300.00",0.41,,,,,,,,,
,,2015 - 2016,"3,02,300.00","1,68,200.00",0.56,,,,,,,,,
,,2016 - 2017,"3,00,800.00","4,46,100.00",1.48,,,,,,,,,
,,2017 - 2018,"2,99,800.00","2,27,100.00",0.76,,,,,,,,,
,,2018 - 2019,"3,02,685.00","4,14,398.00",1.37,,,,,,,,,
,,2019 - 2020,"2,96,831.00","3,23,720.00",1.09,,,,,,,,,
,,2020 - 2021,"3,00,024.48","5,25,344.34",1.75,,,,,,,,,
,,2021 - 2022,"3,05,430.59","5,02,677.67",1.65,,,,,,,"2,506.00","1,253.00",0.5
,,2022 - 2023,"3,08,198.00","4,22,755.00",1.37,,,,,,,348.4,209.04,0.6
,29. Yavatmal,2000 - 2001,"75,900.00","90,100.00",1.19,,,,,,,,,
,,2001 - 2002,"69,600.00","90,400.00",1.3,,,,,,,,,
,,2002 - 2003,"80,700.00","1,09,700.00",1.36,,,,,,,,,
,,2003 - 2004,"97,900.00","1,41,900.00",1.45,,,,,,,,,
,,2004 - 2005,"1,76,300.00","94,600.00",0.54,,,,,,,,,
,,2005 - 2006,"2,12,500.00","2,38,600.00",1.12,,,,,,,,,
,,2006 - 2007,"2,68,100.00","2,93,500.00",1.09,,,,,,,,,
,,2007 - 2008,"2,66,600.00","3,33,500.00",1.25,,,,,,,,,
,,2008 - 2009,"3,11,800.00","1,03,700.00",0.33,,,,,,,,,
,,2009 - 2010,"3,11,800.00","1,26,600.00",0.41,,,,,,,,,
,,2010 - 2011,"1,98,500.00","2,73,100.00",1.38,,,,,,,,,
,,2011 - 2012,"2,21,400.00","2,98,100.00",1.35,,,,,,,,,
,,2012 - 2013,"2,36,800.00","3,89,100.00",1.64,,,,,,,,,
,,2013 - 2014,"2,85,600.00","1,56,600.00",0.55,,,,,,,,,
,,2014 - 2015,"3,06,000.00","97,600.00",0.32,,,,,,,,,
,,2015 - 2016,"2,93,100.00","1,40,900.00",0.48,,,,,,,,,
,,2016 - 2017,"2,53,000.00","2,82,400.00",1.12,,,,,,,,,
,,2017 - 2018,"2,54,500.00","2,06,300.00",0.81,,,,,,,,,
,,2018 - 2019,"2,77,504.00","3,27,206.00",1.18,,,,,,,,,
,,2019 - 2020,"2,85,069.00","2,34,467.00",0.82,,,,,,,,,
,,2020 - 2021,"2,85,068.58","2,85,074.34",1,,,,,,,,,
,,2021 - 2022,"2,85,068.58","2,86,693.47",1.01,,,,,,,"2,363.90","1,181.95",0.5
,,2022 - 2023,"2,81,907.00","2,30,092.00",0.82,,,,,,,"1,005.30",653.45,0.65
13. Manipur,1. Bishnupur,2005 - 2006,10,10,1,,,,,,,,,
,,2008 - 2009,678,552,0.81,,,,,,,,,
,,2009 - 2010,90,59,0.66,,,,,,,,,
,,2010 - 2011,650,540,0.83,,,,,,,,,
,,2011 - 2012,680,600,0.88,,,,,,,,,
,,2012 - 2013,670,575,0.86,,,,,,,,,
,,2013 - 2014,700,632,0.9,,,,,,,,,
,,2014 - 2015,700,632,0.9,,,,,,,,,
,,2015 - 2016,705,600,0.85,,,,,,,,,
,,2016 - 2017,705,608.5,0.86,,,,,,,,,
,,2017 - 2018,705,628,0.89,,,,,,,,,
,,2018 - 2019,515,465,0.9,,,,,,,,,
,2. Chandel,2002 - 2003,140,170,1.21,,,,,,,,,
,,2003 - 2004,130,150,1.15,,,,,,,,,
,,2004 - 2005,200,240,1.2,,,,,,,,,
,,2005 - 2006,140,170,1.21,,,,,,,,,
,,2006 - 2007,220,260,1.18,,,,,,,,,
,,2007 - 2008,20,20,1,,,,,,,,,
,,2008 - 2009,355,321,0.9,,,,,,,,,
,,2009 - 2010,25,13,0.52,,,,,,,,,
,,2010 - 2011,350,300,0.86,,,,,,,,,
,,2011 - 2012,380,400,1.05,,,,,,,,,
