State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,27,14,0.52,,,,,,
,,2018 - 2019,20,8,0.4,,,,,,
,,2019 - 2020,45,23,0.51,,,,,,
,,2020 - 2021,56,10,0.18,,,,,,
,,2021 - 2022,13,5,0.38,,,,,,
,,2022 - 2023,11,4,0.36,,,,,,
,15. Pudukkottai,2000 - 2001,49,11,0.22,,,,,,
,,2002 - 2003,15,3,0.2,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2008 - 2009,6,2,0.33,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,
,,2014 - 2015,17,15,0.88,,,,,,
,,2015 - 2016,10,6,0.6,,,,,,
,,2016 - 2017,11,2,0.18,,,,,,
,,2019 - 2020,5,3,0.6,,,,,,
,,2020 - 2021,16,3,0.19,,,,,,
,,2021 - 2022,6,2,0.33,,,,,,
,16. Ramanathapuram,2000 - 2001,861,215,0.25,,,,,,
,,2002 - 2003,"1,130.00",77,0.07,,,,,,
,,2003 - 2004,"1,921.00",191,0.1,,,,,,
,,2004 - 2005,"1,684.00",577,0.34,,,,,,
,,2005 - 2006,"1,518.00",461,0.3,,,,,,
,,2006 - 2007,"1,226.00",506,0.41,,,,,,
,,2007 - 2008,"1,131.00",516,0.46,,,,,,
,,2008 - 2009,957,221,0.23,,,,,,
,,2009 - 2010,"1,041.00",434,0.42,,,,,,
,,2011 - 2012,"1,921.00",530,0.28,,,,,,
,,2013 - 2014,"1,418.00",535,0.38,,,,,,
,,2014 - 2015,"1,561.00","2,526.00",1.62,,,,,,
,,2015 - 2016,"1,986.00","1,202.00",0.61,,,,,,
,,2016 - 2017,"2,136.00",,0,,,,,,
,,2017 - 2018,"1,876.00","1,304.00",0.7,,,,,,
,,2018 - 2019,"1,578.00",572,0.36,,,,,,
,,2019 - 2020,"1,275.00",511,0.4,,,,,,
,,2020 - 2021,"1,916.00",248,0.13,,,,,,
,,2021 - 2022,"1,714.00",439,0.26,,,,,,
,,2022 - 2023,"1,448.00",275,0.19,,,,,,
,17. Ranipet,2020 - 2021,9,1,0.11,,,,,,
,18. Salem,2000 - 2001,132,72,0.55,,,,,,
,,2002 - 2003,91,17,0.19,,,,,,
,,2003 - 2004,39,11,0.28,,,,,,
,,2004 - 2005,82,36,0.44,,,,,,
,,2005 - 2006,66,20,0.3,,,,,,
,,2006 - 2007,19,6,0.32,,,,,,
,,2007 - 2008,62,24,0.39,,,,,,
,,2008 - 2009,47,16,0.34,,,,,,
,,2009 - 2010,46,18,0.39,,,,,,
,,2011 - 2012,31,14,0.45,,,,,,
,,2013 - 2014,40,14,0.35,,,,,,
,,2014 - 2015,55,48,0.87,,,,,,
,,2015 - 2016,37,22,0.59,,,,,,
,,2016 - 2017,24,4,0.17,,,,,,
,,2017 - 2018,9,5,0.56,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,,2019 - 2020,78,39,0.5,,,,,,
,,2020 - 2021,58,10,0.17,,,,,,
,,2021 - 2022,23,8,0.35,,,,,,
,,2022 - 2023,39,16,0.41,,,,,,
,19. Sivaganga,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,12,3,0.25,,,,,,
,,2004 - 2005,27,12,0.44,,,,,,
,,2005 - 2006,11,3,0.27,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,8,4,0.5,,,,,,
,,2008 - 2009,10,3,0.3,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2011 - 2012,7,3,0.43,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,3,3,1,,,,,,
,,2015 - 2016,26,15,0.58,,,,,,
,,2016 - 2017,20,3,0.15,,,,,,
,,2017 - 2018,19,10,0.53,,,,,,
,,2018 - 2019,23,9,0.39,,,,,,
,,2019 - 2020,14,7,0.5,,,,,,
,20. Thanjavur,2002 - 2003,1,0.1,0.1,,,,,,
,,2003 - 2004,5,2,0.4,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,,2022 - 2023,12,5,0.42,,,,,,
,21. The nilgiris,2003 - 2004,10,3,0.3,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,22. Theni,2000 - 2001,41,10,0.24,,,,,,
,,2002 - 2003,7,1,0.14,,,,,,
,,2003 - 2004,10,3,0.3,,,,,,
,,2004 - 2005,19,8,0.42,,,,,,
,,2005 - 2006,23,7,0.3,,,,,,
,,2006 - 2007,31,10,0.32,,,,,,
,,2007 - 2008,38,15,0.39,,,,,,
,,2008 - 2009,30,10,0.33,,,,,,
,,2009 - 2010,63,25,0.4,,,,,,
,,2011 - 2012,82,38,0.46,,,,,,
,,2013 - 2014,122,42,0.34,,,,,,
,,2014 - 2015,178,157,0.88,,,,,,
,,2015 - 2016,247,146,0.59,,,,,,
,,2016 - 2017,286,46,0.16,,,,,,
,,2017 - 2018,240,122,0.51,,,,,,
,,2018 - 2019,201,79,0.39,,,,,,
,,2021 - 2022,212,72,0.34,,,,,,
,,2022 - 2023,13,5,0.38,,,,,,
,23. Thenkasi,2021 - 2022,4,1,0.25,,,,,,
,24. Thiruvallur,2000 - 2001,10,2,0.2,,,,,,
,,2002 - 2003,5,1,0.2,,,,,,
,,2003 - 2004,65,19,0.29,,,,,,
,,2011 - 2012,18,8,0.44,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2018 - 2019,6,2,0.33,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,25. Thiruvarur,2003 - 2004,3,1,0.33,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2005 - 2006,1,,0,,,,,,
,26. Thoothukudi,2000 - 2001,"5,336.00","1,798.00",0.34,,,,,,
,,2002 - 2003,"5,812.00",700,0.12,,,,,,
,,2003 - 2004,"5,188.00",903,0.17,,,,,,
,,2004 - 2005,"4,740.00","1,508.00",0.32,,,,,,
,,2005 - 2006,"6,819.00","1,873.00",0.27,,,,,,
,,2006 - 2007,"6,520.00","1,336.00",0.2,,,,,,
,,2007 - 2008,"4,772.00",446,0.09,,,,,,
,,2008 - 2009,"5,712.00","1,290.00",0.23,,,,,,
,,2009 - 2010,"5,599.00","2,252.00",0.4,,,,,,
,,2011 - 2012,"3,975.00","1,545.00",0.39,,,,,,
,,2013 - 2014,"2,237.00",159,0.07,,,,,,
,,2014 - 2015,"2,516.00","2,208.00",0.88,,,,,,
,,2015 - 2016,"3,500.00","2,800.00",0.8,,,,,,
,,2016 - 2017,"2,695.00",,0,,,,,,
,,2017 - 2018,"2,574.00","1,196.00",0.46,,,,,,
,,2018 - 2019,"1,650.00",514,0.31,,,,,,
,,2019 - 2020,"2,622.00","1,548.00",0.59,,,,,,
,,2020 - 2021,"3,672.00",316,0.09,,,,,,
,,2021 - 2022,"2,343.00",479,0.2,,,,,,
,,2022 - 2023,"2,813.00",655,0.23,,,,,,
,27. Tiruchirappalli,2000 - 2001,683,159,0.23,,,,,,
,,2002 - 2003,"1,643.00",210,0.13,,,,,,
,,2003 - 2004,"1,410.00",710,0.5,,,,,,
,,2004 - 2005,699,383,0.55,,,,,,
,,2005 - 2006,698,222,0.32,,,,,,
,,2006 - 2007,552,166,0.3,,,,,,
,,2007 - 2008,604,489,0.81,,,,,,
,,2008 - 2009,610,208,0.34,,,,,,
,,2009 - 2010,788,258,0.33,,,,,,
,,2011 - 2012,406,190,0.47,,,,,,
,,2013 - 2014,126,72,0.57,,,,,,
,,2014 - 2015,191,66,0.35,,,,,,
,,2015 - 2016,220,149,0.68,,,,,,
,,2016 - 2017,270,96,0.36,,,,,,
,,2017 - 2018,117,48,0.41,,,,,,
,,2018 - 2019,173,54,0.31,,,,,,
,,2019 - 2020,96,46,0.48,,,,,,
,,2020 - 2021,192,56,0.29,,,,,,
,,2021 - 2022,12,4,0.33,,,,,,
,,2022 - 2023,11,4,0.36,,,,,,
,28. Tirunelveli,2000 - 2001,15,3,0.2,,,,,,
,,2002 - 2003,59,10,0.17,,,,,,
,,2003 - 2004,41,12,0.29,,,,,,
,,2004 - 2005,46,20,0.43,,,,,,
,,2005 - 2006,44,13,0.3,,,,,,
,,2006 - 2007,32,10,0.31,,,,,,
,,2007 - 2008,21,9,0.43,,,,,,
,,2008 - 2009,37,13,0.35,,,,,,
,,2009 - 2010,6,2,0.33,,,,,,
,,2011 - 2012,9,4,0.44,,,,,,
,,2013 - 2014,9,3,0.33,,,,,,
,,2014 - 2015,7,6,0.86,,,,,,
,,2015 - 2016,7,4,0.57,,,,,,
,,2016 - 2017,7,1,0.14,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,2,,0,,,,,,
,,2020 - 2021,8,1,0.13,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,
,29. Tirupathur,2020 - 2021,163,28,0.17,,,,,,
,,2021 - 2022,157,53,0.34,,,,,,
,,2022 - 2023,285,114,0.4,,,,,,
,30. Tiruppur,2008 - 2009,764,,0,,,,,,
,,2009 - 2010,820,254,0.31,,,,,,
,,2011 - 2012,494,285,0.58,,,,,,
,,2013 - 2014,423,378,0.89,,,,,,
,,2014 - 2015,813,330,0.41,,,,,,
,,2015 - 2016,813,659,0.81,,,,,,
,,2016 - 2017,751,524,0.7,,,,,,
,,2017 - 2018,643,586,0.91,,,,,,
,,2018 - 2019,750,509,0.68,,,,,,
,,2019 - 2020,738,370,0.5,,,,,,
,,2021 - 2022,373,141,0.38,,,,,,
,,2022 - 2023,238,182,0.76,,,,,,
,31. Tiruvannamalai,2000 - 2001,22,5,0.23,,,,,,
,,2002 - 2003,27,5,0.19,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,
,,2004 - 2005,7,3,0.43,,,,,,
,,2005 - 2006,17,5,0.29,,,,,,
,,2006 - 2007,21,7,0.33,,,,,,
,,2007 - 2008,35,13,0.37,,,,,,
,,2008 - 2009,42,14,0.33,,,,,,
,,2009 - 2010,52,21,0.4,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,
,,2013 - 2014,12,4,0.33,,,,,,
,,2014 - 2015,20,18,0.9,,,,,,
,,2015 - 2016,14,8,0.57,,,,,,
,,2016 - 2017,11,2,0.18,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,5,2,0.4,,,,,,
,,2019 - 2020,120,60,0.5,,,,,,
,,2020 - 2021,34,6,0.18,,,,,,
,,2021 - 2022,15,5,0.33,,,,,,
,,2022 - 2023,25,10,0.4,,,,,,
,32. Vellore,2000 - 2001,28,7,0.25,,,,,,
,,2002 - 2003,108,20,0.19,,,,,,
,,2003 - 2004,68,20,0.29,,,,,,
,,2004 - 2005,111,48,0.43,,,,,,
,,2005 - 2006,37,11,0.3,,,,,,
,,2006 - 2007,65,21,0.32,,,,,,
,,2007 - 2008,93,36,0.39,,,,,,
,,2008 - 2009,166,57,0.34,,,,,,
,,2009 - 2010,100,40,0.4,,,,,,
,,2011 - 2012,93,43,0.46,,,,,,
,,2013 - 2014,70,24,0.34,,,,,,
,,2014 - 2015,172,66,0.38,,,,,,
,,2015 - 2016,68,40,0.59,,,,,,
,,2016 - 2017,60,10,0.17,,,,,,
,,2017 - 2018,75,38,0.51,,,,,,
,,2018 - 2019,48,19,0.4,,,,,,
,,2019 - 2020,178,88,0.49,,,,,,
,,2020 - 2021,33,6,0.18,,,,,,
,,2021 - 2022,13,4,0.31,,,,,,
,,2022 - 2023,33,13,0.39,,,,,,
,33. Villupuram,2000 - 2001,14,3,0.21,,,,,,
,,2002 - 2003,243,45,0.19,,,,,,
,,2003 - 2004,302,88,0.29,,,,,,
,,2004 - 2005,223,97,0.43,,,,,,
,,2005 - 2006,254,77,0.3,,,,,,
,,2006 - 2007,180,59,0.33,,,,,,
,,2007 - 2008,131,50,0.38,,,,,,
,,2008 - 2009,153,52,0.34,,,,,,
,,2009 - 2010,157,62,0.39,,,,,,
,,2011 - 2012,13,6,0.46,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2014 - 2015,9,8,0.89,,,,,,
,,2015 - 2016,6,4,0.67,,,,,,
,,2018 - 2019,1,,0,,,,,,
,34. Virudhunagar,2000 - 2001,"2,154.00",396,0.18,,,,,,
,,2002 - 2003,"3,869.00",724,0.19,,,,,,
,,2003 - 2004,"5,077.00","1,076.00",0.21,,,,,,
,,2004 - 2005,"3,137.00","1,974.00",0.63,,,,,,
,,2005 - 2006,"4,715.00","1,804.00",0.38,,,,,,
,,2006 - 2007,"5,117.00","2,176.00",0.43,,,,,,
,,2007 - 2008,"3,576.00","2,281.00",0.64,,,,,,
,,2008 - 2009,"3,289.00","1,940.00",0.59,,,,,,
,,2009 - 2010,"4,432.00","1,826.00",0.41,,,,,,
,,2011 - 2012,"2,505.00","1,810.00",0.72,,,,,,
,,2013 - 2014,"1,173.00",724,0.62,,,,,,
,,2014 - 2015,"1,983.00","1,095.00",0.55,,,,,,
,,2015 - 2016,"2,781.00",759,0.27,,,,,,
,,2016 - 2017,"1,895.00",507,0.27,,,,,,
,,2017 - 2018,"1,913.00",555,0.29,,,,,,
,,2018 - 2019,"1,287.00",490,0.38,,,,,,
,,2019 - 2020,"1,361.00",567,0.42,,,,,,
,,2020 - 2021,"1,797.00",639,0.36,,,,,,
,,2021 - 2022,"1,728.00",998,0.58,,,,,,
,,2022 - 2023,"1,433.00","1,234.00",0.86,,,,,,
14. Telangana,1. Adilabad,2000 - 2001,"3,181.00",830,0.26,,,,,,
,,2001 - 2002,"2,076.00","1,021.00",0.49,,,,,,
,,2002 - 2003,"1,197.00",500,0.42,,,,,,
,,2003 - 2004,"1,990.00",545,0.27,,,,,,
,,2004 - 2005,"1,500.00",893,0.6,,,,,,
,,2005 - 2006,923,388,0.42,,,,,,
,,2006 - 2007,731,408,0.56,,,,,,
,,2008 - 2009,941,510,0.54,,,,,,
,,2009 - 2010,726,823,1.13,,,,,,
,,2010 - 2011,300,203,0.68,,,,,,
,,2011 - 2012,46,27,0.59,,,,,,
,,2013 - 2014,283,203,0.72,,,,,,
,,2014 - 2015,898,215,0.24,,,,,,
,,2015 - 2016,,,,,,,565,192,0.34
,,2016 - 2017,,,,,,,244,172,0.7
,,2017 - 2018,,,,,,,202,210,1.04
,,2018 - 2019,,,,,,,263,263,1
,,2019 - 2020,,,,,,,59,134,2.27
,,2020 - 2021,,,,,,,156,165,1.06
,,2021 - 2022,,,,1,1,1,200,163,0.82
,,2022 - 2023,,,,1,0,0,352,118,0.34
,2. Jagitial,2020 - 2021,,,,,,,5,5,1
,,2021 - 2022,,,,,,,1,1,1
,3. Jangoan,2019 - 2020,,,,1,1,1,1,1,1
,,2020 - 2021,,,,2,2,1,19,20,1.05
,,2021 - 2022,,,,1,1,1,28,17,0.61
,,2022 - 2023,,,,,,,1,1,1
,4. Jayashankar,2016 - 2017,,,,,,,14,9,0.64
,,2020 - 2021,,,,,,,2,2,1
,5. Jogulamba,2021 - 2022,,,,,,,6,4,0.67
,,2022 - 2023,,,,,,,2,1,0.5
,6. Kamareddy,2016 - 2017,,,,,,,252,212,0.84
,,2017 - 2018,,,,,,,243,266,1.09
,,2018 - 2019,,,,,,,124,109,0.88
,,2019 - 2020,,,,,,,243,145,0.6
,,2020 - 2021,,,,,,,295,113,0.38
,,2021 - 2022,,,,1,1,1,435,229,0.53
,,2022 - 2023,,,,,,,"1,214.00",738,0.61
,7. Karimnagar,2000 - 2001,33,9,0.27,,,,,,
,,2001 - 2002,47,23,0.49,,,,,,
,,2002 - 2003,41,17,0.41,,,,,,
,,2003 - 2004,119,33,0.28,,,,,,
,,2004 - 2005,41,24,0.59,,,,,,
,,2005 - 2006,52,22,0.42,,,,,,
,,2006 - 2007,30,17,0.57,,,,,,
,,2008 - 2009,31,17,0.55,,,,,,
,,2009 - 2010,9,6,0.67,,,,,,
,,2010 - 2011,27,18,0.67,,,,,,
,,2011 - 2012,9,5,0.56,,,,,,
,,2013 - 2014,27,19,0.7,,,,,,
,,2014 - 2015,15,4,0.27,,,,,,
,,2015 - 2016,,,,,,,8,3,0.38
,,2016 - 2017,,,,4,3,0.75,,,
,,2018 - 2019,,,,,,,1,1,1
,,2019 - 2020,,,,,,,13,12,0.92
,8. Khammam,2005 - 2006,2,1,0.5,,,,,,
,,2006 - 2007,6,3,0.5,,,,,,
,,2008 - 2009,4,2,0.5,,,,,,
,,2009 - 2010,8,5,0.63,,,,,,
,9. Komaram bheem asifabad,2018 - 2019,,,,2,2,1,,,
,,2019 - 2020,,,,,,,13,12,0.92
,,2020 - 2021,,,,,,,9,10,1.11
,,2021 - 2022,,,,,,,2,1,0.5
,,2022 - 2023,,,,,,,1,1,1
,10. Mahbubnagar,2000 - 2001,232,60,0.26,,,,,,
,,2001 - 2002,606,298,0.49,,,,,,
,,2002 - 2003,549,229,0.42,,,,,,
,,2003 - 2004,"1,411.00",387,0.27,,,,,,
,,2004 - 2005,445,265,0.6,,,,,,
,,2005 - 2006,440,185,0.42,,,,,,
,,2006 - 2007,311,174,0.56,,,,,,
,,2008 - 2009,291,191,0.66,,,,,,
,,2009 - 2010,264,251,0.95,,,,,,
,,2010 - 2011,25,17,0.68,,,,,,
,,2022 - 2023,,,,,,,1,1,1
,11. Mancherial,2019 - 2020,,,,,,,1,1,1
,,2020 - 2021,,,,,,,13,14,1.08
,,2021 - 2022,,,,,,,1,1,1
,12. Medak,2000 - 2001,"3,418.00",892,0.26,,,,,,
,,2001 - 2002,"3,880.00","1,909.00",0.49,,,,,,
,,2002 - 2003,"3,162.00","1,322.00",0.42,,,,,,
,,2003 - 2004,"3,011.00",825,0.27,,,,,,
,,2004 - 2005,"2,985.00","1,776.00",0.59,,,,,,
,,2005 - 2006,"2,362.00",810,0.34,,,,,,
,,2006 - 2007,"1,745.00","1,026.00",0.59,,,,,,
,,2008 - 2009,"1,195.00",699,0.58,,,,,,
,,2009 - 2010,"1,718.00",830,0.48,,,,,,
,,2010 - 2011,"1,116.00",610,0.55,,,,,,
,,2011 - 2012,"1,096.00",619,0.56,,,,,,
,,2013 - 2014,471,337,0.72,,,,,,
,,2014 - 2015,288,69,0.24,,,,,,
,,2015 - 2016,,,,,,,137,52,0.38
,,2019 - 2020,,,,2,2,1,3,3,1
,,2021 - 2022,,,,,,,3,2,0.67
,,2022 - 2023,,,,,,,3,2,0.67
,13. Mulugu,2021 - 2022,,,,,,,1,1,1
,14. Nalgonda,2000 - 2001,470,123,0.26,,,,,,
,,2001 - 2002,695,342,0.49,,,,,,
,,2002 - 2003,876,366,0.42,,,,,,
,,2003 - 2004,"2,712.00",743,0.27,,,,,,
,,2004 - 2005,"2,061.00","1,226.00",0.59,,,,,,
,,2005 - 2006,"1,783.00",933,0.52,,,,,,
,,2006 - 2007,"1,881.00",999,0.53,,,,,,
,,2008 - 2009,"1,361.00",712,0.52,,,,,,
,,2009 - 2010,"1,360.00",711,0.52,,,,,,
,,2010 - 2011,506,343,0.68,,,,,,
,,2011 - 2012,391,226,0.58,,,,,,
,,2013 - 2014,231,165,0.71,,,,,,
,,2014 - 2015,135,32,0.24,,,,,,
,,2015 - 2016,,,,,,,117,28,0.24
,,2017 - 2018,,,,10,,0,,,
,,2020 - 2021,,,,,,,4,4,1
,,2021 - 2022,,,,,,,7,4,0.57
,,2022 - 2023,,,,,,,2,1,0.5
,15. Narayanapet,2020 - 2021,,,,,,,1,1,1
,16. Nirmal,2016 - 2017,,,,,,,802,565,0.7
,,2017 - 2018,,,,,,,464,277,0.6
,,2018 - 2019,,,,,,,397,411,1.04
,,2019 - 2020,,,,,,,60,56,0.93
,,2020 - 2021,,,,1,1,1,63,67,1.06
,,2021 - 2022,,,,,,,51,24,0.47
,,2022 - 2023,,,,,,,43,27,0.63
,17. Nizamabad,2000 - 2001,744,194,0.26,,,,,,
,,2001 - 2002,532,262,0.49,,,,,,
,,2002 - 2003,428,179,0.42,,,,,,
,,2003 - 2004,470,129,0.27,,,,,,
,,2004 - 2005,381,227,0.6,,,,,,
,,2005 - 2006,371,156,0.42,,,,,,
,,2006 - 2007,243,136,0.56,,,,,,
,,2008 - 2009,241,105,0.44,,,,,,
,,2009 - 2010,277,175,0.63,,,,,,
,,2010 - 2011,323,219,0.68,,,,,,
,,2011 - 2012,190,110,0.58,,,,,,
,,2013 - 2014,265,190,0.72,,,,,,
,,2014 - 2015,205,49,0.24,,,,,,
,,2015 - 2016,,,,11,8,0.73,125,89,0.71
,,2016 - 2017,,,,,,,12,10,0.83
,,2017 - 2018,,,,5,4,0.8,24,20,0.83
,,2018 - 2019,,,,5,5,1,12,12,1
,,2019 - 2020,,,,2,2,1,60,56,0.93
,,2020 - 2021,,,,,,,60,29,0.48
,,2021 - 2022,,,,,,,10,14,1.4
,,2022 - 2023,,,,,,,73,46,0.63
,18. Peddapalli,2018 - 2019,,,,,,,2,2,1
,,2019 - 2020,,,,,,,1,1,1
,,2020 - 2021,,,,,,,2,2,1
,,2021 - 2022,,,,,,,2,1,0.5
,19. Rajanna,2018 - 2019,,,,,,,3,3,1
,,2019 - 2020,,,,,,,17,16,0.94
,,2020 - 2021,,,,1,1,1,27,29,1.07
,,2022 - 2023,,,,,,,9,6,0.67
,20. Rangareddi,2000 - 2001,298,78,0.26,,,,,,
,,2001 - 2002,343,168,0.49,,,,,,
,,2002 - 2003,343,143,0.42,,,,,,
,,2003 - 2004,214,59,0.28,,,,,,
,,2004 - 2005,343,204,0.59,,,,,,
,,2005 - 2006,341,143,0.42,,,,,,
,,2006 - 2007,369,206,0.56,,,,,,
,,2008 - 2009,55,30,0.55,,,,,,
,,2009 - 2010,212,134,0.63,,,,,,
,,2010 - 2011,130,88,0.68,,,,,,
,,2011 - 2012,129,75,0.58,,,,,,
,,2013 - 2014,79,48,0.61,,,,,,
,,2014 - 2015,18,4,0.22,,,,,,
,,2015 - 2016,,,,,,,13,5,0.38
,,2016 - 2017,,,,,,,19,12,0.63
,,2017 - 2018,,,,,,,16,13,0.81
,,2018 - 2019,,,,,,,54,54,1
,,2019 - 2020,,,,28,26,0.93,2,2,1
,,2020 - 2021,,,,6,6,1,9,10,1.11
,,2021 - 2022,,,,11,7,0.64,13,8,0.62
,,2022 - 2023,,,,2,1,0.5,3,2,0.67
,21. Sangareddy,2016 - 2017,,,,42,17,0.4,66,26,0.39
,,2017 - 2018,,,,,,,28,23,0.82
,,2018 - 2019,,,,,,,9,9,1
,,2019 - 2020,,,,10,9,0.9,9,8,0.89
,,2020 - 2021,,,,,,,55,58,1.05
,,2021 - 2022,,,,4,2,0.5,83,51,0.61
,,2022 - 2023,,,,1,1,1,258,270,1.05
,22. Siddipet,2016 - 2017,,,,,,,426,170,0.4
,,2017 - 2018,,,,1,1,1,152,126,0.83
,,2018 - 2019,,,,,,,44,44,1
,,2019 - 2020,,,,2,2,1,35,32,0.91
,,2020 - 2021,,,,1,1,1,25,27,1.08
,,2021 - 2022,,,,,,,54,33,0.61
,,2022 - 2023,,,,4,6,1.5,18,25,1.39
,23. Suryapet,2019 - 2020,,,,2,2,1,,,
,24. Vikarabad,2020 - 2021,,,,,,,6,6,1
,,2021 - 2022,,,,9,6,0.67,2,1,0.5
,,2022 - 2023,,,,2,1,0.5,5,3,0.6
,25. Warangal,2000 - 2001,294,77,0.26,,,,,,
,,2001 - 2002,504,248,0.49,,,,,,
,,2002 - 2003,711,297,0.42,,,,,,
,,2003 - 2004,718,197,0.27,,,,,,
,,2004 - 2005,631,376,0.6,,,,,,
,,2005 - 2006,706,296,0.42,,,,,,
,,2006 - 2007,366,204,0.56,,,,,,
,,2008 - 2009,162,56,0.35,,,,,,
,,2009 - 2010,193,68,0.35,,,,,,
,,2010 - 2011,102,69,0.68,,,,,,
,,2011 - 2012,97,56,0.58,,,,,,
,,2013 - 2014,22,16,0.73,,,,,,
,,2014 - 2015,38,9,0.24,,,,,,
,,2015 - 2016,,,,,,,33,13,0.39
,,2016 - 2017,,,,,,,27,17,0.63
,,2017 - 2018,,,,,,,75,62,0.83
,,2018 - 2019,,,,,,,96,96,1
,,2019 - 2020,,,,1,1,1,68,63,0.93
,,2020 - 2021,,,,,,,48,286,5.96
,26. Warangal urban,2020 - 2021,,,,,,,1,1,1
,27. Yadadri,2016 - 2017,,,,,,,37,19,0.51
,,2020 - 2021,,,,,,,1,1,1
,,2021 - 2022,,,,,,,10,6,0.6
,,2022 - 2023,,,,,,,11,7,0.64
15. Uttar Pradesh,1. Agra,2005 - 2006,102,58,0.57,,,,,,
,,2006 - 2007,65,34,0.52,,,,,,
,,2007 - 2008,,,,,,,69,40,0.58
,,2008 - 2009,,,,,,,74,44,0.59
,,2009 - 2010,,,,,,,54,30,0.56
,,2011 - 2012,,,,,,,78,43,0.55
,,2012 - 2013,,,,,,,34,18,0.53
,,2013 - 2014,,,,,,,60,33,0.55
,,2014 - 2015,,,,,,,65,31,0.48
,,2015 - 2016,,,,,,,39,13,0.33
,,2016 - 2017,,,,,,,55,29,0.53
,,2017 - 2018,,,,,,,50,26,0.52
,,2018 - 2019,,,,,,,23,18,0.78
,,2019 - 2020,,,,,,,46,33,0.72
,,2020 - 2021,,,,,,,43,34,0.79
,,2021 - 2022,,,,,,,43,32,0.74
,,2022 - 2023,,,,,,,41,31,0.76
,2. Aligarh,2005 - 2006,19,11,0.58,,,,,,
,,2006 - 2007,26,14,0.54,,,,,,
,,2007 - 2008,,,,,,,26,15,0.58
,,2008 - 2009,,,,,,,23,14,0.61
,,2009 - 2010,,,,,,,25,14,0.56
,,2011 - 2012,,,,,,,25,14,0.56
,,2012 - 2013,,,,,,,96,52,0.54
,,2013 - 2014,,,,,,,30,16,0.53
,,2014 - 2015,,,,,,,42,20,0.48
,,2015 - 2016,,,,,,,27,9,0.33
,,2016 - 2017,,,,,,,44,23,0.52
,,2017 - 2018,,,,,,,74,38,0.51
,,2018 - 2019,,,,,,,70,55,0.79
,,2019 - 2020,,,,,,,51,37,0.73
,,2020 - 2021,,,,,,,53,42,0.79
,,2021 - 2022,,,,,,,58,43,0.74
,,2022 - 2023,,,,,,,61,47,0.77
,3. Allahabad,2005 - 2006,20,11,0.55,,,,,,
,,2006 - 2007,38,20,0.53,,,,,,
,,2007 - 2008,,,,,,,23,13,0.57
,,2008 - 2009,,,,,,,52,31,0.6
,,2009 - 2010,,,,,,,68,39,0.57
,,2011 - 2012,,,,,,,21,12,0.57
,,2012 - 2013,,,,,,,17,9,0.53
,,2013 - 2014,,,,,,,15,8,0.53
,,2014 - 2015,,,,,,,12,6,0.5
,,2015 - 2016,,,,,,,41,14,0.34
,,2016 - 2017,,,,,,,21,11,0.52
,,2017 - 2018,,,,,,,22,11,0.5
,,2018 - 2019,,,,,,,23,18,0.78
,,2019 - 2020,,,,,,,25,18,0.72
,,2020 - 2021,,,,,,,23,18,0.78
,,2021 - 2022,,,,,,,24,18,0.75
,,2022 - 2023,,,,,,,42,32,0.76
,4. Ambedkar nagar,2005 - 2006,69,39,0.57,,,,,,
,,2006 - 2007,65,34,0.52,,,,,,
,,2007 - 2008,,,,,,,76,44,0.58
,,2008 - 2009,,,,,,,68,41,0.6
,,2009 - 2010,,,,,,,246,140,0.57
,,2011 - 2012,,,,,,,88,49,0.56
,,2012 - 2013,,,,,,,111,60,0.54
,,2013 - 2014,,,,,,,154,84,0.55
