State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,,,,,,,,,,635,"1,837.00",2.89
,,2021 - 2022,,,,,,,,,,5,10,2
,52. Pratapgarh,2013 - 2014,,,,2,11,5.5,,,,,,
,,2022 - 2023,,,,,,,,,,3,7,2.33
,53. Rae bareli,2001 - 2002,,,,,,,3,19,6.33,,,
,,2002 - 2003,,,,,,,2,12,6,,,
,,2003 - 2004,,,,,,,2,15,7.5,,,
,,2004 - 2005,,,,,,,2,11,5.5,,,
,,2005 - 2006,,,,,,,4,23,5.75,,,
,,2006 - 2007,,,,2,11,5.5,,,,,,
,,2010 - 2011,,,,1,5,5,,,,,,
,,2011 - 2012,,,,,,,,,,4,12,3
,,2012 - 2013,,,,,,,,,,2,6,3
,,2013 - 2014,,,,1,5,5,,,,,,
,,2014 - 2015,,,,3,13,4.33,,,,1,3,3
,,2015 - 2016,,,,1,5,5,,,,,,
,,2016 - 2017,,,,1,4,4,,,,,,
,,2017 - 2018,,,,1,5,5,,,,,,
,,2018 - 2019,,,,1,2,2,,,,,,
,,2019 - 2020,,,,1,3,3,,,,,,
,,2020 - 2021,,,,1,4,4,,,,,,
,,2021 - 2022,,,,1,5,5,,,,,,
,54. Rampur,2001 - 2002,,,,,,,1,6,6,,,
,55. Saharanpur,2003 - 2004,,,,,,,7,30,4.29,,,
,,2010 - 2011,,,,1,5,5,,,,,,
,56. Sambhal,2012 - 2013,,,,,,,,,,123,395,3.21
,,2013 - 2014,,,,,,,,,,91,280,3.08
,,2014 - 2015,,,,,,,,,,162,425,2.62
,,2016 - 2017,,,,,,,,,,126,248,1.97
,,2017 - 2018,,,,,,,,,,84,240,2.86
,,2018 - 2019,,,,7,15,2.14,,,,135,326,2.41
,,2020 - 2021,,,,,,,,,,122,353,2.89
,,2021 - 2022,,,,,,,,,,122,245,2.01
,,2022 - 2023,,,,,,,,,,21,47,2.24
,57. Shahjahanpur,2001 - 2002,,,,,,,198,"1,265.00",6.39,,,
,,2002 - 2003,,,,,,,294,"1,762.00",5.99,,,
,,2004 - 2005,,,,,,,92,397,4.32,,,
,,2005 - 2006,,,,,,,114,651,5.71,,,
,,2006 - 2007,,,,85,452,5.32,,,,7,21,3
,,2007 - 2008,,,,106,593,5.59,,,,47,117,2.49
,,2008 - 2009,,,,88,459,5.22,,,,4,9,2.25
,,2009 - 2010,,,,298,"1,709.00",5.73,,,,40,171,4.28
,,2010 - 2011,,,,602,"3,056.00",5.08,,,,,,
,,2011 - 2012,,,,604,"3,154.00",5.22,,,,16,50,3.13
,,2012 - 2013,,,,338,"1,827.00",5.41,,,,17,55,3.24
,,2013 - 2014,,,,535,"2,943.00",5.5,,,,46,141,3.07
,,2014 - 2015,,,,512,"2,167.00",4.23,,,,46,120,2.61
,,2015 - 2016,,,,280,"1,238.00",4.42,,,,67,105,1.57
,,2016 - 2017,,,,651,"2,907.00",4.47,,,,46,91,1.98
,,2017 - 2018,,,,234,"1,089.00",4.65,,,,,,
,,2018 - 2019,,,,527,"1,131.00",2.15,,,,46,111,2.41
,,2019 - 2020,,,,441,"1,238.00",2.81,,,,,,
,,2020 - 2021,,,,536,"2,370.00",4.42,,,,,,
,,2021 - 2022,,,,,,,,,,46,92,2
,58. Shamli,2015 - 2016,,,,,,,,,,2,3,1.5
,59. Siddharth nagar,2001 - 2002,,,,,,,1,6,6,,,
,60. Sitapur,2001 - 2002,,,,,,,599,"3,775.00",6.3,,,
,,2002 - 2003,,,,,,,412,"2,463.00",5.98,,,
,,2003 - 2004,,,,,,,450,"3,226.00",7.17,,,
,,2004 - 2005,,,,,,,566,"2,755.00",4.87,,,
,,2005 - 2006,,,,,,,339,"1,970.00",5.81,,,
,,2006 - 2007,,,,707,"3,762.00",5.32,,,,29,85,2.93
,,2007 - 2008,,,,633,"3,542.00",5.6,,,,5,12,2.4
,,2008 - 2009,,,,301,"1,570.00",5.22,,,,,,
,,2009 - 2010,,,,482,"2,764.00",5.73,,,,16,68,4.25
,,2010 - 2011,,,,921,"4,675.00",5.08,,,,,,
,,2011 - 2012,,,,495,"2,585.00",5.22,,,,5,16,3.2
,,2012 - 2013,,,,484,"2,617.00",5.41,,,,3,10,3.33
,,2013 - 2014,,,,374,"2,058.00",5.5,,,,,,
,,2014 - 2015,,,,247,"1,045.00",4.23,,,,,,
,,2015 - 2016,,,,339,"1,498.00",4.42,,,,,,
,,2016 - 2017,,,,393,"1,755.00",4.47,,,,,,
,,2017 - 2018,,,,342,"1,591.00",4.65,,,,,,
,,2018 - 2019,,,,906,"1,944.00",2.15,,,,,,
,,2019 - 2020,,,,504,"1,414.00",2.81,,,,,,
,,2020 - 2021,,,,348,"1,539.00",4.42,,,,,,
,,2021 - 2022,,,,334,"1,480.00",4.43,,,,,,
,,2022 - 2023,,,,154,633,4.11,,,,48,108,2.25
,61. Sultanpur,2014 - 2015,,,,,,,,,,3,8,2.67
,,2016 - 2017,,,,9,40,4.44,,,,,,
,,2018 - 2019,,,,,,,,,,3,7,2.33
,,2022 - 2023,,,,9,37,4.11,,,,17,38,2.24
,62. Unnao,2002 - 2003,,,,,,,1,6,6,,,
,,2003 - 2004,,,,,,,3,22,7.33,,,
,,2005 - 2006,,,,,,,3,19,6.33,,,
,,2012 - 2013,,,,2,11,5.5,,,,1,3,3
,,2013 - 2014,,,,4,22,5.5,,,,1,3,3
,,2015 - 2016,,,,1,5,5,,,,1,2,2
,,2016 - 2017,,,,1,4,4,,,,,,
,,2018 - 2019,,,,1,2,2,,,,,,
,,2019 - 2020,,,,1,3,3,,,,2,4,2
,,2020 - 2021,,,,1,4,4,,,,1,3,3
,,2021 - 2022,,,,1,4,4,,,,1,2,2
,63. Varanasi,2022 - 2023,,,,,,,,,,5,11,2.2
21. Uttarakhand,1. Almora,2006 - 2007,,,,,,,1,,0,,,
,2. Bageshwar,2007 - 2008,,,,,,,4,12,3,,,
,3. Chamoli,2007 - 2008,,,,,,,1,3,3,,,
,4. Champawat,2000 - 2001,,,,,,,40,307,7.68,,,
,,2001 - 2002,,,,,,,17,130,7.65,,,
,,2002 - 2003,,,,,,,5,38,7.6,,,
,,2003 - 2004,,,,,,,2,6,3,,,
,,2004 - 2005,,,,,,,4,14,3.5,,,
,,2006 - 2007,,,,,,,1,,0,,,
,,2008 - 2009,,,,,,,1,3,3,,,
,5. Dehradun,2000 - 2001,,,,,,,23,169,7.35,,,
,,2001 - 2002,,,,,,,34,250,7.35,,,
,,2003 - 2004,,,,,,,4,13,3.25,,,
,,2004 - 2005,,,,,,,5,18,3.6,,,
,,2005 - 2006,,,,,,,14,49,3.5,,,
,,2006 - 2007,,,,,,,1,4,4,,,
,,2007 - 2008,,,,,,,1,3,3,,,
,6. Haridwar,2000 - 2001,,,,,,,27,145,5.37,,,
,,2001 - 2002,,,,,,,21,112,5.33,,,
,,2002 - 2003,,,,,,,24,129,5.38,,,
,,2003 - 2004,,,,,,,13,46,3.54,,,
,,2004 - 2005,,,,,,,18,72,4,,,
,,2005 - 2006,,,,,,,11,44,4,,,
,,2006 - 2007,,,,,,,4,16,4,,,
,,2008 - 2009,,,,,,,5,18,3.6,,,
,,2009 - 2010,,,,,,,11,7,0.64,,,
,,2010 - 2011,,,,,,,3,8,2.67,,,
,,2011 - 2012,,,,,,,3,5,1.67,,,
,,2014 - 2015,,,,,,,5,10,2,,,
,,2016 - 2017,,,,,,,9,17,1.89,,,
,,2017 - 2018,,,,,,,4,8,2,,,
,,2018 - 2019,,,,,,,1,2,2,,,
,,2019 - 2020,,,,,,,3,6,2,,,
,,2020 - 2021,,,,,,,3,6,2,,,
,,2021 - 2022,,,,,,,1,2,2,,,
,7. Nainital,2007 - 2008,,,,,,,4,12,3,,,
,8. Pauri garhwal,2006 - 2007,,,,,,,1,4,4,,,
,,2017 - 2018,,,,,,,1,2,2,,,
,9. Pithoragarh,2000 - 2001,,,,,,,5,38,7.6,,,
,,2001 - 2002,,,,,,,6,46,7.67,,,
,,2002 - 2003,,,,,,,4,31,7.75,,,
,,2006 - 2007,,,,,,,1,4,4,,,
,,2008 - 2009,,,,,,,5,18,3.6,,,
,,2010 - 2011,,,,,,,4,12,3,,,
,,2011 - 2012,,,,,,,2,3,1.5,,,
,,2013 - 2014,,,,,,,6,22,3.67,,,
,10. Tehri garhwal,2000 - 2001,,,,,,,7,54,7.71,,,
,,2001 - 2002,,,,,,,6,46,7.67,,,
,,2002 - 2003,,,,,,,1,8,8,,,
,,2003 - 2004,,,,,,,4,13,3.25,,,
,,2004 - 2005,,,,,,,3,10,3.33,,,
,,2007 - 2008,,,,,,,2,6,3,,,
,11. Udam singh nagar,2002 - 2003,,,,,,,700,"2,621.00",3.74,,,
,12. Uttar kashi,2001 - 2002,,,,,,,42,323,7.69,,,
,,2002 - 2003,,,,,,,4,31,7.75,,,
,,2004 - 2005,,,,,,,1,3,3,,,
,,2005 - 2006,,,,,,,1,4,4,,,
,,2006 - 2007,,,,,,,4,16,4,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,,2011 - 2012,,,,,,,1,1,1,,,
22. West Bengal,1. Alipurduar,2016 - 2017,,,,,,,345,578,1.68,,,
,,2018 - 2019,,,,,,,2,3,1.5,,,
,2. Bankura,2000 - 2001,,,,,,,36,8,0.22,,,
,,2001 - 2002,,,,,,,54,26,0.48,,,
,,2002 - 2003,,,,,,,41,30,0.73,,,
,,2003 - 2004,,,,,,,39,33,0.85,,,
,,2004 - 2005,,,,,,,52,38,0.73,,,
,,2005 - 2006,,,,,,,46,37,0.8,,,
,,2006 - 2007,,,,,,,33,35,1.06,,,
,,2007 - 2008,,,,,,,39,41,1.05,,,
,,2008 - 2009,,,,,,,11,3,0.27,,,
,,2009 - 2010,,,,,,,10,8,0.8,,,
,,2010 - 2011,,,,,,,3,2,0.67,,,
,3. Coochbehar,2000 - 2001,,,,,,,"8,760.00","4,380.00",0.5,,,
,,2001 - 2002,,,,,,,"8,184.00","4,092.00",0.5,,,
,,2002 - 2003,,,,,,,"6,317.00","3,159.00",0.5,,,
,,2003 - 2004,,,,,,,"11,974.00","8,903.00",0.74,,,
,,2004 - 2005,,,,,,,"14,115.00","19,450.00",1.38,,,
,,2005 - 2006,,,,,,,"13,100.00","19,355.00",1.48,,,
,,2006 - 2007,,,,,,,"11,260.00","16,147.00",1.43,,,
,,2007 - 2008,,,,,,,"10,980.00","16,024.00",1.46,,,
,,2008 - 2009,,,,,,,"12,010.00","17,574.00",1.46,,,
,,2009 - 2010,,,,,,,"13,180.00","19,644.00",1.49,,,
,,2010 - 2011,,,,,,,"13,475.00","20,483.00",1.52,,,
,,2011 - 2012,,,,,,,"16,840.00","25,980.00",1.54,,,
,,2012 - 2013,,,,,,,"11,600.00","21,000.00",1.81,,,
,,2013 - 2014,,,,,,,"11,770.00","21,310.00",1.81,,,
,,2014 - 2015,,,,,,,"13,437.00","22,780.00",1.7,,,
,,2015 - 2016,,,,,,,"14,295.00","24,281.00",1.7,,,
,,2016 - 2017,,,,,,,"14,857.00","25,494.00",1.72,,,
,,2017 - 2018,,,,,,,"13,850.00","17,449.00",1.26,,,
,,2018 - 2019,,,,,,,"14,626.00","21,858.00",1.49,,,
,,2019 - 2020,,,,,,,"15,094.00","20,362.00",1.35,,,
,,2020 - 2021,,,,,,,"14,355.00","19,648.00",1.37,,,
,,2021 - 2022,,,,,,,"12,505.00","17,363.00",1.39,,,
,4. Dinajpur uttar,2013 - 2014,,,,,,,175,115,0.66,,,
,5. Jalpaiguri,2000 - 2001,,,,,,,628,624,0.99,,,
,,2001 - 2002,,,,,,,578,574,0.99,,,
,,2002 - 2003,,,,,,,494,405,0.82,,,
,,2003 - 2004,,,,,,,511,347,0.68,,,
,,2004 - 2005,,,,,,,476,307,0.64,,,
,,2005 - 2006,,,,,,,481,327,0.68,,,
,,2006 - 2007,,,,,,,406,229,0.56,,,
,,2007 - 2008,,,,,,,406,229,0.56,,,
,,2008 - 2009,,,,,,,417,242,0.58,,,
,,2009 - 2010,,,,,,,739,"1,117.00",1.51,,,
,,2010 - 2011,,,,,,,600,640,1.07,,,
,,2011 - 2012,,,,,,,490,847,1.73,,,
,,2012 - 2013,,,,,,,650,923,1.42,,,
,,2013 - 2014,,,,,,,620,858,1.38,,,
,,2014 - 2015,,,,,,,627,931,1.48,,,
,,2015 - 2016,,,,,,,598,931,1.56,,,
,,2016 - 2017,,,,,,,290,449,1.55,,,
,,2017 - 2018,,,,,,,125,214,1.71,,,
,,2018 - 2019,,,,,,,63,106,1.68,,,
,,2019 - 2020,,,,,,,57,95,1.67,,,
,,2020 - 2021,,,,,,,55,92,1.67,,,
,,2021 - 2022,,,,,,,55,92,1.67,,,
,6. Maldah,2000 - 2001,,,,,,,952,643,0.68,,,
,,2001 - 2002,,,,,,,820,558,0.68,,,
,,2002 - 2003,,,,,,,820,558,0.68,,,
,,2003 - 2004,,,,,,,412,276,0.67,,,
,,2004 - 2005,,,,,,,362,235,0.65,,,
,,2005 - 2006,,,,,,,195,128,0.66,,,
,,2006 - 2007,,,,,,,230,151,0.66,,,
,,2007 - 2008,,,,,,,225,146,0.65,,,
,,2008 - 2009,,,,,,,220,144,0.65,,,
,,2009 - 2010,,,,,,,210,138,0.66,,,
,,2010 - 2011,,,,,,,218,143,0.66,,,
,,2011 - 2012,,,,,,,124,81,0.65,,,
,,2012 - 2013,,,,,,,184,121,0.66,,,
,,2014 - 2015,,,,,,,154,107,0.69,,,
,,2015 - 2016,,,,,,,169,114,0.67,,,
,,2016 - 2017,,,,,,,176,121,0.69,,,
,7. Nadia,2000 - 2001,,,,,,,80,48,0.6,,,
,,2001 - 2002,,,,,,,82,50,0.61,,,
,,2002 - 2003,,,,,,,85,53,0.62,,,
,,2003 - 2004,,,,,,,60,39,0.65,,,
,,2004 - 2005,,,,,,,45,29,0.64,,,
,,2005 - 2006,,,,,,,45,38,0.84,,,
,,2006 - 2007,,,,,,,45,36,0.8,,,
,,2007 - 2008,,,,,,,35,29,0.83,,,
,,2008 - 2009,,,,,,,42,34,0.81,,,
,,2009 - 2010,,,,,,,20,17,0.85,,,
,,2010 - 2011,,,,,,,15,13,0.87,,,
,,2011 - 2012,,,,,,,10,9,0.9,,,
,,2012 - 2013,,,,,,,8,7,0.88,,,
,,2013 - 2014,,,,,,,5,4,0.8,,,
,,2014 - 2015,,,,,,,12,10,0.83,,,
,,2015 - 2016,,,,,,,11,9,0.82,,,
,,2016 - 2017,,,,,,,12,10,0.83,,,
,,2017 - 2018,,,,,,,10,9,0.9,,,
,8. Purulia,2004 - 2005,,,,,,,8,1,0.13,,,
,,2005 - 2006,,,,,,,17,5,0.29,,,
,,2006 - 2007,,,,,,,17,5,0.29,,,
,,2007 - 2008,,,,,,,13,3,0.23,,,
,,2008 - 2009,,,,,,,7,2,0.29,,,
,,2009 - 2010,,,,,,,10,3,0.3,,,
