State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,,,,,,,"2,848.00","45,568.00",16,,,,,,
,,2019 - 2020,,,,,,,"2,850.00","49,087.00",17.22,,,,,,
,24. Jhabua,2001 - 2002,,,,,,,6,56,9.33,,,,,,
,,2002 - 2003,,,,,,,9,84,9.33,,,,,,
,,2003 - 2004,,,,,,,15,192,12.8,,,,,,
,,2004 - 2005,,,,,,,10,135,13.5,,,,,,
,,2005 - 2006,,,,,,,10,121,12.1,,,,,,
,,2006 - 2007,,,,,,,16,250,15.63,,,,,,
,,2007 - 2008,,,,,,,8,90,11.25,,,,,,
,,2008 - 2009,,,,,,,5,50,10,,,,,,
,,2009 - 2010,,,,,,,4,40,10,,,,,,
,,2010 - 2011,,,,,,,11,109,9.91,,,,,,
,,2011 - 2012,,,,,,,14,144,10.29,,,,,,
,,2012 - 2013,,,,,,,9,95,10.56,,,,,,
,,2013 - 2014,,,,,,,18,228,12.67,,,,,,
,,2015 - 2016,,,,,,,150,"3,750.00",25,,,,,,
,,2016 - 2017,,,,,,,104,"2,600.00",25,,,,,,
,,2017 - 2018,,,,,,,62,"1,550.00",25,,,,,,
,,2018 - 2019,,,,,,,74,"1,850.00",25,,,,,,
,,2019 - 2020,,,,,,,75,"1,875.00",25,,,,,,
,25. Katni,2001 - 2002,,,,,,,575,"6,979.00",12.14,,,,,,
,,2002 - 2003,,,,,,,688,"6,566.00",9.54,,,,,,
,,2003 - 2004,,,,,,,670,"7,682.00",11.47,,,,,,
,,2004 - 2005,,,,,,,665,"7,538.00",11.34,,,,,,
,,2005 - 2006,,,,,,,733,"7,128.00",9.72,,,,,,
,,2006 - 2007,,,,,,,750,"5,863.00",7.82,,,,,,
,,2007 - 2008,,,,,,,662,"4,858.00",7.34,,,,,,
,,2008 - 2009,,,,,,,835,"7,335.00",8.78,,,,,,
,,2009 - 2010,,,,,,,661,"4,738.00",7.17,,,,,,
,,2010 - 2011,,,,,,,"1,023.00","3,864.00",3.78,,,,,,
,,2011 - 2012,,,,,,,976,"7,160.00",7.34,,,,,,
,,2012 - 2013,,,,,,,"1,340.00","15,084.00",11.26,,,,,,
,,2013 - 2014,,,,,,,"1,349.00","19,146.00",14.19,,,,,,
,,2015 - 2016,,,,,,,"3,568.00","56,000.00",15.7,,,,,,
,,2016 - 2017,,,,,,,"3,577.00","80,053.26",22.38,,,,,,
,,2017 - 2018,,,,,,,"3,577.50","80,071.84",22.38,,,,,,
,,2018 - 2019,,,,,,,"3,587.50","80,288.25",22.38,,,,,,
,,2019 - 2020,,,,,,,"3,590.00","80,344.20",22.38,,,,,,
,26. Khandwa,2001 - 2002,,,,,,,88,"1,014.00",11.52,,,,,,
,,2002 - 2003,,,,,,,277,"3,487.00",12.59,,,,,,
,,2003 - 2004,,,,,,,316,"3,435.00",10.87,,,,,,
,,2004 - 2005,,,,,,,370,"4,264.00",11.52,,,,,,
,,2005 - 2006,,,,,,,394,"4,698.00",11.92,,,,,,
,,2006 - 2007,,,,,,,406,"5,603.00",13.8,,,,,,
,,2007 - 2008,,,,,,,431,"4,786.00",11.1,,,,,,
,,2008 - 2009,,,,,,,350,"3,761.00",10.75,,,,,,
,,2009 - 2010,,,,,,,427,"4,187.00",9.81,,,,,,
,,2010 - 2011,,,,,,,508,"5,776.00",11.37,,,,,,
,,2011 - 2012,,,,,,,461,"5,280.00",11.45,,,,,,
,,2012 - 2013,,,,,,,428,"4,425.00",10.34,,,,,,
,,2013 - 2014,,,,,,,428,"4,597.00",10.74,,,,,,
,,2015 - 2016,,,,,,,652,"15,648.00",24,,,,,,
,,2016 - 2017,,,,,,,702,"16,848.00",24,,,,,,
,,2017 - 2018,,,,,,,610,"14,640.00",24,,,,,,
,,2018 - 2019,,,,,,,228,"5,472.00",24,,,,,,
,,2019 - 2020,,,,,,,239,"5,746.00",24.04,,,,,,
,27. Khargone,2001 - 2002,,,,,,,133,"1,457.00",10.95,,,,,,
,,2002 - 2003,,,,,,,179,"1,933.00",10.8,,,,,,
,,2003 - 2004,,,,,,,174,"1,893.00",10.88,,,,,,
,,2004 - 2005,,,,,,,189,"2,258.00",11.95,,,,,,
,,2005 - 2006,,,,,,,74,740,10,,,,,,
,,2006 - 2007,,,,,,,84,834,9.93,,,,,,
,,2007 - 2008,,,,,,,85,860,10.12,,,,,,
,,2008 - 2009,,,,,,,57,400,7.02,,,,,,
,,2009 - 2010,,,,,,,123,959,7.8,,,,,,
,,2010 - 2011,,,,,,,54,480,8.89,,,,,,
,,2011 - 2012,,,,,,,71,636,8.96,,,,,,
,,2012 - 2013,,,,,,,50,422,8.44,,,,,,
,,2013 - 2014,,,,,,,71,583,8.21,,,,,,
,,2015 - 2016,,,,,,,281,"6,182.00",22,,,,,,
,,2016 - 2017,,,,,,,290,"7,250.00",25,,,,,,
,,2017 - 2018,,,,,,,297,"7,425.00",25,,,,,,
,,2018 - 2019,,,,,,,179,"4,475.00",25,,,,,,
,,2019 - 2020,,,,,,,187,"4,675.00",25,,,,,,
,28. Mandla,2001 - 2002,,,,,,,143,"1,309.00",9.15,,,,,,
,,2002 - 2003,,,,,,,166,"1,372.00",8.27,,,,,,
,,2003 - 2004,,,,,,,198,"1,938.00",9.79,,,,,,
,,2004 - 2005,,,,,,,210,"2,295.00",10.93,,,,,,
,,2005 - 2006,,,,,,,195,"1,869.00",9.58,,,,,,
,,2006 - 2007,,,,,,,189,"1,799.00",9.52,,,,,,
,,2007 - 2008,,,,,,,198,"1,768.00",8.93,,,,,,
,,2008 - 2009,,,,,,,198,"1,579.00",7.97,,,,,,
,,2009 - 2010,,,,,,,186,"1,322.00",7.11,,,,,,
,,2010 - 2011,,,,,,,200,"1,322.00",6.61,,,,,,
,,2011 - 2012,,,,,,,533,"3,607.00",6.77,,,,,,
,,2012 - 2013,,,,,,,297,"2,366.00",7.97,,,,,,
,,2013 - 2014,,,,,,,289,"5,242.00",18.14,,,,,,
,,2015 - 2016,,,,,,,295,"5,987.00",20.29,,,,,,
,,2016 - 2017,,,,,,,306.8,"5,903.19",19.24,,,,,,
,,2017 - 2018,,,,,,,324.8,"6,266.45",19.29,,,,,,
,,2018 - 2019,,,,,,,351.16,"6,942.05",19.77,,,,,,
,,2019 - 2020,,,,,,,378.5,"7,623.01",20.14,,,,,,
,29. Mandsaur,2001 - 2002,,,,,,,25,344,13.76,,,,,,
,,2002 - 2003,,,,,,,7,89,12.71,,,,,,
,,2003 - 2004,,,,,,,11,165,15,,,,,,
,,2004 - 2005,,,,,,,24,422,17.58,,,,,,
,,2005 - 2006,,,,,,,26,276,10.62,,,,,,
,,2006 - 2007,,,,,,,46,741,16.11,,,,,,
,,2007 - 2008,,,,,,,30,394,13.13,,,,,,
,,2008 - 2009,,,,,,,18,214,11.89,,,,,,
,,2009 - 2010,,,,,,,12,131,10.92,,,,,,
,,2010 - 2011,,,,,,,22,218,9.91,,,,,,
,,2011 - 2012,,,,,,,39,566,14.51,,,,,,
,,2012 - 2013,,,,,,,25,334,13.36,,,,,,
,,2013 - 2014,,,,,,,24,291,12.13,,,,,,
,,2015 - 2016,,,,,,,175,"3,500.00",20,,,,,,
,,2016 - 2017,,,,,,,183,"3,660.00",20,,,,,,
,,2017 - 2018,,,,,,,178,"3,560.00",20,,,,,,
,,2018 - 2019,,,,,,,175,"3,500.00",20,,,,,,
,,2019 - 2020,,,,,,,177,"3,540.00",20,,,,,,
,30. Morena,2001 - 2002,,,,,,,507,"6,142.00",12.11,,,,,,
,,2002 - 2003,,,,,,,564,"5,805.00",10.29,,,,,,
,,2003 - 2004,,,,,,,651,"6,862.00",10.54,,,,,,
,,2004 - 2005,,,,,,,395,"4,811.00",12.18,,,,,,
,,2005 - 2006,,,,,,,555,"7,244.00",13.05,,,,,,
,,2006 - 2007,,,,,,,914,"11,435.00",12.51,,,,,,
,,2007 - 2008,,,,,,,"1,691.00","18,113.00",10.71,,,,,,
,,2008 - 2009,,,,,,,"2,005.00","22,135.00",11.04,,,,,,
,,2009 - 2010,,,,,,,"2,091.00","20,920.00",10,,,,,,
,,2010 - 2011,,,,,,,"2,483.00","23,698.00",9.54,,,,,,
,,2011 - 2012,,,,,,,"2,454.00","24,072.00",9.81,,,,,,
,,2012 - 2013,,,,,,,"1,849.00","43,168.00",23.35,,,,,,
,,2013 - 2014,,,,,,,"2,076.00","38,289.00",18.44,,,,,,
,,2015 - 2016,,,,,,,"3,930.00","96,342.00",24.51,,,,,,
,,2016 - 2017,,,,,,,"3,940.00","96,880.00",24.59,,,,,,
,,2017 - 2018,,,,,,,"3,950.00","97,170.00",24.6,,,,,,
,,2018 - 2019,,,,,,,"3,985.00","98,100.00",24.62,,,,,,
,,2019 - 2020,,,,,,,"3,990.00","98,638.00",24.72,,,,,,
,31. Narsinghpur,2001 - 2002,,,,,,,606,"14,277.00",23.56,,,,,,
,,2002 - 2003,,,,,,,609,"11,600.00",19.05,,,,,,
,,2003 - 2004,,,,,,,594,"11,754.00",19.79,,,,,,
,,2004 - 2005,,,,,,,591,"13,062.00",22.1,,,,,,
,,2005 - 2006,,,,,,,619,"13,101.00",21.16,,,,,,
,,2006 - 2007,,,,,,,548,"11,507.00",21,,,,,,
,,2007 - 2008,,,,,,,588,"11,586.00",19.7,,,,,,
,,2008 - 2009,,,,,,,491,"8,642.00",17.6,,,,,,
,,2009 - 2010,,,,,,,453,"7,658.00",16.91,,,,,,
,,2010 - 2011,,,,,,,901,"13,766.00",15.28,,,,,,
,,2011 - 2012,,,,,,,761,"12,338.00",16.21,,,,,,
,,2012 - 2013,,,,,,,753,"15,964.00",21.2,,,,,,
,,2013 - 2014,,,,,,,603,"10,417.00",17.28,,,,,,
,,2015 - 2016,,,,,,,"1,477.03","22,464.15",15.21,,,,,,
,,2016 - 2017,,,,,,,"1,630.00","25,454.00",15.62,,,,,,
,,2017 - 2018,,,,,,,"1,639.00","39,289.00",23.97,,,,,,
,,2018 - 2019,,,,,,,"1,605.00","38,293.00",23.86,,,,,,
,,2019 - 2020,,,,,,,"1,609.00","39,015.00",24.25,,,,,,
,32. Neemuch,2001 - 2002,,,,,,,4,55,13.75,,,,,,
,,2002 - 2003,,,,,,,3,38,12.67,,,,,,
,,2005 - 2006,,,,,,,2,23,11.5,,,,,,
,,2006 - 2007,,,,,,,3,56,18.67,,,,,,
,,2007 - 2008,,,,,,,2,28,14,,,,,,
,,2008 - 2009,,,,,,,18,234,13,,,,,,
,,2009 - 2010,,,,,,,4,47,11.75,,,,,,
,,2010 - 2011,,,,,,,8,103,12.88,,,,,,
,,2011 - 2012,,,,,,,8,95,11.88,,,,,,
,,2012 - 2013,,,,,,,9,156,17.33,,,,,,
,,2013 - 2014,,,,,,,6,64,10.67,,,,,,
,,2015 - 2016,,,,,,,168,"3,024.00",18,,,,,,
,,2016 - 2017,,,,,,,185,"3,330.00",18,,,,,,
,,2017 - 2018,,,,,,,45,810,18,,,,,,
,,2018 - 2019,,,,,,,50,900,18,,,,,,
,,2019 - 2020,,,,,,,50,900,18,,,,,,
,33. Panna,2001 - 2002,,,,,,,484,"4,358.00",9,,,,,,
,,2002 - 2003,,,,,,,629,"5,109.00",8.12,,,,,,
,,2003 - 2004,,,,,,,615,"5,717.00",9.3,,,,,,
,,2004 - 2005,,,,,,,630,"6,196.00",9.83,,,,,,
,,2005 - 2006,,,,,,,631,"3,901.00",6.18,,,,,,
,,2006 - 2007,,,,,,,567,"3,478.00",6.13,,,,,,
,,2007 - 2008,,,,,,,457,"2,630.00",5.75,,,,,,
,,2008 - 2009,,,,,,,667,"3,429.00",5.14,,,,,,
,,2009 - 2010,,,,,,,905,"7,130.00",7.88,,,,,,
,,2010 - 2011,,,,,,,"1,099.00","4,062.00",3.7,,,,,,
,,2011 - 2012,,,,,,,"1,480.00","8,266.00",5.59,,,,,,
,,2012 - 2013,,,,,,,"1,495.00","18,463.00",12.35,,,,,,
,,2013 - 2014,,,,,,,"1,683.00","25,423.00",15.11,,,,,,
,,2015 - 2016,,,,,,,372,"2,853.00",7.67,,,,,,
,,2016 - 2017,,,,,,,670,"5,508.00",8.22,,,,,,
,,2017 - 2018,,,,,,,612,"5,030.64",8.22,,,,,,
,,2018 - 2019,,,,,,,690,"5,671.80",8.22,,,,,,
,,2019 - 2020,,,,,,,710,"5,835.00",8.22,,,,,,
,34. Raisen,2001 - 2002,,,,,,,144,"2,260.00",15.69,,,,,,
,,2002 - 2003,,,,,,,128,"1,883.00",14.71,,,,,,
,,2003 - 2004,,,,,,,169,"2,778.00",16.44,,,,,,
,,2004 - 2005,,,,,,,168,"3,084.00",18.36,,,,,,
,,2005 - 2006,,,,,,,186,"2,898.00",15.58,,,,,,
,,2006 - 2007,,,,,,,212,"3,278.00",15.46,,,,,,
,,2007 - 2008,,,,,,,166,"2,409.00",14.51,,,,,,
,,2008 - 2009,,,,,,,181,"2,345.00",12.96,,,,,,
,,2009 - 2010,,,,,,,209,"2,677.00",12.81,,,,,,
,,2010 - 2011,,,,,,,233,"2,135.00",9.16,,,,,,
,,2011 - 2012,,,,,,,205,"2,839.00",13.85,,,,,,
,,2012 - 2013,,,,,,,267,"3,338.00",12.5,,,,,,
,,2013 - 2014,,,,,,,198,"3,625.00",18.31,,,,,,
,,2015 - 2016,,,,,,,548,"12,270.00",22.39,,,,,,
,,2016 - 2017,,,,,,,652,"14,350.00",22.01,,,,,,
,,2017 - 2018,,,,,,,670,"14,950.00",22.31,,,,,,
,,2018 - 2019,,,,,,,675,"15,185.00",22.5,,,,,,
,,2019 - 2020,,,,,,,675,"15,185.00",22.5,,,,,,
,35. Rajgarh,2001 - 2002,,,,,,,457,"5,752.00",12.59,,,,,,
,,2002 - 2003,,,,,,,410,"5,021.00",12.25,,,,,,
,,2003 - 2004,,,,,,,799,"13,118.00",16.42,,,,,,
,,2004 - 2005,,,,,,,763,"14,379.00",18.85,,,,,,
,,2005 - 2006,,,,,,,621,"7,627.00",12.28,,,,,,
,,2006 - 2007,,,,,,,601,"9,809.00",16.32,,,,,,
,,2007 - 2008,,,,,,,770,"12,423.00",16.13,,,,,,
,,2008 - 2009,,,,,,,765,"9,768.00",12.77,,,,,,
,,2009 - 2010,,,,,,,868,"12,366.00",14.25,,,,,,
,,2010 - 2011,,,,,,,"1,090.00","12,196.00",11.19,,,,,,
,,2011 - 2012,,,,,,,"1,278.00","20,926.00",16.37,,,,,,
,,2012 - 2013,,,,,,,"1,063.00","22,168.00",20.85,,,,,,
,,2013 - 2014,,,,,,,"1,057.00","14,738.00",13.94,,,,,,
,,2015 - 2016,,,,,,,"3,440.00","58,480.00",17,,,,,,
,,2016 - 2017,,,,,,,"4,040.00","70,700.00",17.5,,,,,,
,,2017 - 2018,,,,,,,"4,183.00","73,202.50",17.5,,,,,,
,,2018 - 2019,,,,,,,"4,226.00","73,955.00",17.5,,,,,,
,,2019 - 2020,,,,,,,"4,426.00","77,415.00",17.49,,,,,,
,36. Ratlam,2001 - 2002,,,,,,,86,"1,386.00",16.12,,,,,,
,,2002 - 2003,,,,,,,53,801,15.11,,,,,,
,,2003 - 2004,,,,,,,189,"3,899.00",20.63,,,,,,
,,2004 - 2005,,,,,,,277,"6,621.00",23.9,,,,,,
,,2005 - 2006,,,,,,,276,"5,395.00",19.55,,,,,,
,,2006 - 2007,,,,,,,154,"2,987.00",19.4,,,,,,
,,2007 - 2008,,,,,,,326,"5,934.00",18.2,,,,,,
,,2008 - 2009,,,,,,,376,"5,731.00",15.24,,,,,,
,,2009 - 2010,,,,,,,146,"2,347.00",16.08,,,,,,
,,2010 - 2011,,,,,,,214,"2,402.00",11.22,,,,,,
,,2011 - 2012,,,,,,,222,"4,480.00",20.18,,,,,,
,,2012 - 2013,,,,,,,160,"3,400.00",21.25,,,,,,
,,2013 - 2014,,,,,,,193,"4,129.00",21.39,,,,,,
,,2015 - 2016,,,,,,,780,"13,884.00",17.8,,,,,,
,,2016 - 2017,,,,,,,790,"19,750.00",25,,,,,,
,,2017 - 2018,,,,,,,237,"6,053.00",25.54,,,,,,
,,2018 - 2019,,,,,,,352,"8,839.00",25.11,,,,,,
,,2019 - 2020,,,,,,,375,"9,425.00",25.13,,,,,,
,37. Rewa,2001 - 2002,,,,,,,"1,272.00","12,657.00",9.95,,,,,,
,,2002 - 2003,,,,,,,"1,302.00","11,133.00",8.55,,,,,,
,,2003 - 2004,,,,,,,"1,256.00","10,999.00",8.76,,,,,,
,,2004 - 2005,,,,,,,"1,380.00","12,270.00",8.89,,,,,,
,,2005 - 2006,,,,,,,"1,357.00","15,182.00",11.19,,,,,,
,,2006 - 2007,,,,,,,"1,393.00","13,916.00",9.99,,,,,,
,,2007 - 2008,,,,,,,"1,338.00","13,938.00",10.42,,,,,,
,,2008 - 2009,,,,,,,"1,522.00","14,160.00",9.3,,,,,,
,,2009 - 2010,,,,,,,"1,575.00","14,487.00",9.2,,,,,,
,,2010 - 2011,,,,,,,"2,138.00","13,581.00",6.35,,,,,,
,,2011 - 2012,,,,,,,"2,180.00","20,237.00",9.28,,,,,,
,,2012 - 2013,,,,,,,"2,270.00","25,166.00",11.09,,,,,,
,,2013 - 2014,,,,,,,"2,463.00","40,253.00",16.34,,,,,,
,,2015 - 2016,,,,,,,878.8,"10,984.40",12.5,,,,,,
,,2016 - 2017,,,,,,,"4,561.00","62,941.80",13.8,,,,,,
,,2017 - 2018,,,,,,,"1,723.00","23,777.40",13.8,,,,,,
,,2018 - 2019,,,,,,,"4,563.00","61,600.50",13.5,,,,,,
,,2019 - 2020,,,,,,,"5,173.00","69,835.50",13.5,,,,,,
,38. Sagar,2001 - 2002,,,,,,,"1,627.00","14,743.00",9.06,,,,,,
,,2002 - 2003,,,,,,,"1,643.00","13,957.00",8.49,,,,,,
,,2003 - 2004,,,,,,,"1,960.00","20,800.00",10.61,,,,,,
,,2004 - 2005,,,,,,,"1,897.00","20,273.00",10.69,,,,,,
,,2005 - 2006,,,,,,,"1,905.00","18,600.00",9.76,,,,,,
,,2006 - 2007,,,,,,,"2,034.00","19,703.00",9.69,,,,,,
,,2007 - 2008,,,,,,,"1,850.00","16,206.00",8.76,,,,,,
,,2008 - 2009,,,,,,,"1,892.00","16,760.00",8.86,,,,,,
,,2009 - 2010,,,,,,,"1,878.00","16,446.00",8.76,,,,,,
,,2010 - 2011,,,,,,,"2,611.00","12,649.00",4.84,,,,,,
,,2011 - 2012,,,,,,,"3,038.00","23,032.00",7.58,,,,,,
,,2012 - 2013,,,,,,,"2,782.00","19,327.00",6.95,,,,,,
,,2013 - 2014,,,,,,,"2,543.00","24,882.00",9.78,,,,,,
,,2015 - 2016,,,,,,,"5,181.00","1,29,525.00",25,,,,,,
,,2016 - 2017,,,,,,,"6,000.00","1,87,500.00",31.25,,,,,,
,,2017 - 2018,,,,,,,"5,500.00","1,71,875.00",31.25,,,,,,
,,2018 - 2019,,,,,,,"5,253.00","1,57,590.00",30,,,,,,
,,2019 - 2020,,,,,,,"6,067.00","1,82,017.00",30,,,,,,
,39. Satna,2001 - 2002,,,,,,,"1,485.00","14,849.00",10,,,,,,
,,2002 - 2003,,,,,,,"1,521.00","14,258.00",9.37,,,,,,
,,2003 - 2004,,,,,,,"1,745.00","17,310.00",9.92,,,,,,
,,2004 - 2005,,,,,,,"1,792.00","19,213.00",10.72,,,,,,
,,2005 - 2006,,,,,,,"1,849.00","17,941.00",9.7,,,,,,
,,2006 - 2007,,,,,,,"1,777.00","12,831.00",7.22,,,,,,
,,2007 - 2008,,,,,,,"1,827.00","9,802.00",5.37,,,,,,
,,2008 - 2009,,,,,,,"1,912.00","13,019.00",6.81,,,,,,
,,2009 - 2010,,,,,,,"2,074.00","16,029.00",7.73,,,,,,
,,2010 - 2011,,,,,,,"3,410.00","16,264.00",4.77,,,,,,
,,2011 - 2012,,,,,,,"3,432.00","24,517.00",7.14,,,,,,
,,2012 - 2013,,,,,,,"3,527.00","28,759.00",8.15,,,,,,
,,2013 - 2014,,,,,,,"3,536.00","27,907.00",7.89,,,,,,
,,2015 - 2016,,,,,,,"2,610.50","49,160.80",18.83,,,,,,
,,2016 - 2017,,,,,,,"2,929.75","54,594.00",18.63,,,,,,
,,2017 - 2018,,,,,,,"2,470.00","45,695.00",18.5,,,,,,
,,2018 - 2019,,,,,,,"2,539.40","47,846.20",18.84,,,,,,
,,2019 - 2020,,,,,,,"2,922.00","57,331.20",19.62,,,,,,
,40. Sehore,2001 - 2002,,,,,,,77,"1,202.00",15.61,,,,,,
,,2002 - 2003,,,,,,,88,"1,289.00",14.65,,,,,,
,,2003 - 2004,,,,,,,117,"1,755.00",15,,,,,,
,,2004 - 2005,,,,,,,126,"2,111.00",16.75,,,,,,
,,2005 - 2006,,,,,,,14,147,10.5,,,,,,
,,2006 - 2007,,,,,,,118,"1,385.00",11.74,,,,,,
,,2007 - 2008,,,,,,,161,"2,131.00",13.24,,,,,,
,,2008 - 2009,,,,,,,142,"2,237.00",15.75,,,,,,
,,2009 - 2010,,,,,,,203,"3,241.00",15.97,,,,,,
,,2010 - 2011,,,,,,,330,"3,711.00",11.25,,,,,,
,,2011 - 2012,,,,,,,356,"6,480.00",18.2,,,,,,
,,2012 - 2013,,,,,,,377,"6,883.00",18.26,,,,,,
,,2013 - 2014,,,,,,,413,"5,151.00",12.47,,,,,,
,,2015 - 2016,,,,,,,575,"14,375.00",25,,,,,,
,,2016 - 2017,,,,,,,590,"13,204.20",22.38,,,,,,
,,2017 - 2018,,,,,,,604,"13,484.31",22.33,,,,,,
,,2018 - 2019,,,,,,,206.9,"4,619.05",22.33,,,,,,
,,2019 - 2020,,,,,,,375,"9,137.18",24.37,,,,,,
,41. Seoni,2001 - 2002,,,,,,,597,"14,119.00",23.65,,,,,,
,,2002 - 2003,,,,,,,668,"13,824.00",20.69,,,,,,
,,2003 - 2004,,,,,,,695,"13,677.00",19.68,,,,,,
,,2004 - 2005,,,,,,,687,"16,261.00",23.67,,,,,,
,,2005 - 2006,,,,,,,791,"17,020.00",21.52,,,,,,
,,2006 - 2007,,,,,,,816,"16,258.00",19.92,,,,,,
,,2007 - 2008,,,,,,,860,"14,932.00",17.36,,,,,,
,,2008 - 2009,,,,,,,788,"12,222.00",15.51,,,,,,
,,2009 - 2010,,,,,,,956,"15,785.00",16.51,,,,,,
,,2010 - 2011,,,,,,,"1,060.00","17,807.00",16.8,,,,,,
,,2011 - 2012,,,,,,,"1,138.00","20,630.00",18.13,,,,,,
,,2012 - 2013,,,,,,,"1,137.00","24,925.00",21.92,,,,,,
,,2013 - 2014,,,,,,,"1,229.00","28,147.00",22.9,,,,,,
,,2015 - 2016,,,,,,,"1,238.00","26,114.80",21.09,,,,,,
,,2016 - 2017,,,,,,,"1,403.00","31,194.40",22.23,,,,,,
,,2017 - 2018,,,,,,,"1,344.00","29,681.09",22.08,,,,,,
,,2018 - 2019,,,,,,,"1,372.00","29,988.30",21.86,,,,,,
,,2019 - 2020,,,,,,,"1,471.00","32,109.00",21.83,,,,,,
,42. Shahdol,2001 - 2002,,,,,,,564,"6,296.00",11.16,,,,,,
,,2002 - 2003,,,,,,,585,"6,122.00",10.46,,,,,,
,,2003 - 2004,,,,,,,441,"4,727.00",10.72,,,,,,
,,2004 - 2005,,,,,,,498,"5,443.00",10.93,,,,,,
,,2005 - 2006,,,,,,,540,"5,780.00",10.7,,,,,,
,,2006 - 2007,,,,,,,584,"6,201.00",10.62,,,,,,
,,2007 - 2008,,,,,,,610,"6,079.00",9.97,,,,,,
,,2008 - 2009,,,,,,,592,"4,393.00",7.42,,,,,,
,,2009 - 2010,,,,,,,625,"4,584.00",7.33,,,,,,
,,2010 - 2011,,,,,,,684,"4,992.00",7.3,,,,,,
,,2011 - 2012,,,,,,,792,"5,718.00",7.22,,,,,,
,,2012 - 2013,,,,,,,848,"12,884.00",15.19,,,,,,
,,2013 - 2014,,,,,,,900,"11,574.00",12.86,,,,,,
,,2015 - 2016,,,,,,,"1,150.00","28,990.00",25.21,,,,,,
,,2016 - 2017,,,,,,,"1,159.00","30,365.80",26.2,,,,,,
,,2017 - 2018,,,,,,,918.7,"23,219.00",25.27,,,,,,
,,2018 - 2019,,,,,,,879,"22,159.59",25.21,,,,,,
,,2019 - 2020,,,,,,,"1,121.00","28,361.30",25.3,,,,,,
,43. Shajapur,2001 - 2002,,,,,,,"2,129.00","25,870.00",12.15,,,,,,
,,2002 - 2003,,,,,,,"2,172.00","24,743.00",11.39,,,,,,
,,2003 - 2004,,,,,,,"3,387.00","51,365.00",15.17,,,,,,
,,2004 - 2005,,,,,,,"4,106.00","64,196.00",15.63,,,,,,
,,2005 - 2006,,,,,,,"3,723.00","46,094.00",12.38,,,,,,
,,2006 - 2007,,,,,,,"3,991.00","61,281.00",15.35,,,,,,
,,2007 - 2008,,,,,,,"4,428.00","45,578.00",10.29,,,,,,
,,2008 - 2009,,,,,,,"3,525.00","38,889.00",11.03,,,,,,
,,2009 - 2010,,,,,,,"4,074.00","59,248.00",14.54,,,,,,
,,2010 - 2011,,,,,,,"5,864.00","49,296.00",8.41,,,,,,
,,2011 - 2012,,,,,,,"6,642.00","72,311.00",10.89,,,,,,
,,2012 - 2013,,,,,,,"5,845.00","99,153.00",16.96,,,,,,
,,2013 - 2014,,,,,,,"6,066.00","81,474.00",13.43,,,,,,
,,2015 - 2016,,,,,,,"12,100.00","2,56,520.00",21.2,,,,,,
,,2016 - 2017,,,,,,,"15,100.00","3,20,875.00",21.25,,,,,,
,,2017 - 2018,,,,,,,"4,363.00","94,895.00",21.75,,,,,,
,,2018 - 2019,,,,,,,"6,061.00","1,33,342.00",22,,,,,,
,,2019 - 2020,,,,,,,"6,065.00","1,33,430.00",22,,,,,,
,44. Sheopur,2001 - 2002,,,,,,,19,216,11.37,,,,,,
,,2002 - 2003,,,,,,,1,10,10,,,,,,
,,2003 - 2004,,,,,,,11,101,9.18,,,,,,
,,2004 - 2005,,,,,,,21,256,12.19,,,,,,
,,2005 - 2006,,,,,,,108,"1,535.00",14.21,,,,,,
,,2006 - 2007,,,,,,,5,46,9.2,,,,,,
,,2007 - 2008,,,,,,,5,46,9.2,,,,,,
,,2008 - 2009,,,,,,,15,121,8.07,,,,,,
,,2009 - 2010,,,,,,,8,63,7.88,,,,,,
,,2010 - 2011,,,,,,,1,8,8,,,,,,
,,2012 - 2013,,,,,,,13,110,8.46,,,,,,
,,2013 - 2014,,,,,,,17,113,6.65,,,,,,
,,2015 - 2016,,,,,,,315,"6,930.00",22,,,,,,
,,2016 - 2017,,,,,,,335,"7,587.00",22.65,,,,,,
,,2017 - 2018,,,,,,,150,"3,397.00",22.65,,,,,,
,,2018 - 2019,,,,,,,211,"4,777.00",22.64,,,,,,
,,2019 - 2020,,,,,,,225,"4,820.00",21.42,,,,,,
,45. Shivpuri,2001 - 2002,,,,,,,485,"7,387.00",15.23,,,,,,
,,2002 - 2003,,,,,,,276,"2,776.00",10.06,,,,,,
,,2003 - 2004,,,,,,,367,"5,215.00",14.21,,,,,,
,,2004 - 2005,,,,,,,393,"5,787.00",14.73,,,,,,
,,2005 - 2006,,,,,,,367,"4,298.00",11.71,,,,,,
,,2006 - 2007,,,,,,,352,"4,089.00",11.62,,,,,,
,,2007 - 2008,,,,,,,304,"2,486.00",8.18,,,,,,
,,2008 - 2009,,,,,,,427,"4,852.00",11.36,,,,,,
,,2009 - 2010,,,,,,,413,"4,043.00",9.79,,,,,,
