State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,182,88,0.48,,,,,,
,,2022 - 2023,145,68,0.47,,,,,,
,26. Nalbari,2000 - 2001,"1,850.00","1,062.00",0.57,,,,,,
,,2001 - 2002,"1,850.00","1,069.00",0.58,,,,,,
,,2002 - 2003,"1,850.00","1,079.00",0.58,,,,,,
,,2003 - 2004,"1,815.00","1,049.00",0.58,,,,,,
,,2004 - 2005,"1,790.00","1,038.00",0.58,,,,,,
,,2005 - 2006,312,181,0.58,,,,,,
,,2006 - 2007,330,191,0.58,,,,,,
,,2007 - 2008,330,191,0.58,,,,,,
,,2008 - 2009,249,146,0.59,,,,,,
,,2009 - 2010,200,116,0.58,,,,,,
,,2010 - 2011,300,175,0.58,,,,,,
