State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,4,44,11,,,,,,,,,
,,2013 - 2014,3,21,7,,,,,,,,,
,,2014 - 2015,11,47,4.27,,,,,,,,,
,,2015 - 2016,11,97,8.82,,,,,,,,,
,,2016 - 2017,7,108,15.43,,,,,,,,,
,,2017 - 2018,8,156,19.5,,,,,,,,,
,,2018 - 2019,21,398,18.95,,,,,,,,,
,,2019 - 2020,17,262,15.41,,,,,,,,,
,,2020 - 2021,38,718,18.89,,,,,,,,,
,,2021 - 2022,42,"1,098.00",26.14,,,,,,,,,
,,2022 - 2023,19,459,24.16,,,,,,,,,
,6. Kanniyakumari,2000 - 2001,,,,,,,2,53,26.5,,,
,,2002 - 2003,17,273,16.06,,,,,,,,,
,,2003 - 2004,,,,,,,13,184,14.15,,,
,,2004 - 2005,,,,,,,5,97,19.4,,,
,,2005 - 2006,,,,,,,11,212,19.27,,,
,,2006 - 2007,9,168,18.67,,,,,,,,,
,,2007 - 2008,15,286,19.07,,,,,,,,,
,,2008 - 2009,73,"1,460.00",20,,,,,,,,,
,,2009 - 2010,14,225,16.07,,,,,,,,,
,,2011 - 2012,10,110,11,,,,,,,,,
,,2013 - 2014,5,35,7,,,,,,,,,
,,2014 - 2015,7,30,4.29,,,,,,,,,
,,2015 - 2016,6,53,8.83,,,,,,,,,
,,2016 - 2017,6,144,24,,,,,,,,,
,,2017 - 2018,4,78,19.5,,,,,,,,,
,,2018 - 2019,2,37,18.5,,,,,,,,,
,,2019 - 2020,3,34,11.33,,,,,,,,,
,,2020 - 2021,2,41,20.5,,,,,,,,,
,,2021 - 2022,3,69,23,,,,,,,,,
,,2022 - 2023,1,48,48,,,,,,,,,
,7. Krishnagiri,2002 - 2003,2,32,16,,,,,,,,,
,,2004 - 2005,,,,,,,2,39,19.5,,,
,,2005 - 2006,,,,,,,2,39,19.5,,,
,,2006 - 2007,1,19,19,,,,,,,,,
,,2007 - 2008,1,19,19,,,,,,,,,
,,2008 - 2009,1,20,20,,,,,,,,,
,,2014 - 2015,1,4,4,,,,,,,,,
,,2015 - 2016,1,9,9,,,,,,,,,
,,2020 - 2021,3,57,19,,,,,,,,,
,,2021 - 2022,2,50,25,,,,,,,,,
,,2022 - 2023,2,48,24,,,,,,,,,
,8. Mayiladuthurai,2021 - 2022,0.44,11,25,,,,,,,,,
,9. Namakkal,2002 - 2003,10,160,16,,,,,,,,,
,,2003 - 2004,,,,,,,11,156,14.18,,,
,,2006 - 2007,32,596,18.63,,,,,,,,,
,,2011 - 2012,186,"2,054.00",11.04,,,,,,,,,
,,2015 - 2016,1,9,9,,,,,,,,,
,10. Pudukkottai,2021 - 2022,0.13,3,23.08,,,,,,,,,
,11. Salem,2002 - 2003,1,16,16,,,,,,,,,
,,2008 - 2009,1,20,20,,,,,,,,,
,,2011 - 2012,1,11,11,,,,,,,,,
,,2015 - 2016,2,18,9,,,,,,,,,
,,2016 - 2017,1,22,22,,,,,,,,,
,,2018 - 2019,1,19,19,,,,,,,,,
,,2019 - 2020,1,16,16,,,,,,,,,
,,2020 - 2021,16,306,19.13,,,,,,,,,
,,2021 - 2022,2,33,16.5,,,,,,,,,
,,2022 - 2023,11,263,23.91,,,,,,,,,
,12. Thanjavur,2002 - 2003,2,32,16,,,,,,,,,
,,2003 - 2004,,,,,,,1,14,14,,,
,,2004 - 2005,,,,,,,1,19,19,,,
,,2005 - 2006,,,,,,,12,232,19.33,,,
,,2006 - 2007,3,56,18.67,,,,,,,,,
,,2007 - 2008,3,57,19,,,,,,,,,
,,2008 - 2009,5,100,20,,,,,,,,,
,,2011 - 2012,6,66,11,,,,,,,,,
,,2013 - 2014,2,14,7,,,,,,,,,
,,2014 - 2015,1,4,4,,,,,,,,,
,,2015 - 2016,7,62,8.86,,,,,,,,,
,,2016 - 2017,2,52,26,,,,,,,,,
,,2017 - 2018,5,98,19.6,,,,,,,,,
,,2019 - 2020,1,20,20,,,,,,,,,
,,2020 - 2021,1,19,19,,,,,,,,,
,,2021 - 2022,14,342,24.43,,,,,,,,,
,,2022 - 2023,13,311,23.92,,,,,,,,,
,13. The nilgiris,2000 - 2001,,,,,,,26,688,26.46,,,
,,2002 - 2003,372,"5,960.00",16.02,,,,,,,,,
,,2003 - 2004,,,,,,,364,"5,160.00",14.18,,,
,,2004 - 2005,,,,,,,562,"10,844.00",19.3,,,
,,2005 - 2006,,,,,,,629,"12,136.00",19.29,,,
,,2006 - 2007,609,"11,350.00",18.64,,,,,,,,,
,,2007 - 2008,588,"11,194.00",19.04,,,,,,,,,
,,2008 - 2009,714,"14,280.00",20,,,,,,,,,
,,2009 - 2010,828,"13,289.00",16.05,,,,,,,,,
,,2011 - 2012,407,"4,494.00",11.04,,,,,,,,,
,,2013 - 2014,283,"1,970.00",6.96,,,,,,,,,
,,2014 - 2015,277,"1,173.00",4.23,,,,,,,,,
,,2015 - 2016,323,"2,855.00",8.84,,,,,,,,,
,,2016 - 2017,347,"7,631.00",21.99,,,,,,,,,
,,2017 - 2018,348,"6,799.00",19.54,,,,,,,,,
,,2018 - 2019,339,"6,533.00",19.27,,,,,,,,,
,,2019 - 2020,147,"2,321.00",15.79,,,,,,,,,
,,2020 - 2021,226,"4,334.00",19.18,,,,,,,,,
,,2021 - 2022,207,"4,994.00",24.13,,,,,,,,,
,,2022 - 2023,168,"3,928.00",23.38,,,,,,,,,
,14. Theni,2014 - 2015,2,8,4,,,,,,,,,
,,2016 - 2017,3,59,19.67,,,,,,,,,
,,2017 - 2018,1,20,20,,,,,,,,,
,,2022 - 2023,3,72,24,,,,,,,,,
,15. Thenkasi,2020 - 2021,1,8,8,,,,,,,,,
,,2021 - 2022,2,21,10.5,,,,,,,,,
,,2022 - 2023,1,24,24,,,,,,,,,
,16. Thiruvallur,2021 - 2022,0.3,8,26.67,,,,,,,,,
,17. Tirunelveli,2000 - 2001,,,,,,,35,927,26.49,,,
,,2002 - 2003,9,144,16,,,,,,,,,
,,2003 - 2004,,,,,,,1,14,14,,,
,,2005 - 2006,,,,,,,1,19,19,,,
,,2006 - 2007,2,37,18.5,,,,,,,,,
,,2011 - 2012,19,210,11.05,,,,,,,,,
,,2013 - 2014,7,49,7,,,,,,,,,
,,2014 - 2015,2,8,4,,,,,,,,,
,,2015 - 2016,30,265,8.83,,,,,,,,,
,,2016 - 2017,1,30,30,,,,,,,,,
,,2019 - 2020,3,54,18,,,,,,,,,
,,2021 - 2022,0.1,3,30,,,,,,,,,
,18. Tiruppur,2015 - 2016,3,27,9,,,,,,,,,
,,2022 - 2023,2,48,24,,,,,,,,,
,19. Tiruvannamalai,2021 - 2022,1,25,25,,,,,,,,,
,20. Vellore,2007 - 2008,1,19,19,,,,,,,,,
,,2013 - 2014,4,28,7,,,,,,,,,
,,2014 - 2015,5,21,4.2,,,,,,,,,
,,2015 - 2016,1,9,9,,,,,,,,,
,,2016 - 2017,1,18,18,,,,,,,,,
,,2017 - 2018,1,20,20,,,,,,,,,
,,2018 - 2019,1,19,19,,,,,,,,,
,,2019 - 2020,6,100,16.67,,,,,,,,,
,,2022 - 2023,3,72,24,,,,,,,,,
,21. Virudhunagar,2000 - 2001,,,,,,,1,26,26,,,
20. Telangana,1. Adilabad,2014 - 2015,,,,,,,1,8,8,,,
,,2016 - 2017,,,,,,,8,56,7,,,
,,2017 - 2018,,,,,,,5,35,7,,,
,,2018 - 2019,,,,,,,2,14,7,,,
,,2019 - 2020,,,,,,,3,20,6.67,,,
,,2020 - 2021,,,,,,,1,9,9,,,
,,2021 - 2022,,,,1,9,9,1,9,9,,,
,,2022 - 2023,,,,,,,1,9,9,,,
,2. Bhadradri,2022 - 2023,,,,,,,1,9,9,,,
,3. Jagitial,2021 - 2022,,,,,,,2,19,9.5,,,
,4. Jangoan,2019 - 2020,,,,,,,15,99,6.6,,,
,,2020 - 2021,,,,1,9,9,13,116,8.92,,,
,,2021 - 2022,,,,3,28,9.33,8,33,4.13,,,
,5. Kamareddy,2020 - 2021,,,,1,9,9,3,27,9,,,
,,2021 - 2022,,,,,,,5,47,9.4,,,
,,2022 - 2023,,,,,,,2,18,9,,,
,6. Karimnagar,2000 - 2001,76,297,3.91,,,,,,,,,
,,2001 - 2002,2,5,2.5,,,,,,,,,
,,2008 - 2009,14,99,7.07,,,,,,,,,
,,2009 - 2010,14,126,9,,,,,,,,,
,,2010 - 2011,24,224,9.33,,,,,,,,,
,,2011 - 2012,2,18,9,,,,,,,,,
,,2013 - 2014,,,,4,26,6.5,4,26,6.5,,,
,,2015 - 2016,,,,4,26,6.5,,,,,,
,,2020 - 2021,,,,,,,4,36,9,,,
,,2021 - 2022,,,,,,,1,9,9,,,
,7. Khammam,2016 - 2017,,,,2,14,7,,,,,,
,,2017 - 2018,,,,,,,2,,0,,,
,,2020 - 2021,,,,1,9,9,9,80,8.89,,,
,,2021 - 2022,,,,,,,4,38,9.5,,,
,,2022 - 2023,,,,,,,1,9,9,,,
,8. Mahabubabad,2020 - 2021,,,,,,,2,18,9,,,
,,2021 - 2022,,,,,,,1,9,9,,,
,9. Mahbubnagar,2014 - 2015,,,,,,,1,8,8,,,
,10. Medak,2000 - 2001,767,"2,998.00",3.91,,,,,,,,,
,,2001 - 2002,"1,096.00","2,497.00",2.28,,,,,,,,,
,,2002 - 2003,593,970,1.64,,,,,,,,,
,,2003 - 2004,756,"2,410.00",3.19,,,,,,,,,
,,2004 - 2005,768,"7,238.00",9.42,,,,,,,,,
,,2005 - 2006,"1,068.00","12,663.00",11.86,,,,,,,,,
,,2006 - 2007,"1,320.00","6,919.00",5.24,,,,,,,,,
,,2008 - 2009,"1,237.00","8,751.00",7.07,,,,,,,,,
,,2009 - 2010,"1,641.00","14,725.00",8.97,,,,,,,,,
,,2010 - 2011,"1,561.00","18,549.00",11.88,,,,,,,,,
,,2011 - 2012,"1,417.00","17,056.00",12.04,,,,,,,,,
,,2013 - 2014,,,,,,,"1,713.00","12,346.00",7.21,,,
,,2014 - 2015,,,,,,,"2,164.00","16,373.00",7.57,,,
,,2015 - 2016,,,,,,,"1,807.00","11,780.00",6.52,,,
,,2016 - 2017,,,,,,,20,140,7,,,
,,2020 - 2021,,,,1,9,9,3,27,9,,,
,,2021 - 2022,,,,,,,2,19,9.5,,,
,11. Medchal,2021 - 2022,,,,5,47,9.4,,,,,,
,12. Mulugu,2021 - 2022,,,,,,,1,9,9,,,
,13. Nalgonda,2015 - 2016,,,,2,13,6.5,7,46,6.57,,,
,,2016 - 2017,,,,,,,5,35,7,,,
,14. Nirmal,2020 - 2021,,,,,,,5,45,9,,,
,,2021 - 2022,,,,1,9,9,1,9,9,,,
,,2022 - 2023,,,,,,,1,9,9,,,
,15. Nizamabad,2000 - 2001,42,164,3.9,,,,,,,,,
,,2001 - 2002,54,123,2.28,,,,,,,,,
,,2002 - 2003,46,75,1.63,,,,,,,,,
,,2003 - 2004,38,121,3.18,,,,,,,,,
,,2004 - 2005,38,358,9.42,,,,,,,,,
,,2005 - 2006,18,213,11.83,,,,,,,,,
,,2006 - 2007,24,126,5.25,,,,,,,,,
,,2008 - 2009,18,127,7.06,,,,,,,,,
,,2009 - 2010,21,189,9,,,,,,,,,
,,2010 - 2011,2,19,9.5,,,,,,,,,
,,2011 - 2012,4,36,9,,,,,,,,,
,,2015 - 2016,,,,,,,4,26,6.5,,,
,,2021 - 2022,,,,,,,1,9,9,,,
,16. Peddapalli,2020 - 2021,,,,,,,4,36,9,,,
,,2021 - 2022,,,,,,,3,28,9.33,,,
,17. Rajanna,2020 - 2021,,,,,,,1,9,9,,,
,,2021 - 2022,,,,,,,1,9,9,,,
,18. Rangareddi,2000 - 2001,70,273,3.9,,,,,,,,,
,,2001 - 2002,62,141,2.27,,,,,,,,,
,,2002 - 2003,50,82,1.64,,,,,,,,,
,,2003 - 2004,49,156,3.18,,,,,,,,,
,,2004 - 2005,59,556,9.42,,,,,,,,,
,,2005 - 2006,68,806,11.85,,,,,,,,,
,,2006 - 2007,73,382,5.23,,,,,,,,,
,,2008 - 2009,105,743,7.08,,,,,,,,,
,,2009 - 2010,53,488,9.21,,,,,,,,,
,,2010 - 2011,135,"1,259.00",9.33,,,,,,,,,
,,2011 - 2012,212,"1,958.00",9.24,,,,,,,,,
,,2013 - 2014,,,,,,,50,331,6.62,,,
,,2014 - 2015,,,,,,,20,151,7.55,,,
,,2015 - 2016,,,,,,,4,10,2.5,,,
,,2020 - 2021,,,,2,18,9,15,134,8.93,,,
,,2021 - 2022,,,,,,,5,99,19.8,,,
,19. Sangareddy,2016 - 2017,,,,,,,"1,935.00","13,516.00",6.99,,,
,,2017 - 2018,,,,,,,"1,806.00","12,756.00",7.06,,,
,,2018 - 2019,,,,,,,"1,601.00","11,069.00",6.91,,,
,,2019 - 2020,,,,,,,"2,319.00","15,308.00",6.6,,,
,,2020 - 2021,,,,,,,"2,273.00","21,514.00",9.47,,,
,,2021 - 2022,,,,108,"1,020.00",9.44,"1,438.00","13,578.00",9.44,,,
,,2022 - 2023,,,,21,187,8.9,757,"6,737.00",8.9,,,
,20. Siddipet,2016 - 2017,,,,37,258,6.97,10,70,7,,,
,,2017 - 2018,,,,,,,24,170,7.08,,,
,,2018 - 2019,,,,6,41,6.83,7,48,6.86,,,
,,2020 - 2021,,,,2,18,9,2,18,9,,,
,,2021 - 2022,,,,3,28,9.33,7,66,9.43,,,
,,2022 - 2023,,,,,,,2,18,9,,,
,21. Suryapet,2020 - 2021,,,,,,,1,9,9,,,
,,2021 - 2022,,,,,,,1,9,9,,,
,22. Vikarabad,2018 - 2019,,,,,,,2,14,7,,,
,,2019 - 2020,,,,,,,71,469,6.61,,,
,,2020 - 2021,,,,4,14,3.5,232,811,3.5,,,
,,2021 - 2022,,,,8,78,9.75,106,"1,028.00",9.7,,,
,,2022 - 2023,,,,2,19,9.5,55,523,9.51,,,
,23. Warangal,2000 - 2001,90,352,3.91,,,,,,,,,
,,2001 - 2002,30,68,2.27,,,,,,,,,
,,2002 - 2003,10,16,1.6,,,,,,,,,
,,2003 - 2004,1,3,3,,,,,,,,,
,,2017 - 2018,,,,,,,3,21,7,,,
,,2018 - 2019,,,,2,14,7,3,21,7,,,
,,2019 - 2020,,,,,,,1,7,7,,,
,,2020 - 2021,,,,,,,10,89,8.9,,,
,,2021 - 2022,,,,,,,1,9,9,,,
,24. Warangal urban,2021 - 2022,,,,,,,1,9,9,,,
,25. Yadadri,2020 - 2021,,,,,,,4,36,9,,,
,,2021 - 2022,,,,,,,1,9,9,,,
,,2022 - 2023,,,,,,,1,9,9,,,
21. Uttar Pradesh,1. Agra,2006 - 2007,,,,,,,1,3,3,,,
,2. Aligarh,2006 - 2007,,,,,,,1,3,3,,,
,,2007 - 2008,,,,,,,1,2,2,,,
,3. Ambedkar nagar,2007 - 2008,,,,,,,5,11,2.2,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,4. Amroha,2006 - 2007,,,,,,,1,3,3,,,
,5. Azamgarh,2006 - 2007,,,,,,,8,25,3.13,,,
,,2010 - 2011,,,,,,,2,5,2.5,,,
,,2011 - 2012,,,,,,,2,6,3,,,
,6. Baghpat,2007 - 2008,,,,,,,6,14,2.33,,,
,,2009 - 2010,,,,,,,1,3,3,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,7. Bahraich,2006 - 2007,,,,,,,176,541,3.07,,,
,,2007 - 2008,,,,,,,139,315,2.27,,,
,,2009 - 2010,,,,,,,82,246,3,,,
,,2010 - 2011,,,,,,,48,137,2.85,,,
,,2011 - 2012,,,,,,,51,145,2.84,,,
,,2012 - 2013,,,,,,,56,274,4.89,,,
,,2013 - 2014,,,,,,,69,354,5.13,,,
,,2014 - 2015,,,,,,,64,295,4.61,,,
,,2015 - 2016,,,,,,,161,72,0.45,,,
,,2016 - 2017,,,,,,,80,328,4.1,,,
,,2017 - 2018,,,,,,,86,409,4.76,,,
,,2018 - 2019,,,,,,,92,437,4.75,,,
,,2019 - 2020,,,,,,,97,509,5.25,,,
,,2020 - 2021,,,,,,,56,264,4.71,,,
,,2021 - 2022,,,,,,,82,368,4.49,,,
,,2022 - 2023,,,,,,,83,378,4.55,,,
,8. Ballia,2006 - 2007,,,,,,,1,3,3,,,
,9. Bareilly,2006 - 2007,,,,,,,1,3,3,,,
,10. Budaun,2007 - 2008,,,,,,,1,2,2,,,
,11. Deoria,2006 - 2007,,,,,,,6,19,3.17,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,,2011 - 2012,,,,,,,2,6,3,,,
,12. Fatehpur,2009 - 2010,,,,,,,1,3,3,,,
,13. Firozabad,2009 - 2010,,,,,,,4,12,3,,,
,14. Ghazipur,2007 - 2008,,,,,,,3,7,2.33,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,,2011 - 2012,,,,,,,1,3,3,,,
,15. Gonda,2006 - 2007,,,,,,,4,13,3.25,,,
,,2009 - 2010,,,,,,,7,21,3,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,,2011 - 2012,,,,,,,1,3,3,,,
,16. Gorakhpur,2006 - 2007,,,,,,,5,15,3,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,,2011 - 2012,,,,,,,1,3,3,,,
,17. Hardoi,2006 - 2007,,,,,,,2,6,3,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,18. Jhansi,2006 - 2007,,,,,,,117,360,3.08,,,
,,2007 - 2008,,,,,,,165,373,2.26,,,
,,2009 - 2010,,,,,,,89,267,3,,,
,,2010 - 2011,,,,,,,89,253,2.84,,,
,,2011 - 2012,,,,,,,79,225,2.85,,,
,,2012 - 2013,,,,,,,52,255,4.9,,,
,,2013 - 2014,,,,,,,63,323,5.13,,,
,,2014 - 2015,,,,,,,35,161,4.6,,,
,,2015 - 2016,,,,,,,52,23,0.44,,,
,,2016 - 2017,,,,,,,78,320,4.1,,,
,,2017 - 2018,,,,,,,56,266,4.75,,,
,,2018 - 2019,,,,,,,57,271,4.75,,,
,,2019 - 2020,,,,,,,56,294,5.25,,,
,,2020 - 2021,,,,,,,101,476,4.71,,,
,,2021 - 2022,,,,,,,101,453,4.49,,,
,,2022 - 2023,,,,,,,101,460,4.55,,,
,19. Kanpur nagar,2012 - 2013,,,,,,,32,157,4.91,,,
,,2015 - 2016,,,,,,,3,1,0.33,,,
,,2016 - 2017,,,,,,,3,12,4,,,
,,2018 - 2019,,,,,,,2,10,5,,,
,,2019 - 2020,,,,,,,2,11,5.5,,,
,,2020 - 2021,,,,,,,2,9,4.5,,,
,,2021 - 2022,,,,,,,2,9,4.5,,,
,,2022 - 2023,,,,,,,2,9,4.5,,,
,20. Kheri,2006 - 2007,,,,,,,8,25,3.13,,,
,,2007 - 2008,,,,,,,8,19,2.38,,,
,,2009 - 2010,,,,,,,4,12,3,,,
,,2010 - 2011,,,,,,,9,25,2.78,,,
,,2011 - 2012,,,,,,,15,42,2.8,,,
,,2012 - 2013,,,,,,,25,122,4.88,,,
,,2013 - 2014,,,,,,,12,62,5.17,,,
,,2014 - 2015,,,,,,,14,65,4.64,,,
,,2015 - 2016,,,,,,,15,7,0.47,,,
,,2016 - 2017,,,,,,,16,66,4.13,,,
,,2017 - 2018,,,,,,,16,76,4.75,,,
,,2018 - 2019,,,,,,,15,71,4.73,,,
,,2019 - 2020,,,,,,,13,68,5.23,,,
,,2020 - 2021,,,,,,,26,123,4.73,,,
,,2021 - 2022,,,,,,,17,76,4.47,,,
,,2022 - 2023,,,,,,,18,82,4.56,,,
,21. Kushi nagar,2007 - 2008,,,,,,,4,9,2.25,,,
,,2010 - 2011,,,,,,,2,5,2.5,,,
,,2011 - 2012,,,,,,,2,5,2.5,,,
,,2012 - 2013,,,,,,,6,29,4.83,,,
,,2013 - 2014,,,,,,,2,10,5,,,
,,2014 - 2015,,,,,,,3,14,4.67,,,
,,2015 - 2016,,,,,,,3,1,0.33,,,
,,2018 - 2019,,,,,,,2,9,4.5,,,
,,2019 - 2020,,,,,,,2,10,5,,,
,,2020 - 2021,,,,,,,1,5,5,,,
,,2021 - 2022,,,,,,,2,9,4.5,,,
,,2022 - 2023,,,,,,,1,5,5,,,
,22. Lalitpur,2006 - 2007,,,,,,,539,"1,657.00",3.07,,,
,,2007 - 2008,,,,,,,560,"1,268.00",2.26,,,
,,2009 - 2010,,,,,,,593,"1,781.00",3,,,
,,2010 - 2011,,,,,,,729,"2,073.00",2.84,,,
,,2011 - 2012,,,,,,,688,"1,952.00",2.84,,,
,,2012 - 2013,,,,,,,642,"3,142.00",4.89,,,
,,2013 - 2014,,,,,,,663,"3,399.00",5.13,,,
,,2014 - 2015,,,,,,,826,"3,810.00",4.61,,,
,,2015 - 2016,,,,,,,721,321,0.45,,,
,,2016 - 2017,,,,,,,731,"2,997.00",4.1,,,
,,2017 - 2018,,,,,,,717,"3,406.00",4.75,,,
,,2018 - 2019,,,,,,,732,"3,477.00",4.75,,,
,,2019 - 2020,,,,,,,707,"3,712.00",5.25,,,
,,2020 - 2021,,,,,,,722,"3,404.00",4.71,,,
,,2021 - 2022,,,,,,,722,"3,240.00",4.49,,,
,,2022 - 2023,,,,,,,720,"3,282.00",4.56,,,
,23. Maharajganj,2006 - 2007,,,,,,,2,6,3,,,
,,2007 - 2008,,,,,,,1,2,2,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,,2011 - 2012,,,,,,,1,3,3,,,
,24. Mau,2006 - 2007,,,,,,,3,9,3,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,25. Mirzapur,2006 - 2007,,,,,,,1,3,3,,,
,26. Pilibhit,2007 - 2008,,,,,,,4,9,2.25,,,
,,2010 - 2011,,,,,,,1,3,3,,,
,27. Rae bareli,2009 - 2010,,,,,,,5,15,3,,,
,28. Saharanpur,2006 - 2007,,,,,,,9,28,3.11,,,
,,2010 - 2011,,,,,,,2,5,2.5,,,
,,2011 - 2012,,,,,,,2,6,3,,,
,,2012 - 2013,,,,,,,4,20,5,,,
,,2013 - 2014,,,,,,,4,20,5,,,
,,2016 - 2017,,,,,,,2,8,4,,,
,,2017 - 2018,,,,,,,2,10,5,,,
,,2018 - 2019,,,,,,,2,10,5,,,
,,2019 - 2020,,,,,,,1,5,5,,,
,,2020 - 2021,,,,,,,1,5,5,,,
,,2021 - 2022,,,,,,,2,9,4.5,,,
,,2022 - 2023,,,,,,,4,18,4.5,,,
,29. Sant kabeer nagar,2007 - 2008,,,,,,,1,2,2,,,
,30. Sant ravidas nagar,2010 - 2011,,,,,,,2,5,2.5,,,
,,2011 - 2012,,,,,,,2,6,3,,,
,,2012 - 2013,,,,,,,5,24,4.8,,,
,,2014 - 2015,,,,,,,2,9,4.5,,,
,31. Sitapur,2006 - 2007,,,,,,,1,3,3,,,
,,2007 - 2008,,,,,,,1,2,2,,,
,32. Sonbhadra,2007 - 2008,,,,,,,1,,0,,,
,,2016 - 2017,,,,,,,6,25,4.17,,,
,,2018 - 2019,,,,,,,2,9,4.5,,,
,,2019 - 2020,,,,,,,2,11,5.5,,,
,,2020 - 2021,,,,,,,2,9,4.5,,,
,,2021 - 2022,,,,,,,5,23,4.6,,,
,,2022 - 2023,,,,,,,5,23,4.6,,,
,33. Unnao,2006 - 2007,,,,,,,1,3,3,,,
22. Uttarakhand,1. Almora,2000 - 2001,121,"1,109.00",9.17,,,,,,,,,
,,2001 - 2002,195,"1,755.00",9,,,,,,,,,
,,2002 - 2003,112,952,8.5,,,,,,,,,
,,2003 - 2004,135,"1,215.00",9,,,,,,,,,
,,2004 - 2005,69,656,9.51,,,,,,,,,
,,2005 - 2006,170,"1,530.00",9,,,,,,,,,
,,2006 - 2007,118,"1,003.00",8.5,,,,,,,,,
,,2007 - 2008,146,"1,168.00",8,,,,,,,,,
,,2008 - 2009,89,846,9.51,,,,,,,,,
,,2009 - 2010,538,"5,111.00",9.5,,,,,,,,,
,,2010 - 2011,202,"1,616.00",8,,,,,,,,,
,,2011 - 2012,184,"1,509.00",8.2,,,,,,,,,
,,2012 - 2013,215,"1,742.00",8.1,,,,,,,,,
,,2013 - 2014,293,"2,381.00",8.13,,,,,,,,,
,,2014 - 2015,143,"1,297.00",9.07,,,,150,"1,361.00",9.07,,,
,,2015 - 2016,96,557,5.8,,,,,,,,,
,,2016 - 2017,201,975,4.85,,,,,,,,,
,,2017 - 2018,330,"1,165.00",3.53,,,,,,,,,
,,2018 - 2019,495,"2,922.00",5.9,,,,,,,,,
,,2019 - 2020,332,"2,224.00",6.7,,,,,,,,,
,,2020 - 2021,365,"3,375.00",9.25,,,,,,,,,
,,2021 - 2022,358,"2,900.00",8.1,,,,,,,,,
,,2022 - 2023,428,"2,829.00",6.61,,,,,,,,,
,2. Bageshwar,2000 - 2001,5,55,11,,,,,,,,,
,,2001 - 2002,15,165,11,,,,,,,,,
,,2002 - 2003,10,112,11.2,,,,,,,,,
,,2003 - 2004,10,110,11,,,,,,,,,
,,2004 - 2005,8,88,11,,,,,,,,,
,,2005 - 2006,7,77,11,,,,,,,,,
,,2006 - 2007,6,66,11,,,,,,,,,
,,2007 - 2008,11,129,11.73,,,,,,,,,
,,2008 - 2009,9,72,8,,,,,,,,,
,,2009 - 2010,21,60,2.86,,,,,,,,,
,,2010 - 2011,5,43,8.6,,,,,,,,,
,,2011 - 2012,5,43,8.6,,,,,,,,,
,,2012 - 2013,8,69,8.63,,,,,,,,,
,,2013 - 2014,10,86,8.6,,,,,,,,,
,,2014 - 2015,12,103,8.58,,,,18,155,8.61,,,
,,2015 - 2016,16,136,8.5,,,,,,,,,
,,2016 - 2017,40,194,4.85,,,,,,,,,
,,2017 - 2018,19,92,4.84,,,,,,,,,
,,2018 - 2019,19,94,4.95,,,,,,,,,
,,2019 - 2020,48,322,6.71,,,,,,,,,
,,2020 - 2021,103,952,9.24,,,,,,,,,
,,2021 - 2022,36,292,8.11,,,,,,,,,
,,2022 - 2023,69,456,6.61,,,,,,,,,
,3. Chamoli,2000 - 2001,7,36,5.14,,,,,,,,,
,,2002 - 2003,3,22,7.33,,,,,,,,,
,,2004 - 2005,6,48,8,,,,,,,,,
,,2005 - 2006,1,8,8,,,,,,,,,
,,2006 - 2007,5,38,7.6,,,,,,,,,
,,2007 - 2008,2,14,7,,,,,,,,,
,,2008 - 2009,1,8,8,,,,,,,,,
,,2009 - 2010,4,32,8,,,,,,,,,
,,2010 - 2011,3,23,7.67,,,,,,,,,
,,2011 - 2012,5,38,7.6,,,,,,,,,
,,2012 - 2013,17,164,9.65,,,,,,,,,
,,2013 - 2014,3,42,14,,,,,,,,,
,,2014 - 2015,5,70,14,,,,1,14,14,,,
,,2015 - 2016,7,99,14.14,,,,,,,,,
,,2016 - 2017,1,10,10,,,,,,,,,
,,2018 - 2019,3,31,10.33,,,,,,,,,
,,2019 - 2020,4,34,8.5,,,,,,,,,
,,2020 - 2021,4,34,8.5,,,,,,,,,
,,2021 - 2022,2,26,13,,,,,,,,,
,4. Champawat,2000 - 2001,260,"2,860.00",11,,,,,,,,,
,,2001 - 2002,165,"1,815.00",11,,,,,,,,,
,,2002 - 2003,230,"2,530.00",11,,,,,,,,,
,,2003 - 2004,180,"1,350.00",7.5,,,,,,,,,
,,2004 - 2005,283,"2,264.00",8,,,,,,,,,
,,2005 - 2006,566,"4,245.00",7.5,,,,,,,,,
,,2006 - 2007,345,"2,933.00",8.5,,,,,,,,,
,,2007 - 2008,307,"2,456.00",8,,,,,,,,,
,,2008 - 2009,604,"9,704.00",16.07,,,,,,,,,
