State,District,Year,Sweet potato,,,,,,,,
,,2020 - 2021,,,,,,,38,475,12.5
,,2021 - 2022,,,,,,,32,370,11.56
,,2022 - 2023,,,,,,,32,371,11.59
,22. Deoria,2004 - 2005,16,186,11.63,,,,,,
,,2005 - 2006,32,418,13.06,,,,,,
,,2006 - 2007,,,,,,,50,682,13.64
,,2007 - 2008,,,,,,,30,404,13.47
,,2008 - 2009,,,,,,,30,368,12.27
,,2009 - 2010,,,,,,,32,435,13.59
,,2010 - 2011,,,,,,,35,431,12.31
,,2011 - 2012,,,,,,,35,454,12.97
,,2012 - 2013,,,,,,,36,466,12.94
,,2013 - 2014,,,,,,,18,238,13.22
,,2014 - 2015,,,,,,,17,211,12.41
,,2015 - 2016,,,,,,,28,338,12.07
,,2016 - 2017,,,,,,,19,212,11.16
,,2017 - 2018,,,,,,,24,268,11.17
,,2018 - 2019,,,,,,,21,241,11.48
,,2019 - 2020,,,,,,,22,258,11.73
,,2020 - 2021,,,,,,,24,300,12.5
,,2021 - 2022,,,,,,,22,254,11.55
,,2022 - 2023,,,,,,,23,266,11.57
,23. Etah,2004 - 2005,"5,546.00","64,457.00",11.62,,,,,,
,,2005 - 2006,"4,206.00","55,018.00",13.08,,,,,,
,,2006 - 2007,,,,,,,"4,312.00","58,854.00",13.65
,,2007 - 2008,,,,,,,"4,393.00","59,142.00",13.46
,,2008 - 2009,,,,,,,"4,737.00","58,180.00",12.28
,,2009 - 2010,,,,,,,192,"2,611.00",13.6
,,2010 - 2011,,,,,,,450,"5,542.00",12.32
,,2011 - 2012,,,,,,,486,"6,315.00",12.99
,,2012 - 2013,,,,,,,963,"12,468.00",12.95
,,2013 - 2014,,,,,,,912,"12,052.00",13.21
,,2014 - 2015,,,,,,,482,"5,970.00",12.39
,,2015 - 2016,,,,,,,241,"2,905.00",12.05
,,2016 - 2017,,,,,,,789,"8,810.00",11.17
,,2017 - 2018,,,,,,,677,"7,559.00",11.17
,,2018 - 2019,,,,,,,620,"7,121.00",11.49
,,2019 - 2020,,,,,,,562,"6,600.00",11.74
,,2020 - 2021,,,,,,,578,"7,218.00",12.49
,,2021 - 2022,,,,,,,645,"7,449.00",11.55
,,2022 - 2023,,,,,,,939,"10,870.00",11.58
,24. Etawah,2004 - 2005,62,721,11.63,,,,,,
,,2005 - 2006,85,"1,112.00",13.08,,,,,,
,,2006 - 2007,,,,,,,68,928,13.65
,,2007 - 2008,,,,,,,77,"1,037.00",13.47
,,2008 - 2009,,,,,,,56,688,12.29
,,2009 - 2010,,,,,,,64,870,13.59
,,2010 - 2011,,,,,,,51,628,12.31
,,2011 - 2012,,,,,,,70,909,12.99
,,2012 - 2013,,,,,,,81,"1,049.00",12.95
,,2013 - 2014,,,,,,,63,832,13.21
,,2014 - 2015,,,,,,,77,954,12.39
,,2015 - 2016,,,,,,,53,639,12.06
,,2016 - 2017,,,,,,,59,659,11.17
,,2017 - 2018,,,,,,,49,547,11.16
,,2018 - 2019,,,,,,,43,494,11.49
,,2019 - 2020,,,,,,,76,892,11.74
,,2020 - 2021,,,,,,,56,699,12.48
,,2021 - 2022,,,,,,,64,739,11.55
,,2022 - 2023,,,,,,,48,556,11.58
,25. Faizabad,2004 - 2005,263,"3,057.00",11.62,,,,,,
,,2005 - 2006,259,"3,388.00",13.08,,,,,,
,,2006 - 2007,,,,,,,166,"2,266.00",13.65
,,2007 - 2008,,,,,,,390,"5,250.00",13.46
,,2008 - 2009,,,,,,,424,"5,207.00",12.28
,,2009 - 2010,,,,,,,362,"4,923.00",13.6
,,2010 - 2011,,,,,,,320,"3,941.00",12.32
,,2011 - 2012,,,,,,,332,"4,314.00",12.99
,,2012 - 2013,,,,,,,257,"3,327.00",12.95
,,2013 - 2014,,,,,,,144,"1,903.00",13.22
,,2014 - 2015,,,,,,,374,"4,633.00",12.39
,,2015 - 2016,,,,,,,249,"3,002.00",12.06
,,2016 - 2017,,,,,,,155,"1,731.00",11.17
,,2017 - 2018,,,,,,,236,"2,635.00",11.17
,,2018 - 2019,,,,,,,232,"2,665.00",11.49
,,2019 - 2020,,,,,,,249,"2,924.00",11.74
,,2020 - 2021,,,,,,,224,"2,797.00",12.49
,,2021 - 2022,,,,,,,219,"2,529.00",11.55
,,2022 - 2023,,,,,,,232,"2,686.00",11.58
,26. Farrukhabad,2004 - 2005,"1,187.00","13,795.00",11.62,,,,,,
,,2005 - 2006,"1,073.00","14,036.00",13.08,,,,,,
,,2006 - 2007,,,,,,,"1,137.00","15,519.00",13.65
,,2007 - 2008,,,,,,,996,"13,409.00",13.46
,,2008 - 2009,,,,,,,989,"12,147.00",12.28
,,2009 - 2010,,,,,,,"1,076.00","14,634.00",13.6
,,2010 - 2011,,,,,,,"1,044.00","12,857.00",12.32
,,2011 - 2012,,,,,,,"1,038.00","13,488.00",12.99
,,2012 - 2013,,,,,,,813,"10,526.00",12.95
,,2013 - 2014,,,,,,,816,"10,783.00",13.21
,,2014 - 2015,,,,,,,903,"11,185.00",12.39
,,2015 - 2016,,,,,,,923,"11,126.00",12.05
,,2016 - 2017,,,,,,,899,"10,038.00",11.17
,,2017 - 2018,,,,,,,865,"9,658.00",11.17
,,2018 - 2019,,,,,,,876,"10,061.00",11.49
,,2019 - 2020,,,,,,,893,"10,486.00",11.74
,,2020 - 2021,,,,,,,891,"11,126.00",12.49
,,2021 - 2022,,,,,,,864,"9,978.00",11.55
,,2022 - 2023,,,,,,,764,"8,844.00",11.58
,27. Fatehpur,2004 - 2005,"1,588.00","18,456.00",11.62,,,,,,
,,2005 - 2006,"1,656.00","21,662.00",13.08,,,,,,
,,2006 - 2007,,,,,,,"1,323.00","18,058.00",13.65
,,2007 - 2008,,,,,,,"1,591.00","21,420.00",13.46
,,2008 - 2009,,,,,,,"1,545.00","18,976.00",12.28
,,2009 - 2010,,,,,,,"1,541.00","20,957.00",13.6
,,2010 - 2011,,,,,,,698,"8,596.00",12.32
,,2011 - 2012,,,,,,,"1,198.00","15,567.00",12.99
,,2012 - 2013,,,,,,,"1,318.00","17,064.00",12.95
,,2013 - 2014,,,,,,,"1,157.00","15,290.00",13.22
,,2014 - 2015,,,,,,,"1,153.00","14,283.00",12.39
,,2015 - 2016,,,,,,,"1,147.00","13,826.00",12.05
,,2016 - 2017,,,,,,,"1,451.00","16,202.00",11.17
,,2017 - 2018,,,,,,,"1,245.00","13,901.00",11.17
,,2018 - 2019,,,,,,,"1,231.00","14,139.00",11.49
,,2019 - 2020,,,,,,,"1,245.00","14,620.00",11.74
,,2020 - 2021,,,,,,,"1,264.00","15,784.00",12.49
,,2021 - 2022,,,,,,,"1,287.00","14,863.00",11.55
,,2022 - 2023,,,,,,,"1,422.00","16,461.00",11.58
,28. Firozabad,2004 - 2005,250,"2,906.00",11.62,,,,,,
,,2005 - 2006,230,"3,009.00",13.08,,,,,,
,,2006 - 2007,,,,,,,171,"2,334.00",13.65
,,2007 - 2008,,,,,,,229,"3,083.00",13.46
,,2008 - 2009,,,,,,,202,"2,481.00",12.28
,,2009 - 2010,,,,,,,181,"2,461.00",13.6
,,2010 - 2011,,,,,,,153,"1,884.00",12.31
,,2011 - 2012,,,,,,,187,"2,430.00",12.99
,,2012 - 2013,,,,,,,145,"1,877.00",12.94
,,2013 - 2014,,,,,,,142,"1,876.00",13.21
,,2014 - 2015,,,,,,,112,"1,387.00",12.38
,,2015 - 2016,,,,,,,240,"2,893.00",12.05
,,2016 - 2017,,,,,,,165,"1,843.00",11.17
,,2017 - 2018,,,,,,,164,"1,831.00",11.16
,,2018 - 2019,,,,,,,168,"1,464.00",8.71
,,2019 - 2020,,,,,,,170,"1,996.00",11.74
,,2020 - 2021,,,,,,,181,"2,260.00",12.49
,,2021 - 2022,,,,,,,170,"1,963.00",11.55
,,2022 - 2023,,,,,,,171,"1,979.00",11.57
,29. Gautam buddha nagar,2004 - 2005,4,47,11.75,,,,,,
,,2005 - 2006,2,26,13,,,,,,
,,2007 - 2008,,,,,,,17,229,13.47
,,2008 - 2009,,,,,,,31,381,12.29
,,2009 - 2010,,,,,,,6,82,13.67
,,2010 - 2011,,,,,,,11,136,12.36
,,2011 - 2012,,,,,,,13,169,13
,,2016 - 2017,,,,,,,3,34,11.33
,,2019 - 2020,,,,,,,1,12,12
,,2021 - 2022,,,,,,,1,12,12
,30. Ghaziabad,2004 - 2005,5,58,11.6,,,,,,
,,2005 - 2006,6,79,13.17,,,,,,
,,2006 - 2007,,,,,,,7,95,13.57
,,2007 - 2008,,,,,,,21,283,13.48
,,2008 - 2009,,,,,,,13,160,12.31
,,2009 - 2010,,,,,,,10,136,13.6
,,2010 - 2011,,,,,,,36,443,12.31
,,2011 - 2012,,,,,,,17,221,13
,,2012 - 2013,,,,,,,16,207,12.94
,,2016 - 2017,,,,,,,7,78,11.14
,,2017 - 2018,,,,,,,4,45,11.25
,,2018 - 2019,,,,,,,1,11,11
,,2019 - 2020,,,,,,,2,23,11.5
,,2020 - 2021,,,,,,,2,25,12.5
,,2021 - 2022,,,,,,,3,35,11.67
,,2022 - 2023,,,,,,,2,23,11.5
,31. Ghazipur,2004 - 2005,9,105,11.67,,,,,,
,,2005 - 2006,6,78,13,,,,,,
,,2006 - 2007,,,,,,,7,95,13.57
,,2007 - 2008,,,,,,,3,40,13.33
,,2008 - 2009,,,,,,,5,61,12.2
,,2009 - 2010,,,,,,,3,41,13.67
,,2011 - 2012,,,,,,,4,52,13
,,2016 - 2017,,,,,,,1,11,11
,32. Gonda,2004 - 2005,174,"2,022.00",11.62,,,,,,
,,2005 - 2006,164,"2,145.00",13.08,,,,,,
,,2006 - 2007,,,,,,,169,"2,307.00",13.65
,,2007 - 2008,,,,,,,97,"1,306.00",13.46
,,2008 - 2009,,,,,,,71,872,12.28
,,2009 - 2010,,,,,,,104,"1,414.00",13.6
,,2011 - 2012,,,,,,,89,"1,156.00",12.99
,,2012 - 2013,,,,,,,53,686,12.94
,,2013 - 2014,,,,,,,19,251,13.21
,,2014 - 2015,,,,,,,3,37,12.33
,,2015 - 2016,,,,,,,1,12,12
,,2016 - 2017,,,,,,,33,368,11.15
,,2017 - 2018,,,,,,,28,313,11.18
,,2018 - 2019,,,,,,,14,161,11.5
,,2019 - 2020,,,,,,,20,235,11.75
,,2020 - 2021,,,,,,,19,237,12.47
,,2021 - 2022,,,,,,,23,266,11.57
,,2022 - 2023,,,,,,,21,243,11.57
,33. Gorakhpur,2004 - 2005,30,349,11.63,,,,,,
,,2005 - 2006,11,144,13.09,,,,,,
,,2006 - 2007,,,,,,,23,314,13.65
,,2007 - 2008,,,,,,,11,148,13.45
,,2008 - 2009,,,,,,,2,25,12.5
,,2009 - 2010,,,,,,,15,204,13.6
,,2010 - 2011,,,,,,,12,148,12.33
,,2011 - 2012,,,,,,,13,169,13
,,2012 - 2013,,,,,,,7,90,12.86
,,2013 - 2014,,,,,,,6,79,13.17
,,2014 - 2015,,,,,,,5,62,12.4
,,2015 - 2016,,,,,,,7,84,12
,,2016 - 2017,,,,,,,8,89,11.13
,,2017 - 2018,,,,,,,6,67,11.17
,,2018 - 2019,,,,,,,7,80,11.43
,,2019 - 2020,,,,,,,7,82,11.71
,,2020 - 2021,,,,,,,7,87,12.43
,,2022 - 2023,,,,,,,5,58,11.6
,34. Hamirpur,2004 - 2005,9,105,11.67,,,,,,
,,2005 - 2006,12,157,13.08,,,,,,
,,2007 - 2008,,,,,,,3,40,13.33
,,2008 - 2009,,,,,,,2,25,12.5
,,2009 - 2010,,,,,,,5,68,13.6
,,2010 - 2011,,,,,,,4,49,12.25
,,2011 - 2012,,,,,,,3,39,13
,,2013 - 2014,,,,,,,5,66,13.2
,,2014 - 2015,,,,,,,3,37,12.33
,,2016 - 2017,,,,,,,2,22,11
,,2017 - 2018,,,,,,,3,33,11
,,2018 - 2019,,,,,,,3,34,11.33
,,2020 - 2021,,,,,,,2,25,12.5
,,2021 - 2022,,,,,,,2,23,11.5
,,2022 - 2023,,,,,,,2,23,11.5
,35. Hapur,2012 - 2013,,,,,,,3,38,12.67
,,2016 - 2017,,,,,,,1,11,11
,,2017 - 2018,,,,,,,131,"1,463.00",11.17
,,2018 - 2019,,,,,,,52,597,11.48
,,2019 - 2020,,,,,,,54,634,11.74
,,2020 - 2021,,,,,,,48,599,12.48
,,2021 - 2022,,,,,,,131,"1,513.00",11.55
,,2022 - 2023,,,,,,,83,961,11.58
,36. Hardoi,2004 - 2005,"1,006.00","11,692.00",11.62,,,,,,
,,2005 - 2006,"1,035.00","13,539.00",13.08,,,,,,
,,2006 - 2007,,,,,,,845,"11,533.00",13.65
,,2007 - 2008,,,,,,,960,"12,924.00",13.46
,,2008 - 2009,,,,,,,968,"11,889.00",12.28
,,2009 - 2010,,,,,,,963,"13,097.00",13.6
,,2010 - 2011,,,,,,,720,"8,867.00",12.32
,,2011 - 2012,,,,,,,891,"11,577.00",12.99
,,2012 - 2013,,,,,,,800,"10,358.00",12.95
,,2013 - 2014,,,,,,,658,"8,695.00",13.21
,,2014 - 2015,,,,,,,806,"9,984.00",12.39
,,2015 - 2016,,,,,,,775,"9,342.00",12.05
,,2016 - 2017,,,,,,,703,"7,850.00",11.17
,,2017 - 2018,,,,,,,748,"8,352.00",11.17
,,2018 - 2019,,,,,,,680,"7,810.00",11.49
,,2019 - 2020,,,,,,,684,"8,032.00",11.74
,,2020 - 2021,,,,,,,718,"8,966.00",12.49
,,2021 - 2022,,,,,,,707,"8,165.00",11.55
,,2022 - 2023,,,,,,,642,"7,432.00",11.58
,37. Hathras,2004 - 2005,104,"1,209.00",11.63,,,,,,
,,2005 - 2006,91,"1,190.00",13.08,,,,,,
,,2006 - 2007,,,,,,,142,"1,938.00",13.65
,,2007 - 2008,,,,,,,69,929,13.46
,,2008 - 2009,,,,,,,62,761,12.27
,,2009 - 2010,,,,,,,94,"1,278.00",13.6
,,2010 - 2011,,,,,,,44,542,12.32
,,2011 - 2012,,,,,,,82,"1,066.00",13
,,2012 - 2013,,,,,,,141,"1,825.00",12.94
,,2013 - 2014,,,,,,,91,"1,202.00",13.21
,,2014 - 2015,,,,,,,93,"1,152.00",12.39
,,2015 - 2016,,,,,,,47,566,12.04
,,2016 - 2017,,,,,,,80,893,11.16
,,2017 - 2018,,,,,,,80,893,11.16
,,2018 - 2019,,,,,,,78,896,11.49
,,2019 - 2020,,,,,,,76,893,11.75
,,2020 - 2021,,,,,,,85,"1,061.00",12.48
,,2021 - 2022,,,,,,,92,"1,063.00",11.55
,,2022 - 2023,,,,,,,82,949,11.57
,38. Jalaun,2004 - 2005,21,244,11.62,,,,,,
,,2005 - 2006,10,131,13.1,,,,,,
,,2007 - 2008,,,,,,,1,14,14
,,2008 - 2009,,,,,,,1,12,12
,,2009 - 2010,,,,,,,7,95,13.57
,,2010 - 2011,,,,,,,4,49,12.25
,,2011 - 2012,,,,,,,3,39,13
,,2012 - 2013,,,,,,,3,39,13
,,2016 - 2017,,,,,,,1,11,11
,,2017 - 2018,,,,,,,1,11,11
,39. Jaunpur,2004 - 2005,107,"1,243.00",11.62,,,,,,
,,2005 - 2006,118,"1,544.00",13.08,,,,,,
,,2006 - 2007,,,,,,,88,"1,201.00",13.65
,,2007 - 2008,,,,,,,131,"1,764.00",13.47
,,2008 - 2009,,,,,,,126,"1,548.00",12.29
,,2009 - 2010,,,,,,,114,"1,550.00",13.6
,,2010 - 2011,,,,,,,115,"1,416.00",12.31
,,2011 - 2012,,,,,,,115,"1,494.00",12.99
,,2012 - 2013,,,,,,,80,"1,035.00",12.94
,,2013 - 2014,,,,,,,12,159,13.25
,,2014 - 2015,,,,,,,98,"1,214.00",12.39
,,2015 - 2016,,,,,,,74,892,12.05
,,2016 - 2017,,,,,,,76,849,11.17
,,2017 - 2018,,,,,,,96,"1,072.00",11.17
,,2018 - 2019,,,,,,,75,861,11.48
,,2019 - 2020,,,,,,,90,"1,057.00",11.74
,,2020 - 2021,,,,,,,82,"1,024.00",12.49
,,2021 - 2022,,,,,,,84,970,11.55
,,2022 - 2023,,,,,,,112,"1,296.00",11.57
,40. Jhansi,2004 - 2005,8,93,11.63,,,,,,
,,2005 - 2006,4,52,13,,,,,,
,,2009 - 2010,,,,,,,2,27,13.5
,,2010 - 2011,,,,,,,1,12,12
,,2011 - 2012,,,,,,,1,13,13
,,2014 - 2015,,,,,,,7,87,12.43
,,2016 - 2017,,,,,,,2,22,11
,,2017 - 2018,,,,,,,1,11,11
,41. Kannauj,2004 - 2005,487,"5,660.00",11.62,,,,,,
,,2005 - 2006,558,"7,299.00",13.08,,,,,,
,,2006 - 2007,,,,,,,411,"5,610.00",13.65
,,2007 - 2008,,,,,,,426,"5,736.00",13.46
,,2008 - 2009,,,,,,,392,"4,814.00",12.28
,,2009 - 2010,,,,,,,455,"6,188.00",13.6
,,2010 - 2011,,,,,,,201,"2,475.00",12.31
,,2011 - 2012,,,,,,,471,"6,120.00",12.99
,,2012 - 2013,,,,,,,487,"6,305.00",12.95
,,2013 - 2014,,,,,,,342,"4,520.00",13.22
,,2014 - 2015,,,,,,,284,"3,518.00",12.39
,,2015 - 2016,,,,,,,220,"2,652.00",12.05
,,2016 - 2017,,,,,,,361,"4,031.00",11.17
,,2017 - 2018,,,,,,,361,"4,031.00",11.17
,,2018 - 2019,,,,,,,306,"3,515.00",11.49
,,2019 - 2020,,,,,,,328,"3,852.00",11.74
,,2020 - 2021,,,,,,,315,"3,934.00",12.49
,,2021 - 2022,,,,,,,319,"3,684.00",11.55
,,2022 - 2023,,,,,,,303,"3,507.00",11.57
,42. Kanpur dehat,2004 - 2005,341,"3,963.00",11.62,,,,,,
,,2005 - 2006,317,"4,146.00",13.08,,,,,,
,,2006 - 2007,,,,,,,315,"4,300.00",13.65
,,2007 - 2008,,,,,,,324,"4,362.00",13.46
,,2008 - 2009,,,,,,,282,"3,464.00",12.28
,,2009 - 2010,,,,,,,316,"4,297.00",13.6
,,2010 - 2011,,,,,,,311,"3,830.00",12.32
,,2011 - 2012,,,,,,,360,"4,678.00",12.99
,,2012 - 2013,,,,,,,273,"3,534.00",12.95
,,2013 - 2014,,,,,,,358,"4,731.00",13.22
,,2014 - 2015,,,,,,,209,"2,589.00",12.39
,,2015 - 2016,,,,,,,271,"3,266.00",12.05
,,2016 - 2017,,,,,,,253,"2,825.00",11.17
,,2017 - 2018,,,,,,,273,"3,048.00",11.16
,,2018 - 2019,,,,,,,273,"3,540.00",12.97
,,2019 - 2020,,,,,,,256,"3,006.00",11.74
,,2020 - 2021,,,,,,,265,"3,309.00",12.49
,,2021 - 2022,,,,,,,264,"3,049.00",11.55
,,2022 - 2023,,,,,,,266,"3,079.00",11.58
,43. Kanpur nagar,2004 - 2005,499,"5,800.00",11.62,,,,,,
,,2005 - 2006,480,"6,279.00",13.08,,,,,,
,,2006 - 2007,,,,,,,313,"4,272.00",13.65
,,2007 - 2008,,,,,,,420,"5,654.00",13.46
,,2008 - 2009,,,,,,,353,"4,335.00",12.28
,,2009 - 2010,,,,,,,413,"5,617.00",13.6
,,2010 - 2011,,,,,,,396,"4,876.00",12.31
,,2011 - 2012,,,,,,,379,"4,925.00",12.99
,,2012 - 2013,,,,,,,266,"3,444.00",12.95
,,2013 - 2014,,,,,,,497,"6,568.00",13.22
,,2014 - 2015,,,,,,,322,"3,989.00",12.39
,,2015 - 2016,,,,,,,290,"3,496.00",12.06
,,2016 - 2017,,,,,,,351,"3,919.00",11.17
,,2017 - 2018,,,,,,,381,"4,254.00",11.17
,,2018 - 2019,,,,,,,404,"4,640.00",11.49
,,2019 - 2020,,,,,,,428,"5,026.00",11.74
,,2020 - 2021,,,,,,,371,"4,633.00",12.49
,,2021 - 2022,,,,,,,387,"4,469.00",11.55
,,2022 - 2023,,,,,,,394,"4,561.00",11.58
,44. Kasganj,2009 - 2010,,,,,,,"2,914.00","39,631.00",13.6
,,2010 - 2011,,,,,,,"4,429.00","54,543.00",12.31
,,2011 - 2012,,,,,,,"3,672.00","47,714.00",12.99
,,2012 - 2013,,,,,,,"3,479.00","45,042.00",12.95
,,2013 - 2014,,,,,,,"3,214.00","42,473.00",13.21
,,2014 - 2015,,,,,,,"3,524.00","43,653.00",12.39
,,2015 - 2016,,,,,,,"2,924.00","35,246.00",12.05
,,2016 - 2017,,,,,,,"3,078.00","34,369.00",11.17
,,2017 - 2018,,,,,,,"3,246.00","36,244.00",11.17
,,2018 - 2019,,,,,,,"3,179.00","36,513.00",11.49
,,2019 - 2020,,,,,,,"3,122.00","36,661.00",11.74
,,2020 - 2021,,,,,,,"3,110.00","38,837.00",12.49
,,2021 - 2022,,,,,,,"3,147.00","36,344.00",11.55
,,2022 - 2023,,,,,,,"2,972.00","34,404.00",11.58
,45. Kaushambi,2004 - 2005,859,"9,984.00",11.62,,,,,,
,,2005 - 2006,626,"8,188.00",13.08,,,,,,
,,2006 - 2007,,,,,,,637,"8,694.00",13.65
,,2007 - 2008,,,,,,,592,"7,970.00",13.46
,,2008 - 2009,,,,,,,740,"9,089.00",12.28
,,2009 - 2010,,,,,,,691,"9,398.00",13.6
,,2010 - 2011,,,,,,,657,"8,091.00",12.32
,,2011 - 2012,,,,,,,663,"8,615.00",12.99
,,2012 - 2013,,,,,,,512,"6,629.00",12.95
,,2013 - 2014,,,,,,,497,"6,568.00",13.22
,,2014 - 2015,,,,,,,667,"8,262.00",12.39
,,2015 - 2016,,,,,,,599,"7,220.00",12.05
,,2016 - 2017,,,,,,,588,"6,566.00",11.17
,,2017 - 2018,,,,,,,549,"6,130.00",11.17
,,2018 - 2019,,,,,,,557,"6,397.00",11.48
,,2019 - 2020,,,,,,,473,"5,554.00",11.74
,,2020 - 2021,,,,,,,553,"6,906.00",12.49
,,2021 - 2022,,,,,,,544,"6,283.00",11.55
,,2022 - 2023,,,,,,,545,"6,309.00",11.58
,46. Kheri,2004 - 2005,63,732,11.62,,,,,,
,,2005 - 2006,53,693,13.08,,,,,,
,,2006 - 2007,,,,,,,54,737,13.65
,,2007 - 2008,,,,,,,53,714,13.47
,,2008 - 2009,,,,,,,56,688,12.29
,,2009 - 2010,,,,,,,56,762,13.61
,,2010 - 2011,,,,,,,54,665,12.31
,,2011 - 2012,,,,,,,55,715,13
,,2012 - 2013,,,,,,,93,"1,204.00",12.95
,,2013 - 2014,,,,,,,47,621,13.21
,,2014 - 2015,,,,,,,16,198,12.38
,,2015 - 2016,,,,,,,13,156,12
,,2016 - 2017,,,,,,,37,413,11.16
,,2017 - 2018,,,,,,,41,458,11.17
,,2018 - 2019,,,,,,,31,356,11.48
,,2019 - 2020,,,,,,,28,329,11.75
,,2020 - 2021,,,,,,,30,375,12.5
,,2021 - 2022,,,,,,,33,381,11.55
,,2022 - 2023,,,,,,,33,382,11.58
,47. Kushi nagar,2004 - 2005,84,976,11.62,,,,,,
,,2005 - 2006,67,877,13.09,,,,,,
,,2006 - 2007,,,,,,,119,"1,624.00",13.65
,,2007 - 2008,,,,,,,22,296,13.45
,,2008 - 2009,,,,,,,71,872,12.28
,,2009 - 2010,,,,,,,73,993,13.6
,,2010 - 2011,,,,,,,70,862,12.31
,,2011 - 2012,,,,,,,76,988,13
,,2012 - 2013,,,,,,,57,738,12.95
,,2013 - 2014,,,,,,,52,687,13.21
,,2014 - 2015,,,,,,,40,495,12.38
,,2015 - 2016,,,,,,,27,326,12.07
,,2016 - 2017,,,,,,,50,558,11.16
,,2017 - 2018,,,,,,,55,614,11.16
,,2018 - 2019,,,,,,,57,655,11.49
,,2019 - 2020,,,,,,,46,540,11.74
,,2020 - 2021,,,,,,,56,699,12.48
,,2021 - 2022,,,,,,,53,612,11.55
,,2022 - 2023,,,,,,,45,521,11.58
,48. Lalitpur,2004 - 2005,59,686,11.63,,,,,,
,,2005 - 2006,50,654,13.08,,,,,,
,,2006 - 2007,,,,,,,51,696,13.65
,,2007 - 2008,,,,,,,37,498,13.46
,,2008 - 2009,,,,,,,47,578,12.3
,,2009 - 2010,,,,,,,49,667,13.61
,,2010 - 2011,,,,,,,47,579,12.32
,,2011 - 2012,,,,,,,35,455,13
,,2012 - 2013,,,,,,,43,556,12.93
,,2013 - 2014,,,,,,,10,132,13.2
,,2014 - 2015,,,,,,,37,458,12.38
,,2016 - 2017,,,,,,,25,279,11.16
,,2017 - 2018,,,,,,,20,223,11.15
,,2018 - 2019,,,,,,,10,115,11.5
,,2019 - 2020,,,,,,,18,211,11.72
,,2020 - 2021,,,,,,,10,125,12.5
,,2021 - 2022,,,,,,,17,196,11.53
,,2022 - 2023,,,,,,,15,174,11.6
,49. Lucknow,2004 - 2005,112,"1,302.00",11.63,,,,,,
,,2005 - 2006,103,"1,348.00",13.09,,,,,,
,,2006 - 2007,,,,,,,62,846,13.65
,,2007 - 2008,,,,,,,61,821,13.46
,,2008 - 2009,,,,,,,76,933,12.28
,,2009 - 2010,,,,,,,42,571,13.6
,,2010 - 2011,,,,,,,11,136,12.36
,,2011 - 2012,,,,,,,26,338,13
,,2012 - 2013,,,,,,,69,893,12.94
,,2013 - 2014,,,,,,,31,410,13.23
,,2014 - 2015,,,,,,,33,409,12.39
,,2015 - 2016,,,,,,,35,422,12.06
,,2016 - 2017,,,,,,,36,402,11.17
,,2017 - 2018,,,,,,,31,346,11.16
,,2018 - 2019,,,,,,,33,379,11.48
,,2019 - 2020,,,,,,,42,493,11.74
,,2020 - 2021,,,,,,,34,425,12.5
,,2021 - 2022,,,,,,,35,404,11.54
,,2022 - 2023,,,,,,,34,394,11.59
,50. Maharajganj,2004 - 2005,9,105,11.67,,,,,,
,,2005 - 2006,3,39,13,,,,,,
,,2006 - 2007,,,,,,,15,205,13.67
,,2007 - 2008,,,,,,,2,27,13.5
,,2008 - 2009,,,,,,,5,61,12.2
,,2009 - 2010,,,,,,,5,68,13.6
,,2010 - 2011,,,,,,,6,74,12.33
,,2011 - 2012,,,,,,,3,39,13
,,2012 - 2013,,,,,,,2,26,13
,,2013 - 2014,,,,,,,2,27,13.5
,,2016 - 2017,,,,,,,1,11,11
,,2017 - 2018,,,,,,,1,11,11
,,2018 - 2019,,,,,,,1,11,11
,,2019 - 2020,,,,,,,1,12,12
,,2022 - 2023,,,,,,,1,12,12
,51. Mahoba,2004 - 2005,26,302,11.62,,,,,,
,,2005 - 2006,17,222,13.06,,,,,,
,,2006 - 2007,,,,,,,143,"1,952.00",13.65
,,2007 - 2008,,,,,,,7,94,13.43
,,2008 - 2009,,,,,,,1,12,12
,,2009 - 2010,,,,,,,19,259,13.63
,,2010 - 2011,,,,,,,7,86,12.29
,,2011 - 2012,,,,,,,13,169,13
,,2013 - 2014,,,,,,,4,53,13.25
,,2014 - 2015,,,,,,,7,87,12.43
,,2016 - 2017,,,,,,,5,56,11.2
,,2017 - 2018,,,,,,,3,33,11
,,2018 - 2019,,,,,,,4,46,11.5
,,2019 - 2020,,,,,,,6,70,11.67
,,2020 - 2021,,,,,,,4,50,12.5
,,2021 - 2022,,,,,,,4,46,11.5
,,2022 - 2023,,,,,,,4,46,11.5
,52. Mainpuri,2004 - 2005,477,"5,544.00",11.62,,,,,,
,,2005 - 2006,775,"10,138.00",13.08,,,,,,
,,2006 - 2007,,,,,,,484,"6,606.00",13.65
,,2007 - 2008,,,,,,,386,"5,196.00",13.46
,,2008 - 2009,,,,,,,371,"4,557.00",12.28
,,2009 - 2010,,,,,,,193,"2,625.00",13.6
,,2010 - 2011,,,,,,,310,"3,818.00",12.32
,,2011 - 2012,,,,,,,349,"4,535.00",12.99
,,2012 - 2013,,,,,,,376,"4,868.00",12.95
,,2013 - 2014,,,,,,,479,"6,330.00",13.22
,,2014 - 2015,,,,,,,282,"3,493.00",12.39
,,2015 - 2016,,,,,,,474,"5,713.00",12.05
,,2016 - 2017,,,,,,,390,"4,355.00",11.17
,,2017 - 2018,,,,,,,423,"4,723.00",11.17
