state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2007 - 2008,1.11
,,2008 - 2009,1.27
,,2009 - 2010,1.05
,,2010 - 2011,1.23
,,2011 - 2012,1.45
,,2012 - 2013,1.49
,,2013 - 2014,1.48
,,2014 - 2015,1.14
,,2015 - 2016,0.8
,,2016 - 2017,1.44
,,2017 - 2018,1.63
,,2018 - 2019,1.3
,,2019 - 2020,1.31
,,2020 - 2021,1.57
,,2021 - 2022,1.4
,,2022 - 2023,1.62
,Kanpur nagar,2000 - 2001,1.25
,,2001 - 2002,0.99
,,2002 - 2003,1.22
,,2003 - 2004,1.07
,,2004 - 2005,1.05
,,2005 - 2006,1.16
,,2006 - 2007,1.11
,,2007 - 2008,1.09
,,2008 - 2009,1.49
,,2009 - 2010,1.14
,,2010 - 2011,1.37
,,2011 - 2012,1.34
,,2012 - 2013,1.5
,,2013 - 2014,1.33
,,2014 - 2015,0.76
,,2015 - 2016,0.91
,,2016 - 2017,0.89
,,2017 - 2018,2.54
,,2018 - 2019,2.35
,,2019 - 2020,1.51
,,2020 - 2021,1.99
,,2021 - 2022,1.66
,,2022 - 2023,1.8
,Kasganj,2009 - 2010,0.89
,,2010 - 2011,1.0
,,2011 - 2012,0.73
,,2012 - 2013,1.13
,,2013 - 2014,0.91
,,2014 - 2015,0.97
,,2015 - 2016,0.79
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.05
,,2019 - 2020,1.11
,,2020 - 2021,1.24
,,2021 - 2022,1.06
,,2022 - 2023,1.6
,Kaushambi,2000 - 2001,0.59
,,2001 - 2002,1.23
,,2002 - 2003,1.08
,,2003 - 2004,1.27
,,2004 - 2005,1.66
,,2005 - 2006,1.88
,,2006 - 2007,1.62
,,2007 - 2008,1.73
,,2008 - 2009,1.75
,,2009 - 2010,1.35
,,2010 - 2011,1.2
,,2011 - 2012,1.55
,,2012 - 2013,1.38
,,2013 - 2014,0.84
,,2014 - 2015,1.02
,,2015 - 2016,0.89
,,2016 - 2017,0.69
,,2017 - 2018,0.89
,,2018 - 2019,1.01
,,2019 - 2020,0.88
,,2020 - 2021,1.21
,,2021 - 2022,1.62
,,2022 - 2023,1.42
,Kheri,2000 - 2001,0.9
,,2001 - 2002,0.99
,,2002 - 2003,0.94
,,2003 - 2004,0.96
,,2004 - 2005,1.12
,,2005 - 2006,0.97
,,2006 - 2007,0.73
,,2007 - 2008,1.0
,,2008 - 2009,0.93
,,2009 - 2010,0.88
,,2010 - 2011,0.78
,,2011 - 2012,0.7
,,2012 - 2013,1.21
,,2013 - 2014,1.08
,,2014 - 2015,0.72
,,2015 - 2016,0.5
,,2016 - 2017,1.25
,,2017 - 2018,1.02
,,2018 - 2019,0.89
,,2019 - 2020,0.7
,,2020 - 2021,0.94
,,2021 - 2022,1.64
,,2022 - 2023,1.35
,Kushi nagar,2000 - 2001,1.27
,,2001 - 2002,1.35
,,2002 - 2003,1.33
,,2003 - 2004,1.38
,,2004 - 2005,1.19
,,2005 - 2006,1.29
,,2006 - 2007,1.25
,,2007 - 2008,0.79
,,2008 - 2009,1.21
,,2009 - 2010,1.0
,,2010 - 2011,1.08
,,2012 - 2013,1.44
,,2013 - 2014,1.33
,,2015 - 2016,1.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Lalitpur,2000 - 2001,0.64
,,2001 - 2002,0.94
,,2002 - 2003,0.63
,,2003 - 2004,1.32
,,2004 - 2005,0.89
,,2005 - 2006,0.52
,,2006 - 2007,1.57
,,2007 - 2008,0.47
,,2008 - 2009,1.16
,,2009 - 2010,1.44
,,2010 - 2011,1.23
,,2011 - 2012,1.04
,,2012 - 2013,1.11
,,2013 - 2014,1.29
,,2014 - 2015,0.86
,,2015 - 2016,0.61
,,2016 - 2017,0.95
,,2017 - 2018,1.24
,,2018 - 2019,1.7
,,2019 - 2020,0.99
,,2020 - 2021,1.59
,,2021 - 2022,1.58
,,2022 - 2023,1.59
,Lucknow,2000 - 2001,0.59
,,2001 - 2002,0.79
,,2002 - 2003,1.08
,,2003 - 2004,0.78
,,2004 - 2005,0.89
,,2005 - 2006,0.97
,,2006 - 2007,0.98
,,2007 - 2008,0.71
,,2008 - 2009,0.85
,,2009 - 2010,0.88
,,2010 - 2011,0.78
,,2011 - 2012,0.7
,,2012 - 2013,1.21
,,2013 - 2014,1.08
,,2014 - 2015,0.92
,,2015 - 2016,1.43
,,2016 - 2017,1.25
,,2017 - 2018,1.01
,,2018 - 2019,0.89
,,2019 - 2020,0.7
,,2020 - 2021,0.92
,,2021 - 2022,1.19
,,2022 - 2023,1.55
,Maharajganj,2000 - 2001,1.0
,,2003 - 2004,1.0
,,2011 - 2012,1.0
,Mahoba,2000 - 2001,0.79
,,2001 - 2002,0.71
,,2002 - 2003,0.7
,,2003 - 2004,0.66
,,2004 - 2005,0.87
,,2005 - 2006,0.65
,,2006 - 2007,0.87
,,2007 - 2008,0.31
,,2008 - 2009,0.8
,,2009 - 2010,0.41
,,2010 - 2011,0.89
,,2011 - 2012,0.77
,,2012 - 2013,0.97
,,2013 - 2014,0.81
,,2014 - 2015,0.55
,,2015 - 2016,0.15
,,2016 - 2017,0.96
,,2017 - 2018,0.8
,,2018 - 2019,1.02
,,2019 - 2020,0.71
,,2020 - 2021,1.82
,,2021 - 2022,0.78
,,2022 - 2023,1.61
,Mainpuri,2000 - 2001,0.82
,,2001 - 2002,0.77
,,2002 - 2003,0.99
,,2003 - 2004,0.89
,,2004 - 2005,0.75
,,2005 - 2006,0.94
,,2007 - 2008,0.62
,,2008 - 2009,0.99
,,2009 - 2010,0.95
,,2010 - 2011,0.99
,,2011 - 2012,0.77
,,2012 - 2013,1.09
,,2013 - 2014,0.89
,,2014 - 2015,2.43
,,2015 - 2016,0.74
,,2016 - 2017,1.0
,,2017 - 2018,1.01
,,2018 - 2019,1.05
,,2019 - 2020,1.12
,,2020 - 2021,1.24
,,2021 - 2022,1.06
,,2022 - 2023,1.59
,Mathura,2000 - 2001,0.82
,,2001 - 2002,0.78
,,2002 - 2003,0.99
,,2003 - 2004,0.89
,,2004 - 2005,0.75
,,2005 - 2006,0.94
,,2006 - 2007,1.14
,,2007 - 2008,0.62
,,2008 - 2009,0.99
,,2009 - 2010,0.9
,,2010 - 2011,0.99
,,2011 - 2012,0.76
,,2012 - 2013,1.11
,,2013 - 2014,0.9
,,2014 - 2015,2.43
,,2015 - 2016,0.74
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.03
,,2019 - 2020,1.14
,,2020 - 2021,1.24
,,2021 - 2022,1.19
,,2022 - 2023,1.59
,Mau,2000 - 2001,1.22
,,2001 - 2002,1.06
,,2002 - 2003,1.12
,,2003 - 2004,1.13
,,2004 - 2005,1.06
,,2005 - 2006,1.27
,,2006 - 2007,1.23
,,2007 - 2008,0.8
,,2009 - 2010,1.09
,,2010 - 2011,1.25
,,2011 - 2012,1.09
,,2012 - 2013,1.43
,,2013 - 2014,1.15
,,2014 - 2015,1.14
,,2016 - 2017,1.2
,,2017 - 2018,1.33
,,2018 - 2019,1.38
,,2019 - 2020,1.46
,,2020 - 2021,2.25
,,2021 - 2022,2.4
,,2022 - 2023,1.59
,Meerut,2000 - 2001,0.8
,,2001 - 2002,0.87
,,2002 - 2003,0.89
,,2003 - 2004,0.86
,,2005 - 2006,0.79
,,2012 - 2013,1.1
,,2018 - 2019,1.05
,Mirzapur,2000 - 2001,1.75
,,2001 - 2002,1.32
,,2002 - 2003,0.88
,,2003 - 2004,1.22
,,2004 - 2005,0.64
,,2005 - 2006,1.32
,,2006 - 2007,0.98
,,2007 - 2008,1.1
,,2008 - 2009,1.44
,,2009 - 2010,1.03
,,2010 - 2011,0.8
,,2011 - 2012,0.99
,,2012 - 2013,0.95
,,2013 - 2014,0.94
,,2014 - 2015,1.13
,,2015 - 2016,0.83
,,2016 - 2017,1.11
,,2017 - 2018,1.04
,,2018 - 2019,1.05
,,2019 - 2020,1.56
,,2020 - 2021,1.1
,,2021 - 2022,1.17
,,2022 - 2023,1.3
,Moradabad,2000 - 2001,0.7
,,2001 - 2002,1.04
,,2002 - 2003,0.87
,,2003 - 2004,1.24
,,2004 - 2005,1.0
,,2005 - 2006,0.97
,,2006 - 2007,1.15
,,2007 - 2008,0.63
,,2008 - 2009,1.78
,,2009 - 2010,0.95
,,2010 - 2011,0.31
,,2011 - 2012,0.3
,,2012 - 2013,0.5
,,2013 - 2014,0.53
,,2014 - 2015,1.1
,,2015 - 2016,2.08
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.06
,,2019 - 2020,1.11
,,2020 - 2021,1.22
,,2021 - 2022,1.05
,,2022 - 2023,1.59
,Muzaffarnagar,2001 - 2002,0.83
,,2002 - 2003,0.67
,,2004 - 2005,0.8
,Pilibhit,2000 - 2001,0.83
,,2001 - 2002,0.76
,,2002 - 2003,1.0
,,2003 - 2004,0.86
,,2004 - 2005,0.75
,,2005 - 2006,0.89
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2010 - 2011,1.0
,,2011 - 2012,0.75
,Pratapgarh,2000 - 2001,1.28
,,2001 - 2002,1.08
,,2002 - 2003,1.0
,,2003 - 2004,1.05
,,2004 - 2005,1.18
,,2005 - 2006,1.45
,,2006 - 2007,1.48
,,2007 - 2008,1.07
,,2008 - 2009,1.41
,,2009 - 2010,1.15
,,2010 - 2011,1.3
,,2011 - 2012,1.13
,,2012 - 2013,1.38
,,2013 - 2014,1.04
,,2014 - 2015,1.71
,,2015 - 2016,0.86
,,2016 - 2017,1.03
,,2017 - 2018,0.81
,,2018 - 2019,0.92
,,2019 - 2020,1.29
,,2020 - 2021,1.29
,,2021 - 2022,0.81
,,2022 - 2023,1.56
,Rae bareli,2000 - 2001,0.75
,,2001 - 2002,1.05
,,2002 - 2003,0.97
,,2003 - 2004,0.85
,,2004 - 2005,0.8
,,2005 - 2006,0.87
,,2006 - 2007,0.85
,,2007 - 2008,0.77
,,2008 - 2009,0.8
,,2009 - 2010,0.82
,,2010 - 2011,0.87
,,2011 - 2012,0.71
,,2012 - 2013,0.98
,,2013 - 2014,0.84
,,2014 - 2015,0.67
,,2015 - 2016,0.62
,,2016 - 2017,0.63
,,2017 - 2018,0.74
,,2018 - 2019,0.44
,,2019 - 2020,0.64
,,2020 - 2021,0.65
,,2021 - 2022,1.23
,,2022 - 2023,1.33
,Rampur,2000 - 2001,0.7
,,2001 - 2002,1.04
,,2002 - 2003,0.89
,,2003 - 2004,1.2
,,2004 - 2005,1.0
,,2005 - 2006,0.97
,,2006 - 2007,1.15
,,2007 - 2008,0.62
,,2008 - 2009,1.71
,,2009 - 2010,0.95
,,2010 - 2011,0.31
,,2011 - 2012,0.31
,,2012 - 2013,0.5
,,2013 - 2014,0.53
,,2014 - 2015,1.07
,,2015 - 2016,1.91
,,2016 - 2017,0.99
,,2017 - 2018,1.01
,,2018 - 2019,1.05
,,2019 - 2020,1.11
,,2020 - 2021,1.24
,,2021 - 2022,1.08
,,2022 - 2023,1.59
,Sambhal,2012 - 2013,0.5
,,2013 - 2014,0.54
,,2014 - 2015,1.1
,,2015 - 2016,2.07
,,2016 - 2017,0.99
,,2017 - 2018,1.01
,,2018 - 2019,1.05
,,2019 - 2020,1.12
,,2020 - 2021,1.23
,,2021 - 2022,1.08
,,2022 - 2023,1.6
,Sant kabeer nagar,2000 - 2001,1.38
,,2001 - 2002,1.0
,,2003 - 2004,1.27
,,2018 - 2019,1.07
,,2019 - 2020,1.0
,,2022 - 2023,1.56
,Sant ravidas nagar,2000 - 2001,1.59
,,2001 - 2002,1.12
,,2002 - 2003,0.84
,,2003 - 2004,1.04
,,2004 - 2005,0.48
,,2005 - 2006,1.21
,,2006 - 2007,1.12
,,2007 - 2008,0.87
,,2008 - 2009,1.11
,,2009 - 2010,1.01
,,2010 - 2011,0.57
,,2011 - 2012,1.63
,,2012 - 2013,1.02
,,2013 - 2014,1.03
,,2014 - 2015,1.14
,,2015 - 2016,0.84
,,2016 - 2017,1.19
,,2017 - 2018,1.11
,,2018 - 2019,0.96
,,2019 - 2020,1.28
,,2020 - 2021,1.06
,,2021 - 2022,1.12
,,2022 - 2023,1.29
,Shahjahanpur,2000 - 2001,0.84
,,2001 - 2002,0.76
,,2002 - 2003,0.98
,,2003 - 2004,0.89
,,2004 - 2005,0.76
,,2005 - 2006,0.93
,,2006 - 2007,1.03
,,2007 - 2008,0.62
,,2008 - 2009,0.94
,,2009 - 2010,0.83
,,2010 - 2011,1.01
,,2011 - 2012,0.76
,,2012 - 2013,1.08
,,2013 - 2014,0.9
,,2014 - 2015,0.95
,,2015 - 2016,0.77
,,2016 - 2017,0.99
,,2017 - 2018,1.01
,,2018 - 2019,1.05
,,2019 - 2020,1.11
,,2020 - 2021,1.24
,,2021 - 2022,1.09
,,2022 - 2023,1.59
,Shravasti,2000 - 2001,1.24
,,2001 - 2002,1.19
,,2002 - 2003,1.14
,,2003 - 2004,1.28
,,2004 - 2005,1.02
,,2005 - 2006,1.0
,,2006 - 2007,1.12
,,2007 - 2008,0.94
,,2008 - 2009,1.11
,,2009 - 2010,1.0
,,2010 - 2011,1.1
,,2011 - 2012,0.92
,,2012 - 2013,1.31
,,2013 - 2014,0.98
,,2014 - 2015,1.04
,,2015 - 2016,0.7
,,2016 - 2017,1.08
,,2018 - 2019,1.29
,,2020 - 2021,1.51
,,2021 - 2022,1.07
,,2022 - 2023,1.59
,Siddharth nagar,2000 - 2001,1.36
,,2001 - 2002,0.91
,,2002 - 2003,1.19
,,2003 - 2004,1.3
,,2004 - 2005,0.77
,,2005 - 2006,1.31
,,2006 - 2007,1.18
,Sitapur,2000 - 2001,1.23
,,2001 - 2002,0.92
,,2002 - 2003,0.83
,,2003 - 2004,0.99
,,2004 - 2005,1.16
,,2005 - 2006,0.98
,,2006 - 2007,0.99
,,2007 - 2008,0.84
,,2008 - 2009,1.0
,,2009 - 2010,0.85
,,2010 - 2011,1.15
,,2011 - 2012,0.81
,,2012 - 2013,1.4
,,2013 - 2014,0.92
,,2014 - 2015,1.1
,,2015 - 2016,1.14
,,2016 - 2017,1.24
,,2017 - 2018,1.01
,,2018 - 2019,0.89
,,2019 - 2020,0.7
,,2020 - 2021,0.62
,,2021 - 2022,1.71
,,2022 - 2023,1.71
,Sonbhadra,2000 - 2001,0.68
,,2001 - 2002,0.63
,,2002 - 2003,0.84
,,2003 - 2004,0.92
,,2004 - 2005,0.58
,,2005 - 2006,0.92
,,2006 - 2007,1.19
,,2007 - 2008,1.11
,,2008 - 2009,0.85
,,2009 - 2010,1.0
,,2010 - 2011,0.96
,,2011 - 2012,1.62
,,2012 - 2013,1.45
,,2013 - 2014,1.6
,,2014 - 2015,1.04
,,2015 - 2016,1.26
,,2016 - 2017,1.48
,,2017 - 2018,1.78
,,2018 - 2019,1.37
,,2019 - 2020,1.2
,,2020 - 2021,1.06
,,2021 - 2022,1.61
,,2022 - 2023,1.27
,Sultanpur,2000 - 2001,0.76
,,2001 - 2002,0.94
,,2002 - 2003,0.85
,,2003 - 2004,0.97
,,2004 - 2005,0.69
,,2005 - 2006,0.86
,,2006 - 2007,0.76
,,2007 - 2008,0.85
,,2008 - 2009,0.72
,,2009 - 2010,0.84
,,2010 - 2011,0.67
,,2011 - 2012,0.84
,,2012 - 2013,0.83
,,2013 - 2014,0.41
,,2014 - 2015,1.08
,,2015 - 2016,0.95
,,2016 - 2017,1.23
,,2017 - 2018,0.72
,,2018 - 2019,0.66
,,2019 - 2020,1.36
,,2020 - 2021,1.4
,,2021 - 2022,1.8
,,2022 - 2023,1.63
,Unnao,2000 - 2001,1.15
,,2001 - 2002,1.16
,,2002 - 2003,1.06
,,2003 - 2004,0.98
,,2004 - 2005,1.07
,,2005 - 2006,1.15
,,2006 - 2007,1.11
,,2007 - 2008,1.17
,,2008 - 2009,1.2
,,2009 - 2010,0.97
,,2010 - 2011,0.9
,,2011 - 2012,0.82
,,2012 - 2013,1.39
,,2013 - 2014,0.7
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,1.25
,,2017 - 2018,0.99
,,2018 - 2019,0.57
,,2019 - 2020,0.57
,,2020 - 2021,0.47
,,2021 - 2022,1.17
,,2022 - 2023,1.51
,Varanasi,2000 - 2001,0.9
,,2001 - 2002,0.92
,,2002 - 2003,0.88
,,2003 - 2004,0.94
,,2004 - 2005,1.27
,,2005 - 2006,1.45
,,2006 - 2007,1.34
,,2007 - 2008,1.22
,,2008 - 2009,1.22
,,2009 - 2010,1.1
,,2010 - 2011,1.21
,,2011 - 2012,1.06
,,2012 - 2013,1.36
,,2013 - 2014,0.81
,,2014 - 2015,0.98
,,2015 - 2016,0.84
,,2016 - 2017,0.81
,,2017 - 2018,1.04
,,2018 - 2019,1.99
,,2019 - 2020,2.0
,,2020 - 2021,1.24
,,2021 - 2022,2.42
,,2022 - 2023,1.48
Uttarakhand,Dehradun,2005 - 2006,0.67
,Haridwar,2015 - 2016,0.8
West Bengal,Bankura,2000 - 2001,0.55
,,2001 - 2002,0.58
,,2002 - 2003,5.23
,,2003 - 2004,0.6
,,2004 - 2005,0.56
,Birbhum,2000 - 2001,0.65
,,2001 - 2002,0.65
,,2002 - 2003,0.65
,Hooghly,2001 - 2002,0.8
,Medinipur west,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,Murshidabad,2000 - 2001,0.48
,,2001 - 2002,0.48
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.43
,,2005 - 2006,0.39
,,2006 - 2007,0.44
,,2007 - 2008,0.42
,,2008 - 2009,0.42
,,2009 - 2010,0.43
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nadia,2000 - 2001,0.48
,,2001 - 2002,0.4
,,2002 - 2003,0.8
,,2003 - 2004,0.7
,,2004 - 2005,0.7
,,2005 - 2006,0.6
,,2006 - 2007,0.7
,,2007 - 2008,0.7
,Purulia,2000 - 2001,0.31
,,2001 - 2002,0.37
,,2002 - 2003,2.96
,,2003 - 2004,0.34
,,2004 - 2005,0.38
,,2005 - 2006,0.32
,,2006 - 2007,0.28
,,2007 - 2008,0.26
,,2008 - 2009,0.38
,,2009 - 2010,0.48
,,2010 - 2011,
,,2011 - 2012,0.26
,,2012 - 2013,
,,2013 - 2014,0.28
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
