state,district,year,moong_kharif_yield_tonne_per_hectare
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2014 - 2015,0.51
,,2016 - 2017,0.69
,,2018 - 2019,0.5
,Kathua,2002 - 2003,0.55
,,2004 - 2005,0.6
,,2005 - 2006,0.57
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2010 - 2011,0.5
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,0.5
,Kishtwar,2007 - 2008,0.45
,,2012 - 2013,0.7
,Kulgam,2007 - 2008,0.52
,,2009 - 2010,0.52
,,2011 - 2012,0.52
,,2012 - 2013,0.52
,,2014 - 2015,0.52
,,2015 - 2016,0.52
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.52
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,Leh ladakh,2011 - 2012,
,Pulwama,2001 - 2002,0.41
,,2002 - 2003,0.41
,,2003 - 2004,0.4
,,2004 - 2005,0.41
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.4
,,2009 - 2010,0.41
,,2010 - 2011,0.41
,,2011 - 2012,2.0
,,2012 - 2013,2.0
,,2014 - 2015,2.0
,,2015 - 2016,0.51
,,2016 - 2017,0.51
,,2017 - 2018,0.51
,,2018 - 2019,0.51
,,2019 - 2020,0.51
,,2020 - 2021,0.51
,Rajauri,2004 - 2005,0.0
,,2012 - 2013,0.5
,Reasi,2007 - 2008,0.65
,,2009 - 2010,0.7
,,2010 - 2011,0.7
,,2011 - 2012,0.7
,,2012 - 2013,0.7
,,2015 - 2016,0.7
,Samba,2007 - 2008,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2020 - 2021,0.79
,Srinagar,2001 - 2002,0.49
,,2002 - 2003,0.49
,,2003 - 2004,0.49
,,2004 - 2005,0.49
,,2005 - 2006,0.49
,,2006 - 2007,0.49
,,2007 - 2008,0.5
,Udhampur,2001 - 2002,0.66
,,2002 - 2003,0.66
,,2003 - 2004,0.68
,,2004 - 2005,0.7
,,2005 - 2006,0.66
,,2006 - 2007,0.66
,,2007 - 2008,0.66
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
Jharkhand,Bokaro,2017 - 2018,0.49
,,2018 - 2019,0.49
,,2019 - 2020,1.1
,,2020 - 2021,1.3
,,2021 - 2022,0.8
,,2022 - 2023,1.3
,Chatra,2017 - 2018,0.82
,,2018 - 2019,0.84
,,2019 - 2020,0.85
,,2020 - 2021,0.86
,,2021 - 2022,0.86
,,2022 - 2023,0.85
,Deoghar,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Dhanbad,2017 - 2018,0.88
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Dumka,2017 - 2018,0.78
,,2018 - 2019,0.78
,,2019 - 2020,0.89
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,East singhbum,2017 - 2018,0.79
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,0.63
,,2021 - 2022,0.63
,,2022 - 2023,0.65
,Garhwa,2017 - 2018,0.4
,,2018 - 2019,0.21
,,2019 - 2020,0.2
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.7
,Giridih,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,1.27
,,2020 - 2021,0.96
,,2021 - 2022,0.97
,,2022 - 2023,0.99
,Godda,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.92
,,2020 - 2021,0.89
,,2021 - 2022,0.63
,,2022 - 2023,0.55
,Gumla,2017 - 2018,0.92
,,2018 - 2019,1.04
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,0.72
,,2022 - 2023,0.81
,Hazaribagh,2017 - 2018,0.86
,,2018 - 2019,0.86
,,2019 - 2020,0.85
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,0.75
,Jamtara,2017 - 2018,1.0
,,2018 - 2019,0.8
,,2019 - 2020,0.85
,,2020 - 2021,1.0
,,2021 - 2022,1.05
,,2022 - 2023,0.85
,Khunti,2017 - 2018,0.91
,,2018 - 2019,0.89
,,2019 - 2020,0.46
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Koderma,2017 - 2018,0.6
,,2018 - 2019,0.7
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Latehar,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,,2021 - 2022,0.82
,,2022 - 2023,0.82
,Lohardaga,2017 - 2018,0.45
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.45
,,2021 - 2022,0.45
,,2022 - 2023,0.45
,Pakur,2017 - 2018,0.65
,,2018 - 2019,0.43
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.73
,Palamu,2017 - 2018,0.81
,,2018 - 2019,0.41
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,,2021 - 2022,0.86
,,2022 - 2023,0.86
,Ramgarh,2017 - 2018,0.85
,,2018 - 2019,0.85
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.76
,,2022 - 2023,0.76
,Ranchi,2017 - 2018,0.8
,,2018 - 2019,0.75
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Sahebganj,2017 - 2018,1.13
,,2018 - 2019,1.13
,,2019 - 2020,1.1
,,2020 - 2021,1.14
,,2021 - 2022,1.14
,Saraikela kharsawan,2017 - 2018,0.9
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Simdega,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,0.9
,West singhbhum,2017 - 2018,0.86
,,2018 - 2019,0.82
,,2019 - 2020,0.79
,,2020 - 2021,0.83
,,2021 - 2022,0.76
,,2022 - 2023,0.82
Karnataka,Bagalkot,2000 - 2001,0.43
,,2001 - 2002,0.22
,,2002 - 2003,0.02
,,2003 - 2004,0.06
,,2004 - 2005,0.11
,,2005 - 2006,0.12
,,2006 - 2007,0.05
,,2007 - 2008,0.2
,,2008 - 2009,0.02
,,2009 - 2010,0.13
,,2010 - 2011,0.15
,,2011 - 2012,0.17
,,2012 - 2013,0.05
,,2013 - 2014,0.13
,,2014 - 2015,0.18
,,2015 - 2016,0.05
,,2016 - 2017,0.22
,,2017 - 2018,0.13
,,2018 - 2019,0.21
,,2019 - 2020,0.18
,,2020 - 2021,0.19
,,2021 - 2022,0.29
,,2022 - 2023,0.27
,Bangalore rural,2000 - 2001,0.42
,,2001 - 2002,0.26
,,2002 - 2003,0.05
,,2003 - 2004,0.15
,,2004 - 2005,0.16
,,2005 - 2006,0.24
,,2006 - 2007,0.12
,,2007 - 2008,0.17
,,2008 - 2009,0.14
,,2009 - 2010,0.17
,,2010 - 2011,0.26
,,2011 - 2012,0.3
,,2012 - 2013,0.4
,,2013 - 2014,0.27
,,2014 - 2015,0.14
,,2015 - 2016,0.0
,,2016 - 2017,0.27
,,2018 - 2019,0.29
,,2019 - 2020,0.4
,,2020 - 2021,0.43
,,2021 - 2022,0.38
,,2022 - 2023,0.35
,Belgaum,2000 - 2001,0.25
,,2001 - 2002,0.23
,,2002 - 2003,0.04
,,2003 - 2004,0.05
,,2004 - 2005,0.09
,,2005 - 2006,0.19
,,2006 - 2007,0.1
,,2007 - 2008,0.19
,,2008 - 2009,0.09
,,2009 - 2010,0.13
,,2010 - 2011,0.24
,,2011 - 2012,0.24
,,2012 - 2013,0.2
,,2013 - 2014,0.23
,,2014 - 2015,0.18
,,2015 - 2016,0.09
,,2016 - 2017,0.3
,,2017 - 2018,0.33
,,2018 - 2019,0.55
,,2019 - 2020,0.4
,,2020 - 2021,0.44
,,2021 - 2022,0.46
,,2022 - 2023,0.46
,Bellary,2000 - 2001,0.43
,,2001 - 2002,0.19
,,2002 - 2003,0.1
,,2003 - 2004,0.05
,,2004 - 2005,0.33
,,2005 - 2006,0.13
,,2006 - 2007,0.16
,,2007 - 2008,0.15
,,2008 - 2009,0.08
,,2009 - 2010,0.21
,,2010 - 2011,0.22
,,2011 - 2012,0.19
,,2012 - 2013,0.3
,,2013 - 2014,0.25
,,2014 - 2015,0.16
,,2015 - 2016,0.14
,,2016 - 2017,0.2
,,2018 - 2019,0.36
,,2019 - 2020,0.32
,,2020 - 2021,0.4
,,2021 - 2022,0.62
,,2022 - 2023,0.39
,Bengaluru urban,2000 - 2001,0.42
,,2001 - 2002,0.27
,,2002 - 2003,0.06
,,2003 - 2004,0.13
,,2004 - 2005,0.14
,,2005 - 2006,0.26
,,2006 - 2007,0.12
,,2007 - 2008,0.22
,,2008 - 2009,0.14
,,2009 - 2010,0.12
,,2010 - 2011,0.27
,,2011 - 2012,0.25
,,2012 - 2013,0.33
,,2013 - 2014,0.24
,,2014 - 2015,0.23
,,2015 - 2016,0.14
,,2016 - 2017,0.27
,,2017 - 2018,0.31
,,2018 - 2019,0.4
,,2019 - 2020,0.36
,,2020 - 2021,0.38
,,2021 - 2022,0.35
,,2022 - 2023,0.33
,Bidar,2000 - 2001,0.25
,,2001 - 2002,0.3
,,2002 - 2003,0.11
,,2003 - 2004,0.21
,,2004 - 2005,0.08
,,2005 - 2006,0.09
,,2006 - 2007,0.08
,,2007 - 2008,0.37
,,2008 - 2009,0.08
,,2009 - 2010,0.01
,,2010 - 2011,0.29
,,2011 - 2012,0.3
,,2012 - 2013,0.62
,,2013 - 2014,0.43
,,2014 - 2015,0.2
,,2015 - 2016,0.09
,,2016 - 2017,0.51
,,2017 - 2018,0.78
,,2018 - 2019,0.5
,,2019 - 2020,0.47
,,2020 - 2021,0.68
,,2021 - 2022,0.51
,,2022 - 2023,0.55
,Bijapur,2000 - 2001,0.36
,,2001 - 2002,0.16
,,2002 - 2003,0.07
,,2003 - 2004,0.05
,,2004 - 2005,0.17
,,2005 - 2006,0.12
,,2006 - 2007,0.05
,,2007 - 2008,0.18
,,2008 - 2009,0.01
,,2009 - 2010,0.06
,,2010 - 2011,0.16
,,2011 - 2012,0.13
,,2012 - 2013,0.03
,,2013 - 2014,0.16
,,2014 - 2015,0.1
,,2015 - 2016,0.04
,,2016 - 2017,0.23
,,2017 - 2018,0.12
,,2018 - 2019,0.13
,,2019 - 2020,0.12
,,2020 - 2021,0.22
,,2021 - 2022,0.23
,,2022 - 2023,0.22
,Chamarajanagar,2000 - 2001,0.42
,,2001 - 2002,0.26
,,2002 - 2003,0.07
,,2003 - 2004,0.15
,,2004 - 2005,0.33
,,2005 - 2006,0.38
,,2006 - 2007,0.24
,,2007 - 2008,0.24
,,2008 - 2009,0.32
,,2009 - 2010,0.73
,,2010 - 2011,0.42
,,2011 - 2012,0.42
,,2012 - 2013,0.17
,,2013 - 2014,0.38
,,2014 - 2015,0.3
,,2015 - 2016,0.22
,,2016 - 2017,0.19
,,2017 - 2018,0.14
,,2018 - 2019,0.26
,,2019 - 2020,0.22
,,2020 - 2021,0.25
,,2021 - 2022,0.21
,,2022 - 2023,0.16
,Chikballapur,2018 - 2019,0.33
,,2019 - 2020,0.35
,,2020 - 2021,0.41
,,2021 - 2022,0.37
,,2022 - 2023,0.4
,Chikmagalur,2000 - 2001,0.4
,,2001 - 2002,0.23
,,2002 - 2003,0.04
,,2003 - 2004,0.03
,,2004 - 2005,0.2
,,2005 - 2006,0.16
,,2006 - 2007,0.21
,,2007 - 2008,0.24
,,2008 - 2009,0.07
,,2009 - 2010,0.29
,,2010 - 2011,0.26
,,2011 - 2012,0.14
,,2012 - 2013,0.1
,,2013 - 2014,0.26
,,2014 - 2015,0.18
,,2015 - 2016,0.41
,,2016 - 2017,0.22
,,2017 - 2018,0.09
,,2018 - 2019,0.3
,,2019 - 2020,0.19
,,2020 - 2021,0.29
,,2021 - 2022,0.39
,,2022 - 2023,0.27
,Chitradurga,2000 - 2001,0.43
,,2001 - 2002,0.23
,,2002 - 2003,0.04
,,2003 - 2004,0.03
,,2004 - 2005,0.06
,,2005 - 2006,0.21
,,2006 - 2007,0.13
,,2007 - 2008,0.23
,,2008 - 2009,0.14
,,2009 - 2010,0.31
,,2010 - 2011,0.24
,,2011 - 2012,0.21
,,2012 - 2013,0.1
,,2013 - 2014,0.19
,,2014 - 2015,0.19
,,2015 - 2016,0.3
,,2016 - 2017,0.23
,,2017 - 2018,0.03
,,2018 - 2019,0.22
,,2019 - 2020,0.12
,,2020 - 2021,0.36
,,2021 - 2022,0.3
,,2022 - 2023,0.43
,Dakshin kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Davangere,2000 - 2001,0.43
,,2001 - 2002,0.19
,,2002 - 2003,0.11
,,2003 - 2004,0.0
,,2004 - 2005,0.06
,,2005 - 2006,0.21
,,2006 - 2007,0.2
,,2007 - 2008,0.25
,,2008 - 2009,0.13
,,2009 - 2010,0.41
,,2010 - 2011,0.2
,,2011 - 2012,0.18
,,2012 - 2013,0.02
,,2013 - 2014,0.38
,,2014 - 2015,0.3
,,2015 - 2016,0.12
,,2016 - 2017,0.19
,,2017 - 2018,0.25
,,2018 - 2019,0.32
,,2019 - 2020,0.33
,,2020 - 2021,0.41
,,2021 - 2022,0.59
,,2022 - 2023,0.4
,Dharwad,2000 - 2001,0.51
,,2001 - 2002,0.24
,,2002 - 2003,0.08
,,2003 - 2004,0.04
,,2004 - 2005,0.13
,,2005 - 2006,0.25
,,2006 - 2007,0.23
,,2007 - 2008,0.29
,,2008 - 2009,0.21
,,2009 - 2010,0.27
,,2010 - 2011,0.34
,,2011 - 2012,0.33
,,2012 - 2013,0.2
,,2013 - 2014,0.28
,,2014 - 2015,0.18
,,2015 - 2016,0.11
,,2016 - 2017,0.28
,,2017 - 2018,0.12
,,2018 - 2019,0.35
,,2019 - 2020,0.3
,,2020 - 2021,0.44
,,2021 - 2022,0.54
,,2022 - 2023,0.42
,Gadag,2000 - 2001,0.43
,,2001 - 2002,0.14
,,2002 - 2003,0.01
,,2003 - 2004,0.01
,,2004 - 2005,0.18
,,2005 - 2006,0.26
,,2006 - 2007,0.12
,,2007 - 2008,0.16
,,2008 - 2009,0.06
,,2009 - 2010,0.19
,,2010 - 2011,0.22
,,2011 - 2012,0.25
,,2012 - 2013,0.04
,,2013 - 2014,0.12
,,2014 - 2015,0.18
,,2015 - 2016,0.03
,,2016 - 2017,0.18
,,2017 - 2018,0.08
,,2018 - 2019,0.17
,,2019 - 2020,0.24
,,2020 - 2021,0.2
,,2021 - 2022,0.21
,,2022 - 2023,0.32
,Gulbarga,2000 - 2001,0.45
,,2001 - 2002,0.24
,,2002 - 2003,0.07
,,2003 - 2004,0.2
,,2004 - 2005,0.2
,,2005 - 2006,0.28
,,2006 - 2007,0.1
,,2007 - 2008,0.26
,,2008 - 2009,0.27
,,2009 - 2010,0.03
,,2010 - 2011,0.36
,,2011 - 2012,0.36
,,2012 - 2013,0.44
,,2013 - 2014,0.48
,,2014 - 2015,0.31
,,2015 - 2016,0.24
,,2016 - 2017,0.49
,,2017 - 2018,0.62
,,2018 - 2019,0.57
,,2019 - 2020,0.55
,,2020 - 2021,0.6
,,2021 - 2022,0.53
,,2022 - 2023,0.75
,Hassan,2000 - 2001,0.4
,,2001 - 2002,0.52
,,2002 - 2003,0.15
,,2003 - 2004,0.0
,,2004 - 2005,0.16
,,2005 - 2006,0.21
,,2006 - 2007,0.45
,,2007 - 2008,0.19
,,2008 - 2009,0.18
,,2009 - 2010,0.29
,,2010 - 2011,0.28
,,2011 - 2012,0.2
,,2012 - 2013,0.04
,,2013 - 2014,0.07
,,2014 - 2015,0.18
,,2015 - 2016,0.22
,,2016 - 2017,0.18
,,2017 - 2018,0.07
,,2018 - 2019,0.3
,,2019 - 2020,0.12
,,2020 - 2021,0.22
,,2021 - 2022,0.24
,,2022 - 2023,0.27
,Haveri,2000 - 2001,0.72
,,2001 - 2002,0.47
,,2002 - 2003,0.03
,,2003 - 2004,0.01
,,2004 - 2005,0.27
,,2005 - 2006,0.3
,,2006 - 2007,0.23
,,2007 - 2008,0.16
,,2008 - 2009,0.12
,,2009 - 2010,0.14
,,2010 - 2011,0.43
,,2011 - 2012,0.39
,,2012 - 2013,0.13
,,2013 - 2014,0.33
,,2014 - 2015,0.18
,,2015 - 2016,0.28
,,2016 - 2017,0.31
,,2017 - 2018,0.31
,,2018 - 2019,0.35
,,2019 - 2020,0.19
,,2020 - 2021,0.45
,,2021 - 2022,0.35
,,2022 - 2023,0.2
,Kodagu,2018 - 2019,0.33
,,2020 - 2021,0.33
,Kolar,2000 - 2001,0.41
,,2001 - 2002,0.25
,,2004 - 2005,0.16
,,2005 - 2006,0.24
,,2006 - 2007,0.14
,,2018 - 2019,0.33
,,2019 - 2020,0.35
,,2020 - 2021,0.39
,,2021 - 2022,0.25
,Koppal,2000 - 2001,0.62
,,2001 - 2002,0.13
,,2002 - 2003,0.15
,,2003 - 2004,0.14
,,2004 - 2005,0.07
,,2005 - 2006,0.75
,,2006 - 2007,0.04
,,2007 - 2008,0.14
,,2008 - 2009,0.17
,,2009 - 2010,0.09
,,2010 - 2011,0.19
,,2011 - 2012,0.17
,,2012 - 2013,0.13
,,2013 - 2014,0.19
,,2014 - 2015,0.13
,,2015 - 2016,0.04
,,2016 - 2017,0.07
,,2017 - 2018,0.2
,,2018 - 2019,0.19
,,2019 - 2020,0.22
,,2020 - 2021,0.25
,,2021 - 2022,0.18
,,2022 - 2023,0.22
,Mandya,2000 - 2001,0.42
,,2001 - 2002,0.26
,,2002 - 2003,0.07
,,2003 - 2004,0.15
,,2004 - 2005,0.16
,,2005 - 2006,0.25
,,2006 - 2007,0.12
,,2007 - 2008,0.23
,,2008 - 2009,0.14
,,2009 - 2010,0.12
,,2010 - 2011,0.28
,,2011 - 2012,0.26
,,2012 - 2013,0.3
,,2013 - 2014,0.25
,,2014 - 2015,0.2
,,2015 - 2016,0.12
,,2016 - 2017,0.28
,,2017 - 2018,0.33
,,2018 - 2019,0.32
,,2019 - 2020,0.35
,,2020 - 2021,0.42
,,2021 - 2022,0.35
,,2022 - 2023,0.39
,Mysore,2000 - 2001,0.39
,,2001 - 2002,0.52
,,2002 - 2003,0.16
,,2003 - 2004,0.15
,,2004 - 2005,0.33
,,2005 - 2006,0.22
,,2006 - 2007,0.25
,,2007 - 2008,0.3
,,2008 - 2009,0.39
,,2009 - 2010,0.33
,,2010 - 2011,0.56
,,2011 - 2012,0.49
,,2012 - 2013,0.09
,,2013 - 2014,0.34
,,2014 - 2015,0.28
,,2015 - 2016,0.36
,,2016 - 2017,0.27
,,2017 - 2018,0.33
,,2018 - 2019,0.52
,,2019 - 2020,0.21
,,2020 - 2021,0.35
,,2021 - 2022,0.28
,,2022 - 2023,0.29
,Raichur,2000 - 2001,0.25
,,2001 - 2002,0.65
,,2002 - 2003,0.06
,,2003 - 2004,0.15
,,2004 - 2005,0.18
,,2005 - 2006,0.19
,,2006 - 2007,0.03
,,2007 - 2008,0.08
,,2008 - 2009,0.02
,,2009 - 2010,0.02
,,2010 - 2011,0.15
,,2011 - 2012,0.18
,,2012 - 2013,0.12
,,2013 - 2014,0.31
,,2014 - 2015,0.04
,,2015 - 2016,0.12
,,2016 - 2017,0.36
,,2017 - 2018,0.33
,,2018 - 2019,0.23
,,2019 - 2020,0.38
,,2020 - 2021,0.42
,,2021 - 2022,0.27
,,2022 - 2023,0.38
,Ramanagara,2007 - 2008,0.22
,,2008 - 2009,0.14
,,2009 - 2010,0.12
,,2010 - 2011,0.25
,,2011 - 2012,0.26
,,2012 - 2013,0.32
,,2013 - 2014,0.29
,,2014 - 2015,0.17
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.33
,,2018 - 2019,0.3
,,2019 - 2020,0.29
,,2020 - 2021,0.44
,,2021 - 2022,0.33
,,2022 - 2023,0.43
,Shimoga,2000 - 2001,0.41
,,2001 - 2002,0.26
,,2002 - 2003,0.06
,,2003 - 2004,0.15
,,2004 - 2005,0.16
,,2005 - 2006,0.25
,,2006 - 2007,0.12
,,2007 - 2008,0.22
,,2008 - 2009,0.14
,,2009 - 2010,0.13
,,2010 - 2011,0.28
,,2011 - 2012,0.26
,,2012 - 2013,0.31
,,2013 - 2014,0.0
,,2014 - 2015,0.2
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.31
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.5
,,2021 - 2022,0.37
,,2022 - 2023,0.4
,Tumkur,2000 - 2001,0.39
,,2001 - 2002,1.1
,,2002 - 2003,0.15
,,2003 - 2004,0.24
,,2004 - 2005,0.21
,,2005 - 2006,0.26
,,2006 - 2007,0.36
,,2007 - 2008,0.31
,,2008 - 2009,0.19
,,2009 - 2010,0.29
,,2010 - 2011,0.34
,,2011 - 2012,0.26
,,2012 - 2013,0.04
,,2013 - 2014,0.1
,,2014 - 2015,0.08
,,2015 - 2016,0.36
,,2016 - 2017,0.2
,,2017 - 2018,0.06
,,2018 - 2019,0.27
,,2019 - 2020,0.14
,,2020 - 2021,0.25
,,2021 - 2022,0.14
,,2022 - 2023,0.2
,Udupi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.16
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Uttar kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.13
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vijayanagar,2022 - 2023,0.34
,Yadgir,2010 - 2011,0.43
,,2011 - 2012,0.28
,,2012 - 2013,0.34
,,2013 - 2014,0.31
,,2014 - 2015,0.34
,,2015 - 2016,0.13
,,2016 - 2017,0.25
,,2017 - 2018,0.54
,,2018 - 2019,0.37
,,2019 - 2020,0.63
,,2020 - 2021,0.57
,,2021 - 2022,0.41
,,2022 - 2023,0.41
Kerala,Alappuzha,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Ernakulam,2012 - 2013,
,,2014 - 2015,
,Idukki,2013 - 2014,
,Kannur,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kasaragod,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kollam,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kozhikode,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Malappuram,2013 - 2014,
,Palakkad,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Thiruvananthapuram,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
Madhya Pradesh,Agar malwa,2013 - 2014,0.34
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.67
,,2017 - 2018,0.8
,,2018 - 2019,0.34
,,2019 - 2020,0.34
,,2020 - 2021,0.43
,,2021 - 2022,0.34
,,2022 - 2023,0.53
,Alirajpur,2009 - 2010,0.38
,,2010 - 2011,0.38
,,2011 - 2012,0.25
,,2012 - 2013,0.45
,,2013 - 2014,0.32
,,2014 - 2015,0.0
,,2015 - 2016,0.3
,,2016 - 2017,0.4
,,2017 - 2018,0.64
,,2018 - 2019,0.55
,,2019 - 2020,0.39
,,2020 - 2021,0.15
,,2021 - 2022,0.38
,,2022 - 2023,0.42
,Anuppur,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2009 - 2010,0.14
,,2010 - 2011,0.33
,,2011 - 2012,0.15
,,2012 - 2013,0.36
,,2013 - 2014,0.4
,,2016 - 2017,0.5
,,2017 - 2018,0.47
,,2018 - 2019,0.38
,,2019 - 2020,0.36
,,2020 - 2021,0.29
,,2021 - 2022,0.46
,,2022 - 2023,
,Ashoknagar,2005 - 2006,0.43
,,2006 - 2007,0.44
,,2009 - 2010,0.46
,,2010 - 2011,0.36
,,2011 - 2012,0.32
,,2012 - 2013,0.55
,,2013 - 2014,0.33
,,2014 - 2015,0.0
,,2015 - 2016,0.23
,,2017 - 2018,0.66
,,2018 - 2019,0.5
,,2019 - 2020,0.53
,,2020 - 2021,0.39
,,2021 - 2022,0.56
,,2022 - 2023,0.54
,Balaghat,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2009 - 2010,0.43
,,2010 - 2011,0.43
,,2011 - 2012,0.33
,,2012 - 2013,0.38
,,2013 - 2014,0.39
,,2017 - 2018,0.55
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,
,,2022 - 2023,
,Barwani,2005 - 2006,0.19
,,2006 - 2007,0.2
,,2009 - 2010,0.22
,,2010 - 2011,0.22
,,2011 - 2012,0.16
,,2012 - 2013,0.85
,,2013 - 2014,0.68
,,2014 - 2015,0.43
,,2015 - 2016,0.14
,,2016 - 2017,0.64
,,2017 - 2018,0.65
,,2018 - 2019,0.57
,,2019 - 2020,0.38
,,2020 - 2021,0.19
,,2021 - 2022,0.77
,,2022 - 2023,0.57
,Betul,2005 - 2006,0.27
,,2006 - 2007,0.28
,,2009 - 2010,0.31
,,2010 - 2011,0.32
,,2011 - 2012,0.25
,,2012 - 2013,0.37
,,2013 - 2014,0.24
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.48
,,2018 - 2019,0.21
,,2019 - 2020,0.18
,,2020 - 2021,0.15
,,2021 - 2022,0.29
,,2022 - 2023,0.51
,Bhind,2005 - 2006,0.35
,,2006 - 2007,0.24
,,2009 - 2010,0.18
,,2010 - 2011,0.32
,,2011 - 2012,0.18
,,2012 - 2013,0.2
,,2013 - 2014,1.26
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.83
,,2017 - 2018,1.3
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,0.18
,,2021 - 2022,0.74
,,2022 - 2023,0.61
,Bhopal,2005 - 2006,0.32
,,2006 - 2007,0.33
